UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,TIME,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,INBRL
03LA00001,03,01131,00,68,-4-,00000,00,3.0,3,06,00,2,7,y,X,0322,81,2,0,,0.0,1,,,,00,00,0,81,27,,,,,,,.,J,1,....,,1,1,2,0,0,0.0,0,0,0.0,0,*,2003-03-22,0.0
03LA00002,03,01131,00,68,-4-,00000,00,3.0,3,06,00,2,7,y,X,0322,81,2,0,,0.0,1,,,,00,00,0,81,27,,,,,,,.,J,2,....,,,,0,0,0,0.0,0,0,0.0,0,*,2003-03-22,0.0
03LA00003,03,A3270,04,73,52N,Z0000,81,7.0,7,30,97,1,0,y,N,0328,87,2,0,,0.0,5,,,,00,80,0,87,27,,,VOLVULUS,,,,.,J,1,....,,1,1,2,0,0,0.0,0,0,0.0,0,*,2003-03-28,0.0
03LA00004,03,A3270,04,73,52N,Z0000,81,7.0,7,30,97,1,0,y,N,0328,87,2,0,,0.0,5,,,,00,80,0,87,27,,,,,,,.,J,2,....,,,,0,0,0,0.0,0,0,0.0,0,*,2003-03-28,0.0
03LA00005,03,A4762,04,73,52N,Z0000,81,5.5,5,30,97,2,0,y,N,0328,87,2,1,,0.0,5,,,,00,80,0,87,27,,,,,,,.,J,1,....,,1,1,2,0,0,0.0,0,0,0.0,0,*,2003-03-28,0.0
03LA00006,03,A4762,04,73,52N,Z0000,81,5.5,5,30,97,2,0,y,N,0328,87,2,1,,0.0,5,,,,00,80,0,87,27,,,,,,,.,J,2,....,,,,0,0,0,0.0,0,0,0.0,0,*,2003-03-28,0.0
03LA00007,03,A8336,04,81,-1-,A7977,04,2.0,2,30,30,1,0,y,X,0324,83,9,3,3,7.0,1,1,Z8567,81,00,30,6,83,27,,,,"IMM,WEAK",,,.,J,1,....,,1,1,3,1,0,0.0,0,0,0.0,0,5,2003-03-24,0.081
03LA00008,03,A8336,04,81,-1-,A7977,04,2.0,2,30,30,1,0,y,X,0324,83,9,3,2,5.5,1,1,Z8568,81,00,30,6,83,27,,,,"IMM,WEAK",,,.,J,2,....,,,,0,1,0,0.0,0,0,0.0,0,5,2003-03-24,0.081
03LA00009,03,A8283,04,81,51N,K0000,64,2.0,2,30,06,1,0,y,N,0325,84,0,3,3,6.0,1,1,,,00,33,0,84,27,,,,,,,.,J,1,....,,1,1,1,0,0,0.0,0,0,0.0,0,*,2003-03-25,0.0
03LA00010,03,A9026,04,84,e13,A8879,04,1.0,1,30,30,4,0,n,M,0327,86,8,3,2,5.5,1,1,H0401,05,88,30,6,91,67,Z8654,+,,"CHILLED,WEAK",,,.,J,1,....,,1,1,2,1,0,0.5,0,0,0.0,0,1,2003-03-27,0.054
03LA04363,03,91379,09,18,AI-,K0000,64,4.0,4,07,06,A,2,y,A,0802,214,8,4,2,11.5,1,1, 3229,30,00,04,7,288,10,,,,,,,G1B,J,2,....,,0,0,0,1,0,0.0,0,0,0.0,0,4,2003-08-02,0.0
03LA04364,03,91379,09,18,AI-,K0000,64,4.0,4,07,06,A,2,y,A,0802,214,8,4,2,11.8,1,1, 3228,30,00,04,,,,,,,,,,G1B,J,1,....,,1,1,2,1,1,1.0,92,1,61.0,288,4,2003-08-02,0.0
03LA04365,03,R0074,11,13,AI-,K0000,64,4.0,4,43,06,A,0,y,A,0802,214,5,2,3,13.4,1,1, 3230,30,00,04,7,288,10,,,"LUNGER,X",,,,G1A,J,1,....,,1,1,1,1,0,0.0,0,0,0.0,0,4,2003-08-02,0.0
03LA04366,03,R0961,11,10,AI-,K0000,64,4.0,4,07,06,A,0,y,A,0802,214,5,2,2,11.2,1,1, 3231,30,00,04,,,,,,,,,,G1A,J,1,....,,1,1,1,1,1,1.0,82,1,55.0,288,4,2003-08-02,0.0
03LA04367,03,00816,00,18,AI-,K0000,64,3.0,3,43,06,A,2,y,A,0802,214,5,3,2,12.2,2,1, 3232,30,00,04,,,,,,,BRN.FEET,,,G1B,J,1,....,,1,1,1,1,1,1.0,80,1,54.0,288,4,2003-08-02,0.0
03LA04368,03,S6838,10,11,AI-,K0000,64,7.0,7,07,06,A,0,y,A,0803,215,5,3,2,12.6,1,1, 3233,30,00,04,,,,,,,HAIRY,,,G1B,J,1,....,,1,1,1,1,1,1.0,95,1,63.0,288,4,2003-08-03,0.0
03LA04369,03,R1575,11,12,AI-,K0000,64,3.0,3,07,06,A,0,y,A,0804,216,5,3,3,15.1,1,1, 3234,30,00,04,,,,,,,,,,G1B,J,1,....,,1,1,1,1,1,1.0,115,1,75.0,288,4,2003-08-04,0.0
03LA04370,03,R1267,11,13,AI-,K0000,64,3.0,3,43,06,A,0,y,A,0805,217,5,3,3,14.3,1,1, 3236,30,00,04,6,232,10,,,,,,,G1B,J,1,....,,1,1,1,1,0,0.0,0,0,0.0,0,4,2003-08-05,0.0
03LA04371,03,R0757,11,12,AI-,K0000,64,4.0,4,07,06,A,0,y,A,0805,217,5,3,3,13.4,1,1, 3235,30,00,04,,,,,,,,,,G1B,J,1,....,,1,1,1,1,1,1.0,87,1,57.0,288,4,2003-08-05,0.0
03LA04372,03,S6148,10,11,AI-,K0000,64,8.0,8,07,06,A,0,y,A,0805,217,5,4,2,13.7,1,1, 3237,30,00,04,,,,,,,,,,G1B,J,1,....,,1,1,1,1,1,1.0,67,1,45.0,288,4,2003-08-05,0.0
