UID,YR,SEX,LAMB,LB1,LINE,PEN,DAM,DBRD,DB,INBL,DB1,ADAM,ABEWE,CLR,STM,SPEC,JAW,DAYBN,TB,TRT,DAYDIS,MILK,ABNE,DEAD,INBD,FONO,FOBR,FOPU,X1,DB2,LBRD,SIRE,SB1,SBRD,WNWT,LNDAM,TM,TRT2,X2,BRWT,ABNL,DISP,ABLMB,X3,CDNO,Y1,Y2,Y3,Y4,Y5,DATEBN
59LA00001,59,2,2303,0,69,198,1644,10,0,,1,8,,1,07,,1,102,7,,0,3,,,,8647,40,-,,0,10,4179,1,11,72,68,4,,,7.4,,,,&,1,1,1,2,1,10,1959-04-12
59LA00002,59,1,,0,69,198,1644,10,0,,1,8,,1,07,,1,102,7,,0,3,,,,2238,10,+,,0,10,4179,1,11,,68,4,,,11.0,,1,,,2,1,1,2,0,0,1959-04-12
59LA00003,59,2,2311,0,69,218,1647,10,0,,1,8,,1,07,,1,103,5,,0,4,,,,,,,,0,10,4650,1,11,75,68,4,,,9.6,,,,&,1,1,1,1,1,10,1959-04-13
59LA00004,59,1,2339,0,69,228,1650,10,0,,1,7,,1,07,,1,111,5,,0,3,,,,,,,,0,10,3843,2,14,82,68,4,,,13.2,2,,16,&,1,1,1,1,1,10,1959-04-21
59LA00005,59,2,2278,0,69,238,1653,10,0,,1,7,,1,07,,1,99,8,,0,4,,,,,,,,0,10,0120,1,91,79,68,4,,,11.2,,,,&,1,1,1,2,1,10,1959-04-09
59LA00006,59,2,2279,0,69,238,1653,10,0,,1,7,,1,07,,1,99,8,,0,4,,,,,,,,0,10,0120,1,91,77,68,4,,,10.4,,,,&,2,1,1,2,1,10,1959-04-09
59LA00007,59,1,2238,0,69,248,1655,10,0,,1,7,,1,07,,1,93,8,,0,3,,,,1644,10,-,,0,10,4073,1,11,94,68,4,,,10.0,,,,&,1,1,1,2,1,10,1959-04-03
59LA00008,59,1,2239,0,69,248,1655,10,0,,1,7,,1,07,,1,93,8,,0,3,,,,,,,,0,10,4073,1,11,104,68,4,,,12.0,,,,&,2,1,1,2,1,10,1959-04-03
59LA00009,59,1,2324,0,69,258,1666,10,0,,1,7,,1,07,,1,104,5,,0,2,,,,,,,,0,10,2805,2,14,100,68,4,,,12.4,,,,&,1,1,1,1,1,10,1959-04-14
59LA00010,59,2,2260,0,69,268,1673,10,0,,1,7,,1,07,,1,96,8,,0,3,,,,,,,,0,10,3829,2,14,74,68,4,,,10.0,1,,01,&,1,1,1,2,1,10,1959-04-06
59LA04037,59,2,2946,6,75,036,1796,67,7,,6,4,,1,06,,1,107,8,,0,4,,,,,,,,7,61,0262,6,61,90,73,9,,2,10.8,,,,&,2,1,1,2,1,10,1959-04-17
59LA04038,59,2,3139,6,75,046,1799,67,7,,6,4,,1,06,,1,112,5,,0,5,,,,,,,,7,61,0047,6,61,74,73,9,,2,10.2,,,,&,1,1,1,1,1,10,1959-04-22
59LA04039,59,2,3490,6,75,056,1805,67,7,,6,4,,1,06,,1,123,8,2,0,3,0,,,,,,,7,61,1938,6,61,70,73,9,,3,8.4,,,,&,1,1,1,2,1,10,1959-05-03
59LA04040,59,2,3491,6,75,056,1805,67,7,,6,4,,1,06,,1,123,8,2,0,3,0,,,,,,,7,61,1938,6,61,62,73,9,,3,10.0,,,,&,2,1,1,2,1,10,1959-05-03
59LA04041,59,1,3216,6,75,076,1806,67,7,,6,4,,1,06,,1,114,5,,0,4,,,,,,,,7,61,1618,6,61,102,73,9,,,9.4,,,,&,1,1,1,1,1,10,1959-04-24
59LA04042,59,2,3206,6,75,066,1808,67,7,,6,4,,1,06,,1,114,8,7,0,3,1,,,,,,,7,61,1752,6,61,84,73,9,,3,10.2,,,,&,1,1,1,2,1,10,1959-04-24
59LA04043,59,2,3207,6,75,066,1808,67,7,,6,4,,1,06,,1,114,8,7,230,3,1,,,2092,48,-,,7,61,1752,6,61,,73,9,,,9.0,,7,,&,2,1,1,2,1,0,1959-04-24
59LA04044,59,1,2814,6,75,096,1809,67,7,,6,4,,4,06,,1,104,5,,0,4,,,,,,,,7,61,1483,6,61,119,73,9,,,13.0,,,,&,1,1,1,1,1,10,1959-04-14
59LA04045,59,2,3208,6,75,086,1814,67,7,,6,4,,1,06,,1,114,8,5,230,3,1,,,9598,40,-,,7,61,1408,6,61,,73,9,,,7.6,,7,,&,1,1,1,2,1,0,1959-04-24
59LA04046,59,1,3209,6,75,086,1814,67,7,,6,4,,1,06,,2,114,8,5,0,3,1,,,,,,,7,61,1408,6,61,89,73,9,,,8.2,,,,&,2,1,1,2,1,10,1959-04-24
