UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,STMD,STMS,DNA_D,DNA_S,BGRP,RGRP,CUT,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,TIME,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,INBRL
99LA00001,99,A1099,04,ch,-0-,00000,00,5.0,30,00,,,1,2,n,.,0208,39,9,2,3,9.0,1,1,Z5340,81,00,00,,0,,,,,,,,,M,2,0000,3,0,0,0,1,1,1.0,69,1,89,181,1,1999-02-08,0.0
99LA00002,99,A1099,04,ch,-0-,00000,00,5.0,30,00,,,1,2,n,.,0208,39,9,2,2,8.0,1,1,Z5341,81,00,00,6,46,23,A1280,-,,,,,,M,3,0000,3,0,0,0,1,0,0.0,0,0,0,0,,1999-02-08,0.0
99LA00003,99,A1099,04,ch,-0-,00000,00,5.0,30,00,,,1,2,n,.,0208,39,9,2,2,9.0,1,1,Z5339,81,00,00,,0,,,,,,,,,M,1,0000,3,1,1,3,1,1,1.0,74,1,97,181,1,1999-02-08,0.0
99LA00004,99,A1078,04,ch,57,00000,00,5.0,31,00,NN,,1,2,y,.,0207,38,8,2,3,9.5,1,1,Z5354,81,00,00,,0,,,,,,,,,M,2,0000,3,0,0,0,1,1,1.0,66,1,83,181,1,1999-02-07,0.0
99LA00005,99,A1078,04,ch,57,00000,00,5.0,31,00,NN,,1,2,y,.,0207,38,8,2,2,9.5,1,1,Z5353,81,00,00,,0,,,,,,,,,M,1,0000,3,1,1,2,1,1,1.0,68,1,84,181,1,1999-02-07,0.0
99LA00006,99,A1315,04,ch,55,00000,00,5.0,31,00,NN,,1,2,y,.,0209,40,8,2,3,9.5,1,1,Z5367,81,00,00,,0,,,,,,,,,M,1,0000,3,1,1,2,1,1,1.0,72,1,92,181,1,1999-02-09,0.0
99LA00007,99,A1315,04,ch,55,00000,00,5.0,31,00,NN,,1,2,y,.,0209,40,8,2,2,9.5,1,1,Z5368,81,00,00,,0,,,,,,,,,M,2,0000,3,0,0,0,1,1,1.0,62,1,76,181,1,1999-02-09,0.0
99LA00008,99,A1229,04,ch,-0-,00000,00,5.0,30,00,,,1,2,n,.,0202,33,8,2,3,9.0,1,1,,,00,00,6,33,14,,,,FROZE,,,,M,2,0000,3,0,0,0,1,0,0.0,0,,0,0,,1999-02-02,0.0
99LA00009,99,A1229,04,ch,-0-,00000,00,5.0,30,00,,,1,2,n,.,0202,33,8,2,2,9.5,1,1,Z5355,81,00,00,6,190,04,,9,DEAD 2/25,RUNT@M.L.,,,,M,1,0000,3,1,1,2,1,1,1.0,44,1,49,181,1,1999-02-02,0.0
99LA00010,99,A1280,04,ch,-0-,00000,00,5.0,30,00,,,1,2,n,.,0209,40,5,2,2,10.0,1,1,,,00,00,6,40,14,Z5341,+,,FROZE,,,,M,1,0000,3,1,1,1,1,0,0.0,0,,0,0,,1999-02-09,0.0
99LA06273,99,T6576,44,42,e.P,A0000,04,1.0,02,30,,,5,2,y,C,,,,,,0.0,,,,,00,32,,0,,,,,,,,PUB,,1,,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
99LA06274,99,T6686,44,41,e.P,A0000,04,1.0,02,30,,,5,2,y,M,,,,,,0.0,,,,,00,32,,0,,,,,,,,PUB,,1,,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
99LA06275,99,T6813,44,42,e.P,A0000,04,1.0,02,30,,,5,2,y,C,,,,,,0.0,,,,,00,32,,0,,,,,,,,PUB,,1,,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
99LA06276,99,T6680,44,42,e.P,A0000,04,1.0,02,30,,,5,2,y,C,,,,,,0.0,,,,,00,32,,0,,,,,,,,PUB,,1,,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
99LA06277,99,T6801,44,41,e.P,A0000,04,1.0,02,30,,,5,2,y,M,,,,,,0.0,,,,,00,32,,0,,,,,,,,PUB,,1,,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
99LA06278,99,T6544,44,41,e.P,A0000,04,1.0,02,30,,,5,2,y,M,,,,,,0.0,,,,,00,32,,0,,,,,,,,PUB,,1,,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
99LA06279,99,T6771,44,41,e.P,A0000,04,1.0,02,30,,,5,2,y,M,,,,,,0.0,,,,,00,32,,0,,,,,,,,PUB,,1,,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
99LA06280,99,T6838,44,41,e.P,A0000,04,1.0,02,30,,,5,2,y,M,,,,,,0.0,,,,,00,32,,0,,,,,,,,PUB,,1,,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
99LA06281,99,T6937,44,41,e.P,A0000,04,1.0,02,30,,,5,2,y,M,,,,,,0.0,,,,,00,32,,0,,,,,,,,PUB,,1,,1,1,0,0,0,0,0.0,0,,0,0,,,0.0
99LA06282,99,A1704,04,73,L43,00000,97,4.5,30,97,,,3,7,n,,0609,160,8,,2,0.0,5,,91492,09,00,80,,0,,,,,FOUND 7/20/99,,,LIM,,2,,2,0,0,0,1,1,1.0,91,1,41,201,3,1999-06-09,0.0
