UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,F,H,JAW,RGRP,LOT,BPEN,LRMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,AADG,AWNWT,IDX,MENB,MELW,CUWT
92WN00001, 92635825,92,K5825,63,3,68,06,C-7,7,2,1,2.0,2,2,1,83,217,134,13,8.3,74,95,0.647,86,1,,,1,,,,,5032,63,K4953,63,68,3,93,283,3,2,0.612,83.4,100,1.9,89.2,107
92WN00002, 92635827,92,K5827,63,3,68,06,C12,8,2,1,2.0,2,2,1,86,217,131,21,7.8,78,98,0.689,90,1,,,1,,,,HAIRY,4525,63,K4923,63,68,3,93,283,3,2,0.662,88.8,109,1.73,107.0,113
92WN00003, 92635828,92,K5828,63,1,68,06,C13,8,2,2,4.0,4,4,1,86,217,131,14,8.9,66,79,0.535,73,1,,,3,,,,,4855,63,K3122,63,61,3,93,252,5,5,0.544,73.3,95,1.92,110.3,87
92WN00004, 92635829,92,K5829,63,2,68,06,C13,8,2,2,4.0,4,4,1,86,217,131,19,8.2,52,68,0.456,63,1,,,1,,,,,4855,63,K3122,63,61,2,92,268,5,5,0.5,67.5,95,1.92,110.3,76
92WN00005, 92635830,92,K5830,63,2,68,06,C11,8,2,2,6.0,6,5,1,87,217,130,8,9.7,64,81,0.548,76,1,,,1,,,c.1,,4422,63,K1884,63,60,1,,,5,5,0.591,80.8,112,1.99,129.0,97
92WN00006, 92635831,92,K5831,63,1,68,06,C11,8,2,2,6.0,6,5,1,87,217,130,2,10.1,61,80,0.538,75,1,,,1,,,,,4422,63,K1884,63,60,1,,,5,5,0.546,74.6,100,1.99,129.0,95
92WN00007, 92635832,92,K5832,63,1,68,06,C-4,8,2,2,6.0,6,5,1,87,217,130,16,12.3,69,87,0.575,81,1,,,1,,,,,3884,63,K1848,63,61,1,,,5,5,0.591,82.5,102,1.49,96.6,104
92WN00008, 92635833,92,K5833,63,1,68,06,C-4,8,2,2,6.0,6,5,1,87,217,130,14,11.6,65,83,0.549,78,1,,,1,,,,,3884,63,K1848,63,61,3,93,328,5,5,0.564,78.4,98,1.49,96.6,99
92WN00009, 92635834,92,K5834,63,2,68,06,C12,8,2,2,2.0,2,2,1,87,217,130,11,8.0,56,71,0.485,66,1,,,1,,,,4TEATS,4525,63,K4536,63,68,2,92,268,5,5,0.553,74.4,104,1.73,120.6,83
92WN00010, 92635835,92,K5835,63,2,68,06,C12,8,2,2,2.0,2,2,1,87,217,130,11,8.3,63,79,0.544,74,1,,,1,,,c.2,4TEATS,4525,63,K4536,63,68,1,,,5,5,0.612,82.4,108,1.73,120.6,98
92WN04055, 92812254,92,Z2254,81,2,00,80,P22,8,2,2,4.0,4,4,2,131,219,88,21,12.7,44,60,0.538,77,5,,,1,,,,,0000,97,L2046,03,82,Z,93,262,5,5,0.641,86.0,0,1.87,123.2,80
92WN04056, 92812255,92,Z2255,81,2,00,20,T10,8,2,1,4.0,4,4,2,132,219,87,9,12.6,48,66,0.614,86,5,,,1,,,,,0000,97,T0074,44,48,Z,93,262,3,2,0.555,76.0,0,1.37,79.1,77
92WN04057, 92812257,92,Z2257,81,2,00,80,P11,5,1,1,7.0,7,5,2,132,219,87,20,9.5,46,73,0.73,97,5,,,1,,,,,0000,97,Y7866,02,81,Z,93,262,1,1,0.653,81.2,0,2.28,133.8,88
92WN04058, 92812258,92,Z2258,81,3,00,80,P11,8,2,2,2.0,2,2,2,132,219,87,9,11.0,31,51,0.46,66,5,,,1,,,,,0000,97,L5743,03,81,3,93,283,5,5,0.546,75.5,0,2.15,97.1,68
92WN04059, 92812259,92,Z2259,81,3,00,80,P11,8,2,2,2.0,2,2,2,132,224,92,23,10.6,35,58,0.515,72,5,,,1,,,,,0000,97,L5743,03,81,3,93,283,5,5,0.62,82.3,0,2.15,97.1,72
92WN04060, 92812260,92,Z2260,81,2,00,20,T-8,8,2,2,3.0,3,3,2,132,219,87,21,14.0,36,56,0.483,72,5,,,1,,,,,0000,97,T0876,44,40,3,93,283,5,5,0.576,81.8,0,1.4,89.5,71
92WN04061, 92812261,92,Z2261,81,3,00,20,T-8,8,2,2,3.0,3,3,2,132,219,87,4,14.1,36,55,0.47,71,5,,,1,,,,,0000,97,T0876,44,40,3,93,283,5,5,0.502,73.7,0,1.4,89.5,74
92WN04062, 92812262,92,Z2262,81,3,00,30,C13,8,2,2,5.0,5,4,2,132,219,87,22,13.2,34,44,0.354,56,5,,,1,,,,,0000,97,K2639,63,63,3,93,283,5,4,0.413,64.2,0,1.71,108.7,51
92WN04063, 92812263,92,Z2263,81,3,00,30,C13,8,2,2,5.0,5,4,2,132,219,87,8,10.9,45,72,0.702,95,5,,,1,,,,WEAKER OF2,0000,97,K2639,63,63,3,93,283,5,6,0.759,94.9,0,1.71,108.7,92
92WN04064, 92812264,92,Z2264,81,2,00,10,R-2,5,1,1,6.0,6,5,H,141,223,82,9,9.5,21,51,0.506,70,5,,,1,7,31B,,BORN IN 31B!!,0000,97,S7498,19,12,3,93,283,1,1,0.434,61.5,0,1.47,74.3,61
