UID,ID10,ETAG,BRD,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,ELG,ELGI,ELGC,RC,NOBN,LBWN,PD,LOT,BAND,SPRGWT,FALLWT,BAG,VACC,BLED,GROUP,DISP,DAYDIS,TRT,BPEN,COND,LAP,BGRP,ADAM,RMK,YRREC
89IN00001,1986030001,L0001,03,86,2,72,2,30,724,765602,337502,6,,1,,,, 1,  0,1,,5,146,0,,,,,,,,,,,F,25,,1989
89IN00002,1988440004,T0004,44,88,2,40,1,02,401,780343,499443,,,,,,, 0,  0,1,,5,112,151,1,A,,,,,,T.7,3,,2,10,,1989
89IN00003,1988440005,T0005,44,88,1,40,1,02,401,780343,499443,,,,,,,,,3,,Y,123,179,,,,,,,,,,,,10,JAW5,1989
89IN00004,1986030007,L0007,03,86,2,75,2,30,733,761202,675501,7,,1,,,, 2,179,1,,2,145,162,3,A,,,,,,74,3,,2,25,,1989
89IN00005,1988440007,T0007,44,88,2,48,1,02,  3,788943,872743,,,,,,, 0,  0,1,,3,107,148,1,B,,,,,,T.4,3,,2,10,,1989
89IN00006,1986030009,L0009,03,86,2,72,2,30,724,765602,606302,6,,1,,,, 1,  0,1,,5,159,0,,,,,,,,,,,F,25,,1989
89IN00007,1988440011,T0011,44,88,2,42,1,02,902,829843,826243,,,,,,, 1,103,1,,3,113,137,2,A,,,,,,832,3,3,1,10,4TEAT.CHOKER,1989
89IN00008,1988440015,T0015,44,88,2,41,1,02,412,853843,651843,,,,,,,,,1,,*,0,0,,,,,33,0315,,,,,,10,,1989
89IN00009,1988440016,T0016,44,88,2,43,1,02,  5,861743,884743,6,,,,,, 0,  0,1,,5,116,125,1,A,,,,,,T.5,3,,2,10,,1989
89IN00010,1988440018,T0018,44,88,2,42,1,02,912,816143,638043,,,,,,, 1, 83,1,,3,148,147,1,A,,,,,,812,3,3,1,10,,1989
89IN00011,         0,M0022,97,84,1,97,1,97,,,,,,,,,,,,1,,B,290,308,,,,,02,1117,,,,,,50,5 JAW,1989
89IN00012,1986030024,L0024,03,86,2,75,2,30,732,740202,413002,7,,1,,,, 2,159,1,,2,141,157,2,C,,,,,,41,2,,2,25,,1989
89IN00013,1986030027,L0027,03,86,2,73,2,30,731,740102,390202,7,,1,,,, 2,147,1,,1,139,161,3,B,,,,,,73,3,,2,25,HARD BAG,1989
89IN00014,1988440028,T0028,44,88,2,41,1,02,411,866643,744943,,,,,,, 1, 80,1,,1,122,133,2,B,,,,,,T.1,3,,2,10,,1989
89IN00015,1988440029,T0029,44,88,1,40,1,02,404,829543,713643,7,,,,,,,,2,,Y,126,177,,,,,92,0921,,,,,,10,,1989
89IN00016,1986030033,L0033,03,86,1,75,2,30,738,765902,807101,2,,1,,,,,,3,,*,0,0,,,,A,,,,,,,,25,ANN'S RAMS,1989
89IN00017,1988440035,T0035,44,88,2,41,1,02,  1,703243,903143,,,,,,, 0,  0,1,,5,107,147,1,A,,,,,,411,3,1,1,10,,1989
89IN00018,1988440036,T0036,44,88,2,40,1,02,  7,874843,930843,,,,,,, 0,  0,1,,3,111,137,1,A,,,,,,T.8,3,,2,10,,1989
89IN00019,1988440038,T0038,44,88,1,42,1,02,842,805343,753943,,,,,,,,,3,,Y,109,158,,,,,93,0807,,,,,,10,,1989
89IN00020,1986030039,L0039,03,86,2,72,2,30,722,765502,454102,6,,1,,,, 0,  0,1,,5,145,0,,,,,,,,,,,F,25,ABS.LR LEG,1989
89IN00021,1988440041,T0041,44,88,1,42,1,02,832,796643,453443,,,,,,,,,2,,Y,124,171,,,,,92,0921,,,,,,10,,1989
89IN00022,1982630041,K0041,63,82,2,60,1,06,603,902362,676262,,,,,,, 2,176,3,MKT,4,158,177,4,,,,93,0917,,,,,,70,X,1989
89IN00023,1988440045,T0045,44,88,1,41,1,02,414,855743,828543,,,,,,,,,3,,Y,147,199,,,,,,,,,,,,10,ENTROPION,1989
89IN00024,1982630048,K0048,63,82,2,63,1,06,631,894862,808662,7,,,1,,1, 1, 95,2,087,1,175,185,2,,,,92,0921,,,,,,70,,1989
89IN00025,1986030050,L0050,03,86,2,73,2,30,738,765902,182502,7,,1,,,, 2,166,1,,1,162,184,2,A,,,,,,54,3,,2,25,,1989
89IN00026,1982630050,K0050,63,82,2,61,1,06,611,962862,824462,,,,0,,0, 3,176,2,091,2,155,176,3,,,,92,0921,,,,,,70,,1989
89IN00027,1988440051,T0051,44,88,2,40,1,02,402,850243,700943,,,,,,, 0,  0,1,,5,108,152,1,A,,,,,,T.9,4,,2,10,,1989
89IN00028,1982630051,K0051,63,82,2,61,1,06,611,962862,824462,,,,,,, 2, 92,2,,1,160,0,,,,,97,0913,,,,,,70,,1989
89IN00029,1988440054,T0054,44,88,2,40,1,02,402,850243,664543,,,,,,, 0,  0,1,,5,107,147,1,B,,,,,,T.6,4,,2,10,,1989
89IN00030,1986030056,L0056,03,86,2,75,2,30,735,771002,890601,7,,1,,,, 2,156,1,,3,113,127,1,A,,,,,,51,2,,2,25,,1989
89IN00031,1988440057,T0057,44,88,2,40,1,02,401,780343,656243,6,,,,,, 0,  0,1,,5,141,154,1,,,,,,,JNS,,,F,10,,1989
89IN00032,1988440058,T0058,44,88,1,40,1,02,401,780343,656243,7,,,,,,,,3,,Y,120,177,,,,,93,0807,,,,,,10,CULL,1989
89IN00033,1988440061,T0061,44,88,2,40,1,02,404,829543,789443,,,,,,, 1, 87,1,,3,131,156,2,A,,,,,,T.1,2,,2,10,,1989
89IN00034,1988440068,T0068,44,88,2,40,1,02,403,788843,660443,,,,,,, 0,  0,1,,5,114,153,1,A,,,,,,T.2,3,,2,10,,1989
89IN00035,1982630069,K0069,63,82,2,60,1,06,601,928062,875462,,,,0,,0, 2,157,2,091,1,167,193,2,,,,92,0921,,,,,,70,LUPINE9/16,1989
89IN00036,1988440071,T0071,44,88,2,40,1,02,401,780343,701343,,,,0,,0, 0,  0,2,095,5,103,142,1,,,,92,0921,,,,,,10,,1989
89IN00037,1988440072,T0072,44,88,2,42,1,02,952,784443,519243,,,,,,, 1, 84,1,,4,128,153,2,A,,,,,,812,3,1,1,10,,1989
89IN00038,1988440074,T0074,44,88,2,43,1,02,433,883243,742343,6,,,,,, 0,  0,1,,5,100,131,1,B,,,,,,T.4,3,,2,10,,1989
89IN00039,1988440082,T0082,44,88,1,41,1,02,412,853843,821043,,,,,,,,,2,,Y,138,200,,,,,92,0921,,,,,,10,,1989
89IN00040,1982630082,K0082,63,82,2,63,1,06,631,894862,562362,7,,,,,, 2,175,3,PHY,1,196,197,4,,,,,,,JIM,,,,70,BADFEET,1989
89IN00041,1988440084,T0084,44,88,2,41,1,02,414,855743,795943,,,,,,, 1,  0,1,,3,129,156,1,B,,,,,,T.2,3,,2,10,,1989
89IN00042,1988440085,T0085,44,88,2,41,1,02,413,865143,566643,,,,,,, 0,  0,1,,5,106,149,1,A,,,,,,411,4,3,1,10,,1989
89IN00043,1982630085,K0085,63,82,2,61,1,06,613,959362,747762,7,,,,,, 2, 92,3,MKT,2,162,176,9,,,,93,0917,,,,,,70,XBAG,1989
89IN00044,1988440086,T0086,44,88,2,40,1,02,403,788843,501343,,,,,,, 1, 93,1,,3,107,130,2,B,,,,,,T.7,3,,2,10,,1989
89IN00045,1988440088,T0088,44,88,2,41,1,02,412,853843,797943,,,,,,, 0,  0,1,,5,123,166,1,B,,,,,,T.3,3,,2,10,,1989
89IN00046,1988440093,T0093,44,88,2,41,1,02,414,855743,642543,,,,,,, 0,  0,1,,5,93,128,1,A,,,,,,411,3,1,1,10,,1989
