UID,ID10,YR,SEX,ETAG,RMK,LINE,PEN,PAD1,SEA,PD,RGRP,ELG,ELGI,ELGC,TBR,ADAM,PAD2,BPEN,PAD3,BRAND,SYNC,BAG,SPRGWT,FALLWT,DISP,MISC,STM,LOT,BRD,DAYDIS,REG,SIRE,BAND,IDX,DAM,CAUSE,TRT,YRREC
80IN00001,1975013673,75,2,P3673,,49,05,,1,,,0,,,,50,,491,, 6,, 2,155,161,,,01,,01,,,149004,2,,167201,,,1980
80IN00002,1976014935,76,2,P4935,,76, 03,,1,,,0,,,,40,,008,,,, 2,156,172,,189,01,,01,,,320204,8,,215801,,1,1980
80IN00003,1977016025,77,2,P6025,,49, 13,,1,,,0,,,,30,,493,, 8,, 2,132,131,,,01,,01,,,472404,2,,271201,,,1980
80IN00004,1971010715,71,2,P0715,,,17,,1,,3,0,,,,90,,,,,3,,155,0,3,,02,,01,1201,,000904,K,,063904,93,,1980
80IN00005,1971011218,71,2,P1218,,,05,,2,,3,0,,,,85,,,,,1,,0,0,6,,02,,01,0307,,000004,*,,000704,01,,1980
80IN00006,1972011405,72,2,P1405,,49,17,,1,,,0,,,,80,,492,, 7,, 4,140,129,,,02,,01,,,014804,2,,009404,,,1980
80IN00007,1972011421,72,2,P1421,,49,17,,1,,,0,,,,80,,492,, 7,, 3,172,168,,,02,,01,,,014804,3,,103604,,,1980
80IN00008,1972011448,72,2,P1448,,49,16,,1,,,0,,,,80,,493,, 8,, 4,166,158,,,02,,01,,,011504,3,,327104,,,1980
80IN00009,1972011523,72,2,P1523,,49,15,,1,,,0,,,,80,,491,, 6,, 3,157,154,,,02,,01,,,009104,6,,104504,,,1980
80IN00010,1972011527,72,2,P1527,,49,15,,1,,,0,,,,80,,,,,,,173,0,6,,02,,01,0825,,009104,3,,326104,11,,1980
80IN00011,1972011571,72,2,P1571,,49,16,,1,,,0,,,,80,,,,,,,0,0,6,,02,,01,0403,,011504,*,,080104,09,,1980
80IN00012,1972011576,72,2,P1576,,49,17,,1,,,0,,,,80,,,,,,,142,0,6,,02,,01,0722,,014804,3,,080304,04,,1980
80IN00013,1972011696,72,2,P1696,,49,17,,1,2,,0,,,,80,,202,,,, 2,138,152,2,,02,,01,0918,,014804,2,,329804,92,,1980
