UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,TRT1,TRT2,REG,TYPE,INBR,TBR,ADAM,DINBR,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,C78,C79,C80,YRREC,AGE
64IN00001,1956101952,56,2,U1952,0,41,601,,,,,,,9,,5,1,,100,09,,143,172,3,,089,058,10,1001,108,2,415011,2,,,,,,1964,8.0
64IN00002,1957102053,57,2,U2053,0,41,561,,,,,00,,8,,5,1,545,108,09,,150,164,,,080,059,10,,110,2,440911,1,,,,,,1964,7.0
64IN00003,1962102612,62,3,U2612,0,,,,,,,,,3,,,,,,,,,,,,,,10,,090,2,,,,,,,,1964,2.0
64IN00004,1962910137,62,1,00137,1,,,,,,,,,3,,,,,,,,178,221,3,,,,91,0810,,,,,,,,,,1964,2.0
64IN00005,1964910138,64,1,00138,1,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,1964,0.0
64IN00006,1963910139,63,1,00139,1,,,,,,,,,2,,,,,,,,,,,,,,91,,,,,,,,,,,1964,1.0
64IN00007,1954114199,54,2,R4199,1,23,230,,,,,22,,-,,1,4,230,079,15,,130,147,,,060, 27,11,,074,2,371511,2,,,,,,1964,10.0
64IN00008,1954114227,54,2,R4227,1,20,200,,,,,18,,-,,1,3,200,076,15,,130,142,,,073, 39,11,,083,2,345711,2,,,,,,1964,10.0
64IN00009,1954114294,54,2,R4294,1,27,270,,,,,26,,-,,1,3,270,081,13,,136,137,,,084, 46,11,,123,2,352011,8,,,,,,1964,10.0
64IN00010,1954114303,54,2,R4303,1,19,190,,,,,23,,-,,1,3,,080,15,,,,7,,077, 33,11,0525,077,2,376111,,,,,,,1964,10.0
64IN00011,1954114335,54,2,R4335,1,21,210,,,,,25,,-,,1,3,210,073,15,,97,117,,,079, 44,11,,108,2,384111,8,,,,,,1964,10.0
64IN00012,1954114340,54,2,R4340,1,24,240,,,,,22,,-,,1,1,241,073,16,,126,139,6,,076, 42,11,1101,106,2,344611,2,,,,,,1964,10.0
64IN00013,1954114361,54,2,R4361,1,21,210,,,,,26,,-,,1,3,364,060,16,,103,120,,,071, 28,11,,077,2,384111,2,,,,,,1964,10.0
64IN00014,1955114389,55,2,R4389,1,19,190,,,,,23,,0,,1,4,190,091,11,,128,154,,,087,051,11,,099,2,397511,2,,,,,,1964,9.0
64IN00015,1955114399,55,2,R4399,1,21,210,,,,,28,,0,,1,4,344,083,09,,128,134,,,099,048,11,,113,3,386511,8,,,,,,1964,9.0
64IN00016,1955114471,55,2,R4471,1,21,210,,,,,36,,0,,1,4,211,081,13,,128,140,,,085,036,11,,083,2,386511,2,,,,,,1964,9.0
64IN00017,1955114514,55,2,R4514,1,20,200,,,,,37,,0,,1,4,244,078,15,,123,118,,,074,043,11,,091,2,330211,2,,,,,,1964,9.0
64IN00018,1955114577,55,2,R4577,1,20,200,,,,,20,,0,,1,4,264,106,10,,170,189,,,076,059,11,,119,2,330211,2,,,,,,1964,9.0
64IN00019,1955114600,55,2,R4600,1,20,200,,,,,21,,0,,1,4,,091,10,,,,7,,079,054,11,0525,112,2,330211,,,,,,,1964,9.0
64IN00020,1956114617,56,2,R4617,1,27,270,,,,,37,,9,,1,3,464,081,11,,144,150,,,078,031,11,,058,1,378911,2,,,,,,1964,8.0
64IN00021,1956114693,56,2,R4693,1,27,270,,,,,36,,9,,1,3,195,084,11,,125,135,,,073,044,11,,085,1,378911,2,,,,,,1964,8.0
64IN00022,1956114695,56,2,R4695,1,27,270,,,,,35,,9,,1,3,255,082,15,,133,122,,,077,029,11,,061,1,378911,5,,,,,,1964,8.0
64IN00023,1956114697,56,2,R4697,1,27,270,,,,,37,,9,,1,3,271,077,11,,128,140,,,079,031,11,,068,1,378911,2,,,,,,1964,8.0
64IN00024,1956114713,56,2,R4713,1,19,190,,,,,26,,9,,1,1,254,090,13,,125,149,,,075,032,11,,065,1,417911,2,,,,,,1964,8.0
64IN00025,1956114715,56,2,R4715,1,32,321,,,,,25,,9,,1,1,320,090,12,,140,161,,,072,032,11,,071,1,749111,1,,,,,,1964,8.0
64IN00026,1956114752,56,2,R4752,1,20,200,,,,,23,,9,,1,3,404,096,10,,143,181,,,090,051,11,,111,2,330211,8,,,,,,1964,8.0
64IN00027,1956114756,56,2,R4756,1,20,200,,,,,21,,9,,1,1,201,069,09,,120,134,,,082,046,11,,081,2,330211,2,,,,,,1964,8.0
64IN00028,1956114777,56,2,R4777,1,24,240,,,,,28,,9,,1,1,265,078,09,,128,134,,,076,039,11,,076,1,411011,2,,,,,,1964,8.0
64IN00029,1956114787,56,2,R4787,1,23,230,,,,,18,,9,,1,3,294,081,13,,141,153,,,082,034,11,,080,1,416911,2,,,,,,1964,8.0
64IN00030,1956114800,56,2,R4800,1,27,270,,,,,30,,9,,1,3,465,093,14,,147,152,,,078,041,11,,085,2,378911,2,,,,,,1964,8.0
64IN00031,1957114836,57,2,R4836,1,34,341,,,,,34,,8,,1,4,340,098,09,,145,162,,,078,047,11,,103,2,445811,1,,,,,,1964,7.0
64IN00032,1957114881,57,2,R4881,1,41,230,,,,,19,,8,,1,2,445,107,12,,153,170,,,076,049,11,,092,2,416911,2,,,,,,1964,7.0
64IN00033,1957114886,57,2,R4886,1,20,200,,,,,32,,8,,1,2,245,073,10,,118,129,,,081,041,11,,082,2,415011,1,,,,,,1964,7.0
64IN00034,1957114895,57,2,R4895,1,21,210,,,,,39,,8,,1,4,365,071,10,,111,116,,,075,036,11,,085,2,432811,2,,,,,,1964,7.0
64IN00035,1957114914,57,2,R4914,1,23,230,,,,,20,,8,,1,3,324,096,14,,140,157,,,073,047,11,,098,2,416911,2,,,,,,1964,7.0
64IN00036,1957114928,57,2,R4928,1,20,200,,,,,27,,8,,1,3,265,086,10,,133,134,,,074,043,11,,089,2,415011,2,,,,,,1964,7.0
64IN00037,1957114932,57,2,R4932,1,34,341,,,,,42,,8,,1,3,215,089,09,,128,150,,,077,040,11,,080,1,445811,2,,,,,,1964,7.0
64IN00038,1957114967,57,2,R4967,1,32,321,,,,,23,,8,,1,1,534,102,09,,136,152,6,,080,043,11,1026,090,2,465411,1,,,,,,1964,7.0
