UID,ID10,YR,SEX,ETAG,C8,LINE,PEN,C14,SEA,PD,RGRP,ELG,INBR,TBR,ADAM,STM,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,CAUSE,XVET,YRREC
74IN00001,19    lick,,2,Slick,?,,,,,,,,,,,00,,,,150,, 1,150,152,3,,,,,0930,,,,,,,93,,1974
74IN00002,19    0001,,2,00001,?,,,,,,3,,,,,00,,,,,,,140,,3,,,,,0701,,,,,,,93,,1974
74IN00003,19    0002,,2,00002,?,,,,,,3,,,,,00,,,,,,,154,,3,,,,,0826,,,,,,,93,,1974
74IN00004,19    0007,,2,00007,?,,,,,,3,,,,,00,,,,,,,161,,3,,,,,0826,,,,,,,93,,1974
74IN00005,19    0008,,2,00008,?,,,,,,3,,,,,00,,,,,,,130,,3,,,,,0826,,,,,,,93,,1974
74IN00006,19    0009,,2,00009,?,,,,,,3,,,,,00,,,,,,,130,,3,,,,,0701,,,,,,,93,,1974
74IN00007,1969310001,69,2,10001,1,,11,,1,,,,,,5,07,,, 52,,,,124,163,2,,,,31,0926,,,,8,,,92,,1974
74IN00008,1969310024,69,2,10024,1,,11,,1,,,,,,5,07,,, 43,,, 2,154,180,2,,,,31,0926,,,,,,,92,,1974
74IN00009,1969310029,69,2,10029,1,,11,,1,,,,,,5,07,,, 41,,, 2,122,129,2,,,,31,0926,,,,,,,92,,1974
74IN00010,1969310034,69,2,10034,1,,11,,,,3,,,,,07,,,,,,,151,,3,,,,31,0826,,,,,,,93,,1974
74IN00011,1969310073,69,2,10073,1,,12,,1,,,,60,,5,07,,,33,,,,131,149,,,,,31,,,,,,,,,,1974
74IN00012,1969310082,69,2,10082,1,,12,,1,,,,,,5,07,,, 42,,, 3,141,156,2,,,,31,0926,,,,,,,92,,1974
74IN00013,1969310095,69,2,10095,1,,10,,2,,,,,,5,07,,, 42,,, 3,136,153,2,,,,31,0926,,,,1,,,92,,1974
74IN00014,1969310096,69,2,10096,1,,10,,2,,,,55,,5,07,,,05,,, 2,141,146,,,,,31,,,,,1,,,,,1974
74IN00015,1969310124,69,2,10124,1,,10,,2,,,,,,5,07,,, 42,,, 2,137,154,2,,,,31,0926,,,,,,,92,,1974
74IN00016,1969310127,69,2,10127,1,,10,,2,,,,55,,5,07,,,33,,,,117,160,,,,,31,,,,,,,,,,1974
74IN00017,1969310133,69,2,10133,1,,10,,,,3,,,,,07,,,,,,,135,,3,,,,31,0708,,,,,,,93,,1974
74IN00018,1969310137,69,2,10137,1,,10,,2,,,,,,5,07,,,,,,,117,,3,,,,31,0826,,,,8,,,93,,1974
74IN00019,1970310229,70,2,10229,1,,,,1,,,,,,,07,,, 46,150,, 2,150,160,2,,,,31,0926,,,,,,,92,,1974
74IN00020,1970310278,70,2,10278,1,,13,,1,,,,,,4,07,,, 40,,, 1,146,156,2,,,,31,0926,,,,,,,92,,1974
74IN00021,1970310296,70,2,10296,1,,02,,2,,,,,,4,07,,, 40,,, 2,124,147,2,,,,31,0926,,,,,,,92,,1974
74IN00022,1970310326,70,2,10326,1,,,,2,,,,,,,07,,, 43,140,, 3,140,156,2,,,,31,0926,,,,,,,92,,1974
74IN00023,1970310332,70,2,10332,1,,01,,2,,,,45,,4,07,,,05,,,,157,203,,,,,31,,,,,,,,,,1974
74IN00024,1970310339,70,2,10339,1,,01,,2,,,,,,4,07,,,,,,,,,6,,,,31,0329,,,,,,,15,,1974
74IN00025,1970310343,70,2,10343,1,,,,2,,,,,,4,07,,,,,,,,,7,,,,31,0601,,,,,,,97,,1974
74IN00026,1971010852,71,2,P0852,1,,31,,1,,,,,,3,07,,, 38,,,,116,143,2,,,,01,0926,,,003701,,,379901,92,,1974
74IN00027,1971010946,71,2,P0946,1,,11,,1,,,,,,3,07,,,,,,,105,143,,,,,01,,,,017601,,,399601,,,1974
74IN00028,1971011099,71,2,P1099,1,,31,,1,,,,,,3,07,,, 37,,,,114,130,2,,,,01,0926,,,003701,,,385401,92,,1974
74IN00029,1971011103,71,2,P1103,1,,31,,1,,,,,,3,07,,, 38,,, 3,137,152,2,,,,01,0926,,,003701,,,316801,92,,1974
74IN00030,1971011107,71,2,P1107,1,,31,,1,,,,,,3,07,,, 38,,,,116,140,2,,,,01,0926,,,003701,,,267401,92,,1974
74IN00031,1971011112,71,2,P1112,1,,31,,1,,,,,,3,07,,, 36,,,,100,121,2,,,,01,0926,,,003701,,,422301,92,,1974
74IN00032,1971011113,71,2,P1113,1,,31,,1,,,,,,3,07,,, 37,,,,104,126,2,,,,01,0926,,,003701,,,422301,92,,1974
74IN00033,1971011180,71,2,P1180,1,,03,,2,,,,,,3,07,,, 38,,,,116,141,2,,,,01,0926,,,000001,,,003401,92,,1974
74IN00034,1971011185,71,2,P1185,1,,03,,2,,,,,,3,07,,, 38,,,,109,147,2,,,,01,0926,,,000001,,,018601,92,,1974
74IN00035,1971011197,71,2,P1197,1,,02,,1,,,,40,,3,07,,,32,,,,97,134,,,,,01,,,,000001,,,291801,,,1974
74IN00036,1971011205,71,2,P1205,1,,02,,2,,,,,,3,07,,,,,,,99,,6,,,,01,0827,,,000001,,,265701,11,,1974
74IN00037,1971011241,71,2,P1241,1,,03,,2,,,,35,,3,07,,,04,,,,106,123,,,,,01,,,,000001,,,006601,,,1974
74IN00038,1972011366,72,2,P1366,1,,11,,1,,,,,,2,07,,, 34,,,,120,140,2,,,,01,0926,,,032101,,,002901,92,,1974
74IN00039,1972011454,72,2,P1454,1,,11,,1,,,,,,2,07,,, 35,,, 1,105,149,2,,,,01,0926,,,032101,,,416401,92,,1974
74IN00040,1972011482,72,2,P1482,1,,30,,1,,,,30,,2,07,,,05,,,,121,152,,,,,01,,,,013501,,,024301,,,1974
74IN00041,1972011670,72,2,P1670,1,,,,1,,,,,,,07,,, 39,123,, 2,123,150,2,,,,01,0926,,,,,,,92,,1974
74IN00042,1972011672,72,2,P1672,1,,31,,1,,,,30,,2,07,,,05,,, 2,109,140,,,,,01,,,,003701,,,412201,,,1974
74IN00043,1972011686,72,2,P1686,1,,11,,1,,,,30,,2,07,,,06,,,,119,147,,,,,01,,,,032101,,,387501,,,1974
74IN00044,1972011694,72,2,P1694,1,,11,,1,,,,30,,2,07,,,04,,, 1,116,164,,,,,01,,,,032101,,,368401,,,1974
74IN00045,1972011729,72,2,P1729,1,,30,,1,,,,,,2,07,,, 32,,,,96,127,2,,,,01,0926,,,013501,,,291801,92,,1974
74IN00046,1972011733,72,2,P1733,1,,12,,1,,,,,,2,07,,, 35,,,,105,140,2,,,,01,0926,,,022201,,,434201,92,,1974
74IN00047,1972011740,72,2,P1740,1,,12,,1,,,,30,,2,07,,,33,,,,101,136,,,,,01,,,,022201,,,429101,,,1974
74IN00048,1972011798,72,2,P1798,1,,30,,1,,,,,,2,07,,, 34,,,,100,137,2,,,,01,0926,,,013501,,,007301,92,,1974
74IN00049,1972011802,72,2,P1802,1,,30,,1,,,,,,2,07,,,,,,,111,148,3,,,,01,1111,,,013501,,,286301,93,,1974
