UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,TRT1,TRT2,REG,TYPE,INBR,TBR,ADAM,DINBR,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,C78,C79,C80,YRREC,AGE
63IN00001,1956101952,56,2,U1952,0,41,601,,,,07,,,8,,5,1,410,100,09,,148,162,,,089,058,10,,108,2,415011,,,,,,,1963,7.0
63IN00002,1957102053,57,2,U2053,0,41,561,,,,08,00,,7,,5,1,410,108,09,,137,153,,,080,059,10,,110,2,440911,,,,,,,1963,6.0
63IN00003,1962102611,62,2,U2611,0,00,000,,,,,,,2,12,,,,,,,,,,,,,10,,126,6,4,,,726840,,,,1963,1.0
63IN00004,1962102612,62,3,U2612,0,,,,,,,,,2,,,,,,,,,,,,,,10,,090,2,,,,,,,,1963,1.0
63IN00005,1958910128,58,1,00128,1,,,,,,,,,6,,,,,,,,208,215,3,,,,91,0805,178,2,,,,,,,,1963,5.0
63IN00006,1959910133,59,1,00133,1,,,,,,,,,5,,,,,,,,220,240,,,,,91,,127,2,,,,,,,,1963,4.0
63IN00007,1953113828,53,2,R3828,1,34,340,,,,08,35,,-,,1,4,,077,15,,126,,7,,065,042,11,1015,118,2,331311,,,,,,,1963,10.0
63IN00008,1954114199,54,2,R4199,1,23,230,,,,07,22,,0,,1,4,230,079,15,,107,140,,,060, 27,11,,074,2,371511,,,,,,,1963,9.0
63IN00009,1954114227,54,2,R4227,1,20,200,,,,10,18,,0,,1,3,200,076,15,,137,146,,,073, 39,11,,083,2,345711,,,,,,,1963,9.0
63IN00010,1954114294,54,2,R4294,1,27,270,,,,09,26,,0,,1,3,270,081,13,,118,131,,,084, 46,11,,123,2,352011,,,,,,,1963,9.0
63IN00011,1954114303,54,2,R4303,1,19,190,,,,07,23,,0,,1,3,190,080,15,,114,116,,,077, 33,11,,077,2,376111,,,,,,,1963,9.0
63IN00012,1954114335,54,2,R4335,1,21,210,,,,09,25,,0,,1,3,210,073,15,,109,112,,,079, 44,11,,108,2,384111,,,,,,,1963,9.0
63IN00013,1954114340,54,2,R4340,1,24,240,,,,10,22,,0,,1,1,240,073,16,,124,125,,,076, 42,11,,106,2,344611,,,,,,,1963,9.0
63IN00014,1954114361,54,2,R4361,1,21,210,,,,11,26,,0,,1,3,210,060,16,,128,115,,,071, 28,11,,077,2,384111,,,,,,,1963,9.0
63IN00015,1955114383,55,2,R4383,1,34,340,,,,09,38,,9,,1,3,,088,13,,125,136,3,,093,058,11,1001,109,2,383711,,,,,,,1963,8.0
63IN00016,1955114389,55,2,R4389,1,19,190,,,,08,23,,9,,1,4,190,091,11,,135,146,,,087,051,11,,099,2,397511,,,,,,,1963,8.0
63IN00017,1955114399,55,2,R4399,1,21,210,,,,10,28,,9,,1,4,210,083,09,,127,139,,,099,048,11,,113,3,386511,,,,,,,1963,8.0
63IN00018,1955114471,55,2,R4471,1,21,210,,,,10,36,,9,,1,4,210,081,13,,128,136,,,085,036,11,,083,2,386511,,,,,,,1963,8.0
63IN00019,1955114514,55,2,R4514,1,20,200,,,,10,37,,9,,1,4,200,078,15,,98,117,,,074,043,11,,091,2,330211,,,,,,,1963,8.0
63IN00020,1955114577,55,2,R4577,1,20,200,,,,09,20,,9,,1,4,200,106,10,,152,180,,,076,059,11,,119,2,330211,,,,,,,1963,8.0
63IN00021,1955114600,55,2,R4600,1,20,200,,,,10,21,,9,,1,4,200,091,10,,128,147,,,079,054,11,,112,2,330211,,,,,,,1963,8.0
63IN00022,1956114617,56,2,R4617,1,27,270,,,,09,37,,8,,1,3,270,081,11,,144,155,,,078,031,11,,058,1,378911,,,,,,,1963,7.0
63IN00023,1956114643,56,2,R4643,1,27,270,,,,06,30,,8,,1,3,,082,09,,124,,6,,087,037,11,0617,070,1,378911,,,,,,,1963,7.0
63IN00024,1956114646,56,2,R4646,1,20,200,,,,09,32,,8,,1,2,,079,14,,,,6,,081,034,11,0322,080,1,330211,,,,,,,1963,7.0
63IN00025,1956114689,56,2,R4689,1,23,230,,,,05,23,,8,,1,3,,101,14,,148,160,3,,078,036,11,1001,083,1,416911,,,,,,,1963,7.0
63IN00026,1956114693,56,2,R4693,1,27,270,,,,09,36,,8,,1,3,270,084,11,,135,143,,,073,044,11,,085,1,378911,,,,,,,1963,7.0
63IN00027,1956114695,56,2,R4695,1,27,270,,,,06,35,,8,,1,3,3 6,082,15,,126,129,,,077,029,11,,061,1,378911,,,,,4,,1963,7.0
63IN00028,1956114697,56,2,R4697,1,27,270,,,,08,37,,8,,1,3,270,077,11,,123,134,,,079,031,11,,068,1,378911,,,,,,,1963,7.0
63IN00029,1956114713,56,2,R4713,1,19,190,,,,07,26,,8,,1,1,190,090,13,,133,142,,,075,032,11,,065,1,417911,,,,,,,1963,7.0
63IN00030,1956114715,56,2,R4715,1,32,321,,,,05,25,,8,,1,1,320,090,12,,128,146,,,072,032,11,,071,1,749111,,,,,,,1963,7.0
63IN00031,1956114752,56,2,R4752,1,20,200,,,,05,23,,8,,1,3,200,096,10,,147,169,,,090,051,11,,111,2,330211,,,,,,,1963,7.0
63IN00032,1956114756,56,2,R4756,1,20,200,,,,05,21,,8,,1,1,200,069,09,,130,137,,,082,046,11,,081,2,330211,,,,,,,1963,7.0
63IN00033,1956114757,56,2,R4757,1,27,270,,,,08,31,,8,,1,3,,073,09,,,,6,,076,031,11,0108,057,1,378911,,,,,,,1963,7.0
63IN00034,1956114775,56,2,R4775,1,21,210,,,,08,34,,8,,1,3,,077,11,,,,6,,080,030,11,0525,073,2,432811,,,,,,,1963,7.0
63IN00035,1956114777,56,2,R4777,1,24,240,,,,08,28,,8,,1,1,240,078,09,,118,136,,,076,039,11,,076,1,411011,,,,,,,1963,7.0
63IN00036,1956114787,56,2,R4787,1,23,230,,,,09,18,,8,,1,3,230,081,13,,138,149,,,082,034,11,,080,1,416911,,,,,,,1963,7.0
63IN00037,1956114793,56,2,R4793,1,32,321,,,,05,19,,8,,1,1,,097,11,,,,6,,078,035,11,0204,068,1,749111,,,,,,,1963,7.0
63IN00038,1956114800,56,2,R4800,1,27,270,,,,07,30,,8,,1,3,270,093,14,,127,144,,,078,041,11,,085,2,378911,,,,,,,1963,7.0
63IN00039,1957114836,57,2,R4836,1,34,341,,,,08,34,,7,,1,4,340,098,09,,137,150,,,078,047,11,,103,2,445811,,,,,,,1963,6.0
63IN00040,1957114881,57,2,R4881,1,41,230,,,,09,19,,7,,1,2,410,107,12,,145,163,,,076,049,11,,092,2,416911,,,,,,,1963,6.0
63IN00041,1957114886,57,2,R4886,1,20,200,,,,12,32,,7,,1,2,200,073,10,,108,128,,,081,041,11,,082,2,415011,,,,,,,1963,6.0
63IN00042,1957114887,57,2,R4887,1,19,190,,,,10,35,,7,,1,3,,093,12,,125,125,3,,075,040,11,1001,075,2,417911,,,,,,,1963,6.0
63IN00043,1957114895,57,2,R4895,1,21,210,,,,12,39,,7,,1,4,210,071,10,,114,117,,,075,036,11,,085,2,432811,,,,,,,1963,6.0
63IN00044,1957114914,57,2,R4914,1,23,230,,,,08,20,,7,,1,3,230,096,14,,128,145,,,073,047,11,,098,2,416911,,,,,,,1963,6.0
63IN00045,1957114928,57,2,R4928,1,20,200,,,,10,27,,7,,1,3,200,086,10,,128,145,,,074,043,11,,089,2,415011,,,,,,,1963,6.0
63IN00046,1957114932,57,2,R4932,1,34,341,,,,10,42,,7,,1,3,340,089,09,,133,140,,,077,040,11,,080,1,445811,,,,,,,1963,6.0
63IN00047,1957114967,57,2,R4967,1,32,321,,,,09,23,,7,,1,1,320,102,09,,128,149,,,080,043,11,,090,2,465411,,,,,,,1963,6.0
63IN00048,1957114986,57,2,R4986,1,21,210,,,,09,34,,7,,1,3,,094,13,,110,128,3,,079,053,11,1001,104,2,432811,,,,,,,1963,6.0
63IN00049,1957114996,57,2,R4996,1,21,210,,,,09,36,,7,,1,2,210,092,09,,124,125,,,087,047,11,,097,2,432811,,,,,,,1963,6.0
63IN00050,1957114999,57,2,R4999,1,24,240,,,,10,23,,7,,1,1,240,078,10,,108,139,,,072,038,11,,081,2,411011,,,,,,,1963,6.0
63IN00051,1957115006,57,2,R5006,1,24,240,,,,09,24,,7,,1,1,,083,13,,,,6,,069,036,11,0111,085,2,411011,,,,,,,1963,6.0
63IN00052,1958115037,58,2,R5037,1,27,270,,,,07,30,,6,,1,1,270,100,09,,153,173,,,083,038,11,,111,2,458511,,,,,,,1963,5.0
63IN00053,1958115060,58,2,R5060,1,32,320,,,,08,20,,6,,1,1,320,086,11,,133,135,,,082,042,11,,102,2,465711,,,,,,,1963,5.0
63IN00054,1958115065,58,2,R5065,1,23,230,,,,09,17,,6,,1,2,230,097,10,,122,133,,,080,030,11,,089,2,416911,,,,,,,1963,5.0
63IN00055,1958115070,58,2,R5070,1,34,341,,,,12,42,,6,,1,3,,069,14,,,,6,,076,037,11,0202,089,2,407911,,,,,,,1963,5.0
63IN00056,1958115077,58,2,R5077,1,20,200,,,,12,38,,6,,1,3,200,077,12,,124,148,,,064,027,11,,082,2,437711,,,,,,,1963,5.0
63IN00057,1958115083,58,2,R5083,1,20,200,,,,10,26,,6,,1,3,200,071,09,,111,121,,,085,043,11,,120,3,437711,,,,,,,1963,5.0
63IN00058,1958115085,58,2,R5085,1,20,200,,,,10,33,,6,,1,3,200,072,13,,123,138,,,082,030,11,,083,2,437711,,,,,,,1963,5.0
63IN00059,1958115090,58,2,R5090,1,19,190,,,,08,33,,6,,1,3,190,103,09,,155,171,,,076,041,11,,105,2,481711,,,,,,,1963,5.0
63IN00060,1958115098,58,2,R5098,1,19,190,,,,07,29,,6,,1,3,190,091,12,,130,149,,,065,032,11,,084,2,481711,,,,,,,1963,5.0
63IN00061,1958115101,58,2,R5101,1,34,341,,,,09,39,,6,,1,3,340,075,11,,105,111,,,077,033,11,,092,2,407911,,,,,,,1963,5.0
63IN00062,1958115128,58,2,R5128,1,24,240,,,,10,28,,6,,1,1,240,074,13,,120,140,,,076,030,11,,095,2,476611,,,,,,,1963,5.0
63IN00063,1958115131,58,2,R5131,1,24,240,,,,09,32,,6,,1,1,240,088,12,,132,159,,,081,038,11,,119,2,476611,,,,,,,1963,5.0
63IN00064,1958115132,58,2,R5132,1,34,340,,,,11,43,,6,,1,4,340,078,10,,126,138,,,089,047,11,,102,4,445811,,,,,,,1963,5.0
63IN00065,1958115135,58,2,R5135,1,32,321,,,,09,23,,6,,1,1,320,102,11,,145,159,,,079,045,11,,118,2,501611,,,,,,,1963,5.0
63IN00066,1958115138,58,2,R5138,1,19,190,,,,09,38,,6,,1,3,190,092,09,,140,147,,,077,031,11,,070,2,481711,,,,,,,1963,5.0
63IN00067,1958115139,58,2,R5139,1,32,321,,,,06,20,,6,,1,1,,124,12,,,,6,,074,039,11,0407,112,2,501611,,,,,,,1963,5.0
63IN00068,1958115167,58,2,R5167,1,32,321,,,,07,25,,6,,1,1,320,096,12,,165,160,,,083,043,11,,106,2,501611,,,,,,,1963,5.0
63IN00069,1958115181,58,2,R5181,1,34,340,,,,09,44,,6,,1,4,340,071,09,,103,114,,,093,038,11,,079,2,445811,,,,,,,1963,5.0
63IN00070,1958115186,58,2,R5186,1,21,210,,,,09,31,,6,,1,3,210,080,08,,116,135,,,075,034,11,,093,2,465011,,,,,,,1963,5.0
63IN00071,1958115203,58,2,R5203,1,19,190,,,,11,34,,6,,1,3,190,082,13,,125,140,,,077,039,11,,107,2,481711,,,,,,,1963,5.0
63IN00072,1958115205,58,2,R5205,1,34,340,,,,10,47,,6,,1,3,,078,09,,108,127,3,,081,042,11,1001,092,2,445811,,,,,,,1963,5.0
63IN00073,1958115214,58,2,R5214,1,23,230,,,,09,24,,6,,1,1,230,086,13,,127,144,,,065,042,11,,095,2,416911,,,,,,,1963,5.0
