UID,ID10,ETAG,BRD,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,ELG,PD,LOT,BAND,SPRGWT,FALLWT,BAG,VACC,BLED,GRP,DISP,DAYDIS,TRT,BPEN,COND,BGRP,ADAM,RMK,AGE,YRREC
92IN00001,         0,00301,00,91,1,72,2,30,722,288603,000103,6,,1,3,,*,0,0,0,,,,93,0210,,,,,05,SLICKEAR,0.5,1992
92IN00002,         0,00302,00,91,2,72,2,30,722,288603,000103,6,,1,3,,*,0,0,0,,,,93,0210,,,,,05,SLICKEAR,0.5,1992
92IN00003,1984631022,K1022,63,84,2,63,1,06,632,989462,980762,2,,,3,OVX,*,0,0,0,,,X,95,1023,,,,,80,OVX.EWE,8.0,1992
92IN00004,1985631235,K1235,63,85,2,61,1,06,614,083163,890962,,,,2,,1,186,175,2,,,,92,0924,,,,,70,,7.0,1992
92IN00005,1985631237,K1237,63,85,2,60,1,06,602,062163,897462,,,,2,,1,180,171,2,,,,92,0924,,,,,70,,7.0,1992
92IN00006,1985631249,K1249,63,85,2,63,1,06,632,023563,884362,,,,3,,1,180,179,3,,,,93,1102,,,,,70,X.SW.BAG,7.0,1992
92IN00007,1985631253,K1253,63,85,2,60,1,06,602,062163,875562,,,,1,,*,0,0,0,,,,17,0312,,,,,70,CHOKER,7.0,1992
92IN00008,1985631266,K1266,63,85,2,60,1,06,604,034363,967862,,,,3,LAR,1,155,162,3,,,X,95,1008,,LAR,,,70,X.AB.9/16/92,7.0,1992
92IN00009,1985631336,K1336,63,85,2,63,1,06,633,026563,857362,7,,,3,34D,3,157,147,2,,,,93,1102,,,,,70,X.SNOTNOSE,7.0,1992
92IN00010,1985631413,K1413,63,85,2,60,1,06,604,034363,996862,,,,3,,1,173,174,2,,,,93,1102,,,,,70,X.FIBERBAG,7.0,1992
92IN00011,1985631421,K1421,63,85,2,60,1,06,602,062163,940462,,,,3,,1,179,174,3,,,,93,1102,,,,,70,X.BIG&CAKED,7.0,1992
92IN00012,1985631426,K1426,63,85,2,63,1,06,634,067563,757262,7,,,3,29A,3,186,150,2,,,,93,1102,,,,,70,"XAGE,LTS",7.0,1992
92IN00013,1985631468,K1468,63,85,2,60,1,06,604,034363,899862,7,,,3,35A,3,183,159,2,,,,93,1102,,,,,70,"XAGE,PROD",7.0,1992
92IN00014,1985631485,K1485,63,85,2,60,1,06,602,062163,020563,,,,3,,1,189,181,2,,,,93,1102,,,,,70,X.LT'S,7.0,1992
92IN00015,1985631490,K1490,63,85,2,60,1,06,603,022363,989162,,,,2,,2,193,177,2,,,,92,0924,,,,,70,CHOKER,7.0,1992
92IN00016,1985631496,K1496,63,85,2,61,1,06,614,083163,861562,,,,3,XTB,X,156,0,0,,,X,93,1102,,XTB,,,70,X.PROD,7.0,1992
92IN00017,1985631497,K1497,63,85,2,60,1,06,602,062163,979862,,,,3,,2,180,172,3,,,,93,1102,,,,,70,X.TEETH,7.0,1992
92IN00018,1985631501,K1501,63,85,2,61,1,06,611,089963,939662,,,,2,,1,180,183,2,,,,92,0924,,,,,70,"?BAG,4TEATS",7.0,1992
