UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FAWT,BAND,WORK,PD,DISP,BLEED,STM
04BR00001, 3001,0.5,00,,51K,1,7,175,F,W,1,..,N,80
04BR00002, 3004,0.5,00,,52K,1,7,170,F,W,1,..,N,80
04BR00003, 3006,0.5,00,,53K,1,7,156,5,W,1,..,N,80
04BR00004, 3007,0.5,00,,54K,1,7,165,F,W,1,..,N,80
04BR00005, 3010,0.5,00,,55K,1,7,136,F,W,1,..,N,80
04BR00006, 3015,0.5,00,,56K,1,7,192,F,W,1,..,N,80
04BR00007, 3016,0.5,00,,57K,1,7,176,F,W,1,..,N,80
04BR00008, 3021,0.5,00,,971,1,7,161,F,W,1,..,N,33
04BR00009, 3022,0.5,00,,971,1,7,156,F,W,1,..,N,33
04BR00010, 3025,0.5,00,,58K,1,7,167,F,W,1,..,N,80
04BR00011, 3031,0.5,00,,51K,1,7,159,F,W,1,..,N,80
04BR00012, 3032,0.5,00,,53K,1,7,167,F,W,1,..,N,80
04BR00013, 3033,0.5,00,ENTR,54K,1,7,178,F,W,1,..,N,80
04BR00014, 3035,0.5,00,,55K,1,7,174,F,W,1,..,N,80
04BR00015, 3036,0.5,00,,972,1,7,157,F,W,1,..,N,33
04BR00016, 3037,0.5,00,,56K,1,7,167,F,W,1,..,N,80
04BR00017, 3039,0.5,00,,973,1,7,156,F,W,1,..,N,33
04BR00018, 3048,0.5,00,HAIRY,973,1,7,140,F,W,1,..,N,33
04BR00019, 3053,0.5,00,,57K,1,7,143,F,W,1,..,N,80
04BR00020, 3056,0.5,00,,971,1,7,144,F,W,1,..,N,33
04BR00021, 3057,0.5,00,,58K,1,7,166,F,W,1,..,N,80
04BR00022, 3058,0.5,00,,971,1,7,148,F,W,1,..,N,33
04BR00023, 3060,0.5,00,,972,1,7,175,F,W,1,..,N,33
04BR00024, 3064,0.5,00,,51K,1,7,153,F,W,1,..,N,80
04BR00025, 3066,0.5,00,,973,1,7,141,F,W,1,..,N,33
04BR00026, 3070,0.5,00,,973,1,7,144,F,W,1,..,N,33
04BR00027, 3078,0.5,00,,52K,1,7,162,F,W,1,..,N,80
04BR00028, 3083,0.5,00,,971,1,7,151,F,W,1,..,N,33
04BR00029, 3085,0.5,00,,971,1,7,162,F,W,1,..,N,33
04BR00030, 3087,0.5,00,,972,1,7,135,F,X,1,97,N,33
04BR00031, 3088,0.5,00,,973,1,7,151,F,W,1,..,N,33
04BR00032, 3089,0.5,00,NICE,53K,1,7,167,F,W,1,..,N,80
04BR00033, 3090,0.5,00,,54K,1,7,136,F,W,1,..,N,80
04BR00034, 3091,0.5,00,,973,1,7,140,F,W,1,..,N,33
04BR00035, 3100,0.5,00,,971,1,7,147,F,W,1,..,N,33
04BR00036, 3101,0.5,00,,971,1,7,141,F,W,1,..,N,33
04BR00037, 3105,0.5,00,PINK,972,1,7,146,F,W,1,..,N,33
04BR00038, 3114,0.5,00,,55K,1,7,172,F,W,1,..,N,80
04BR00039, 3120,0.5,00,,973,1,7,133,F,W,1,..,N,33
04BR00040, 3131,0.5,00,,000,1,7,172,F,W,1,..,N,04
04BR00041, 3148,0.5,00,,000,1,7,122,F,W,1,..,N,04
04BR00042, 3160,0.5,00,,973,1,7,141,F,W,1,..,N,33
04BR00043, 3168,0.5,00,,971,1,7,161,F,W,1,..,N,33
04BR00044, 3181,0.5,00,,971,1,7,144,F,W,1,..,N,33
04BR00045, 3182,0.5,00,HAIRY,000,1,7,141,F,W,1,..,N,04
04BR00046, 3190,0.5,00,,000,1,7,136,F,W,1,..,N,04
04BR00047, 3206,0.5,00,,000,1,7,132,F,W,1,..,N,04
04BR00048, 8019,6.0,18,L.EYE TRT '02,000,1,2,186,5,W,1,..,N,43
04BR00049, 8084,6.0,18,BLK. EAR,31R,2,0,151,2,W,1,..,N,07
04BR00050, 8091,6.0,18,,000,1,2,152,2,W,1,..,N,07
04BR00051, 8210,6.0,68,,54K,1,0,184,1,W,1,..,Y,06
04BR00052, 8286,6.0,68,,51K,1,0,190,1,W,1,..,Y,06
04BR00053, 8320,6.0,18,"PNEU., OPP?",000,1,2,158,2,W,1,..,N,43
04BR00054, 8423,6.0,88,FOREHEAD INJ.,16P,2,0,149,2,W,1,..,N,30
04BR00055, 8439,6.0,88,,14P,2,0,163,2,W,1,..,N,30
04BR00056, 8441,6.0,18,,44R,2,0,170,1,W,1,..,N,43
04BR00057, 8443,6.0,88,TAG CUT '2002,06P,2,0,157,1,W,1,..,N,30
04BR00058, 8462,6.0,88,,21P,2,0,169,1,W,1,..,N,30
04BR00059, 8492,6.0,18,,000,1,2,198,2,W,1,..,N,07
04BR00060, 8504,6.0,18,,41R,2,0,172,2,W,1,..,N,07
04BR00061, 8539,6.0,18,1TAG,000,1,2,162,2,W,1,..,N,07
04BR00062, 8601,6.0,18,,000,1,2,201,1,W,1,..,N,07
04BR00063, 8636,6.0,18,"11 BAG, U",UTE,U,2,169,2,W,U,..,N,07
04BR00064, 8641,6.0,18,pg 4/24 156#,000,1,2,153,1,W,1,..,N,07
04BR00065, 8665,6.0,18,,000,1,2,169,1,W,1,..,N,07
04BR00066, 8668,6.0,88,,16P,2,0,139,2,W,1,..,N,30
04BR00067, 8695,6.0,18,TAG CUT '2002,45R,2,0,190,1,W,1,..,N,07
04BR00068, 8757,6.0,68,,52K,1,0,183,2,W,1,..,Y,06
04BR00069, 8764,6.0,18,,45R,2,0,187,2,W,1,..,N,43
04BR00070, 8793,6.0,68,,52K,1,0,179,2,W,1,..,Y,06
04BR00071, 8858,6.0,18,"DYSTOC,breech",46R,2,0,165,2,W,1,..,N,07
04BR00072, 8876,6.0,18,,46R,2,0,135,1,W,1,..,N,43
04BR00073,00001,4.0,88,TAG CUT '2002,07P,2,0,172,1,W,1,..,N,30
04BR00074,00022,4.0,00,BLACK EWE,ZZZ,1,1,162,1,W,1,..,N,92
04BR00075,00035,4.0,00,BLACK EWE,ZZZ,1,1,189,2,W,1,..,N,92
04BR00076,00040,4.0,00,BLACK EWE,ZZZ,1,1,174,2,W,1,..,N,92
04BR00077,00087,4.0,00,"SM.BAG,BLACK",ZZZ,1,1,167,2,W,1,..,N,92
04BR00078,00097,4.0,68,DYSTOCIA ok,52K,1,0,168,2,W,1,..,Y,06
04BR00079,00102,4.0,88,,05P,2,0,159,2,W,1,..,N,30
04BR00080,00148,4.0,18,,44R,2,0,156,2,W,1,..,N,07
04BR00081,00179,4.0,18,EYES OK,33R,2,0,191,2,W,1,..,N,07
04BR00082,00197,4.0,18,DYSTOCIA,34R,2,0,172,2,W,1,..,N,07
04BR00083,00216,4.0,18,,45R,2,0,189,5,W,1,..,N,07
04BR00084,00491,4.0,41,,65T,1,0,148,1,X,1,01,N,02
04BR00085,00534,4.0,68,,56K,1,0,166,1,W,1,..,Y,06
04BR00086,00545,4.0,18,NICE,000,1,2,155,2,W,1,..,N,07
04BR00087,00589,4.0,68,DYSTOCIA,56K,1,0,175,1,W,1,..,Y,06
04BR00088,00625,4.0,68,,57K,1,0,184,2,W,1,..,Y,06
04BR00089,00647,4.0,68,"NICE, A+",56K,1,0,199,1,W,1,..,Y,06
04BR00090,00657,4.0,88,,15P,2,0,160,2,W,1,..,N,30
04BR00091,00670,4.0,68,,53K,1,0,174,1,W,1,..,Y,06
04BR00092,00677,4.0,18,,36R,2,0,184,1,W,1,..,N,07
04BR00093,00707,4.0,18,,37R,2,0,163,2,W,1,..,N,07
04BR00094,00728,4.0,18,,43R,2,0,167,2,W,1,..,N,43
04BR00095,00737,4.0,41,DRY 5/2/04,61T,1,0,213,1,W,1,..,N,02
04BR00096,00795,4.0,18,"LT,SUCK1SIDE",000,1,2,181,1,W,1,..,N,43
04BR00097,00816,4.0,18,LTS,000,1,2,172,1,W,1,..,N,43
04BR00098,00872,4.0,18,,43R,2,0,199,1,W,1,..,N,07
04BR00099,00904,4.0,18,NICE,41R,2,0,164,1,W,1,..,N,07
04BR00100,00930,4.0,18,,44R,2,0,179,1,W,1,..,N,07
04BR00101,00976,4.0,18,,42R,2,0,167,2,W,1,..,N,07
04BR00102,00979,4.0,18,DYSTOCIA,44R,2,0,164,1,W,1,..,N,07
04BR00103,00980,4.0,00,BLACK EWE,ZZZ,1,1,194,1,W,1,..,N,92
04BR00104,01015,4.0,18,IN W/ RED 41,35R,2,0,172,2,W,1,..,N,07
04BR00105,01103,4.0,18,,000,1,2,169,1,W,1,..,N,07
04BR00106,01131,4.0,68,,51K,1,0,202,2,W,1,..,Y,06
04BR00107,01161,4.0,18,,000,1,2,163,2,W,1,..,N,07
04BR00108,01242,4.0,68,SUCK1SIDE,56K,1,0,170,2,W,1,..,Y,06
04BR00109,01267,4.0,18,,45R,2,0,166,2,W,1,..,N,07
04BR00110,01328,4.0,88,"NICE, A",04P,2,0,170,1,W,1,..,N,30
04BR00111,01372,4.0,68,,54K,1,0,186,2,W,1,..,Y,06
04BR00112,01379,4.0,18,PNEU.,000,1,2,179,2,W,1,..,N,07
04BR00113,01422,4.0,18,,46R,2,0,198,1,W,1,..,N,07
04BR00114,01430,4.0,18,,46R,2,0,181,1,W,1,..,N,07
04BR00115,01470,4.0,18,THIN,45R,2,0,147,2,W,1,..,N,07
04BR00116,90018,5.0,18,,000,1,2,179,1,W,1,..,N,07
04BR00117,90035,5.0,88,THIN,13P,2,0,142,1,W,1,..,N,30
04BR00118,90053,5.0,88,DYSTOCIA,04P,2,0,169,2,W,1,..,N,30
04BR00119,90061,5.0,68,NICE,52K,1,0,190,2,W,1,..,Y,06
04BR00120,90071,5.0,88,,23P,2,0,178,1,W,1,..,N,30
04BR00121,90077,5.0,68,,52K,1,0,185,1,W,1,..,Y,06
04BR00122,90096,5.0,18,,000,1,2,175,2,W,1,..,N,07
04BR00123,90121,5.0,88,,06P,2,0,172,1,W,1,..,N,30
04BR00124,90212,5.0,18,,32R,2,0,174,2,W,1,..,N,07
04BR00125,90216,5.0,18,,33R,2,0,170,1,W,1,..,N,07
04BR00126,90239,5.0,18,,34R,2,0,172,2,W,1,..,N,07
04BR00127,90256,5.0,18,DYSTOCIA ok,000,1,2,187,1,W,1,..,N,07
04BR00128,90257,5.0,18,ABS.CHEEK,35R,2,0,157,2,W,1,..,N,07
04BR00129,90259,5.0,18,,36R,2,0,176,1,W,1,..,N,07
04BR00130,90276,5.0,18,R.BLOODY MILK,41R,2,0,174,1,W,1,..,N,07
04BR00131,90280,5.0,18,X BAG <<<,42R,2,0,183,1,W,1,..,N,07
04BR00132,90281,5.0,18,,43R,2,0,158,1,W,1,..,N,07
04BR00133,90312,5.0,18,RP ok,000,1,2,185,2,W,1,..,N,07
04BR00134,90333,5.0,88,RP,14P,2,0,184,1,W,1,..,N,30
04BR00135,90335,5.0,18,,44R,2,0,170,2,W,1,..,N,07
04BR00136,90362,5.0,18,,000,1,2,152,2,W,1,..,N,07
04BR00137,90365,5.0,18,,000,1,2,145,1,W,1,..,N,07
04BR00138,90370,5.0,18,"X, CANCEREYE",45R,2,0,205,1,X,1,93,N,07
04BR00139,90372,5.0,18,"R.SPOILED, U",UTE,U,2,183,1,W,U,..,N,07
04BR00140,90386,5.0,18,,46R,2,0,156,1,W,1,..,N,07
04BR00141,90392,5.0,18,,000,1,2,145,1,W,1,..,N,07
04BR00142,90415,5.0,68,,53K,1,0,191,2,W,1,..,Y,06
04BR00143,90532,5.0,18,NICE,32R,2,0,161,2,W,1,..,N,07
04BR00144,90545,5.0,88,THIN RP,01P,2,0,172,H,W,1,..,N,30
04BR00145,90576,5.0,18,,46R,2,0,167,1,W,1,..,N,07
04BR00146,90597,5.0,88,,12P,2,0,180,1,W,1,..,N,30
04BR00147,90638,5.0,68,LEGGY,55K,1,0,214,1,W,1,..,Y,06
04BR00148,90684,5.0,88,"RP, NECROTIC",01P,2,0,175,1,W,1,..,N,30
04BR00149,90687,5.0,88,,24P,2,0,180,2,W,1,..,N,30
04BR00150,90694,5.0,88,TRT R.EYE '03,04P,2,0,195,1,W,1,..,N,30
04BR00151,90710,5.0,18,LTS,31R,2,0,167,1,W,1,..,N,07
04BR00152,90741,5.0,68,,52K,1,0,166,2,W,1,..,Y,06
04BR00153,90743,5.0,88,DYSTOCIA,06P,2,0,173,1,W,1,..,N,30
04BR00154,90748,5.0,88,LT SUCK1SIDE,14P,2,0,165,1,W,1,..,N,30
04BR00155,90764,5.0,18,,31R,2,0,178,2,W,1,..,N,07
04BR00156,90767,5.0,18,,33R,2,0,173,2,W,1,..,N,07
04BR00157,90768,5.0,18,ASSISTED,34R,2,0,155,1,W,1,..,N,07
04BR00158,90785,5.0,00,BLACK EWE,ZZZ,1,1,191,2,W,1,..,N,92
04BR00159,90791,5.0,88,ABS.BRISKET,07P,2,0,165,2,W,1,..,N,30
04BR00160,90800,5.0,88,,01P,2,0,178,2,W,1,..,N,30
04BR00161,90830,5.0,88,,21P,2,0,177,1,W,1,..,N,30
04BR00162,90833,5.0,88,,25P,2,0,188,1,W,1,..,N,30
04BR00163,90835,5.0,68,THIN,56K,1,0,202,2,W,1,..,Y,06
04BR00164,90844,5.0,88,,01P,2,0,142,2,W,1,..,N,30
04BR00165,90866,5.0,00,BLACK EWE,ZZZ,1,1,193,2,W,1,..,N,92
04BR00166,90870,5.0,88,,12P,2,0,162,1,W,1,..,N,30
04BR00167,90880,5.0,88,,15P,2,0,174,1,W,1,..,N,30
04BR00168,90883,5.0,18,THIN,32R,2,0,169,2,W,1,..,N,07
04BR00169,90905,5.0,18,,000,1,2,184,5,W,1,..,N,07
04BR00170,90913,5.0,68,,51K,1,0,179,2,W,1,..,Y,06
04BR00171,90925,5.0,18,THIN,42R,2,0,161,2,W,1,..,N,07
04BR00172,90956,5.0,68,,57K,1,0,198,1,W,1,..,Y,06
04BR00173,90990,5.0,18,ACTINOMYCOSIS,32R,2,0,167,2,W,1,..,N,07
04BR00174,91003,5.0,18,,000,1,2,179,1,W,1,..,N,07
04BR00175,91009,5.0,18,1TAG,000,1,2,178,5,W,1,..,N,07
04BR00176,91020,5.0,18,,000,1,2,191,1,W,1,..,N,07
04BR00177,91058,5.0,18,,43R,2,0,191,1,W,1,..,N,07
04BR00178,91072,5.0,18,,44R,2,0,171,2,W,1,..,N,07
04BR00179,91108,5.0,88,,02P,2,0,162,1,W,1,..,N,30
04BR00180,91120,5.0,18,,34R,2,0,164,2,W,1,..,N,07
04BR00181,91125,5.0,88,,06P,2,0,184,1,W,1,..,N,30
04BR00182,91137,5.0,18,,35R,2,0,162,1,W,1,..,N,07
04BR00183,91174,5.0,88,,16P,2,0,157,1,W,1,..,N,30
04BR00184,91219,5.0,88,,03P,2,0,166,1,W,1,..,N,30
04BR00185,91251,5.0,68,RR FOOT ABS,58K,1,0,199,2,W,1,..,Y,06
04BR00186,91271,5.0,00,"R.EYE,FILM",ZZZ,1,1,167,1,W,1,..,N,92
04BR00187,91362,5.0,18,SW.BAG,000,1,2,185,2,W,1,..,N,07
04BR00188,91379,5.0,18,,000,1,2,171,2,W,1,..,N,07
04BR00189,A4343,7.0,81,"L.SHOU,INJ ok",UTE,U,2,173,2,W,U,..,N,30
04BR00190,A4368,7.0,73,,UTE,U,2,171,5,W,U,..,N,30
04BR00191,A4491,7.0,81,"FAT, LTS, U",UTE,U,2,215,1,W,U,..,N,30
04BR00192,A4510,7.0,81,"DRY 7, U",UTE,U,2,193,5,W,U,..,N,30
04BR00193,A4733,6.5,73,"Bio200,UDDER",UTE,U,2,188,5,W,U,..,N,30
