UID,ETAG,YR,SEX,LINE,LOT,BPEN,PD,FAWT,COND,BGRP,GRP,RMK
93BR00001,K3115,88,2,61,,11,1,189,4,1,,
93BR00002,K3117,88,2,60,,52,1,171,3,1,,
93BR00003,K3126,88,2,68,35A,LIS,1,152,,L,,
93BR00004,K3181,88,2,60,,04,1,189,3,1,,
93BR00005,K3010,87,2,60,,03,1,190,3,1,,
93BR00006,K3035,87,2,62,,65,1,183,3,1,,TRT ?
93BR00007,K3053,87,2,62,,52,1,216,4,1,,DYSTOCIA
93BR00008,K3066,88,2,68,35C,LIS,1,182,,L,,
93BR00009,K3062,88,2,61,,51,1,197,3,1,,
93BR00010,K3098,88,2,61,,14,1,169,2,1,,
93BR00011,K3072,88,2,68,34B,LIS,1,173,,L,,
93BR00012,K3315,88,2,68,31C,LIS,1,171,,L,,
93BR00013,K3302,88,2,68,31C,LIS,1,184,,L,,
93BR00014,K3340,88,2,60,,03,1,187,3,1,,
93BR00015,K3362,88,2,68,29A,LIS,1,187,,L,,
93BR00016,K3368,88,2,61,,11,1,204,3,1,,
93BR00017,K3389,88,2,68,31B,LIS,1,171,,L,,
93BR00018,K3391,88,2,61,,12,1,189,3,1,,
93BR00019,K3403,88,2,62,,68,1,151,3,1,,
93BR00020,K3402,88,2,68,31B,LIS,1,175,,L,,
93BR00021,K3457,88,2,68,31A,LIS,1,167,,L,,
93BR00022,K3464,88,2,60,,04,1,160,3,1,,
93BR00023,K3469,88,2,68,30D,LIS,1,166,,L,,
93BR00024,K3498,88,2,68,31A,LIS,1,180,,L,,
93BR00025,K3470,88,2,60,,01,1,165,3,1,,
93BR00026,K3503,88,2,62,,69,1,190,3,1,,
93BR00027,K3545,88,2,68,34B,LIS,1,210,,L,,
93BR00028,K3581,88,2,68,29A,LIS,1,159,,L,,
93BR00029,K3604,88,2,62,,70,1,172,3,1,,
93BR00030,K3644,88,2,68,30B,LIS,1,171,,L,,
93BR00031,K3668,88,2,68,29C,LIS,1,224,,L,,
93BR00032,K3683,88,2,68,34D,LIS,1,204,,L,,
93BR00033,K3688,88,2,61,,13,1,178,3,1,,
93BR00034,K3219,88,2,68,30D,LIS,1,186,,L,,NO EARTAGS'93
93BR00035,K3203,88,2,61,,12,1,244,3,1,,
93BR00036,K3248,88,2,68,34B,LIS,1,243,,L,,
93BR00037,K3249,88,2,62,,66,1,167,3,1,,
93BR00038,K3250,88,2,60,,01,1,195,3,1,,
93BR00039,K3259,88,2,62,,67,1,193,3,1,,
93BR00040,K3269,88,2,68,31D,LIS,1,227,,L,,
93BR00041,K3285,88,2,60,,02,1,187,,1,,MSG 10-28-93
93BR00042,K3275,88,2,61,,14,1,194,3,1,,
93BR00043,K3272,88,2,61,,13,1,199,4,1,,
93BR00044,K3808,88,2,61,,51,1,155,3,1,,LOST EARTAGS!
93BR00045,K3834,89,2,68,32A,LIS,1,178,,L,,
93BR00046,K3835,89,2,62,,60,1,186,3,1,,
93BR00047,K3837,89,2,68,31D,LIS,1,179,,L,,
93BR00048,K3844,89,2,68,32A,LIS,1,183,,L,,
93BR00049,K3855,89,2,60,,03,1,192,4,1,,?BAG
93BR00050,K3857,89,2,68,35A,LIS,1,166,,L,,
93BR00051,K3863,89,2,68,35A,LIS,1,200,,L,,SW.BAG
93BR00052,K3885,89,2,62,,62,1,187,4,1,,
93BR00053,K3888,89,2,61,,14,1,193,5,1,,
93BR00054,K3898,89,2,61,,11,1,165,4,1,,
93BR00055,K3872,89,2,62,,52,1,199,4,1,,
93BR00056,K3914,89,2,68,30A,LIS,1,227,,L,,
93BR00057,K3903,89,2,68,34A,LIS,1,217,,L,,
93BR00058,K3909,89,2,61,,12,1,184,3,1,,
93BR00059,K3935,89,2,68,31C,LIS,1,163,,L,,
93BR00060,K3936,89,2,62,,61,1,166,3,1,,
93BR00061,K3944,89,2,68,35C,LIS,1,170,,L,,
93BR00062,K3947,89,2,68,31C,LIS,1,229,,L,,VLT
93BR00063,K3959,89,2,68,29C,LIS,1,191,,L,,
93BR00064,K3960,89,2,68,34A,LIS,1,166,,L,,
93BR00065,K3986,89,2,62,,63,1,166,3,1,,DIARRHEA
93BR00066,K3972,89,2,68,35C,LIS,1,183,,L,,
93BR00067,K3745,88,2,68,34B,LIS,1,188,,L,,
93BR00068,K3753,88,2,62,,71,1,219,4,1,,FLTS
93BR00069,K4106,89,2,60,,02,1,179,3,1,,
93BR00070,K4108,89,2,62,,65,1,221,3,1,,
93BR00071,K4109,89,2,61,,11,1,209,3,1,,
93BR00072,K4130,89,2,68,32C,LIS,1,215,,L,,
93BR00073,K4136,89,2,68,29C,LIS,1,173,,L,,
93BR00074,K4166,89,2,68,31B,LIS,1,144,,L,,
93BR00075,K4124,89,2,68,31C,LIS,1,199,,L,,
93BR00076,K4122,89,2,62,,66,1,188,3,1,,
93BR00077,K4185,89,2,60,,51,1,176,3,1,,
93BR00078,K4182,89,2,68,31D,LIS,1,171,,L,,
93BR00079,K4191,89,2,68,30A,LIS,1,211,,L,,
93BR00080,K4043,89,2,61,,13,1,213,5,1,,
93BR00081,K4052,89,2,68,35A,LIS,1,186,,L,,
93BR00082,K4058,89,2,68,31A,LIS,1,154,,L,,
93BR00083,K4090,89,2,61,,14,1,205,3,1,,
93BR00084,K4099,89,2,68,31B,LIS,1,175,,L,,
93BR00085,K4071,89,2,68,31D,LIS,1,196,,L,,
93BR00086,K4074,89,2,62,,64,1,189,3,1,,L.EYE TRT
93BR00087,K4078,89,2,68,31A,LIS,1,172,,L,,
93BR00088,K4311,89,2,68,32A,LIS,1,171,,L,,
93BR00089,K4316,89,2,60,,04,1,189,4,1,,
93BR00090,K4319,89,2,62,,52,1,167,3,1,,
93BR00091,K4338,89,2,68,29C,LIS,1,214,,L,,
93BR00092,K4344,89,2,68,35A,LIS,1,206,,L,,
93BR00093,K4349,89,2,68,34A,LIS,1,190,,L,,AB.ELBOW
93BR00094,K4329,89,2,68,35C,LIS,1,191,,L,,
93BR00095,K4399,89,2,68,34A,LIS,1,194,,L,,
93BR00096,K4437,90,2,61,,51,1,201,5,1,,
93BR00097,K4448,90,2,62,,68,1,176,4,1,,
93BR00098,K4450,90,2,61,,11,1,166,4,1,,
93BR00099,K4453,90,2,62,,69,1,228,4,1,,
93BR00100,K4452,90,2,60,,01,1,189,3,1,,DYSTOCIA '93
93BR00101,K4467,90,2,60,,02,1,196,4,1,,LAMBLOST
93BR00102,K4491,90,2,62,,71,1,175,3,1,,
93BR00103,K4490,90,2,60,,03,1,171,3,1,,WILDEWE
93BR00104,K4494,90,2,61,,13,1,216,5,1,,
93BR00105,K4470,90,2,62,,70,1,192,3,1,,
93BR00106,K4515,90,2,60,,01,1,185,4,1,,
93BR00107,K4502,90,2,60,,04,1,215,5,1,,
93BR00108,K4531,90,2,60,,02,1,165,3,1,,DYSTOCIA '93
93BR00109,K4536,90,2,61,,12,1,185,3,1,,
93BR00110,K4545,90,2,60,,03,1,186,4,1,,
93BR00111,K4546,90,2,62,,62,1,199,4,1,,SM.BAG
93BR00112,K4557,90,2,60,,52,1,198,5,1,,
93BR00113,K4569,90,2,68,34C,LIS,1,196,,L,,
93BR00114,K4520,90,2,62,,60,1,175,4,1,,
93BR00115,K4522,90,2,62,,61,1,172,3,1,,
93BR00116,K4589,90,2,62,,51,1,173,4,1,,
93BR00117,K4591,90,2,61,,11,1,189,4,1,,
93BR00118,K4599,90,2,62,,63,1,183,3,1,,
93BR00119,K4573,90,2,61,,14,1,192,4,1,,
93BR00120,K4577,90,2,60,,04,1,152,3,1,,
93BR00121,K4611,90,2,62,,64,1,177,4,1,,
93BR00122,K4617,90,2,61,,13,1,193,3,1,,
93BR00123,K4603,90,2,61,,12,1,207,3,1,,VLTS
93BR00124,K4605,90,2,60,,01,1,180,3,1,,
93BR00125,K4637,90,2,61,,14,1,193,4,1,,
93BR00126,K4643,90,2,60,,03,1,207,5,1,,
93BR00127,K4661,90,2,68,32C,LIS,1,222,,L,,
93BR00128,K4666,90,2,61,,52,1,203,3,1,,
93BR00129,K4667,90,2,60,,04,1,184,5,1,,DYSTOCIA
93BR00130,K4624,90,2,60,,02,1,183,5,1,,
93BR00131,K4628,90,2,62,,66,1,205,3,1,,
93BR00132,K4686,90,2,62,,67,1,219,3,1,,
