UID,ETAG,AGE,LINE,RMK,BPEN,BGRP,RGRP,FAWT,COND,WORK
97BR00001,A1101,3.0,81,ENTR 1EYE,03,2,0,162,0,W
97BR00002,A1103,3.0,81,,04,2,0,188,0,W
97BR00003,A1109,3.0,73,4TEATS,-FL,F,6,0,0,*
97BR00004,A1133,3.0,ch,4TEATS,AI,A,2,154,0,W
97BR00005,A1134,3.0,ch,,AI,A,2,162,0,W
97BR00006,A1141,3.0,73,,-FL,F,6,0,0,*
97BR00007,A1151,3.0,81,,04,2,0,182,0,W
97BR00008,A1154,3.0,ch,,AI,A,2,196,0,W
97BR00009,A1157,3.0,81,LATE2MILK,03,2,0,138,0,W
97BR00010,A1161,3.0,ch,,AI,A,2,168,0,W
97BR00011,A1169,3.0,ch,,AI,A,2,137,0,W
97BR00012,A1121,3.0,ch,ORPHAN,AI,A,2,119,0,W
97BR00013,A1125,3.0,ch,4TEATS,AI,A,2,164,0,W
97BR00014,A1129,3.0,ch,,AI,A,2,121,0,W
97BR00015,A1183,3.0,81,,02,2,0,152,0,W
97BR00016,A1177,3.0,ch,4TEATS,AI,A,2,196,0,W
97BR00017,A1011,3.0,73,,-FL,F,6,0,0,*
97BR00018,A1014,3.0,81,,01,2,0,200,0,W
97BR00019,A1053,3.0,73,LT'S,-FL,F,6,0,0,*
97BR00020,A1062,3.0,81,,04,2,0,186,0,W
97BR00021,A1024,3.0,81,,01,2,0,159,0,W
97BR00022,A1026,3.0,82,,30,2,0,150,0,W
97BR00023,A1082,3.0,81,,02,2,0,187,0,W
97BR00024,A1088,3.0,ch,,AI,A,2,129,0,W
97BR00025,A1089,3.0,81,,03,2,0,178,0,W
97BR00026,A1090,3.0,81,,01,2,0,156,0,W
97BR00027,A1099,3.0,ch,,AI,A,2,149,0,W
97BR00028,A1073,3.0,81,,02,2,0,131,0,W
97BR00029,A1078,3.0,ch,,AI,A,2,134,0,W
97BR00030,A1079,3.0,ch,,AI,A,2,186,0,W
97BR00031,A1311,3.0,ch,,AI,A,2,126,0,W
97BR00032,A1314,3.0,ch,,AI,A,2,129,0,W
97BR00033,A1315,3.0,ch,ENTR,AI,A,2,144,0,W
97BR00034,A1301,3.0,73,,LIM,3,6,0,0,*
97BR00035,A1331,3.0,82,,28,2,0,177,0,W
97BR00036,A1337,3.0,ch,,AI,A,2,154,0,W
97BR00037,A1346,3.0,ch,SM BAG,AI,A,2,153,0,W
97BR00038,A1347,3.0,ch,,AI,A,2,167,0,W
97BR00039,A1351,3.0,73,HAIRY,LIM,3,6,192,0,W
97BR00040,A1358,3.0,82,,22,2,0,156,0,W
97BR00041,A1365,3.0,82,4TEATS,29,2,0,170,0,W
97BR00042,A1362,3.0,ch,,AI,A,2,135,0,W
97BR00043,A1383,3.0,81,,01,2,0,171,0,W
97BR00044,A1397,3.0,81,,03,2,0,179,0,W
97BR00045,A1374,3.0,73,ENTR,LIM,3,6,200,0,W
97BR00046,A1439,3.0,82,,26,2,0,150,0,W
97BR00047,A1443,3.0,73,,-FL,F,6,0,0,*
97BR00048,A1449,3.0,82,SM BAG,23,2,0,202,0,W
97BR00049,A1452,3.0,82,,21,2,0,170,0,W
97BR00050,A1493,3.0,81,,03,2,0,184,0,W
97BR00051,A1513,3.0,73,,-FL,F,6,0,0,*
97BR00052,A1503,3.0,82,,22,2,0,168,0,W
97BR00053,A1531,2.5,73,,-FL,F,6,0,0,*
97BR00054,A1539,2.5,73,TRT REYE 9/18,-FL,F,6,0,0,*
97BR00055,A1544,2.5,73,,-FL,F,6,0,0,*
97BR00056,A1546,2.5,73,,-FL,F,6,0,0,*
97BR00057,A1556,2.5,73,,-FL,F,6,0,0,*
97BR00058,A1563,2.5,73,,-FL,F,6,0,0,*
97BR00059,A1592,2.5,73,,-FL,F,6,0,0,*
97BR00060,A1574,2.5,73,,-FL,F,6,0,0,*
97BR00061,A1579,2.5,73,BRN SPT L EAR,-FL,F,6,0,0,*
97BR00062,A1610,2.5,73,,-FL,F,6,0,0,*
97BR00063,A1603,2.5,73,,-FL,F,6,0,0,*
97BR00064,A1609,2.5,73,,-FL,F,6,0,0,*
97BR00065,A1637,2.5,73,,-FL,F,6,0,0,*
97BR00066,A1667,2.5,73,,-FL,F,6,0,0,*
97BR00067,A1628,2.5,73,?PG NOT BRED,-FL,F,6,0,0,*
97BR00068,A1629,2.5,73,,-FL,F,6,0,0,*
97BR00069,A1690,2.5,73,,-FL,F,6,156,0,W
97BR00070,A1205,3.0,82,,20,2,0,154,0,W
97BR00071,A1206,3.0,73,,-FL,F,6,0,0,*
97BR00072,A1207,3.0,73,,-FL,F,6,0,0,*
97BR00073,A1234,3.0,81,,01,2,0,186,0,W
97BR00074,A1236,3.0,ch,,AI,A,2,170,0,W
97BR00075,A1232,3.0,ch,,AI,A,2,190,0,W
97BR00076,A1237,3.0,ch,THIN,AI,A,2,134,0,W
97BR00077,A1240,3.0,ch,,AI,A,2,184,0,W
97BR00078,A1242,3.0,ch,,AI,A,2,124,0,W
97BR00079,A1250,3.0,82,SM BAG,25,2,0,182,0,W
97BR00080,A1267,3.0,82,,24,2,0,149,0,W
97BR00081,A1220,3.0,ch,,AI,A,2,169,0,W
97BR00082,A1228,3.0,ch,4TEATS,AI,A,2,169,0,W
97BR00083,A1229,3.0,ch,,AI,A,2,166,0,W
97BR00084,A1280,3.0,ch,FAT,AI,A,2,165,0,W
97BR00085,A1294,3.0,ch,CUT L. SHOULD,AI,A,2,132,0,W
97BR00086,A1810,2.0,73,,-FL,F,6,159,0,W
97BR00087,A1814,2.0,73,,-FL,F,6,181,0,W
97BR00088,A1809,2.0,82,,29,2,0,141,0,W
97BR00089,A1831,2.0,73,,-FL,F,6,0,0,*
97BR00090,A1833,2.0,82,,27,2,0,149,0,W
97BR00091,A1839,2.0,73,,-FL,F,6,164,0,W
97BR00092,A1840,2.0,73,URI,-FL,F,6,145,0,W
97BR00093,A1850,2.0,73,,-FL,F,6,0,0,*
97BR00094,A1855,2.0,81,,01,2,0,153,0,W
97BR00095,A1859,2.0,73,,-FL,F,6,0,0,*
97BR00096,A1861,2.0,82,,20,2,0,143,0,W
97BR00097,A1828,2.0,82,THIN,20,2,0,134,0,W
97BR00098,A1893,2.0,73,,-FL,F,6,170,0,W
97BR00099,A1899,2.0,73,HAIRY,-FL,F,6,130,0,W
97BR00100,A1916,2.0,82,NICE,21,2,0,155,0,W
97BR00101,A1912,2.0,00,PINTO EWE,03,2,1,140,0,W
97BR00102,A1918,2.0,81,DYSTOCIA97,02,2,0,174,0,W
