UID,ETAG,LINE,RMK,IDX,PD,MASTITRT,CUWT,BPEN,BRAND,NOV05,DEC17,IDZ65
02EW00001,A8916,84,,103,1,none,106,e11,Green,118,131,0
02EW00002,A8989,84,,103,1,none,96,e12,Green,105,111,0
02EW00003,A9112,84,,107,1,none,86,e13,Green,88,100,0
02EW00004,A9119,84,,124,1,none,99,e10,Green,105,117,0
02EW00005,A9133,84,,107,1,none,96,e13,Green,104,110,0
02EW00006,A9134,82,,106,1,none,101,e10,Green,106,115,0
02EW00007,A9132,84,,106,1,none,96,e12,Green,111,130,0
02EW00008,A9155,82,,103,1,none,104,e11,Green,107,120,0
02EW00009,A9123,84,,104,1,none,88,e10,Green,99,106,0
02EW00010,A9129,84,,99,1,none,93,e11,Green,101,118,0
02EW00011,A9180,82,,98,1,none,95,e12,Green,97,109,0
02EW00012,A9034,84,,105,1,none,102,e11,Green,113,134,0
02EW00013,A9062,84,,98,1,none,104,e10,Green,116,121,0
02EW00014,A9026,84,,112,1,none,112,e13,Green,114,119,0
02EW00015,A9083,82,,98,1,none,98,e12,Green,104,108,0
02EW00016,A9089,84,,114,1,none,97,e13,Green,101,107,0
02EW00017,A9091,84,,105,1,none,94,e12,Green,99,112,0
02EW00018,A9071,81,,110,1,none,109,e11,Green,123,145,0
02EW00019,A9318,83,,108,1,none,95,e13,Green,105,122,0
02EW00020,A9306,81,,109,1,none,120,e11,Green,128,141,0
02EW00021,A9307,81,,122,1,none,116,e12,Green,129,147,0
02EW00022,A9348,84,,110,1,none,100,e13,Green,107,123,0
02EW00023,A9351,81,,100,1,none,96,e11,Green,115,141,0
02EW00024,A9359,83,,104,1,none,96,e12,Green,101,111,0
02EW00025,A9366,83,,103,1,none,103,e13,Green,105,115,0
02EW00026,A9322,84,,103,1,none,89,e10,Green,96,106,0
02EW00027,A9410,82,,111,1,none,85,e11,Green,103,120,0
02EW00028,A9419,81,TRT.PNEU.,99,1,none,89,e10,Green,99,108,0
02EW00029,A9433,81,,106,1,none,98,e13,Green,121,139,0
02EW00030,A9435,84,,112,1,none,97,e10,Green,106,113,0
02EW00031,A9432,82,,101,1,none,92,e12,Green,109,129,0
02EW00032,A9444,84,,101,1,none,90,e11,Green,100,112,0
02EW00033,A9458,84,,122,1,none,92,e11,Green,96,109,0
02EW00034,A9420,81,,101,1,none,90,e11,Green,109,118,0
02EW00035,A9471,84,,114,1,none,103,e13,Green,106,120,0
02EW00036,A9511,81,4TEATS,103,1,none,94,e12,Green,97,109,0
02EW00037,A9538,84,,105,1,none,92,e13,Green,100,111,0
02EW00038,A9545,81,,110,1,none,94,e10,Green,107,118,0
02EW00039,A9560,82,,102,1,none,93,e11,Green,103,115,0
02EW00040,A9563,82,,101,1,none,90,e12,Green,96,106,0
02EW00041,A9589,83,,102,1,none,93,e12,Green,105,124,0
02EW00042,A9598,81,MSG 11/05/02,119,6,none,93,e10,Green,0,0,0
02EW00043,A9599,81,,118,1,none,93,e11,Green,100,111,0
02EW00044,A9597,81,,119,1,none,94,e13,Green,109,113,0
02EW00045,A9600,83,,100,1,none,88,e12,Green,96,108,0
02EW00046,A9608,82,,109,1,none,104,e13,Green,110,131,0
02EW00047,A9641,84,,112,1,none,98,e11,Green,118,134,0
02EW00048,A9667,84,,109,1,none,86,e13,Green,96,105,0
02EW00049,A9624,84,,100,1,none,85,e10,Green,102,118,0
02EW00050,A9629,84,,105,1,none,97,e10,Green,113,124,0
02EW00051,A9683,81,,117,1,none,93,e10,Green,108,120,0
02EW00052,A9689,84,,102,1,none,88,e10,Green,91,101,0
02EW00053,A9676,81,,113,1,none,90,e12,Green,91,106,0
02EW00054,A9677,81,,116,1,none,101,e13,Green,118,136,0
02EW00055,A9210,84,,118,1,none,96,e10,Green,100,110,0
02EW00056,A9218,83,,107,1,none,92,e13,Green,94,105,0
02EW00057,A9219,83,NICE,114,1,none,84,e10,Green,99,122,0
02EW00058,A9206,84,HAIRY,102,1,none,101,e11,Green,107,127,0
02EW00059,A9235,84,,98,1,none,94,e11,Green,106,122,0
02EW00060,A9239,83,,113,1,none,105,e12,Green,118,133,0
02EW00061,A9241,83,,109,1,none,101,e12,Green,112,127,0
02EW00062,A9247,84,KEEP,102,1,none,115,e12,Green,116,127,0
02EW00063,A9282,82,F2+,100,1,none,94,e10,Green,96,106,0
02EW00064,A9291,82,NICE,110,1,none,117,e11,Green,123,143,0
02EW00065,A9293,84,,104,1,none,98,e12,Green,116,132,0
02EW00066,A9296,82,,117,1,none,109,e13,Green,111,126,0
02EW00067,A9298,81,,109,1,none,103,e10,Green,110,123,0
