UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WT_IN,WDAY_IN,WT_OUT,WDAY_OUT,PREGTEST,IDZ65,CLR,STM
12EW00001,T4101,,.,1,114,e25,0,,134,1130,Preg,0,1,02
12EW00002,T4102,,.,1,93,e24,0,,101,1130,Preg,0,1,02
12EW00003,T4103,,.,1,90,e25,0,,108,1130,Preg,0,1,02
12EW00004,T4106,,4T.BRITCHY,1,104,e23,0,,130,1130,Open,0,1,02
12EW00005,T4108,,HAIRY,1,114,e25,0,,152,1130,Preg,0,1,02
12EW00006,T4109,,3TEAT,1,114,e27,0,,138,1130,Preg,0,1,02
12EW00007,T4115,,4.H,1,93,e27,0,,109,1130,Preg,0,1,02
12EW00008,T4116,,HAIRY,1,94,e23,0,,104,1130,Preg,0,1,02
12EW00009,T4119,,H WAS Z0922,1,94,e23,0,,106,1130,Preg,0,1,02
12EW00010,T4124,,HAIRY,1,88,e27,0,,123,1130,Open,0,1,02
12EW00011,T4129,,.,1,108,e27,0,,138,1130,Preg,0,1,02
12EW00012,T4134,,4TEATS,1,88,e25,0,,114,1130,Open,0,1,02
12EW00013,T4137,,H.4,1,86,e23,0,,107,1130,Open,0,1,02
12EW00014,T4144,,4T.BRITCHY,1,89,e23,0,,111,1130,Open,0,1,02
12EW00015,T4145,,.,1,106,e26,0,,129,1130,Preg,0,1,02
12EW00016,T4146,,.,1,85,e23,0,,95,1130,Preg,0,1,02
12EW00017,T4154,,.,1,82,e27,0,,111,1130,Preg,0,1,02
12EW00018,T4155,,.,1,86,e22,0,,93,1130,Preg,0,1,02
12EW00019,T4156,,.,1,107,e24,0,,121,1130,Preg,0,1,02
12EW00020,T4157,,3T,1,117,e22,0,,119,1130,Preg,0,1,02
12EW00021,T4158,,.,1,108,e27,0,,128,1130,Preg,0,1,02
12EW00022,T4162,,4T.FUZZY!,1,127,e22,0,,116,1130,Open,0,1,02
12EW00023,T4164,,3T.FUZZY.SCOU,1,90,e24,0,,113,1130,Open,0,1,02
12EW00024,T4171,,3T,1,97,e25,0,,132,1130,Open,0,1,02
12EW00025,T4172,,4TEATS,1,85,e22,0,,98,1130,Open,0,1,02
12EW00026,T4173,,4TEATS,1,90,e27,0,,131,1130,Preg,0,1,02
12EW00027,T4174,,.,1,89,e22,0,,106,1130,Open,0,1,02
12EW00028,T4179,,4T.FUZZY,1,90,e27,0,,104,1130,Open,0,1,02
12EW00029,T4181,,4TEATS,1,85,e24,0,,102,1130,Preg,0,1,02
12EW00030,T4182,,PINK.UGLY,1,81,e27,0,,93,1130,Open,0,1,02
12EW00031,T4184,,.,1,87,e25,0,,112,1130,Preg,0,1,02
12EW00032,T4187,,SCOURS,1,82,e22,0,,103,1130,Open,0,1,02
