UID,ETAG,LINE,RMK,IDX,PD,PTRT,CUWT,BPEN,BRAND,NOV03,DEC16
98EW00001,A5007,88,,102,1,,101,e.8,Green,121,138
98EW00002,A5026,82,,101,1,,79,e.9,Green,102,121
98EW00003,A5050,81,,110,1,,95,e.9,Green,111,120
98EW00004,A5057,81,,98,1,,90,e.8,Green,112,128
98EW00005,A5064,82,,95,1,,89,e.8,Green,110,119
98EW00006,A5070,82,HAIRY,93,1,,91,e.9,Green,108,111
98EW00007,A5077,81,OK,105,1,,97,e.8,Green,112,120
98EW00008,A5078,82,,98,1,,91,e.9,Green,109,126
98EW00009,A5079,82,,103,1,,96,e.8,Green,115,133
98EW00010,A5080,82,,99,1,,77,e.9,Green,99,109
98EW00011,A5083,82,,104,1,,93,e.8,Green,111,126
98EW00012,A5085,82,,103,1,,87,e.9,Green,103,116
98EW00013,A5087,81,,102,1,,101,L-7,Green,114,122
98EW00014,A5089,82,,113,1,,106,e.9,Green,119,139
98EW00015,A5102,81,,107,1,,95,e.8,Green,119,142
98EW00016,A5103,82,4TEATS,95,1,,96,L-8,Green,116,129
98EW00017,A5115,81,,102,1,,98,e.9,Green,126,142
98EW00018,A5116,81,4TEATS,116,1,,114,e.8,Green,134,162
98EW00019,A5117,82,,98,1,,91,e.9,Green,114,125
98EW00020,A5123,81,,99,1,,87,L-7,Green,113,127
98EW00021,A5128,81,,108,1,,96,e.8,Green,118,139
98EW00022,A5131,81,4TEATS,98,1,,94,L-7,Green,116,128
98EW00023,A5132,81,,102,1,,105,e.9,Green,129,140
98EW00024,A5139,81,4TEATS,106,1,,100,e.8,Green,114,129
98EW00025,A5152,81,4TEATS,107,1,,104,e.9,Green,133,148
98EW00026,A5153,81,4TEATS,104,1,,98,e.8,Green,118,134
98EW00027,A5155,82,,97,1,,89,e.9,Green,113,130
98EW00028,A5160,82,4TEATS,100,1,,97,e.8,Green,109,120
98EW00029,A5161,82,,99,1,,90,e.9,Green,107,118
98EW00030,A5169,82,"X,R.PROLAPSE",104,3,,90,e.8,Green,108,113
98EW00031,A5179,82,4TEATS,113,1,,103,e.8,Green,123,145
98EW00032,A5180,82,,113,1,,107,L-8,Green,120,138
98EW00033,A5184,81,,107,1,,96,e.9,Green,111,120
98EW00034,A5187,81,,106,1,,100,e.8,Green,126,139
98EW00035,A5190,82,,99,1,,81,e.9,Green,101,112
98EW00036,A5194,81,,102,1,,88,e.8,Green,102,114
98EW00037,A5197,81,,112,1,,90,e.9,Green,111,126
98EW00038,A5212,82,4TEATS,95,1,,88,e.8,Green,102,115
98EW00039,A5217,73,,106,1,,90,L-7,Green,107,117
98EW00040,A5226,73,,102,1,,83,L-7,Green,99,112
98EW00041,A5239,73,HAIRY,97,1,,84,e.9,Green,104,113
98EW00042,A5240,81,,102,1,,92,e.9,Green,107,119
98EW00043,A5242,81,,111,1,,93,e.9,Green,107,117
98EW00044,A5243,81,,108,1,,85,e.8,Green,97,105
98EW00045,A5248,73,,102,1,,81,e.8,Green,94,102
98EW00046,A5252,82,HAIRY,98,1,,101,e.9,Green,114,129
98EW00047,A5260,82,,94,1,,93,e.8,Green,115,129
98EW00048,A5271,73,,97,1,,77,e.9,Green,93,97
98EW00049,A5279,81,4TEATS,100,1,,91,e.8,Green,106,111
98EW00050,A5281,82,4TEATS,104,1,,98,e.9,Green,118,134
98EW00051,A5287,73,4TEATS,98,1,,76,e.8,Green,95,110
98EW00052,A5295,82,,105,1,,84,e.8,Green,99,110
98EW00053,A5297,88,HAIRY,104,1,,94,L-8,Green,116,136
98EW00054,A5301,82,,105,1,,91,e.9,Green,109,125
98EW00055,A5304,88,,97,1,,86,L-7,Green,106,120
98EW00056,A5306,73,,96,1,,80,L-7,Green,89,98
98EW00057,A5319,82,,99,1,,90,e.8,Green,112,129
98EW00058,A5320,82,,98,1,,94,e.9,Green,117,143
98EW00059,A5324,73,HAIRY,100,1,,81,L-7,Green,98,110
98EW00060,A5327,81,ENTR,108,1,,96,e.8,Green,118,137
