UID,ETAG,LINE,RMK,IDX,PD,TRTPEN,CUWT,BPEN,BRAND,PREGPEN,W1018,W1207,IDZ65,CLR,STM,DIETPEN
10EW00001,K4689,,4TEATS,,1,,0,e18,,,,114,,1,06,
10EW00002,L0148,,SMUT,,1,,0,e12,,,,108,,5,PC,
10EW00003,R8454,,.,,3,,0,e15,,,,83,,1,07,
10EW00004,X8680,,4TEATS,,1,,0,e9,,,,94,,1,TC,
10EW00005,X8580,,E1EYE,,1,,101,e2,,,,128,,2,T3,
10EW00006,T3387,,.,,1,,107,,,,,151,,1,02,
10EW00007,T2977,,.,,1,,118,,,,,128,,1,02,
10EW00008,T3422,,.,,1,,80,,,,,92,,1,02,
10EW00009,R8087,,.,,1,,73,e15,,,,92,,1,07,
10EW00010,X8501,,4TEATS,,1,,100,e11,,,,126,,5,S3,
10EW00011,T2854,,SL PINK,,1,,106,,,,,,,1,02,
10EW00012,X8647,,.,,1,,96,e5,,,,124,,1,CM,
10EW00013,X9358,,3RD.H,,1,,79,e27,,,,95,,3,R3,
10EW00014,H6215,,.,,1,,72,e26,,,,87,,1,30,
10EW00015,R8545,,.,,1,,60,e16,,,,68,,1,07,
10EW00016,R8249,,.,,1,,66,e25,,,,78,,1,07,
10EW00017,H6164,,.,,1,,101,e27,,,,132,,1,30,
10EW00018,H6184,,.,,1,,61,e21,,,,73,,1,30,
10EW00019,H6069,,4TEATS,,1,,73,e21,,,,82,,1,30,
10EW00020,T3442,,4T WEAKPASTER,,1,,72,,,,,91,,1,02,
10EW00021,R8553,,.,,1,,78,e28,,,,90,,1,07,
10EW00022,H5693,,.,,1,,81,e24,,,,101,,1,30,
10EW00023,L0176,,.,,1,,87,e12,,,,103,,5,PC,
10EW00024,L0188,,SMUT.,,1,,117,e14,,,,139,,5,PC,
10EW00025,X9268,,.,,1,,59,e28,,,,66,,8,R3,
10EW00026,H6459,,E2,,1,,77,e25,,,,95,,1,30,
10EW00027,X9509,,.,,1,,74,e25,,,,91,,1,R3,
10EW00028,H5668,,.,,1,,80,e21,,,,95,,1,30,
10EW00029,T3075,,.,,1,,74,,,,,79,,1,02,
10EW00030,H5665,,.,,1,,78,e20,,,,96,,1,30,
10EW00031,R8336,,.,,1,,72,e25,,,,89,,1,07,
10EW00032,H6509,,NICE LAMB,,1,,73,e28,,,,93,,1,30,
10EW00033,H6455,,.,,1,,69,e23,,,,81,,1,30,
10EW00034,H5729,,.,,1,,78,e23,,,,98,,1,30,
10EW00035,H6146,,.,,1,,81,e25,,,,91,,1,30,
10EW00036,H6120,,.,,1,,78,e24,,,,108,,1,30,
10EW00037,H5744,,.,,1,,89,e28,,,,106,,1,30,
10EW00038,L0058,,4T WAS X8544,,1,,108,e14,,,,120,,5,PC,
10EW00039,R8309,,.,,1,,88,e27,,,,108,,1,07,
10EW00040,T2878,,4TBRWTON31910,,1,,100,,,,,102,,1,02,
10EW00041,R8085,,.,,1,,63,e15,,,,83,,1,07,
10EW00042,T2875,,.,,1,,90,,,,,105,,1,02,
10EW00043,T2950,,.,,1,,83,,,,,84,,1,02,
10EW00044,T3396,,.,,1,,88,,,,,95,,1,02,
