UID,ETAG,LINE,RMK,IDX,PD,TRTPEN,CUWT,BPEN,BRAND,PREGTEST,W1018,W1207,IDZ65,CLR,STM,DIETPEN
11EW00001,X9817,,4TEATS.SCOURS,0,1,,113,e16,,Preg,,126,0,5,SC,
11EW00002,L0242,,NICE SL E R E,0,1,,124,e15,,Open,,135,0,5,PC,
11EW00003,L0243,,.,0,1,,112,e15,,Open,,127,0,5,PC,
11EW00004,T3541,,3T  SCOURS,0,1,,71,,,,,,0,1,02,
11EW00005,X9818,,E2E,0,1,,98,e7,,Open,,102,0,5,S3,
11EW00006,X9828,,4T.NICE,0,1,,143,e4,,Preg,,155,0,6,97,
11EW00007,T3548,,.,0,1,,77,,,,,,0,1,02,
11EW00008,T3549,,EL EYE HAIRY,0,1,,90,e26,,Open,,122,0,1,02,
11EW00009,T3551,,.,0,1,,91,e26,,Open,,94,0,1,02,
11EW00010,T3553,,2ND,0,1,,94,e26,,Open,,81,0,1,02,
11EW00011,T3554,,.,0,1,,96,e26,,Open,,115,0,1,02,
11EW00012,T3555,,.,0,1,,86,e26,,Open,,95,0,1,02,
11EW00013,L0264,,SCOURS,0,1,,111,e15,,Preg,,112,0,3,PC,
11EW00014,T3557,,.,0,1,,105,e25,,Preg,,130,0,1,02,
11EW00015,X9850,,4TEATS SCOURS,0,1,,110,e16,,Preg,,119,0,5,SC,
11EW00016,L0267,,.,0,1,,136,e14,,,,0,0,2,PC,
11EW00017,L0268,,.,0,1,,121,e13,,Preg,,133,0,5,PC,
11EW00018,T3559,,.,0,1,,107,e26,,Open,,108,0,1,02,
11EW00019,X9856,,NICE LAMB,0,1,,136,e5,,Preg,,125,0,6,97,
11EW00020,T3562,,.,0,1,,108,e26,,Open,,122,0,1,02,
11EW00021,T3563,,4TEATS,0,1,,94,e26,,Open,,117,0,1,02,
11EW00022,X9859,,.,0,1,,116,e16,,Open,,120,0,5,CS,
11EW00023,X9862,,4T LAME RH,0,3,,124,e7,,Preg,,135,0,8,S3,
11EW00024,K4741,,.,0,1,,88,e1,,Open,,99,0,1,06,
11EW00025,L0274,,4TEATS,0,1,,99,e14,,Open,,112,0,3,PC,
11EW00026,T3565,,NICE LAMB,0,1,,111,e25,,Preg,,129,0,1,02,
11EW00027,X9875,,SCOURS,0,1,,106,e16,,Open,,105,0,5,CS,
11EW00028,T3566,,.,0,1,,101,e26,,Open,,125,0,1,02,
11EW00029,T3568,,4T.PINK,0,1,,83,e26,,Open,,100,0,1,02,
11EW00030,L0278,,NICE LAMB SCO,0,1,,114,e13,,Preg,,123,0,5,PC,
11EW00031,L0281,,4T.NICE.SCOUR,0,1,,106,e15,,Open,,121,0,1,06,
11EW00032,K4749,,BLK.L.EYE.BRN,0,3,,106,e2,,Open,,116,0,2,PC,
11EW00033,L0283,,.,0,3,,93,e14,,Open,,112,0,5,PC,
11EW00034,L0285,,SL.E.R.EYE,0,1,,108,e14,,Preg,,129,0,5,PC,
11EW00035,X9889,,2ND,0,1,,110,e16,,Preg,,87,0,5,CS,
11EW00036,X9890,,BRN.SPT.BTH.H,0,1,,101,e3,,Open,,108,0,2,C3,
11EW00037,X9895,,.SCOURS,0,1,,107,e5,,Preg,,116,0,6,97,
11EW00038,T3574,,4T.HAIRY.NICE,0,1,,110,e26,,Open,,126,0,1,02,
11EW00039,X9896,,.,0,1,,102,e16,,Open,,108,0,5,CS,
11EW00040,X9900,,TAIL.CHEWED,0,1,,123,e5,,Preg,,117,0,6,97,
11EW00041,T3583,,4T.E.L.E,0,1,,117,e26,,Open,,156,0,1,02,
11EW00042,X9904,,E2E.NICE,0,1,,95,e7,,Open,,106,0,5,S3,
11EW00043,L0291,,BRITCHY.NICE,0,1,,104,e14,,Preg,,114,0,5,PC,
11EW00044,L0293,,.,0,1,,101,e15,,Preg,,105,0,5,PC,
11EW00045,L0296,,SCOURS.BRITCH,0,1,,114,e15,,Open,,126,0,2,PC,
11EW00046,T3587,,.,0,1,,85,,,,,,0,1,02,
11EW00047,L0297,,4T.NICE,0,1,,122,e13,,Preg,,127,0,5,PC,
11EW00048,X9915,,NICE LAMB,0,1,,109,e6,,Preg,,126,0,1,CM,
11EW00049,X9917,,.,0,1,,78,e6,,Open,,84,0,1,CM,
11EW00050,L0304,,.,0,1,,92,e15,,Open,,108,0,5,PC,
11EW00051,T3598,,HAIRY,0,1,,90,e26,,Open,,97,0,1,02,
11EW00052,T3599,,4T.NICE,0,1,,102,e21,,Open,,125,0,1,02,
11EW00053,X9927,,HAIRY,0,3,,93,e3,,Preg,,92,0,1,C3,
11EW00054,T3602,,BRITCHY,0,1,,79,,,,,,0,1,02,
11EW00055,T3603,,4TEATS,0,1,,108,e26,,Open,,116,0,1,02,
11EW00056,T3604,,E2E,0,1,,86,e26,,Open,,91,0,1,02,
11EW00057,T3605,,E.L.EYE,0,1,,89,e26,,Open,,106,0,1,02,
11EW00058,X9929,,Bgrp 1,0,1,,95,13,,Preg,,102,0,9,BL,
11EW00059,X9932,,4T.NICE,0,1,,128,e16,,Preg,,129,0,5,CS,
11EW00060,L0306,,4T.HAIRY.NICE,0,3,,128,e14,,Preg,,150,0,5,PC,
11EW00061,T3620,,HAIRY.SCOURS,0,1,,94,e26,,Open,,110,0,1,02,
11EW00062,T3621,,PINK.HAIRY,0,1,,108,e21,,Preg,,120,0,1,02,
11EW00063,L0309,,E.R.EYE,0,3,,88,e14,,Preg,,96,0,2,PC,
11EW00064,L0312,,4T.E.L.EYEBRN,0,1,,91,e13,,Open,,109,0,2,PC,
11EW00065,X9953,,NICE LAMB,0,3,,119,e7,,Preg,,118,0,5,S3,
11EW00066,L0313,,4T.HAIRY.NICE,0,1,,98,e13,,Preg,,114,0,2,PC,
11EW00067,L0314,,N.BRITCHY SCO,0,1,,107,e15,,Preg,,121,0,5,PC,
11EW00068,T3629,,NICE LAMB,0,1,,100,e26,,Open,,113,0,1,02,
11EW00069,L0317,,.,0,1,,117,e15,,Preg,,121,0,5,PC,
11EW00070,T3635,,.,0,1,,0,,,,,,0,1,02,
11EW00071,H6539,,.,0,1,,100,e10,,Preg,,118,0,1,30,
11EW00072,X9963,,4T.NICE,0,1,,119,e16,,Preg,,130,0,5,SC,
11EW00073,X9968,,.,0,1,,99,e16,,Preg,,106,0,5,SC,
11EW00074,T3638,,NICE LAMB,0,1,,102,e21,,Preg,,133,0,1,02,
11EW00075,T3640,,.,0,1,,90,e26,,Open,,94,0,1,02,
11EW00076,X9973,,.,0,1,,112,e4,,Preg,,124,0,6,97,
11EW00077,X9975,,.,0,1,,107,e5,,Preg,,112,0,6,97,
11EW00078,T3644,,HAIRY.NICE,0,1,,89,e26,,Open,,111,0,1,02,
11EW00079,T3645,,P.N.SCOUR BAL,0,1,,123,e21,,Preg,,134,0,1,02,
11EW00080,L0324,,ERE.3T SCOURS,0,1,,111,e14,,Preg,,130,0,5,PC,
11EW00081,L0325,,4TEATS,0,3,,92,e14,,Preg,,104,0,5,PC,
11EW00082,L0326,,E.R.EYE.H.N.,0,1,,133,e13,,Preg,,153,0,5,PC,
11EW00083,X9978,,PINK.BRITCHY,0,1,,122,e6,,Preg,,131,0,1,CM,
11EW00084,X9979,,3T.E.L.EYE,0,1,,127,e16,,Preg,,119,0,5,CS,
11EW00085,T3648,,2NDH,0,1,,78,,,,,,0,1,02,
11EW00086,X9984,,.,0,1,,113,e7,,Open,,127,0,5,S3,
11EW00087,K4764,,PINK.E.L.EYE,0,3,,94,e1,,Open,,100,0,1,06,
11EW00088,T3653,,4T.PINK,0,1,,98,e26,,Open,,112,0,1,02,
11EW00089,T3654,,4T.PINK,0,1,,79,,,,,,0,1,02,
11EW00090,T3656,,PINK,0,1,,102,e22,,Preg,,118,0,1,02,
11EW00091,T3657,,.,0,1,,64,,,Open,,,0,1,02,
11EW00092,T3661,,2ND.E.R.E SCO,0,1,,100,e26,,Open,,116,0,1,02,
11EW00093,T3662,,.,0,1,,86,e26,,Open,,110,0,1,02,
11EW00094,X9989,,4TEATS,0,1,,100,e7,,Preg,,96,0,5,S3,
11EW00095,T3664,,BRITCHY.4T,0,1,,88,e26,,Open,,101,0,1,02,
11EW00096,T3666,,HAIRY,0,1,,116,e26,,Open,,122,0,1,02,
11EW00097,T3677,,.,0,1,,81,e26,,Open,,98,0,1,02,
11EW00098,X9998,,SCOURS,0,1,,111,e4,,Preg,,124,0,6,97,
11EW00099,T3678,,HAIRY SCOURS,0,1,,89,e26,,Open,,104,0,1,02,
11EW00100,T3679,,HAIRY,0,1,,72,,,Open,,,0,1,02,
11EW00101,T3682,,3T,0,1,,101,e26,,Open,,115,0,1,02,
11EW00102,L0333,,E.L.EYEBLSPTR,0,1,,119,e13,,Preg,,126,0,2,PC,
11EW00103,Z0011,,.,0,1,,131,e16,,Preg,,131,0,5,SC,
11EW00104,T3689,,NICE LAMB,0,1,,106,e22,,Open,,111,0,1,02,
11EW00105,Z0013,,HAIRY,0,1,,106,e16,,Open,,113,0,5,SC,
11EW00106,Z0014,,.,0,3,,105,e16,,Open,,114,0,5,SC,
11EW00107,T3693,,4TEATS,0,1,,100,e26,,Open,,112,0,1,02,
11EW00108,Z0017,,E.R.EYE,0,1,,95,e7,,Open,,102,0,5,S3,
11EW00109,T3697,,.,0,1,,104,e26,,Open,,120,0,1,02,
11EW00110,Z0019,,.,0,1,,115,e16,,Preg,,114,0,5,SC,
11EW00111,L0345,,NICE.E2E,0,1,,129,e14,,Preg,,132,0,5,PC,
11EW00112,Z0020,,.,0,1,,116,e16,,Preg,,120,0,5,SC,
11EW00113,K4772,,2ND.4TEATS,0,1,,93,e2,,Preg,,105,0,1,06,
11EW00114,T3703,,3T.HAIRY,0,1,,91,e26,,Open,,109,0,1,02,
11EW00115,L0346,,3TBRNSPTTAILS,0,1,,100,e13,,Preg,,108,0,5,PC,
11EW00116,L0348,,.,0,1,,94,e13,,Open,,101,0,5,PC,
11EW00117,T3704,,HAIRY,0,1,,94,e26,,Open,,110,0,1,02,
11EW00118,T3706,,PINK.UGLY,0,1,,100,e26,,Open,,114,0,1,02,
11EW00119,T3707,,.,0,1,,87,e26,,Open,,83,0,1,02,
11EW00120,Z0029,,HAIRY.E2E,0,1,,113,e6,,Preg,,116,0,1,CM,
11EW00121,L0349,,HAIRY.E.L.EYE,0,1,,113,e15,,Preg,,125,0,1,PC,
11EW00122,L0340,,3T SCOURS,0,1,,102,e13,,Open,,114,0,5,PC,
11EW00123,L0351,,4TEATS,0,1,,106,e13,,Preg,,109,0,5,PC,
11EW00124,T3719,,.,0,1,,96,e26,,Open,,108,0,1,02,
11EW00125,T3722,,.,0,1,,116,e22,,Preg,,135,0,1,02,
11EW00126,T3724,,HAIRY,0,1,,109,e26,,Open,,100,0,1,02,
11EW00127,T3725,,HAIRY,0,1,,112,e26,,Open,,123,0,1,02,
11EW00128,L0358,,.,0,1,,98,e15,,Open,,117,0,3,PC,
11EW00129,T3728,,ENTROPION,0,1,,91,e26,,Open,,115,0,1,02,
11EW00130,K4776,,4TEATS,0,1,,87,e1,,Preg,,99,0,1,06,
11EW00131,Z0037,,.,0,1,,109,e7,,Preg,,119,0,5,S3,
11EW00132,Z0038,,E1E,0,1,,105,e7,,Preg,,111,0,5,S3,
11EW00133,T3729,,E1E,0,1,,81,e26,,Open,,97,0,1,02,
11EW00134,L0359,,H. E.R.EYESCO,0,1,,86,e13,,Preg,,90,0,3,PC,
11EW00135,Z0043,,.,0,3,,93,e5,,Preg,,84,0,6,97,
11EW00136,T3738,,4TEATS,0,1,,98,e26,,Open,,107,0,1,02,
11EW00137,Z0047,,4TEATS,0,1,,102,e16,,Open,,104,0,5,CS,
11EW00138,L0362,,.,0,1,,114,e14,,Preg,,126,0,5,PC,
11EW00139,T3741,,.,0,1,,103,e26,,Open,,106,0,1,02,
11EW00140,Z0048,,.,0,1,,107,e5,,Open,,111,0,6,97,
11EW00141,T3751,,4TEATS,0,1,,84,e26,,Open,,97,0,1,02,
11EW00142,T3753,,4TEATS,0,1,,89,e26,,Open,,105,0,1,02,
11EW00143,T3755,,.,0,1,,94,e25,,Open,,109,0,1,02,
11EW00144,T3756,,4TEATS,0,1,,90,e26,,Open,,104,0,1,02,
11EW00145,K4782,,4TEATS,0,1,,101,e2,,Open,,113,0,1,06,
11EW00146,K4783,,SCOURS,0,1,,94,e2,,Open,,89,0,1,06,
11EW00147,L0367,,4TEATS,0,3,,100,e15,,Preg,,113,0,5,PC,
11EW00148,L0368,,.,0,1,,94,e14,,Open,,82,0,2,PC,
11EW00149,L0369,,.,0,1,,94,e13,,Preg,,97,0,5,PC,
11EW00150,L0371,,4TEATS,0,1,,125,e13,,Preg,,136,0,5,PC,
11EW00151,L0374,,.,0,1,,103,e14,,Open,,111,0,2,PC,
11EW00152,T3759,,.,0,1,,103,e26,,Open,,119,0,1,02,
11EW00153,T3760,,.,0,1,,81,e26,,Open,,101,0,1,02,
11EW00154,Z0059,,4TEATS,0,1,,120,e4,,Preg,,126,0,6,97,
11EW00155,T3763,,.,0,1,,116,e26,,Open,,136,0,1,02,
11EW00156,T3765,,E2E,0,1,,106,e26,,Open,,124,0,1,02,
11EW00157,T3766,,.,0,1,,95,,,,,,0,1,02,
11EW00158,Z0067,,4TEATS,0,1,,103,e7,,Preg,,113,0,5,S3,
11EW00159,T3770,,.,0,1,,71,,,Open,,,0,1,02,
11EW00160,T3772,,.,0,1,,76,,,Open,,,0,1,02,
11EW00161,L0380,,E2E,0,1,,118,e15,,Preg,,131,0,5,PC,
11EW00162,Z0072,,.,0,1,,98,e7,,Preg,,104,0,5,S3,
11EW00163,T3776,,4TEATS,0,1,,100,e26,,Open,,109,0,1,02,
11EW00164,L0387,,.,0,1,,122,e15,,Preg,,133,0,5,PC,
11EW00165,L0388,,.,0,1,,113,e13,,Preg,,128,0,5,PC,
11EW00166,H6548,,.,0,1,,93,e10,,Preg,,114,0,1,30,
11EW00167,Z0077,,RFBumblFtPull,0,3,,101,e3,,Open,,116,0,5,C3,
11EW00168,Z0078,,E1E,0,1,,138,e7,,Preg,,122,0,5,S3,
11EW00169,T3789,,.,0,1,,132,e26,,Open,,149,0,1,02,
11EW00170,H6549,,.,0,1,,98,e10,,Preg,,114,0,1,30,
11EW00171,T3791,,1ST3T.SCOURS,0,1,,86,e21,,Open,,96,0,1,02,
11EW00172,T3793,,4T.RFLEGBLACK,0,1,,73,,,,,,0,8,02,
11EW00173,Z0087,,4T.NICE,0,1,,120,e4,,Preg,,122,0,6,97,
11EW00174,Z0090,,NICE.E2EVETFI,0,3,,124,e7,,Preg,,116,0,5,S3,
11EW00175,T3795,,NICE LAMB,0,1,,106,e24,,Preg,,117,0,1,02,
11EW00176,Z0092,,5T.HAIRY,0,1,,119,e16,,Open,,123,0,5,SC,
11EW00177,K4788,,E2E,0,1,,103,e1,,Open,,109,0,1,06,
