UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_IN,WDAY_IN,WT_OUT,WDAY_OUT,WTWIN,WDAYW,SL,F,H,PREGTEST,IDZ65,CLR,STM
23EW00001,A1770,,1ST,1,89,e1,W,106,1024,127,1128,112,1212,,3+,,Preg,,1,30
23EW00002,A1771,,2ND,1,103,e1,W,112,1024,120,1128,117,1212,,3+,,Preg,,1,30
23EW00003,A1774,,.,1,98,e2,W,107,1024,118,1128,118,1212,,3-,,Preg,,1,30
23EW00004,A1775,,.,1,98,e2,W,108,1024,122,1128,117,1212,,3,,Preg,,1,30
23EW00005,A1777,,.,1,108,e2,W,109,1024,128,1128,131,1212,,3+,,Preg,,1,30
23EW00006,A1779,,.,1,91,e2,W,97,1024,112,1128,113,1212,,2,,Preg,,1,30
23EW00007,A1786,,.,1,99,e2,W,111,1024,122,1128,122,1212,,3,,Open,,1,30
23EW00008,A1789,,.,1,100,e2,W,87,1024,109,1128,108,1212,,4,,Open,,1,30
23EW00009,A1805,,.,1,105,e1,W,114,1024,136,1128,130,1212,,3+,,Preg,,1,30
23EW00010,A1806,,.,1,100,e1,W,116,1024,140,1128,124,1212,,3,,Open,,1,30
23EW00011,A1808,,2ND,1,91,e1,W,102,1024,114,1128,116,1212,,3,,Open,,1,30
23EW00012,A1816,,.,1,97,e3,W,107,1024,120,1128,117,1212,,3+,,Preg,,1,30
23EW00013,A1817,,.,1,97,e2,W,106,1024,117,1128,,,,,,,,1,30
23EW00014,A1818,,.,1,87,e2,W,101,1024,119,1128,116,1212,,2-,,Preg,,2,30
23EW00015,A1821,,.,1,94,e1,W,118,1024,125,1128,122,1212,,1-,,Open,,2,30
23EW00016,A1824,,.,1,116,e3,W,130,1024,147,1128,142,1212,,3,,Preg,,2,30
23EW00017,A1826,,.,1,92,e3,W,95,1024,106,1128,109,1212,,4-,,Preg,,2,30
23EW00018,A1832,,.,1,90,e3,W,105,1024,124,1128,122,1212,,3,,Preg,,2,30
23EW00019,A1837,,HAIRY,1,91,e3,W,101,1024,111,1128,107,1212,,3+,,Preg,,2,30
23EW00020,A1843,,.,1,90,e1,W,103,1024,119,1128,116,1212,,4+,,Preg,,2,30
23EW00021,A1845,,.,1,101,e2,W,101,1024,116,1128,116,1212,,3,,Open,,2,30
23EW00022,A1846,,.,1,94,e2,W,102,1024,114,1128,113,1212,,3,,Preg,,2,30
23EW00023,A1848,,.,1,107,e1,W,118,1024,138,1128,136,1212,,3-,,Preg,,2,30
23EW00024,A1849,,.,1,99,e1,W,109,1024,123,1128,124,1212,,3,,Preg,,2,30
23EW00025,A1851,,Open->Preg,1,88,e3,W,95,1024,116,1128,117,1212,,3,,Preg,,1,30
23EW00026,A1853,,.,1,105,e1,W,114,1024,123,1128,119,1212,,3,,Preg,,1,30
23EW00027,A1857,,.,1,92,e1,W,95,1024,109,1128,107,1212,,4+,,Preg,,1,30
23EW00028,A1860,,.,1,80,e2,W,91,1024,102,1128,101,1212,,2-,,Open,,1,30
23EW00029,A1862,,.,1,107,e2,W,124,1024,135,1128,134,1212,,4+,,Preg,,1,30
23EW00030,A1872,,.,1,99,e2,W,97,1024,118,1128,116,1212,,3,,Preg,,1,30
23EW00031,A1875,,.,1,90,e1,W,106,1024,121,1128,111,1212,,3-,,Preg,,1,30
23EW00032,A1880,,1ST,1,83,e3,W,77,1024,106,1128,100,1212,,3-,,Preg,,1,30
23EW00033,A1883,,.,1,94,e1,W,109,1024,122,1128,120,1212,,2+,,Preg,,1,30
23EW00034,A1891,,.,1,101,e2,W,107,1024,127,1128,122,1212,,3+,,Preg,,1,30
23EW00035,A1896,,.,1,85,e2,W,87,1024,102,1128,102,1212,,3+,,Open,,1,30
23EW00036,A1897,,.,1,89,e2,W,89,1024,98,1128,83,1212,,3,,,,1,30
23EW00037,A1900,,.,1,89,e3,W,102,1024,113,1128,112,1212,,3,,Preg,,1,30
23EW00038,A1903,,.,1,88,e1,W,98,1024,114,1128,116,1212,,3-,,Preg,,1,30
23EW00039,A1907,,.,1,103,e3,W,112,1024,122,1128,124,1212,,3-,,Preg,,1,30
23EW00040,A1917,,.,1,98,e3,W,109,1024,123,1128,120,1212,,3,,Open,,1,30
23EW00041,A1920,,.,1,97,e2,W,108,1024,122,1128,124,1212,,4,,Open,,1,30
23EW00042,A1921,,.,1,94,e2,W,94,1024,107,1128,110,1212,,3-,,Preg,,1,30
23EW00043,A1928,,.,1,83,e3,W,87,1024,98,1128,96,1212,,4,,Preg,,2,30
23EW00044,A1930,,HAIRY,1,92,e1,W,101,1024,116,1128,109,1212,,3,,Preg,,1,30
23EW00045,A1934,,.,1,100,e2,W,106,1024,122,1128,118,1212,,3,,Preg,,2,30
23EW00046,A1943,,Open->Preg,1,92,e3,W,103,1024,120,1128,109,1212,,3,,Preg,,2,30
23EW00047,A1955,,.,1,88,e3,W,102,1024,108,1128,107,1212,,3,,Preg,,2,30
23EW00048,A1957,,.,1,85,e2,W,95,1024,101,1128,105,1212,,3-,,Open,,1,30
23EW00049,A1963,,.,1,114,e3,W,117,1024,134,1128,139,1212,,,,,,2,30
23EW00050,A1965,,.,1,98,e3,W,114,1024,135,1128,125,1212,,3-,,Open,,2,30
23EW00051,A1970,,HAIRY,1,114,e3,W,124,1024,140,1128,134,1212,,,,Preg,,2,30
23EW00052,A1973,,.,1,89,e1,W,96,1024,111,1128,105,1212,,3,,Preg,,2,30
23EW00053,A1974,,.,1,84,e1,W,77,1024,98,1128,100,1212,,5,,Preg,,1,30
23EW00054,A1981,,.,1,86,e1,W,100,1024,117,1128,114,1212,,5,,Preg,,1,30
23EW00055,A1982,,.,1,87,e1,W,108,1024,124,1128,114,1212,,4,,Preg,,1,30
23EW00056,A1993,,.,1,95,e3,W,103,1024,116,1128,107,1212,,4+,,Open,,1,30
23EW00057,A1995,,.,1,83,e3,W,106,1024,122,1128,106,1212,,3,,Open,,1,30
23EW00058,A1996,,.,1,89,e3,W,102,1024,119,1128,113,1212,,2-,,Preg,,1,30
23EW00059,A1997,,.,1,80,e3,W,92,1024,113,1128,107,1212,,4-,,Preg,,1,30
23EW00060,A1998,,.,1,92,e3,W,102,1024,113,1128,112,1212,,,,Preg,,1,30
23EW00061,A2005,,.,1,94,e3,W,100,1024,116,1128,113,1212,,3+,,Open,,1,30
23EW00062,A2007,,1ST,1,87,e3,W,96,1024,113,1128,108,1212,,3-,,Preg,,1,30
23EW00063,A2010,,.,1,91,e1,W,105,1024,121,1128,110,1212,,4,,Preg,,1,30
