UID,ETAG,LINE,RMK,IDX,PD,BRDGTRT,CUWT,BPEN,BRAND,OCT18,DEC14,IDZ65,DATEOUT,HGRP,MARKED,PREG,SETRT,RETRT,CLR,STM
05EW00001,03116,m3,,0,1,Marc,88, 1,Purple,115,140,0,2005-12-14,,,1,,,5,m3
05EW00002,03118,m3,,0,1,Marc,104, 7,Purple,144,170,0,2005-12-14,,,0,,,5,m3
05EW00003,03101,m3,,0,1,Marc,104, 3,Purple,121,141,0,2005-12-14,,,1,,,5,m3
05EW00004,03100,m3,,0,1,Marc,107, 6,Purple,132,158,0,2005-12-14,,,1,,,5,m3
05EW00005,03104,m3,,0,1,Marc,99, 1,Purple,125,148,0,2005-12-14,,,0,,,5,m3
05EW00006,03107,m3,,0,1,Marc,106, 6,Purple,134,159,0,2005-12-14,,,1,,,5,m3
05EW00007,03133,m3,,0,1,Marc,98, 4,Purple,124,159,0,2005-12-14,,,1,,,5,m3
05EW00008,03138,m3,,0,1,Marc,97, 8,Purple,115,139,0,2005-12-14,,,1,,,5,m3
05EW00009,03145,m3,,0,1,Marc,85, 5,Purple,108,127,0,2005-12-14,,,1,,,5,m3
05EW00010,03151,m3,,0,1,Marc,129, 2,Purple,144,168,0,2005-12-14,,,1,,,5,m3
05EW00011,03123,m3,,0,1,Marc,90, 3,Purple,111,133,0,2005-12-14,,,1,,,5,m3
05EW00012,03127,m3,,0,1,Marc,98, 3,Purple,123,132,0,2005-12-14,,,1,,,5,m3
05EW00013,03180,m3,,0,1,Marc,95, 1,Purple,123,145,0,2005-12-14,,,1,,,5,m3
05EW00014,03191,m3,,0,1,Marc,96, 7,Purple,127,145,0,2005-12-14,,,1,,,5,m3
05EW00015,03193,m3,,0,1,Marc,95, 2,Purple,124,145,0,2005-12-14,,,1,,,5,m3
05EW00016,03194,m3,,0,1,Marc,109, 3,Purple,141,161,0,2005-12-14,,,1,,,5,m3
05EW00017,03172,m3,,0,1,Marc,107, 4,Purple,127,152,0,2005-12-14,,,1,,,5,m3
05EW00018,03178,m3,,0,1,Marc,80, 6,Purple,110,128,0,2005-12-14,,,1,,,5,m3
05EW00019,03012,m3,,0,1,Marc,87, 4,Purple,127,141,0,2005-12-14,,,1,,,5,m3
05EW00020,03006,m3,,0,1,Marc,97, 4,Purple,143,164,0,2005-12-14,,,1,,,5,m3
05EW00021,03031,m3,,0,1,Marc,95, 5,Purple,142,167,0,2005-12-14,,,1,,,5,m3
05EW00022,03034,m3,,0,1,Marc,127, 6,Purple,157,184,0,2005-12-14,,,1,,,5,m3
05EW00023,03036,m3,,0,1,Marc,90, 5,Purple,115,142,0,2005-12-14,,,1,,,5,m3
05EW00024,03045,m3,,0,1,Marc,109, 2,Purple,148,170,0,2005-12-14,,,1,,,5,m3
05EW00025,03056,m3,,0,1,Marc,104, 3,Purple,145,173,0,2005-12-14,,,1,,,5,m3
05EW00026,03068,m3,,0,1,Marc,101, 1,Purple,137,163,0,2005-12-14,,,1,,,5,m3
05EW00027,03021,m3,,0,1,Marc,112, 2,Purple,148,168,0,2005-12-14,,,1,,,5,m3
05EW00028,03084,m3,,0,1,Marc,100, 2,Purple,122,137,0,2005-12-14,,,1,,,5,m3
05EW00029,03082,m3,,0,1,Marc,96, 6,Purple,121,149,0,2005-12-14,,,1,,,5,m3
05EW00030,03096,m3,,0,1,Marc,105, 8,Purple,134,156,0,2005-12-14,,,1,,,5,m3
05EW00031,03098,m3,,0,1,Marc,118, 8,Purple,140,166,0,2005-12-14,,,1,,,5,m3
05EW00032,03071,m3,,0,1,Marc,94, 8,Purple,121,139,0,2005-12-14,,,1,,,5,m3
05EW00033,03072,m3,,0,1,Marc,109, 7,Purple,142,162,0,2005-12-14,,,1,,,5,m3
05EW00034,03078,m3,,0,1,Marc,113, 1,Purple,125,145,0,2005-12-14,,,1,,,5,m3
05EW00035,03315,m3,,0,1,Marc,103, 1,Purple,126,148,0,2005-12-14,,,1,,,5,m3
05EW00036,03312,m3,,0,1,Marc,92, 1,Purple,122,139,0,2005-12-14,,,1,,,5,m3
05EW00037,03300,m3,,0,1,Marc,115, 4,Purple,134,169,0,2005-12-14,,,1,,,5,m3
05EW00038,03332,m3,,0,1,Marc,102, 5,Purple,121,143,0,2005-12-14,,,1,,,5,m3
05EW00039,03339,m3,,0,1,Marc,86, 3,Purple,112,134,0,2005-12-14,,,0,,,5,m3
05EW00040,03343,m3,,0,1,Marc,89, 5,Purple,104,125,0,2005-12-14,,,1,,,5,m3
05EW00041,03364,m3,,0,1,Marc,84, 6,Purple,108,127,0,2005-12-14,,,1,,,5,m3
05EW00042,03329,m3,,0,1,Marc,114, 2,Purple,137,153,0,2005-12-14,,,1,,,5,m3
05EW00043,03380,m3,,0,1,Marc,94, 5,Purple,124,149,0,2005-12-14,,,1,,,5,m3
05EW00044,03389,m3,,0,1,Marc,90, 6,Purple,117,146,0,2005-12-14,,,1,,,5,m3
05EW00045,03396,m3,,0,1,Marc,77, 1,Purple,104,117,0,2005-12-14,,,1,,,5,m3
05EW00046,03372,m3,,0,1,Marc,92, 7,Purple,115,138,0,2005-12-14,,,1,,,5,m3
05EW00047,03210,m3,,0,1,Marc,114, 3,Purple,145,166,0,2005-12-14,,,1,,,5,m3
05EW00048,03205,m3,,0,1,Marc,91, 4,Purple,111,126,0,2005-12-14,,,1,,,5,m3
05EW00049,03202,m3,,0,1,Marc,102, 4,Purple,131,150,0,2005-12-14,,,1,,,5,m3
05EW00050,03209,m3,,0,1,Marc,100, 2,Purple,122,141,0,2005-12-14,,,1,,,5,m3
05EW00051,03207,m3,,0,1,Marc,119, 7,Purple,149,168,0,2005-12-14,,,1,,,5,m3
05EW00052,03234,m3,,0,1,Marc,117, 5,Purple,143,178,0,2005-12-14,,,1,,,5,m3
05EW00053,03235,m3,,0,1,Marc,83, 6,Purple,118,137,0,2005-12-14,,,1,,,5,m3
05EW00054,03250,m3,,0,1,Marc,92, 8,Purple,109,126,0,2005-12-14,,,1,,,5,m3
05EW00055,03221,m3,,0,1,Marc,104, 8,Purple,133,159,0,2005-12-14,,,1,,,5,m3
