UID,ID10,BRD,ETAG,GRFL,GRADE,FLGR1,SEX,SHDAY,DAYSH,GROUP,BGRP,RMK
05SH00001,2003114177,11,R4177,12.0,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00002,2003449460,44,T9460,12.0,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00003,2000641450,64,K1450,12.8,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00004,2003642959,64,K2959,13.8,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00005,2003449527,44,T9527,12.8,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00006,2002113004,11,R3004,14.0,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00007,2002449273,44,T9273,10.8,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00008,2002113176,11,R3176,14.0,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00009,2002049750,04,A9750,9.4,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH00010,2002050220,05,P0220,10.8,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH02623,2004115209,11,R5209,5.8,62,3,2,2005-03-14,73,YRLG EWE,4,
05SH02624,2004114904,11,R4904,6.6,60,4,2,2005-03-14,73,YRLG EWE,4,
05SH02625,2004050761,05,H0761,4.6,60,4,2,2005-03-14,73,YRLG EWE,4,
05SH02626,2004051013,05,H1013,6.0,60,4,2,2005-03-14,73,YRLG EWE,4,
05SH02627,2004449886,44,T9886,6.6,62,3,2,2005-03-14,73,YRLG EWE,4,
05SH02628,2004449885,44,T9885,6.6,60,4,2,2005-03-14,73,YRLG EWE,4,
05SH02629,2004115112,11,R5112,5.8,62,3,2,2005-03-14,73,YRLG EWE,4,
05SH02630,2004051165,05,H1165,5.8,60,4,2,2005-03-14,73,YRLG EWE,4,
05SH02631,2004820899,82,X0899,6.0,58,5,2,2005-03-14,73,YRLG EWE,4,
05SH02632,2003449729,44,T9729,9.8,62,3,2,2005-03-13,72,BAND 1,1,missing
