UID,ETAG,DATE,KG,LBS,FLWT,GRFL,GRADE
21SH00001,A0006,2021-02-10,95,208,70,7.0,A2
21SH00002,A0009,2021-02-10,90,198,90,9.0,A4
21SH00003,A0013,2021-02-11,121,266,130,13.0,A
21SH00004,A0032,2021-02-10,86,188,70,7.0,A2
21SH00005,A0049,2021-02-10,90,197,80,8.0,A4
21SH00006,A0059,2021-02-10,95,209,80,8.0,A4
21SH00007,A0061,2021-02-10,83,182,80,8.0,A
21SH00008,A0070,2021-02-10,84,185,70,7.0,A
21SH00009,A0073,2021-02-10,104,228,90,9.0,A
21SH00010,A0081,2021-02-10,90,197,70,7.0,A4
21SH02498,Z8457,2021-02-11,64,140,80,8.0,YA
21SH02499,Z8458,2021-02-11,64,141,100,10.0,YAA
21SH02500,Z8472,2021-02-12,68,150,60,6.0,BF
21SH02501,Z8486,2021-02-12,83,182,80,8.0,BF
21SH02502,Z8489,2021-02-12,75,165,60,6.0,BF
21SH02503,Z8494,2021-02-12,66,144,60,6.0,BF
21SH02504,Z8495,2021-02-12,65,142,60,6.0,BF
21SH02505,Z8513,2021-02-12,67,146,50,5.0,BL
21SH02506,S3161,2021-02-11,5.9,130,70,7.0,YAA
21SH02507,Z3277,2021-02-12,,,70,7.0,BF
