UID,ID9,YR,ETAG,BRD,SEX,LINE,BGRP,RGRP,GRP,AGE,BAND,DATE,TIME,SPWT,DAYSH,GRFL,GRADE,FLGR1,LOT,BRAND,RMK,L,YEAR,STM
93SH00001, 90000010,90,00010,00,1,97,,0,,3.0,X,0520,0000,206,140,0.0,0,,,,"X.AGE,ENTR15%",,93,97
93SH00002, 92001574,92,01574,00,1,TX,,0,,1.0,Y,0517,0000,137,137,12.0,60,4,,,TEXAS RAM,80,93,07
93SH00003, 92001957,92,01957,00,1,TX,,0,,1.0,Y,0517,0000,122,137,10.9,64,2,,,TEXAS RAM,,93,07
93SH00004, 92001958,92,01958,00,1,TX,,0,,1.0,Y,0517,0000,179,137,14.2,58,5,,,TEXAS RAM,,93,07
93SH00005, 91006139,91,06139,00,1,TX,,0,,2.0,M,0519,0000,180,139,9.5,62,3,,,TEXAS RAM,,93,07
93SH00006, 86631830,86,K1830,63,2,60,1,0,,7.0,2,0518,1046,132,138,8.1,56,6,,,,,93,06
93SH00007, 86631831,86,K1831,63,2,62,1,0,,7.0,1,0519,1204,170,139,8.7,58,5,,,ABT.3/11/91,,93,06
93SH00008, 86631882,86,K1882,63,2,62,1,0,,7.0,5,0517,1719,154,137,8.2,54,7,,,,,93,06
93SH00009, 86631907,86,K1907,63,2,68,A,0,2,7.0,1,0517,1412,150,137,8.9,58,5,,,THICKMILK,,93,06
93SH00010, 86631919,86,K1919,63,2,60,1,0,,7.0,2,0518,0849,163,138,9.7,58,5,,,,,93,06
93SH04275, 92811865,92,Z1865,81,2,97,Y,0,,1.0,B,0520,0832,98,140,0.0,0,,,,,,93,97
93SH04276, 92811876,92,Z1876,81,3,58,,7,,1.0,J,0519,1633,116,139,7.2,64,2,BON,,BRN.FEET,,93,58
93SH04277, 92811877,92,Z1877,81,2,58,,7,,1.0,J,0519,1641,102,139,7.3,64,2,BON,,,,93,58
93SH04278, 92811883,92,Z1883,81,3,58,,7,,1.0,J,0519,1637,111,139,7.3,58,5,BON,,,,93,58
93SH04279, 92811884,92,Z1884,81,2,58,,7,,1.0,J,0519,1642,116,139,8.4,58,5,BON,,,,93,58
93SH04280, 92811896,92,Z1896,81,2,97,,7,,1.0,B,0520,0839,117,140,0.0,0,,AVR,,,,93,97
93SH04281, 92811961,92,Z1961,81,2,58,,7,,1.0,J,0519,1637,97,139,7.1,60,4,BON,,,,93,58
93SH04282, 92811962,92,Z1962,81,3,58,,7,,1.0,J,0519,1630,102,139,7.0,60,4,BON,,ENTR,,93,58
93SH04283, 92811984,92,Z1984,81,1,97,,0,,1.0,B,0520,0908,168,140,0.0,0,,,,,,93,97
93SH04284, 92812041,92,Z2041,81,3,58,,7,,1.0,J,0519,1631,116,139,8.2,58,5,BON,,,,93,58
