UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,CUDAY,SAWT,DNA,INBRL,STUDY,TRTPEN,IDAR
21WN00001,2021061054,21,A1054,06,2,,30,24,9,3,1,2.0,2,2,1,65,193,128,,7.3,  0,85,0.607,80,1,2,,,0,,,e1,.,A0013,06,A0432,06,,1,,,7,2,,,,,101,242,,,0.045,,,
21WN00002,2021061056,21,A1056,06,2,,30,26,8,2,1,2.0,2,2,1,66,193,127,,9.3,  0,72,0.494,69,1,2,,,0,,,,.,A0397,06,A0512,06,,3,93,258,3,2,,,,,81,242,,,0.044,,,
21WN00003,2021061057,21,A1057,06,2,,30,24,8,2,2,4.0,4,4,1,67,193,126,,12.4,  0,80,0.537,77,1,1,,,0,,,e2,HAIRY,A0013,06,H9692,05,,1,,,5,5,,,,,99,242,,,0.035,,,
21WN00004,2021061058,21,A1058,06,2,,30,24,8,2,2,4.0,4,4,1,67,193,126,,12.3,  0,94,0.648,90,1,3,,,0,,,e3,.,A0013,06,H9692,05,,1,,,5,5,,,,,108,242,,,0.035,,,
21WN00005,2021061062,21,A1062,06,2,,30,24,5,1,1,2.0,2,2,1,67,193,126,,13.8,  0,94,0.637,90,1,1,,,0,,,,.,A0013,06,A0354,06,,2,92,259,1,1,,,,,110,242,,,0.038,,6,3196
21WN00006,2021061064,21,A1064,06,2,,30,29,9,3,1,2.0,2,2,1,67,193,126,,8.8,  0,84,0.597,80,1,1,,,0,,,e4,HAIRY,A0678,06,A0435,06,,1,,,7,2,,,,,100,242,,,0.044,,,
21WN00007,2021061065,21,A1065,06,1,,30,28,9,3,3,2.0,2,2,W,68,194,126,,9.0,  0,75,0.524,72,1,1,1,2,0,,,,.,A0645,06,A0433,06,,3,93,230,9,8,,,,,75,214,,,0.043,Trip,,
21WN00008,2021061066,21,A1066,06,2,,30,28,9,3,3,2.0,2,2,1,68,193,125,,8.5,  0,56,0.38,54,1,1,,,0,,,,.,A0645,06,A0433,06,,3,93,258,9,8,,,,,72,242,,,0.043,Trip,,
21WN00009,2021061067,21,A1067,06,2,,30,28,9,3,3,2.0,2,2,1,68,193,125,,10.3,  0,69,0.47,67,1,1,,,0,,,e5,.,A0645,06,A0433,06,,1,,,9,8,,,,,85,242,,,0.043,Trip,,
21WN00010,2021061068,21,A1068,06,3,,30,30,5,1,1,2.0,2,2,1,69,193,124,,9.9,  0,83,0.59,81,1,1,,,0,,,,.,A0699,06,A0499,06,,3,93,258,1,1,,,,,98,242,,,0.048,,,
21WN00011,2021061070,21,A1070,06,2,,30,26,8,2,2,2.0,2,2,1,69,193,124,,10.4,  0,79,0.553,77,1,1,,,7,,,,.,A0397,06,A0564,06,,3,93,258,5,5,,,,,77,242,,,0.047,,,
21WN00012,2021061071,21,A1071,06,1,,30,26,8,2,2,2.0,2,2,1,69,193,124,,9.2,  0,70,0.49,68,1,1,2,3+,7,,,,Scurs,A0397,06,A0564,06,,3,93,230,5,5,,,,,74,214,,,0.047,,,
21WN00013,2021061072,21,A1072,06,1,,30,28,8,2,2,3.0,3,3,1,69,193,124,,12.6,  0,73,0.487,71,1,1,1,2,0,,,,Pink eyes,A0645,06,M0098,51,,3,93,230,5,5,,,,,74,214,,,0.037,,,
21WN00014,2021061073,21,A1073,06,2,,30,28,8,2,2,3.0,3,3,1,69,193,124,,10.6,  0,84,0.592,82,1,1,,,0,,,e1,.,A0645,06,M0098,51,,1,,,5,6,,,,,103,242,,,0.037,,,
21WN00015,2021061074,21,A1074,06,1,,30,24,9,3,3,3.0,3,3,1,69,193,124,,12.0,  0,100,0.71,97,1,1,1,2,0,,,,.,A0013,06,A0287,06,,1,,,9,8,,,,,105,214,,,0.042,Trip,,
21WN00016,2021061075,21,A1075,06,2,,30,24,9,3,3,3.0,3,3,1,69,193,124,,9.5,  0,75,0.528,73,1,1,,,0,,,,.,A0013,06,A0287,06,,3,93,255,9,8,,,,,100,242,,,0.042,Trip,,3167
21WN00017,2021061076,21,A1076,06,2,,30,24,9,3,3,3.0,3,3,W,69,194,125,,8.1,  0,90,0.655,87,1,1,,,0,,,,.,A0013,06,A0287,06,,3,93,230,9,8,,,,,90,214,,,0.042,Trip,,
21WN00018,2021061077,21,A1077,06,1,,30,29,8,2,2,3.0,3,3,1,69,193,124,,11.0,  0,86,0.605,84,1,1,2,4+,0,,,,SmScurs,A0678,06,A0175,06,,1,,,5,5,,,,,103,214,,,0.033,,Sel,
21WN00019,2021061078,21,A1078,06,1,,30,29,8,2,2,3.0,3,3,1,69,194,125,,11.9,  0,110,0.785,106,1,1,2,3-,0,,,,Scurs,A0678,06,A0175,06,,1,,,5,5,,,,,106,214,,,0.033,,,
21WN00020,2021061079,21,A1079,06,3,,30,26,5,1,1,2.0,2,2,1,69,193,124,,10.0,  0,90,0.645,87,1,1,,,,,,,.,A0397,06,A0498,06,,3,93,258,1,1,,,,,103,242,,,0.045,,,
21WN00021,2021061080,21,A1080,06,2,,30,24,9,3,2,3.0,3,3,1,69,193,124,,8.3,  0,75,0.538,73,1,1,,,,,,e2,.,A0013,06,H9980,05,,1,,,8,4,,,,,87,242,,,0.033,,,
21WN00022,2021061081,21,A1081,06,2,,30,24,9,3,2,3.0,3,3,1,69,193,124,,7.0,  0,61,0.435,59,1,1,,,,,,,.,A0013,06,H9980,05,,3,93,258,8,5,,,,,78,242,,,0.033,,,
21WN00023,2021061083,21,A1083,06,1,,30,30,9,3,1,3.0,3,3,1,70,193,123,,8.0,  0,68,0.488,67,1,1,1,3,0,,,,.,A0699,06,A0300,06,,3,93,230,7,2,,,,,76,214,,,0.041,,,
21WN00024,2021061086,21,A1086,06,2,,30,30,9,3,2,3.0,3,3,1,70,193,123,,7.9,  0,69,0.497,68,1,1,,,0,,,,.,A0699,06,A0253,06,,3,93,258,8,5,,,,,79,242,,,0.036,,,
21WN00025,2021061087,21,A1087,06,1,,30,30,9,3,2,3.0,3,3,1,70,193,123,,9.4,  0,75,0.533,73,1,1,4,3,0,,,,Horns,A0699,06,A0253,06,,3,93,230,8,4,,,,,84,214,,,0.036,,,
21WN00026,2021061089,21,A1089,06,2,,30,29,8,2,2,6.0,6,4,1,70,193,123,,10.6,  0,75,0.524,73,1,1,,,,,,,.,A0678,06,H9134,05,,3,93,255,5,5,,,,,98,242,,,0.036,,,3160
