UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,C4445,SIDE,THIGH,THSCO,DENSITY,HAIR,WOOL,C53,ADG,C5758,C5960,LBRD,TBRE,CTBR,LNDAM,TM,PENIS,BAND,IDX,BRWT,ABN,DISP,CULLFOR,C79,CADAM_25
50WN00001,50,2,3041,1,61,600,2532,1,11,29,1,2,75,135,1,3,06,1,62,11,03,06,10,033,08,,,,,2,2,,396,07,05,11,1,1,,4,,1,131,86,,1,,0,2
50WN00002,50,2,3042,1,34,340,2571,1,11,00,1,2,73,133,2,1,07,1,70,10,03,06,08,036,06,,,,,2,2,,453,09,20,11,1,1,,0,,1,132,98,1,1,,0,2
50WN00003,50,2,3043,1,34,340,2332,1,11,00,5,3,73,133,1,5,06,1,65,08,03,05,10,031,05,2,,,,1,2,,426,09,32,11,5,2,,0,,1,146,84,,1,,0,3
50WN00004,50,2,3044,1,34,340,2332,1,11,00,5,3,73,133,1,4,08,1,63,08,03,05,06,032,07,2,,,,2,3,,421,09,32,11,5,2,,0,,1,136,70,2,2,76,0,3
50WN00005,50,1,3045,1,32,320,2608,1,11,00,1,2,73,133,1,5,07,1,71,14,04,06,07,029,07,3,,,,1,2,,462,09,17,11,1,1,,1,,1,100,96,,3,10,0,2
50WN00006,50,2,3046,1,34,340,1996,1,11,00,4,4,72,132,1,7,07,1,55,12,03,07,09,030,09,,,,,3,2,,371,10,27,11,3,3,,0,,1,106,60,,3,37,0,4
50WN00007,50,1,3047,1,34,340,1996,1,11,00,3,4,72,132,1,7,06,1,95,08,03,04,06,031,05,2,,,,3,3,,653,10,27,11,3,3,,0,,1,158,88,,1,,0,4
50WN00008,50,2,3048,1,34,340,2518,1,11,00,1,2,72,132,1,3,07,1,69,10,03,05,06,031,07,1,,,,2,2,,458,10,28,11,1,1,,0,,1,123,86,,1,,0,2
50WN00009,50,1,3050,1,23,231,2561,1,11,17,1,2,72,132,1,7,07,1,75,13,03,10,09,032,06,,,,,1,2,,492,10,15,11,1,1,,1,,1,129,100,,3,57,0,2
50WN00010,50,2,3051,1,34,340,2241,1,11,00,1,3,72,132,1,3,05,1,85,13,03,04,08,029,10,,,,,2,3,,568,10,24,11,1,1,,0,,1,126,100,2,1,,0,3
50WN00011,50,1,3053,1,19,190,2577,1,11,24,1,2,71,131,1,7,06,1,70,14,03,07,08,035,05,2,,,,2,2,,453,11,26,11,1,1,,1,,1,120,106,,3,10,0,2
50WN00012,50,1,3054,1,24,240,2607,1,11,00,1,2,71,131,1,7,06,1,77,15,03,08,08,021,05,2,,,,1,1,,515,11,22,11,1,1,,1,,1,105,96,,3,10,0,2
50WN00013,50,1,3055,1,27,270,1731,1,11,27,1,5,71,131,1,7,06,1,101,13,04,06,04,034,09,2,,,,2,2,,672,11,18,11,1,1,,1,,1,140,130,,1,,0,4
50WN00014,50,2,3056,1,19,190,2634,1,11,21,1,2,71,131,1,4,10,1,68,12,03,06,07,029,06,,,,,2,1,,450,11,13,11,1,1,,1,,1,120,90,,1,,0,2
