UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW,CLPG1,CLPG2,CLPG3,DNA,INBRL,ADGBV,ADGACC,MADGBV,MADGACC,FLBVB,FLBVR,SAGE,STUDY
02WN00001,102040000,02,A0000,04,2,81,30,02,8,2,2,3.0,3,3,2,111,219,108,8,9.1,57,82,0.675,90,1,1,,,0,M,.,WF,A0000 =A10000,A7302,04,A6906,04,81,3,93,261,5,5,106,1.82,117.7,3,92,,,0,0,,,0.071,,,,,,,,
02WN00002,102048894,02,A8894,04,2,00,73,e64,8,2,1,1.0,1,1,1,84,217,133,7,6.8,57,81,0.558,74,1,1,,,0,F, 14,,,A6563,04,A8230,04,00,2,92,262,3,2,0,2.05,109.8,2,96,100,,0,0,,,0.067,,,,,,,,
02WN00003,102048896,02,A8896,04,3,00,73,e62,8,2,1,1.0,1,1,1,85,217,132,7,10.3,74,102,0.695,94,1,1,,,0,F,.,WF,,A6761,04,A8169,04,00,3,93,261,3,2,0,2.05,113.8,3,121,,,0,0,,,0.059,,,,,,,,
02WN00004,102048899,02,A8899,04,2,00,72,e12,5,1,1,1.0,1,1,1,86,217,131,10,10.3,65,86,0.578,80,1,1,,,0,F, 13,,,A4203,04,A8296,04,81,2,92,262,1,1,0,1.95,111.0,2,100,112,,0,0,,,0.042,,,,,,,,
02WN00005,102048900,02,A8900,04,1,84,30,e66,8,2,1,1.0,1,1,1,86,217,131,12,8.3,69,72,0.486,67,1,1,,,0,N,.,,,A6642,04,A8486,04,84,3,93,252,3,2,85,2.05,108.4,3,72,,,0,0,,,0.104,,,,,,,,
02WN00006,102048906,02,A8906,04,2,84,30,e62,8,2,1,1.0,1,1,1,86,217,131,11,6.2,54,76,0.533,70,1,1,,,0,N, 11,,,A6761,04,A8305,04,84,2,92,262,3,2,92,2.05,109.0,2,87,99,,0,0,,,0.11,,,,,,,,
02WN00007,102048907,02,A8907,04,2,00,80,e14,5,1,1,1.0,1,1,1,87,217,130,15,10.3,72,94,0.644,88,1,1,,,0,B,.,,NICE,Z6945,81,A8822,04,82,Z,93,259,1,1,0,1.95,112.6,Z,108,111,,0,0,,,0.034,,,,,,,,
02WN00008,102048908,02,A8908,04,3,84,30,e64,8,2,1,1.0,1,1,1,87,217,130,13,5.3,55,75,0.536,70,1,1,,,0,N,.,,HURT HIP d212,A6563,04,A8219,04,84,6,54,212,3,2,92,2.05,109.0,6,,,,0,0,,,0.057,,,,,,,,
02WN00009,102048910,02,A8910,04,2,00,80,e13,8,2,1,1.0,1,1,1,87,217,130,16,9.0,57,80,0.546,75,3,1,,,0,B,.,WF,SPECKS,Z6925,81,A8316,04,81,3,93,261,3,2,0,2.05,110.0,3,102,,,0,0,,,0.04,,,,,,,,
02WN00010,102048912,02,A8912,04,3,00,72,e12,8,2,1,1.0,1,1,1,87,217,130,2,10.2,60,84,0.568,78,1,1,,,0,F,.,WF,,A4203,04,A8336,04,81,3,93,261,3,2,0,2.05,110.6,3,92,,,0,0,,,0.034,,,,,,,,
02WN00011,102048914,02,A8914,04,1,84,30,e62,9,3,2,1.0,1,1,1,88,217,129,12,7.5,56,64,0.438,60,1,1,,,0,N,.,,X,A6761,04,A8543,04,84,3,93,252,8,5,88,2.15,120.4,3,79,,,0,0,,,0.116,,,,,,,,
02WN00012,102048915,02,A8915,04,1,84,30,e62,9,3,2,1.0,1,1,1,88,217,129,14,6.5,52,71,0.5,67,1,1,,,0,N,.,,WEAK,A6761,04,A8543,04,84,3,93,252,8,5,91,2.15,120.4,3,78,,,0,0,,,0.116,,,,,,,,
02WN00013,102048916,02,A8916,04,2,84,30,e62,5,1,1,1.0,1,1,1,88,217,129,17,9.4,73,94,0.656,88,1,1,,,0,N,.,e11,,A6761,04,A8530,04,84,1,,,1,1,103,1.95,112.6,1,106,,,0,0,,,0.115,,,,,,,,
02WN00014,102048919,02,A8919,04,3,00,80,e14,8,2,2,1.0,1,1,1,89,217,128,8,8.6,57,82,0.573,77,4,1,,,0,B,.,BF,CLR4,Z6945,81,A8480,04,81,3,93,261,5,5,0,2.05,125.0,3,96,,,0,0,,,0.033,,,,,,,,
02WN00015,102048920,02,A8920,04,3,00,80,e14,8,2,2,1.0,1,1,1,89,217,128,2,9.2,57,77,0.53,73,4,1,,,0,B,.,,CLR4,Z6945,81,A8480,04,81,2,92,182,5,5,0,2.05,125.0,2,,,,0,0,,,0.033,,,,,,,,
02WN00016,102048921,02,A8921,04,2,00,72,e11,8,2,2,1.0,1,1,1,89,217,128,3,9.1,55,79,0.546,75,1,1,,,0,F, 15,,,A4142,04,A8447,04,83,2,92,262,5,5,0,2.05,125.0,2,90,101,,0,0,,,0.027,,,,,,,,
02WN00017,102048922,02,A8922,04,2,00,72,e11,8,2,2,1.0,1,1,1,89,217,128,4,8.6,58,79,0.55,75,1,1,,,0,F, 14,,,A4142,04,A8447,04,83,2,92,262,5,5,0,2.05,125.0,2,95,102,,0,0,,,0.027,,,,,,,,
02WN00018,102048923,02,A8923,04,2,00,72,e12,8,2,2,1.0,1,1,2,91,219,128,16,10.0,57,72,0.484,68,1,1,,,0,F,.,WF,BUSH,A4203,04,A8197,04,82,3,93,261,5,5,0,2.05,118.8,3,80,,,0,0,,,0.041,,,,,,,,
02WN00019,102048924,02,A8924,04,2,00,72,e12,8,2,2,1.0,1,1,2,91,219,128,16,8.8,47,54,0.353,51,1,1,,,0,F,.,WF,,A4203,04,A8197,04,82,3,93,261,5,5,0,2.05,118.8,3,64,,,0,0,,,0.041,,,,,,,,
02WN00020,102048925,02,A8925,04,2,00,80,e13,8,2,2,1.0,1,1,2,91,219,128,5,7.5,54,73,0.512,69,1,1,,,0,B,.,WF,HAIRY,Z6925,81,A8198,04,82,3,93,261,5,6,0,2.05,124.2,3,86,,,0,0,,,0.034,,,,,,,,
02WN00021,102048926,02,A8926,04,2,00,80,e13,8,2,2,1.0,1,1,2,91,219,128,14,9.0,60,82,0.57,77,2,1,,,0,B,.,WF,BLK.R.LOIN,Z6925,81,A8198,04,82,3,93,261,5,4,0,2.05,124.2,3,98,,,0,0,,,0.034,,,,,,,,
02WN00022,102048927,02,A8927,04,2,00,73,e66,5,1,1,1.0,1,1,2,91,219,128,6,10.3,73,92,0.638,87,1,1,,,0,F, 13,,,A6642,04,A8520,04,00,2,92,262,1,1,0,1.95,112.4,2,101,109,,0,0,,,0.056,,,,,,,,
02WN00023,102048929,02,A8929,04,2,00,72,e12,8,2,1,1.0,1,1,1,91,217,126,1,7.4,54,80,0.576,77,1,1,,,0,F, 15,,,A4203,04,A8522,04,83,2,92,262,3,2,0,2.05,110.4,2,90,101,,0,0,,,0.038,,,,,,,,
02WN00024,102048930,02,A8930,04,2,84,30,e63,5,1,1,1.0,1,1,2,91,219,128,3,8.4,62,84,0.591,79,1,1,,,0,N, 12,,,A6925,04,A8274,04,84,2,92,262,1,1,97,1.95,110.8,2,85,92,,0,0,,,0.112,,,,,,,,
02WN00025,102048933,02,A8933,04,3,00,80,e62,8,2,2,1.0,1,1,2,92,219,127,8,9.2,59,84,0.589,80,1,1,,,0,B,.,WF,,A6761,04,A8589,04,00,3,93,261,5,5,0,1.89,120.2,3,95,,,0,0,,,0.058,,,,,,,,
02WN00026,102048934,02,A8934,04,2,00,80,e62,8,2,2,1.0,1,1,2,92,219,127,2,9.3,64,85,0.596,81,1,1,,,0,B,.,WF,,A6761,04,A8589,04,00,3,93,261,5,5,0,1.89,120.2,3,100,,,0,0,,,0.058,,,,,,,,
02WN00027,102048940,02,A8940,04,3,00,73,e66,8,2,2,1.0,1,1,2,92,219,127,5,9.9,57,79,0.544,75,1,1,,,0,F,.,WF,,A6642,04,A8209,04,00,3,93,261,5,5,0,2.05,123.8,3,92,,,0,0,,,0.036,,,,,,,,
02WN00028,102048941,02,A8941,04,2,00,73,e66,8,2,2,1.0,1,1,2,92,219,127,4,9.6,58,72,0.491,69,1,1,,,0,F,.,WF,,A6642,04,A8209,04,00,3,93,261,5,5,0,2.05,123.8,3,82,,,0,0,,,0.036,,,,,,,,
02WN00029,102048946,02,A8946,04,2,84,30,e63,5,1,1,1.0,1,1,2,93,219,126,11,7.5,60,79,0.567,76,1,1,,,0,N,  L,,,A6925,04,A8473,04,84,2,92,263,1,1,95,1.95,110.2,2,88,97,,0,0,,,0.114,,,,,,,,
02WN00030,102048947,02,A8947,04,2,00,80,e13,5,1,1,1.0,1,1,2,93,219,126,14,9.4,69,87,0.616,83,1,1,,,0,B,.,,,Z6925,81,A8282,04,81,Z,93,259,1,1,0,1.95,111.6,Z,101,104,,0,0,,,0.039,,,,,,,,
02WN00031,102048949,02,A8949,04,1,84,30,e65,8,2,1,1.0,1,1,2,94,219,125,4,6.4,60,83,0.613,80,1,1,,,0,N,.,,BRITCHY,A6827,04,A8599,04,84,3,93,252,3,2,92,2.05,111.0,3,88,,,0,0,,,0.109,,,,,,,,
02WN00032,102048950,02,A8950,04,1,84,30,51,8,2,1,3.0,3,3,2,94,219,125,10,9.2,77,98,0.71,94,1,1,3,,0,N,.,,H3,A6998,04,90102,09,88,3,93,252,3,2,101,1.97,115.3,3,104,,,0,0,,,0.066,,,,,,,,
02WN00033,102048953,02,A8953,04,2,00,72,e12,8,2,1,1.0,1,1,2,94,219,125,16,8.9,59,84,0.601,81,1,1,,,0,F, 14,,,A4203,04,A8631,04,81,2,92,262,3,2,0,2.05,111.2,2,93,103,,0,0,,,0.044,,,,,,,,
02WN00034,102048956,02,A8956,04,2,00,72,e11,8,2,1,1.0,1,1,1,95,217,122,9,7.5,55,71,0.52,70,1,1,,,0,F,.,WF,,A4142,04,A8805,04,81,3,93,261,3,2,0,2.05,109.0,3,81,,,0,0,,,0.034,,,,,,,,
02WN00035,102048958,02,A8958,04,3,84,30,e63,8,2,1,1.0,1,1,1,95,217,122,7,6.8,56,75,0.559,74,1,1,,,0,N,.,WF,,A6925,04,A8475,04,84,3,93,261,3,2,94,2.05,109.8,3,91,,,0,0,,,0.114,,,,,,,,
02WN00036,102048960,02,A8960,04,1,84,30,e63,5,1,1,1.0,1,1,1,95,217,122,14,10.8,65,81,0.575,80,1,1,,,0,N,.,,,A6925,04,A8680,04,84,3,93,252,1,1,92,1.95,111.0,3,94,,,0,0,,,0.123,,,,,,,,
02WN00037,102048961,02,A8961,04,3,00,80,e14,8,2,2,1.0,1,1,2,95,219,124,13,11.4,60,82,0.569,80,4,1,,,0,B,.,BF,,Z6945,81,A8319,04,81,3,93,261,5,5,0,2.05,126.4,3,92,,,0,0,,,0.033,,,,,,,,
