UID,IDLAMB,YR,LBRD,ETAG,SEX,LINE,STM,PEN,TB,TR,TBRE,TBR17,AGE,ADAM,CADAM,BAND,DAYBN,WNAGE,TIM,BRWT,WNWT,ADG,F,N,T,C,L,LOT,SIGR,THGR,JAW,CLR,H,IDX,MENB,MELW,CAUSE,ABN,DAYDIS,TRT,SIRE,SBRD,DAM,DBRD,TM,WT120,AADG,LNDAM,PD,CUWT
91WN00001, 91000001,91,00,00001,2,00,59,-0-,3,2,8,5,5.0,5,4,3,143,82,1,100,55,549, 0, 0, 0, 0, 30,,,,,5,,0,221,1399,93,,281,3,000097,97,1019,80,,76,825,65,3,59
91WN00002, 91000002,91,00,00002,3,00,59,-0-,2,2,5,5,3.0,3,3,3,143,82,2,100,49,476, 0, 0, 0, 0, 26,,,,,5,,0,227,1168,93,,281,3,000097,97,5736,80,,67,704,67,3,56
91WN00003, 91000003,91,00,00003,2,00,58,-0-,2,1,3,2,3.0,3,3,3,143,82,1,100,53,524, 0, 0, 0, 0, 25,,,,,5,,0,184,931,93,,281,3,000097,97,6523,80,,73,717,45,3,63
91WN00004, 91000004,91,00,00004,2,00,58,-0-,2,2,5,5,4.0,4,4,3,143,82,1,100,55,549, 0, 0, 0, 0, 29,,,,,5,,0,211,1251,93,,281,3,000097,97,5283,80,,76,825,47,3,66
91WN00005, 91000005,91,00,00005,2,00,59,-0-,3,2,8,5,5.0,5,4,3,143,82,2,100,57,573, 0, 0, 0, 0, 34,,,,,5,,0,221,1399,93,,281,3,000097,97,1019,80,,79,848,65,3,56
91WN00006, 91000006,91,00,00006,2,00,58,-0-,2,2,5,5,4.0,4,4,3,143,82,1,100,61,622, 0, 0, 0, 0, 34,,,,,5,,0,211,1251,93,,281,3,000097,97,5283,80,,85,898,47,3,66
91WN00007, 91000007,91,00,00007,2,00,58,-0-,2,2,5,5,4.0,4,4,3,143,82,2,100,50,488, 0, 0, 0, 0, 24,,,,,5,,0,199,1206,93,,281,3,000097,97,4589,80,,69,763,47,3,58
91WN00008, 91000008,91,00,00008,3,00,59,-0-,2,2,5,5,3.0,3,3,3,143,82,1,100,49,476, 0, 0, 0, 0, 22,,,,,5,,0,227,1168,93,,281,3,000097,97,5736,80,,67,705,67,3,54
91WN00009, 91000009,91,00,00009,3,00,58,-0-,2,2,5,5,4.0,4,4,3,143,82,1,100,55,549, 0, 0, 0, 0, 27,,,,,5,,0,199,1206,93,,281,3,000097,97,4589,80,,76,799,47,3,62
91WN00010, 91000010,91,00,00010,2,00,59,-0-,1,1,1,1,3.0,3,3,3,143,82,5,100,75,793, 0, 0, 0, 0, 37,,,,,5,,0,170,935,93,,281,3,000097,97,5821,80,,105,897,65,3,76
91WN00011, 91000011,91,00,00011,3,00,59,-0-,2,2,5,5,3.0,3,3,3,143,82,5,100,53,524, 0, 0, 0, 0, 30,,,,,5,,0,184,1203,93,,281,3,000097,97,6471,80,,73,748,67,3,54
91WN00012, 91000012,91,00,00012,2,00,59,-0-,3,2,8,5,4.0,4,4,3,143,82,5,100,51,500, 0, 0, 0, 0, 30,,,,,5,,0,224,1439,93,,281,3,000097,97,3710,80,,70,771,67,3,46
91WN00013, 91000013,91,00,00013,2,00,59,-0-,2,2,5,5,6.0,6,4,3,143,82,5,100,56,561, 0, 0, 0, 0, 30,,,,,5,,0,185,1391,93,,281,3,000097,97,8930,94,,77,832,67,3,51
91WN00014, 91000014,91,00,00014,3,00,58,-0-,2,2,5,5,6.0,6,4,3,143,82,5,100,60,610, 0, 0, 0, 0, 32,,,,,5,,0,205,1447,93,,281,3,000097,97,9848,94,,83,854,45,3,66
91WN00015, 91000015,91,00,00015,3,00,59,-0-,3,2,8,5,5.0,5,4,3,143,82,4,100,49,476, 0, 0, 0, 0, 23,,,,,5,,0,221,1368,93,,281,3,000097,97,0906,80,,67,722,65,3,50
91WN00016, 91000016,91,00,00016,3,00,58,-0-,2,1,3,2,5.0,5,4,3,143,30,0,100,27,567, 0, 0, 0, 0, 27,,,,,5,,0,199,1240,97,,227,3,000097,97,2466,80,,78,,45,7,0
91WN00017, 91000017,91,00,00017,2,00,59,-0-,2,2,5,5,3.0,3,3,3,143,82,5,100,55,549, 0, 0, 0, 0, 28,,,,,5,,0,184,1109,93,,281,3,000097,97,6560,80,,76,800,67,3,56
91WN00018, 91000018,91,00,00018,3,00,58,-0-,1,1,1,1,4.0,4,4,3,143,82,6,100,66,683, 0, 0, 0, 0, 28,,,,,5,,0,186,1091,93,,281,3,000097,97,4727,80,,92,780,47,3,67
91WN00019, 91000019,91,00,00019,2,00,58,-0-,2,2,5,5,3.0,3,3,3,143,82,6,100,57,573, 0, 0, 0, 0, 24,,,,,5,,0,184,1201,93,,281,3,000097,97,7682,80,,79,823,47,3,65
91WN00020, 91000020,91,00,00020,3,00,59,-0-,3,2,8,5,4.0,4,4,3,143,82,5,100,54,537, 0, 0, 0, 0, 34,,,,,5,,0,224,1439,93,,281,3,000097,97,3710,80,,74,781,67,3,52
