UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT
93WN00001, 93040001,93,A0001,04,1,82,30,67,9,3,2,4.0,4,4,1,119,215,96,8,11.6,60,77,0.681,93,1,1,5,,0,C,,SCURS+,704203,03,L4113,03,82,3,93,242,8,5,116,2.3,150.9,3,82,0
93WN00002, 93040002,93,A0002,04,1,82,30,67,9,3,2,4.0,4,4,1,119,215,96,16,9.2,56,78,0.717,95,1,1,,,0,C,,,704203,03,L4113,03,82,3,93,242,8,4,117,2.3,150.9,3,84,0
93WN00003, 93040003,93,A0003,04,2,82,30,67,9,3,2,4.0,4,4,1,119,215,96,14,7.4,46,63,0.579,77,1,2,,,0,C,  7,,704203,03,L4113,03,82,2,92,266,8,6,113,2.3,150.9,2,78,84
93WN00004, 93040004,93,A0004,04,2,80,30,p.2,5,1,1,1.0,1,1,1,119,215,96,16,9.3,49,64,0.57,78,9,1,,,0,M,R.4,BLACKEWE,751903,03,L8654,03,81,1,,0,1,1,94,2.0,113.1,1,86,0
93WN00005, 93040005,93,A0005,04,1,80,30,P02,8,2,2,2.0,2,2,1,119,215,96,16,10.0,55,74,0.667,90,1,1,,,0,M,,,760003,03,L6655,03,81,1,,0,5,5,110,2.14,142.9,1,84,0
93WN00006, 93040006,93,A0006,04,2,80,30,P02,8,2,2,2.0,2,2,1,119,215,96,13,8.8,49,66,0.596,80,1,1,,,0,M,R.5,,760003,03,L6655,03,81,1,,0,5,5,110,2.14,142.9,1,89,0
93WN00007, 93040007,93,A0007,04,1,82,30,64,8,2,2,3.0,3,3,1,119,215,96,2,12.7,68,92,0.826,112,1,1,,,0,C,,HI IDX CTRL,732403,03,L5054,03,82,3,93,242,5,5,123,2.12,149.4,3,95,0
93WN00008, 93040008,93,A0008,04,1,82,30,64,8,2,2,3.0,3,3,1,119,215,96,5,11.4,52,74,0.652,90,1,1,,,0,C,,HI IDX CTRL,732403,03,L5054,03,82,3,93,242,5,5,114,2.12,149.4,3,89,0
93WN00009, 93040009,93,A0009,04,1,82,30,71,8,2,2,4.0,4,4,1,119,215,96,10,9.0,49,65,0.583,79,1,1,,,0,C,,,770403,03,L3505,03,82,3,93,242,5,5,85,2.05,100.3,3,74,0
93WN00010, 93040010,93,A0010,04,2,82,30,71,8,2,2,4.0,4,4,1,119,215,96,11,8.9,45,66,0.595,80,1,1,,,0,C, 14,"NR,BRITCHY",770403,03,L3505,03,82,2,92,266,5,5,89,2.05,100.3,2,79,88
93WN00011, 93040011,93,A0011,04,3,80,30,P03,5,1,1,5.0,5,4,1,120,215,95,2,11.3,62,84,0.765,103,1,3,,,0,M,,,678403,03,L2319,03,81,3,93,292,1,1,102,1.95,102.2,3,100,0
93WN00012, 93040012,93,A0012,04,1,82,30,68,8,2,2,3.0,3,3,1,120,215,95,1,11.0,57,80,0.726,98,1,1,,,0,C,,,780303,03,L4954,03,82,1,,0,5,4,107,1.98,128.4,1,89,0
93WN00013, 93040013,93,A0013,04,2,82,30,68,8,2,2,3.0,3,3,1,120,215,95,2,9.3,40,60,0.534,73,1,1,,,0,C,R.3,,780303,03,L4954,03,82,1,,0,5,6,99,1.98,128.4,1,73,0
93WN00014, 93040014,93,A0014,04,1,80,30,P04,8,2,2,2.0,2,2,1,120,215,95,14,9.3,38,60,0.534,73,1,1,,,0,M,,,684903,03,L6598,03,81,3,93,242,5,5,102,2.14,141.5,3,71,0
93WN00015, 93040015,93,A0015,04,1,80,30,P04,8,2,2,2.0,2,2,1,120,215,95,5,10.6,61,84,0.773,103,1,1,,,0,M,,,684903,03,L6598,03,81,1,,0,5,5,116,2.14,141.5,1,92,0
