UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,TIME,C5152,CADAM_25,SIRE,SB1,LBRD,IDX,LNDAM,TM,C67,BAND,ADG,BRWT,ABN,TIME_14,CADAM_12,TBRE,CTBR,TM2,DISP
59WN00001,59,1,2216,0,69,570,1728,0,10,,9,5,81,141,2,7,08,1,69,11,06,11,08,036,16,2,2,1,04,,4,5017,1,10,123,69,5,,1,433,80,,2,1,8,2,5,9
59WN00002,59,2,2217,0,69,570,1728,0,10,,9,5,81,141,1,3,08,1,58,10,04,10,11,032,16,1,2,2,02,,4,5017,1,10,126,69,5,,1,353,82,,1,1,8,2,5,2
59WN00003,59,1,2218,0,69,570,1728,0,10,,8,5,81,141,2,7,09,4,89,11,08,07,08,036,14,2,2,1,01,,4,5017,1,10,126,69,5,,1,577,76,,1,1,7,3,5,9
59WN00004,59,2,2219,0,69,690,1759,0,10,,5,5,81,141,2,4,11,1,85,10,05,13,07,044,18,2,2,1,07,,4,2933,2,10,151,69,5,,1,530,102,,3,1,5,2,5,2
59WN00005,59,1,2220,0,69,690,1759,0,10,,5,5,81,141,2,7,10,2,85,10,10,08,08,039,14,2,2,1,08,,4,2933,2,10,131,69,5,,1,532,100,,3,1,5,2,5,9
59WN00006,59,1,2221,0,69,680,1743,0,10,,5,5,80,140,2,5,08,1,78,10,08,09,08,035,13,2,2,1,06,,4,3198,2,10,129,69,5,,1,487,98,,3,1,5,2,5,9
59WN00007,59,2,2222,0,69,680,1743,0,10,,5,5,80,140,2,1,09,1,64,08,04,10,08,033,14,2,2,1,04,,4,3198,2,10,139,69,5,,1,390,94,,2,1,5,2,5,2
59WN00008,59,2,2223,0,69,700,1816,0,10,,5,4,80,140,1,4,10,1,65,13,04,11,08,031,18,1,2,2,09,,4,3891,2,10,113,69,5,,1,419,64,,4,1,5,2,5,2
59WN00009,59,2,2224,0,69,700,1816,0,10,,5,4,80,140,2,3,12,1,65,10,05,11,10,029,18,1,2,2,01,,4,3891,2,10,125,69,5,,1,414,70,,1,1,5,2,5,2
59WN00010,59,2,2225,0,69,298,1685,0,10,,4,7,88,148,1,1,10,1,75,09,04,09,08,044,12,2,2,1,06,,5,3455,2,10,133,68,4,,3,430,114,,3,1,3,3,4,2
59WN00011,59,1,2226,0,69,298,1685,0,10,,3,7,79,139,2,5,09,1,89,10,05,07,07,044,11,2,2,1,08,,5,3455,2,10,150,68,4,,1,555,118,,3,1,3,3,4,
59WN00012,59,2,2227,0,69,600,1974,0,10,,1,3,79,139,2,4,09,2,88,11,04,08,06,038,18,2,2,1,03,,3,4668,1,10,132,69,5,,1,561,100,,1,1,1,1,5,2
59WN00013,59,2,2228,0,69,590,1990,0,10,,1,3,78,138,1,3,09,3,82,08,04,06,06,041,13,2,5,4,01,,3,4585,1,10,144,69,5,,1,516,108,,1,1,1,1,5,
59WN00014,59,2,2229,0,69,620,1829,0,10,,1,4,78,138,3,3,09,1,81,15,04,09,07,038,16,2,3,2,04,,4,4687,1,10,113,69,5,,1,523,88,,2,1,1,1,5,2
59WN00015,59,2,2230,0,69,518,2021,0,10,,3,2,78,138,1,1,09,1,70,10,05,09,08,047,11,2,2,1,09,,2,2374,2,10,144,69,4,,1,425,114,,4,2,3,3,4,
