UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE2,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,DNA,INBRL,STUDY,TRTPEN
06WN00001,2006052192,06,H2192,05,2,88,30,e34,5,1,1,1.0,1,1,1,80,213,133,1,8.2,60,77,0.517,70,1,1,,,0,L,WSW,e34,,H0994,05,H2150,05,82,1,,0,1,1,96,2.08,116.4,1,94,0,,,Life,
06WN00002,2006052193,06,H2193,05,3,88,30,e31,8,2,2,1.0,1,1,1,81,213,132,1,9.3,51,66,0.43,61,1,1,,,0,M,WSW,,,H1159,05,H1431,05,88,V,,0,5,5,96,2.18,127.2,V,88,0,,,Life,
06WN00003,2006052194,06,H2194,05,2,88,30,e31,8,2,2,1.0,1,1,1,81,213,132,12,8.3,60,68,0.452,63,1,1,,,0,L,WSW,e31,,H1159,05,H1431,05,88,1,,0,5,5,97,2.18,127.2,1,85,0,,,Life,
06WN00004,2006052195,06,H2195,05,2,88,30,e32,5,1,1,1.0,1,1,1,81,213,132,4,10.7,72,93,0.623,86,1,1,,,0,L,WSW,e31,,H0596,05,H1585,05,82,1,,0,1,1,106,2.08,119.6,1,113,0,,,Life,
06WN00005,2006052196,06,H2196,05,3,88,30,e32,5,1,1,4.0,4,4,2,82,215,133,5,9.0,64,77,0.511,70,1,1,,,0,C,.,,WEAK LAMB,H0596,05,A9275,04,81,V,,0,1,1,85,1.96,96.2,V,92,0,,,Vacc,
06WN00006,2006052198,06,H2198,05,3,88,30,e32,8,2,1,1.0,1,1,1,82,213,131,1,8.2,57,75,0.51,69,1,1,,,0,M,WSW,,,H0596,05,H1920,05,88,V,,0,3,2,95,2.18,116.2,V,97,0,,,Life,
06WN00007,2006052199,06,H2199,05,2,88,30,01,8,2,2,2.0,2,2,2,83,215,132,12,7.7,54,69,0.464,63,1,1,,,0,M,.,e33,,H1311,05,H1333,05,82,1,,0,5,5,96,1.94,123.9,1,86,0,,,,
06WN00008,2006052200,06,H2200,05,3,88,30,01,8,2,2,2.0,2,2,2,83,215,132,7,8.2,64,81,0.552,74,1,1,,,0,M,.,,HAIRY,H1311,05,H1333,05,82,V,,0,5,5,101,1.94,123.9,V,101,0,,,Vacc,
06WN00009,2006052201,06,H2201,05,2,88,30,03,5,1,1,2.0,2,2,2,83,215,132,14,11.0,69,78,0.508,72,1,1,,,0,M,.,e34,,H0471,05,H0960,05,88,1,,0,1,1,92,1.94,106.1,1,103,0,,,,
06WN00010,2006052202,06,H2202,05,3,88,30,e32,5,1,1,1.0,1,1,1,83,213,130,13,10.9,54,66,0.424,62,1,1,,,0,M,WSW,,,H0596,05,H1699,05,82,V,,0,1,1,90,2.08,114.8,V,83,0,,,Life,
06WN00011,2006052203,06,H2203,05,1,88,30,03,8,2,2,2.0,2,2,2,83,215,132,4,7.6,43,62,0.412,57,1,1,,,0,M,.,,,H0471,05,H0871,05,83,3,93,255,5,6,83,2.11,112.5,3,77,0,,,,
06WN00012,2006052204,06,H2204,05,2,88,30,03,8,2,2,2.0,2,2,2,83,215,132,12,9.2,68,88,0.597,81,1,1,,,0,M,.,e32,,H0471,05,H0871,05,83,1,,0,5,4,100,2.11,112.5,1,103,0,,,,
06WN00013,2006052206,06,H2206,05,3,88,30,04,8,2,1,2.0,2,2,2,84,215,131,8,8.5,67,80,0.546,74,1,1,,,0,M,.,,,H1112,05,H1193,05,82,V,,0,3,2,88,2.11,98.0,V,97,0,,,Vacc,
06WN00014,2006052208,06,H2208,05,2,88,30,05,8,2,2,2.0,2,2,2,84,215,131,13,8.6,64,81,0.553,75,1,1,,,0,M,.,e31,,H1063,05,H1176,05,82,1,,0,5,5,100,1.94,118.6,1,81,0,,,,
06WN00015,2006052209,06,H2209,05,3,88,30,05,8,2,2,2.0,2,2,2,84,215,131,12,8.5,54,65,0.431,60,1,1,,,0,M,.,,HAIRY,H1063,05,H1176,05,82,V,,0,5,5,91,1.94,118.6,V,77,0,,,Vacc,
06WN00016,2006052210,06,H2210,05,2,88,30,e34,5,1,1,1.0,1,1,1,84,213,129,6,10.0,63,79,0.535,74,1,1,,,0,L,WSW,e33,ENTR 4TEATS,H0994,05,H1809,05,82,1,,0,1,1,98,2.08,117.2,1,96,0,,,Life,
06WN00017,2006052211,06,H2211,05,2,88,30,e31,5,1,1,1.0,1,1,1,85,213,128,6,11.8,71,85,0.572,80,1,1,,,0,L,WSW,e32,,H1159,05,H1572,05,82,1,,0,1,1,102,2.08,118.4,1,107,0,,,Life,
06WN00018,2006052213,06,H2213,05,1,88,30,03,9,3,2,2.0,2,2,2,85,215,130,12,6.3,73,81,0.575,75,1,1,,,0,M,.,,,H0471,05,H1180,05,82,3,93,255,8,5,97,2.11,123.0,3,101,0,,,,
06WN00019,2006052214,06,H2214,05,1,88,30,03,9,3,2,2.0,2,2,2,85,215,130,10,6.8,58,69,0.478,64,1,1,,,0,M,.,,,H0471,05,H1180,05,82,3,93,255,8,5,91,2.11,123.0,3,86,0,,,,
06WN00020,2006052215,06,H2215,05,1,88,30,04,9,3,2,7.0,7,5,2,85,215,130,5,9.4,64,82,0.558,76,1,1,,,0,M,.,,,H1112,05,91174,09,88,3,93,255,8,5,96,2.01,120.4,3,103,0,,,,
06WN00021,2006052216,06,H2216,05,1,88,30,04,9,3,2,7.0,7,5,2,85,215,130,5,9.8,68,86,0.586,80,1,1,,,0,M,.,,,H1112,05,91174,09,88,1,,0,8,5,98,2.01,120.4,1,107,0,,,,CTL
06WN00022,2006052217,06,H2217,05,2,88,30,e31,8,2,1,1.0,1,1,1,85,213,128,5,9.0,59,72,0.492,68,1,1,,,0,L,WSW,e33,,H1159,05,H1561,05,88,1,,0,3,2,95,2.18,116.0,1,97,0,,,Life,
06WN00023,2006052219,06,H2219,05,2,88,30,05,9,3,2,7.0,7,5,2,85,215,130,5,9.6,69,80,0.542,75,1,3,,,0,M,.,e31,,H1063,05,A6175,04,82,1,,0,8,4,102,2.11,122.5,1,94,0,,,,
06WN00024,2006052220,06,H2220,05,2,88,30,05,9,3,2,7.0,7,5,2,85,215,130,12,7.4,45,56,0.374,52,1,1,,,0,M,.,,LF FOOT DEF.X,H1063,05,A6175,04,82,3,93,270,8,6,89,2.11,122.5,3,67,0,,,,
06WN00025,2006052221,06,H2221,05,2,88,30,e34,8,2,2,1.0,1,1,1,86,213,127,3,6.5,43,48,0.327,46,1,1,,,0,M,WSW,,LAME OUT & X,H0994,05,H1425,05,88,3,93,226,5,6,86,2.18,122.8,3,0,0,,,Life,
