UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,C4951,TBRE,CTBR,CADAM_25,SIRE,SB1,C59,ADG,ADG6061,LBRD,LNDAM,TM,ADG67,BAND,IDX,BRWT,ABN,DISP,CULLFOR,C79,C80
57WN00001,57,2,1991,0,69,581,1792,0,10,,5,4,80,140,1,1,07,1,61,13,03,09,10,030,13,1,2,2,,5,2,4,4150,1,,380,38,10,68,5,0,1,113,78,,2,,0,
57WN00002,57,1,1992,0,69,581,1792,0,10,,5,4,80,140,1,4,10,1,68,10,03,10,10,023,18,2,2,1,,5,2,4,4150,1,,423,42,10,68,5,3,1,129,88,,3,10,0,
57WN00003,57,1,1993,0,69,469,1760,0,10,,3,3,79,139,2,7,11,1,82,13,03,09,09,030,13,1,2,2,,3,3,3,1575,2,,521,52,10,69,4,1,1,125,96,,3,12,0,
57WN00004,57,1,1995,0,69,348,1869,0,10,,1,2,78,138,1,7,09,1,87,09,05,09,08,035,20,1,2,2,,1,1,2,4375,1,,561,56,10,69,4,1,1,142,96,,3,10,0,
57WN00005,57,2,1996,0,69,671,1638,0,10,,1,9,78,138,1,1,07,1,82,09,03,06,08,038,16,2,2,1,,1,1,5,2504,2,,523,52,10,68,5,3,1,145,98,,,,0,
57WN00006,57,1,1998,0,69,701,1671,0,10,,5,5,78,138,1,4,10,1,76,07,03,09,09,034,18,2,3,2,,5,2,4,2724,2,,480,48,10,68,5,0,1,158,98,,,,0,
57WN00007,57,2,1999,0,69,701,1671,0,10,,5,5,78,138,1,1,10,1,79,08,03,08,09,027,18,2,2,1,,5,2,4,2724,2,,504,50,10,68,5,4,1,153,94,,,,0,
57WN00008,57,2,2000,0,69,398,1728,0,10,,1,3,77,137,1,3,07,1,88,11,04,08,08,047,14,2,2,1,,1,1,3,0396,2,,556,55,10,69,4,6,1,144,118,,,,0,
57WN00009,57,2,2001,0,69,691,1688,0,10,,1,5,77,137,1,1,09,1,90,08,03,07,07,040,16,2,2,1,,1,1,4,2756,2,,569,56,10,68,5,9,1,157,120,,,,0,
57WN00010,57,1,2002,0,69,348,1731,0,10,,1,3,77,137,1,7,07,1,96,09,05,08,08,039,13,2,4,3,,1,1,3,4375,1,,609,60,10,69,4,9,1,151,126,,3,10,0,
57WN00011,57,2,2003,0,69,349,1888,0,10,,1,2,77,137,1,4,09,4,71,08,03,08,08,039,16,1,2,2,,1,1,2,4458,1,,448,44,10,69,4,8,1,144,96,,,,0,
57WN00012,57,1,2004,0,69,399,1874,0,10,,1,2,76,136,1,2,09,2,81,08,03,09,10,039,18,2,2,1,,1,1,2,2916,2,,501,50,10,69,4,1,1,158,128,,,,0,
57WN00013,57,2,2005,0,69,681,1793,0,10,,5,4,76,136,1,3,09,1,68,08,03,10,11,031,16,2,2,1,,5,2,4,2516,2,,424,42,10,68,5,4,1,151,104,,,,0,
57WN00014,57,1,2006,0,69,681,1793,0,10,,5,4,76,136,1,5,10,1,75,10,03,10,10,024,20,2,2,1,,5,2,4,2516,2,,471,47,10,68,5,1,1,139,110,,3,10,0,
57WN00015,57,1,2007,0,69,348,1789,0,10,,1,3,76,136,1,7,09,2,91,09,05,08,07,036,16,2,2,1,,1,1,3,4375,1,,591,59,10,69,4,1,1,142,106,,3,10,0,
57WN00016,57,1,2008,0,69,329,1857,0,10,,1,2,76,136,1,7,10,1,95,08,03,07,08,038,14,2,2,1,,1,1,2,4654,1,,613,61,10,69,4,3,1,166,116,,,,0,
57WN00017,57,1,2009,0,69,498,1885,0,10,,1,2,76,136,1,7,12,1,92,08,04,09,09,032,12,1,2,2,,1,1,2,2776,2,,593,59,10,69,4,3,1,158,114,,,,0,
57WN00018,57,2,2010,0,69,469,1829,0,10,,1,2,76,136,1,3,10,1,87,14,03,08,07,031,18,2,2,1,,1,1,2,1575,2,,550,55,10,69,4,0,1,122,122,,2,,0,
57WN00019,57,1,2011,0,69,518,1758,0,10,,1,3,76,136,1,7,08,1,98,09,04,07,07,036,16,2,3,2,,1,1,3,1470,2,,616,61,10,69,4,6,1,153,142,,,,0,
57WN00020,57,2,2012,0,69,328,1873,0,10,,1,2,75,135,1,2,09,1,75,08,03,09,09,034,16,2,2,1,,1,1,2,4520,1,,481,48,10,69,4,1,1,148,100,,,,0,
57WN00021,57,1,2013,0,69,479,1778,0,10,,1,3,75,135,1,7,10,2,113,10,06,08,07,034,11,2,2,1,,1,1,3,2461,2,,750,75,10,69,4,0,1,155,118,,,,0,
57WN00022,57,1,2014,0,69,691,1655,0,10,,3,5,75,135,1,4,11,1,98,09,03,08,08,036,18,2,3,2,,3,3,4,2756,2,,633,63,10,68,5,3,1,165,126,,,,0,
57WN00023,57,1,2016,0,69,681,1646,0,10,,1,6,75,135,1,7,09,1,103,07,03,07,09,036,22,1,2,2,,1,1,4,2516,2,,655,65,10,68,5,5,1,177,146,,,,0,
57WN00024,57,2,2017,0,69,518,1822,0,10,,1,2,74,134,1,3,08,1,70,09,03,08,09,037,14,2,2,1,,1,1,2,1470,2,,433,43,10,69,4,3,1,141,120,,,,0,
57WN00025,57,1,2018,0,69,571,1691,0,10,,1,5,74,134,1,7,10,1,106,12,03,08,08,040,13,2,2,1,,1,1,4,4411,1,,713,71,10,68,5,3,1,156,104,,,,0,
57WN00026,57,1,2019,0,69,701,1676,0,10,,1,5,74,134,1,6,09,3,109,08,04,08,07,031,16,2,2,1,,1,1,4,2724,2,,716,71,10,68,5,6,1,166,130,,,,0,
57WN00027,57,1,2020,0,69,701,1697,0,10,,1,5,74,134,1,6,10,1,113,10,04,07,08,033,16,2,2,1,,1,1,4,2724,2,,743,74,10,68,5,3,1,164,134,,,,0,
57WN00028,57,2,2021,0,69,691,1653,0,10,,1,5,74,134,1,1,09,3,96,10,04,06,05,041,16,2,2,1,,1,1,4,2756,2,,622,62,10,68,5,2,1,147,126,,,,0,
57WN00029,57,2,2022,0,69,519,1759,0,10,,1,3,74,134,1,3,10,2,91,08,03,07,06,042,14,2,2,1,,1,1,3,2374,2,,585,58,10,69,4,5,1,159,126,,,,0,
