UID,IDLAMB,YR,LBRD,ETAG,SEX,LINE,STM,PEN,TB,TR,TBRE,TBR17,AGE,ADAM,CADAM,BAND,DAYBN,WNAGE,TIM,BRWT,WNWT,ADG,F,MELA,VACC,SAMP,L,LOT,SIGR,THGR,JAW,CLR,H,IDX,MENB,MELW,CAUSE,ABN,DAYDIS,TRT,SIRE,SBRD,DAM,DBRD,TM,WT120,AADG,LNDAM,PD,CUWT
89WN00001, 89033334,89,03,L3334,3,7x,30,P1,2,1,3,2,1.0,1,1,1,82,138,10,95,101,663,07,,,,,,,,1,1,1,0,207,1277,93,,,,1509,03,2496,03,,89,669,71,3,113
89WN00002, 89033335,89,03,L3335,2,7x,30,P1,2,1,3,2,1.0,1,1,1,82,138,11,82,95,629,07,,B,,,G.8,,,1,1,1,0,207,1277,,,,,1509,03,2496,03,,84,666,71,1,107
89WN00003, 89033336,89,03,L3336,2,71,30,P1,2,1,3,2,1.0,1,1,1,84,136,10,75,87,585,11,,C,,,G.2,,,3,1,1,0,207,1253,,,,,1509,03,2002,03,,78,622,71,1,99
89WN00004, 89033337,89,03,L3337,3,71,30,P1,2,1,3,2,1.0,1,1,2,84,138,12,85,92,605,07,,,,,,,,3,1,2,0,207,1253,93,,,,1509,03,2002,03,,81,611,71,3,98
89WN00005, 89033338,89,03,L3338,2,7x,30,P5,2,1,3,2,1.0,1,1,1,85,135,3,91,95,636,09,,A,,,G.7,,,1,1,1,0,207,1273,,,,,1206,03,1922,03,,85,664,70,1,109
89WN00006, 89033339,89,03,L3339,2,7x,30,P5,2,1,3,2,1.0,1,1,1,85,135,8,64,91,627,08,,B,BL,,G.6,,,1,1,1,0,207,1273,,,,,1206,03,1922,03,,82,662,70,1,103
89WN00007, 89033340,89,03,L3340,2,71,30,P5,1,1,1,1,1.0,1,1,1,85,135,12,108,73,461,10,,,,,022,,,1,1,1,0,197,1141,92,,264,,1206,03,2259,03,,66,486,71,2,85
89WN00008, 89033341,89,03,L3341,1,71,30,P2,1,1,1,1,1.0,1,1,1,85,135,18,132,105,680,08,,,,,,,,1,1,2,0,197,1195,93,,,,1233,03,2185,03,,95,632,71,3,111
89WN00009, 89033342,89,03,L3342,2,71,30,P3,1,1,1,1,1.0,1,1,1,86,134,23,108,81,524,10,,B,,,G.4,,,1,1,1,0,197,1161,,,,,1244,03,2162,03,,74,565,71,1,91
89WN00010, 89033343,89,03,L3343,2,71,30,P3,2,1,3,2,1.0,1,1,1,86,134,2,76,100,690,06,,,,,024,,N,1,1,1,0,207,1295,92,34,264,,1244,03,1875,03,,90,717,71,2,111
