UID,IDLAMB,YR,LBRD,ETAG,SEX,LINE,STM,PEN,TB,TR,TBRE,TBR17,AGE,ADAM,CADAM,BAND,DAYBN,WNAGE,TIM,BRWT,WNWT,ADG,F,N,T,C,L,LOT,SIGR,THGR,JAW,CLR,H,IDX,MENB,MELW,CAUSE,ABN,DAYDIS,TRT,SIRE,SBRD,DAM,DBRD,TM,WT120,AADG,LNDAM,PD,CUWT
90WN00011, 90634429,90,63,K4429,1,6x,06,603,1,1,1,1,3.0,3,3,2,100,121,20,126,114,838, 8, 0,, 0,  0,  0,,,2,1,1,0,175,1214,,,,,3133,63,2894,63,,113,680,68,1,123
90WN00012, 90634430,90,63,K4430,2,6x,06,611,2,2,5,5,7.0,7,5,2,100,121,12,84,66,476, 7, 0,, 0,  0,38,,,2,1,1,0,171,1175,92,95,263,,3111,63,0291,63,,66,544,60,2,77
90WN00013, 90634431,90,63,K4431,1,6x,06,611,2,2,5,5,7.0,7,5,2,100,121,1,98,89,655, 7, 0,, 0,  0,  0,,,4,1,1,0,171,1175,93,95,,,3111,63,0291,63,,88,680,60,3,89
90WN00014, 90634433,90,63,K4433,1,6x,06,633,3,2,8,5,4.0,4,4,2,100,121,1,100,87,636, 8, 0,, 0,  0,  0,,,2,1,1,0,187,1229,93,,,,3409,63,1910,63,,86,607,63,3,92
90WN00015, 90634434,90,63,K4434,1,6x,06,633,3,2,8,5,4.0,4,4,2,100,121,2,92,89,660, 6, 0,, 0,  0,  0,,,2,1,1,0,187,1229,93,,,,3409,63,1910,63,,88,631,63,3,98
90WN00016, 90634435,90,63,K4435,2,6x,06,614,1,1,1,1,3.0,3,3,2,101,120,10,114,82,588, 9,4,2, 0,  0,XC.,,,1,1,1,0,146,1046,,95,,7,3472,63,2949,63,,82,500,61,1,89
90WN00017, 90634437,90,63,K4437,2,6x,06,615,2,1,3,2,4.0,4,4,1,101,118,15,111,89,660, 5,4,2, 0,  0,XC.,,,2,1,1,0,162,760,,,,,3612,63,2137,63,,90,639,68,1,102
90WN00018, 90634439,90,63,K4439,2,6x,06,604,2,2,5,6,3.0,3,3,1,101,118,28,101,76,558, 8,4,3, 0,  0,XC.,,,1,1,1,0,160,1044,08,77,319,,3386,63,2493,63,,77,637,60,6,92
90WN00019, 90634440,90,63,K4440,1,6x,06,604,2,2,5,4,3.0,3,3,1,101,118,17,119,72,509, 7, 0,, 0,  0,  0,,,1,1,1,0,160,1044,93,,,,3386,63,2493,63,,73,487,60,3,78
90WN00020, 90634441,90,63,K4441,2,6x,06,611,2,2,5,5,3.0,3,3,1,101,118,28,74,71,539, 8, 0,, 0,  0,32,,,2,1,1,0,189,982,92,,263,,3111,63,2794,63,,72,593,61,2,88
90WN00021, 90634442,90,63,K4442,2,6x,06,635,2,2,5,5,2.0,2,2,1,101,118,15,110,87,644, 7,3,, 0,  0,XC.,,,2,1,1,0,170,1337,,95,,,3640,63,3128,63,,88,730,60,1,99
90WN00022, 90634443,90,63,K4443,2,6x,06,635,2,2,5,5,2.0,2,2,1,101,118,32,102,66,473, 7, 0,, 0,  0,36,,,1,1,1,0,170,1337,92,95,263,,3640,63,3128,63,,67,570,60,2,81
90WN00023, 90634444,90,63,K4444,1,6x,06,613,2,2,5,5,4.0,4,4,1,101,118,4,88,76,569, 8, 0,, 0,  0,  0,,,2,1,1,0,187,1148,93,,,,3428,63,1957,63,,77,566,61,3,86
90WN00024, 90634445,90,63,K4445,2,6x,06,613,2,2,5,5,4.0,4,4,1,101,118,7,84,68,505,10, 0,, 0,  0,35,,,2,1,1,0,187,1148,92,95,263,,3428,63,1957,63,,69,539,61,2,82
90WN00025, 90634446,90,63,K4446,1,6x,06,612,1,1,1,1,2.0,2,2,2,101,120,27,145,112,813, 7, 0,, 0,  0,  0,,,2,1,2,0,153,1207,93,01,,,3142,63,3250,63,,112,699,63,3,119
90WN00026, 90634447,90,63,K4447,2,6x,06,601,1,1,1,1,6.0,6,4,2,101,120,18,118,86,618,10,2,1, 0,  0,XC.,,,2,1,1,0,136,1027,,95,,,2452,63,1152,63,,86,530,61,1,93
90WN00027, 90634448,90,63,K4448,2,6x,06,616,2,2,5,5,3.0,3,3,2,101,120,2,119,86,618, 8,3,, 0,  0,XC.,,,2,1,1,0,146,1078,,,,,3625,63,2891,63,,86,630,61,1,102
90WN00028, 90634449,90,63,K4449,1,6x,06,616,2,2,5,5,3.0,3,3,2,101,120,2,110,102,758,10, 0,, 0,  0,  0,,,2,1,2,0,146,1078,,,,,3625,63,2891,63,,102,735,61,1,108
90WN00029, 90634450,90,63,K4450,2,6x,06,601,1,1,1,1,7.0,7,5,2,101,120,21,122,74,515,11,1,, 0,  0,XC.,,,1,1,1,0,189,1144,,95,,7,2452,63,0205,63,,74,484,60,1,78
90WN00030, 90634452,90,63,K4452,2,6x,06,635,2,1,3,2,3.0,3,3,2,101,120,3,103,83,606, 6,1,, 0,  0,XC.,,,2,1,1,0,175,1214,,95,,,3640,63,2808,63,,83,557,63,1,93
90WN00031, 90634453,90,63,K4453,2,6x,06,634,1,1,1,1,5.0,5,4,2,101,120,1,113,84,606, 8,2,2, 0,  0,XC.,,,1,1,1,0,170,934,,,,7,3591,63,1725,63,,84,507,63,1,95
90WN00032, 90634455,90,63,K4455,1,6x,06,615,2,1,3,2,2.0,2,2,1,101,118,28,112,93,693, 8, 0,, 0,  0,  0,,,2,1,1,0,187,1290,93,,,,3612,63,3572,63,,94,655,60,3,104
90WN00033, 90634456,90,63,K4456,2,6x,06,605,1,1,1,1,2.0,2,2,2,102,119,5,68,75,573, 8,4,3, 0,  0,XC.,,,2,1,1,0,137,768,,,,,3515,63,3747,63,,76,522,61,1,85
90WN00034, 90634457,90,63,K4457,1,6x,06,601,2,2,5,5,3.0,3,3,1,102,117,31,104,79,586, 6, 0,, 0,  0,  0,,,2,1,1,0,175,1231,93,,279,,2452,63,2599,63,,81,606,60,G,0
90WN00035, 90634458,90,63,K4458,1,6x,06,601,2,2,5,5,3.0,3,3,1,102,117,26,120,86,632, 8, 0,, 0,  0,  0,,,2,1,1,0,175,1231,,,,,2452,63,2599,63,,88,649,60,1,93
90WN00036, 90634459,90,63,K4459,1,6x,06,614,2,2,5,5,2.0,2,2,1,102,117,11,98,78,583, 8, 0,, 0,  0,  0,,,1,1,1,0,170,1263,93,21,,,3472,63,3130,63,,80,630,60,3,91
90WN00037, 90634460,90,63,K4460,2,6x,06,614,2,2,5,5,2.0,2,2,1,102,117,31,94,69,509, 8, 0,, 0,  0,33,,,1,1,1,0,170,1263,92,21,263,,3472,63,3130,63,,71,605,60,2,86
90WN00038, 90634462,90,63,K4462,1,6x,06,633,3,1,7,2,3.0,3,3,1,102,117,31,92,64,468, 8, 0,, 0,  0,  0,,,1,1,1,0,203,881,93,,,,3409,63,2618,63,,65,391,68,3,77
90WN00039, 90634464,90,63,K4464,1,6x,06,611,3,1,7,2,2.0,2,2,1,102,117,16,84,75,569,10, 0,, 0,  0,  0,,,2,1,1,0,187,861,93,,,,3111,63,3203,63,,77,523,63,3,85
90WN00040, 90634466,90,63,K4466,1,6x,06,613,2,2,5,5,2.0,2,2,1,102,117,17,110,81,598, 8, 0,, 0,  0,  0,,,2,1,1,0,153,1071,93,,279,,3428,63,3514,63,,83,650,60,G,0
90WN00041, 90634467,90,63,K4467,2,6x,06,613,2,2,5,5,2.0,2,2,1,102,117,7,102,77,571, 8,4,1, 0,  0,XC.,,,1,1,1,0,153,1071,,95,,,3428,63,3514,63,,79,651,60,1,92
90WN00042, 90634468,90,63,K4468,1,6x,06,614,2,2,5,5,7.0,7,5,1,102,117,25,111,61,426,11, 0,, 0,  0,  0,,,2,1,1,0,153,1121,93,,,,3472,63,0533,63,,62,492,61,3,77
90WN00043, 90634469,90,63,K4469,2,6x,06,614,2,2,5,5,7.0,7,5,1,102,117,21,95,66,483,10, 0,, 0,  0,39,,,1,1,1,0,153,1121,92,,263,,3472,63,0533,63,,67,581,61,2,77
90WN00044, 90634470,90,63,K4470,2,6x,06,605,2,2,5,5,4.0,4,4,1,102,117,16,107,94,712, 8,3,, 0,  0,XC.,,,2,1,1,0,162,1235,,,,,3515,63,2281,63,,96,752,61,1,111
90WN00045, 90634471,90,63,K4471,2,6x,06,605,2,2,5,5,4.0,4,4,1,102,117,16,92,74,554,10,3,, 0,  0,XC.,,,2,1,1,0,162,1235,,,,,3515,63,2281,63,,76,594,61,1,89
90WN00046, 90634472,90,63,K4472,1,6x,06,614,2,2,5,5,2.0,2,2,1,102,117,12,122,74,528, 8, 0,, 0,  0,  0,,,2,1,1,0,153,1069,93,,,,3472,63,3273,63,,76,576,63,3,80
90WN00047, 90634473,90,63,K4473,1,6x,06,614,2,2,5,5,2.0,2,2,1,102,117,18,125,88,645, 7, 0,, 0,  0,  0,,,2,1,1,0,153,1069,,,,,3472,63,3273,63,,90,697,63,1,98
90WN00048, 90634474,90,63,K4474,2,6x,06,634,3,2,8,7,5.0,5,4,1,102,117,14,85,71,534, 6, 0,, 0,  0,34,,,1,1,1,0,170,987,92,,263,,3591,63,1664,63,,73,598,60,2,85
90WN00049, 90634475,90,63,K4475,1,6x,06,634,3,2,8,3,5.0,5,4,1,102,117,11,126,91,670, 8, 0,, 0,  0,  0,,,2,1,1,0,170,987,,,,,3591,63,1664,63,,93,638,60,1,101
90WN00050, 90634476,90,63,K4476,2,6x,06,615,2,2,5,5,6.0,6,4,1,102,117,11,116,76,550, 6,3,, 0,  0,XC.,,,1,1,1,0,176,1036,,95,,,3612,63,0782,63,,78,587,60,1,91
90WN00051, 90634477,90,63,K4477,1,6x,06,615,2,2,5,5,6.0,6,4,1,102,117,22,103,76,562, 8, 0,, 0,  0,  0,,,2,1,1,0,176,1036,93,,,,3612,63,0782,63,,78,571,60,3,88
90WN00052, 90634478,90,63,K4478,2,6x,06,615,2,2,5,5,2.0,2,2,1,102,117,27,106,67,482, 8, 0,, 0,  0,36,,,2,1,1,0,153,1034,92,,263,,3612,63,3131,63,,68,576,60,2,81
90WN00053, 90634479,90,63,K4479,2,6x,06,615,2,2,5,5,2.0,2,2,1,102,117,7,119,70,497, 7, 0,, 0,  0,35,,,2,1,1,0,153,1034,92,,263,,3612,63,3131,63,,71,577,60,2,82
90WN00054, 90634480,90,63,K4480,1,6x,06,604,1,1,1,1,4.0,4,4,1,102,117,32,136,116,875, 8, 0,, 0,  0,  0,,,2,1,1,0,137,946,93,55,247,,3386,63,1939,63,,119,743,63,3,118
90WN00055, 90634481,90,63,K4481,1,6x,06,613,2,2,5,5,2.0,2,2,1,102,117,4,91,85,649, 5, 0,, 0,  0,  0,,,2,1,2,0,170,1022,93,,279,,3428,63,3244,63,,87,692,61,G,0
90WN00056, 90634482,90,63,K4482,1,6x,06,613,2,2,5,5,2.0,2,2,1,102,117,4,92,58,417, 7, 0,, 0,  0,  0,,,2,1,1,0,170,1022,93,,,,3428,63,3244,63,,59,460,61,3,65
90WN00057, 90634483,90,63,K4483,1,6x,06,616,2,2,5,5,3.0,3,3,1,102,117,30,112,91,682, 6, 0,, 0,  0,  0,,,2,1,2,0,160,1249,,,,,3625,63,2459,63,,93,702,68,1,102
90WN00058, 90634484,90,63,K4484,1,6x,06,616,2,2,5,5,3.0,3,3,1,102,117,30,115,103,782, 6, 0,, 0,  0,  0,,,2,1,1,0,160,1249,93,21,,,3625,63,2459,63,,105,802,68,3,116
90WN00059, 90634486,90,63,K4486,2,6x,06,603,2,2,5,5,5.0,5,4,1,102,117,17,105,66,474, 5, 0,, 0,  0,38,,,2,1,1,0,170,1221,92,,263,,3133,63,1405,63,,67,515,61,2,78
90WN00060, 90634487,90,63,K4487,1,6x,06,603,2,2,5,5,5.0,5,4,1,102,117,14,112,73,528, 7, 0,, 0,  0,  0,,,2,1,2,0,170,1221,93,,,,3133,63,1405,63,,75,531,61,3,84
90WN00061, 90634488,90,63,K4488,2,6x,06,636,2,2,5,6,4.0,4,4,1,102,117,28,78,79,609, 6,4,1, 0,  0,XC.,,,2,1,1,0,175,1207,,95,,,3701,63,1907,63,,81,682,61,1,98
90WN00062, 90634489,90,63,K4489,1,6x,06,636,2,2,5,4,4.0,4,4,1,102,117,32,99,80,599, 9, 0,, 0,  0,  0,,,2,1,1,0,175,1207,93,,279,,3701,63,1907,63,,82,581,61,G,0
90WN00063, 90634490,90,63,K4490,2,6x,06,634,1,1,1,1,2.0,2,2,1,102,117,23,110,74,538,10,3,, 0,  0,XC.,,,1,1,1,0,137,870,,95,,,3591,63,3545,63,,76,524,63,1,87
90WN00064, 90634491,90,63,K4491,2,6x,06,612,2,2,5,5,4.0,4,4,1,103,116,8,112,75,550, 8,3,, 0,  0,XC.,,,2,1,1,0,175,1104,,95,,,3142,63,1849,63,,77,584,61,1,88
90WN00065, 90634492,90,63,K4492,1,6x,06,612,2,2,5,5,4.0,4,4,1,103,116,5,111,77,568, 7, 0,, 0,  0,  0,,,2,1,1,0,175,1104,93,,,,3142,63,1849,63,,79,565,61,3,84
90WN00066, 90634493,90,63,K4493,1,6x,06,631,2,2,5,5,2.0,2,2,1,103,116,20,111,86,646, 7, 0,, 0,  0,  0,,,1,1,1,0,170,1320,93,,,,3174,63,3373,63,,89,699,60,3,96
90WN00067, 90634494,90,63,K4494,2,6x,06,631,2,2,5,5,2.0,2,2,1,103,116,13,100,78,586, 8,1,, 0,  0,XC.,,,2,1,1,0,170,1320,,95,,,3174,63,3373,63,,80,670,60,1,98
90WN00068, 90634495,90,63,K4495,2,6x,06,606,2,2,5,5,4.0,4,4,1,103,116,18,88,62,459, 8, 0,, 0,  0,40,,,2,1,1,0,162,1145,92,95,263,,3210,63,1801,63,,64,500,68,2,75
90WN00069, 90634496,90,63,K4496,2,6x,06,606,2,2,5,5,4.0,4,4,1,103,116,26,87,69,520, 8, 0,, 0,  0,35,,,2,1,1,0,162,1145,92,,263,,3210,63,1801,63,,71,566,68,2,83
90WN00070, 90634502,90,63,K4502,2,6x,06,605,1,1,1,1,4.0,4,4,1,103,116,3,141,113,853, 7,1,, 0,  0,XC.,,,2,1,1,0,150,1106,,,,,3515,63,2030,63,,116,779,63,1,126
90WN00071, 90634503,90,63,K4503,1,6x,06,602,1,1,1,1,3.0,3,3,1,103,116,30,142,109,817, 8, 0,, 0,  0,  0,,,2,1,2,0,146,1159,,,,,2963,63,2470,63,,112,689,60,1,119
90WN00072, 90634504,90,63,K4504,2,6x,06,604,1,1,1,1,2.0,2,2,1,103,116,25,148,94,683, 7,3,, 0,  0,XC.,,,2,1,1,0,137,919,,35,,,3386,63,3235,63,,97,670,60,1,109
90WN00073, 90634505,90,63,K4505,1,6x,06,601,2,2,5,5,2.0,2,2,1,103,116,18,101,79,594, 6, 0,, 0,  0,  0,,,2,1,2,0,153,1076,93,,,,2452,63,3084,63,,81,646,63,3,87
90WN00074, 90634506,90,63,K4506,2,6x,06,601,2,2,5,5,2.0,2,2,1,103,116,17,106,80,598, 7,4,1, 0,  0,XC.,,,2,1,1,0,153,1076,,,,,2452,63,3084,63,,82,684,63,1,93
90WN00075, 90634507,90,63,K4507,1,6x,06,602,2,2,5,5,6.0,6,4,1,103,116,30,107,80,597, 9, 0,, 0,  0,  0,,,2,1,1,0,166,1121,93,,279,,2963,63,1147,63,,82,611,60,G,0
90WN00076, 90634508,90,63,K4508,1,6x,06,602,2,2,5,5,6.0,6,4,1,103,116,15,111,79,585, 8, 0,, 0,  0,  0,,,2,1,2,0,166,1121,93,,279,,2963,63,1147,63,,81,589,60,G,0
90WN00077, 90634510,90,63,K4510,2,6x,06,633,2,1,3,2,2.0,2,2,1,103,116,2,68,70,545, 6, 0,, 0,  0,36,,,1,1,1,0,153,858,92,,263,,3409,63,3479,63,,72,560,63,2,81
90WN00078, 90634511,90,63,K4511,1,6x,06,603,1,2,3,4,5.0,5,4,1,103,116,17,128,106,803, 8, 0,, 0,  0,  0,,,1,1,2,0,126,1125,,,,,3133,63,1778,63,,109,774,68,1,114
90WN00079, 90634512,90,63,K4512,1,6x,06,614,2,1,3,2,4.0,4,4,1,103,116,22,120,104,793, 9, 0,, 0,  0,  0,,,1,1,2,0,175,1044,93,21,,,3472,63,1830,63,,107,704,61,3,114
90WN00080, 90634514,90,63,K4514,1,6x,06,632,2,1,3,2,3.0,3,3,1,103,116,12,98,76,571,10, 0,, 0,  0,  0,,,1,1,1,0,175,836,93,,,,3196,63,2899,63,,78,481,63,3,83
90WN00081, 90634515,90,63,K4515,2,6x,06,603,2,2,5,5,6.0,6,4,1,103,116,6,99,73,544, 6,3,, 0,  0,XC.,,,2,1,1,0,156,1169,,06,,,3133,63,0945,63,,75,577,61,1,87
90WN00082, 90634516,90,63,K4516,1,6x,06,603,2,2,5,5,6.0,6,4,1,103,116,32,108,54,372,10, 0,, 0,  0,  0,,,1,1,1,0,156,1169,93,,,,3133,63,0945,63,,55,387,61,3,67
90WN00083, 90634517,90,63,K4517,2,6x,06,604,3,2,8,5,5.0,5,4,1,103,116,17,92,84,645, 7,1,, 0,  0,XC.,,,1,1,1,0,170,978,,,,,3386,63,1781,63,,87,685,68,1,97
90WN00084, 90634518,90,63,K4518,1,6x,06,604,3,2,8,5,5.0,5,4,1,103,116,8,92,84,645, 8, 0,, 0,  0,  0,,,2,1,1,0,170,978,93,,279,,3386,63,1781,63,,87,644,68,G,0
90WN00085, 90634519,90,63,K4519,2,6x,06,603,2,1,3,2,3.0,3,3,1,103,116,16,117,90,675, 9,4,3, 0,  0,XC.,,,1,1,1,0,175,1204,,,,,3133,63,2715,63,,93,659,60,1,108
90WN00086, 90634520,90,63,K4520,2,6x,06,603,2,2,5,5,3.0,3,3,1,103,116,3,110,80,595, 8,2,1, 0,  0,XC.,,,2,1,1,0,146,1039,,95,,,3133,63,2466,63,,82,631,63,1,94
90WN00087, 90634521,90,63,K4521,1,6x,06,603,2,2,5,5,3.0,3,3,1,103,116,6,109,65,466,12, 0,, 0,  0,  0,,,4,1,1,0,146,1039,93,,,,3133,63,2466,63,,67,469,63,3,76
90WN00088, 90634522,90,63,K4522,2,6x,06,611,1,1,1,1,2.0,2,2,1,103,116,17,115,77,565, 6,2,2, 0,  0,XC.,,,1,1,1,0,153,1131,,,,,3111,63,3391,63,,79,546,60,1,93
90WN00089, 90634524,90,63,K4524,1,6x,06,613,2,1,3,2,7.0,7,5,1,103,116,11,92,99,774, 7, 0,, 0,  0,  0,,,2,1,1,0,162,1035,,,,,3428,63,0373,63,,102,732,60,1,115
90WN00090, 90634525,90,63,K4525,1,6x,06,612,1,1,1,1,3.0,3,3,1,103,116,17,90,95,741, 7, 0,, 0,  0,  0,,,1,1,2,0,175,1073,,,,,3142,63,2639,63,,98,604,63,1,105
90WN00091, 90634526,90,63,K4526,2,6x,06,602,3,2,8,6,6.0,6,4,1,103,116,7,84,53,384, 9, 0,, 0,  0,43,,,2,1,1,0,176,993,92,,263,,2963,63,1200,63,,55,443,61,2,67
90WN00092, 90634527,90,63,K4527,1,6x,06,602,3,2,8,4,6.0,6,4,1,103,116,27,112,65,464, 7, 0,, 0,  0,  0,,,1,1,2,0,176,993,93,,,,2963,63,1200,63,,67,442,61,3,78
90WN00093, 90634529,90,63,K4529,2,6x,06,613,2,1,3,2,5.0,5,4,1,103,116,17,99,90,691, 4,1,, 0,  0,XC.,,,1,1,1,0,148,1104,,,,,3428,63,1242,63,,93,670,61,1,109
90WN00094, 90634530,90,63,K4530,2,6x,06,614,2,2,5,5,4.0,4,4,1,103,116,32,97,72,537, 8, 0,, 0,  0,32,,,2,1,1,0,150,1035,92,,263,,3472,63,2232,63,,74,587,63,2,88
90WN00095, 90634531,90,63,K4531,2,6x,06,614,2,2,5,5,4.0,4,4,1,103,116,3,104,73,540, 9,4,3, 0,  0,XC.,,,2,1,1,0,150,1035,,,,,3472,63,2232,63,,75,571,63,1,82
90WN00096, 90634532,90,63,K4532,2,6x,06,604,2,2,5,5,5.0,5,4,1,103,116,23,102,75,559, 5,2,1, 0,  0,XC.,,,2,1,1,0,181,1165,,,,,3386,63,1456,63,,77,603,61,1,92
90WN00097, 90634533,90,63,K4533,1,6x,06,604,2,2,5,5,5.0,5,4,1,103,116,30,119,87,647, 7, 0,, 0,  0,  0,,,2,1,1,0,181,1165,,,,,3386,63,1456,63,,90,661,61,1,101
90WN00098, 90634534,90,63,K4534,1,6x,06,633,2,2,5,5,3.0,3,3,1,103,116,31,121,93,697, 6, 0,, 0,  0,  0,,,2,1,2,0,160,1232,,,,,3409,63,2868,63,,96,717,60,1,107
90WN00099, 90634535,90,63,K4535,1,6x,06,633,2,2,5,5,3.0,3,3,1,103,116,4,121,70,499,11, 0,, 0,  0,  0,,,2,1,1,0,160,1232,93,,,,3409,63,2868,63,,72,501,60,3,84
90WN00100, 90634536,90,63,K4536,2,6x,06,614,2,2,5,6,2.0,2,2,1,103,116,30,68,76,597, 6,2,3, 0,  0,XC.,,,2,1,1,0,170,1253,,,,,3472,63,3403,63,,78,717,61,1,90
90WN00101, 90634537,90,63,K4537,1,6x,06,614,2,2,5,4,2.0,2,2,1,103,116,19,91,55,396, 9, 0,, 0,  0,  0,,,1,1,1,0,170,1253,93,,,,3472,63,3403,63,,57,415,61,3,70
90WN00102, 90634538,90,63,K4538,2,6x,06,615,2,2,5,5,5.0,5,4,1,103,116,7,108,57,398,10, 0,, 0,  0,42,,,1,1,1,0,170,1129,92,,263,,3612,63,1511,63,,59,431,60,2,69
90WN00103, 90634539,90,63,K4539,2,6x,06,615,2,2,5,5,5.0,5,4,1,103,116,31,123,48,308,10, 0,, 0,  0,44,,,3,1,1,0,170,1129,92,,263,,3612,63,1511,63,,49,358,60,2,59
90WN00104, 90634540,90,63,K4540,2,6x,06,612,3,2,8,5,5.0,5,4,1,103,116,17,89,71,535, 8, 0,, 0,  0,34,,,2,1,1,0,181,927,92,21,263,,3142,63,1447,63,,73,575,60,2,85
90WN00105, 90634542,90,63,K4542,1,6x,06,612,3,2,8,5,5.0,5,4,1,103,116,15,96,78,590, 7, 0,, 0,  0,  0,,,1,1,1,0,181,927,93,21,,,3142,63,1447,63,,80,594,60,3,88
90WN00106, 90634543,90,63,K4543,1,6x,06,632,2,1,3,2,6.0,6,4,1,103,116,16,112,98,748, 8, 0,, 0,  0,  0,,,1,1,1,0,146,1129,93,,,,3196,63,0998,63,,101,655,60,3,116
90WN00107, 90634545,90,63,K4545,2,6x,06,603,1,1,1,1,2.0,2,2,2,104,117,1,118,87,643,10,1,, 0,  0,XC.,,,2,1,1,0,137,889,,,,7,3133,63,3644,63,,89,588,63,1,95
90WN00108, 90634546,90,63,K4546,2,6x,06,634,2,2,5,6,7.0,7,5,1,104,115,4,100,75,565, 7,4,3, 0,  0,XC.,,,1,1,1,0,162,1381,,,,,3591,63,0202,63,,78,676,63,1,88
90WN00109, 90634547,90,63,K4547,1,6x,06,634,2,2,5,4,7.0,7,5,1,104,115,16,118,80,593, 5, 0,, 0,  0,  0,,,1,1,1,0,162,1381,93,,279,,3591,63,0202,63,,83,618,63,G,0
90WN00110, 90634548,90,63,K4548,2,6x,06,601,2,2,5,7,2.0,2,2,1,104,115,30,79,62,470, 5, 0,, 0,  0,38,,,1,1,1,0,153,1046,92,34,263,,2452,63,3476,63,,64,590,63,2,78
90WN00111, 90634549,90,63,K4549,1,6x,06,601,2,2,5,3,2.0,2,2,1,104,115,26,124,82,605, 4, 0,, 0,  0,  0,,,2,1,2,0,153,1046,93,,279,,2452,63,3476,63,,85,628,63,G,0
90WN00112, 90634551,90,63,K4551,1,6x,06,601,3,2,8,6,4.0,4,4,1,104,115,10,83,74,571, 7, 0,, 0,  0,  0,,,2,1,2,0,187,1174,93,,,,2452,63,1923,63,,77,662,68,3,84
90WN00113, 90634552,90,63,K4552,1,6x,06,601,3,2,8,4,4.0,4,4,1,104,115,15,100,67,496,10, 0,, 0,  0,  0,,,2,1,1,0,187,1174,93,,,,2452,63,1923,63,,69,466,68,3,75
90WN00114, 90634553,90,63,K4553,1,6x,06,633,2,2,5,6,7.0,7,5,1,104,115,17,98,64,471,10, 0,, 0,  0,  0,,,3,1,1,0,135,1006,93,95,,,3409,63,0643,63,,66,621,63,3,76
90WN00115, 90634554,90,63,K4554,2,6x,06,633,2,2,5,4,7.0,7,5,1,104,115,32,124,83,614, 6,2,1, 0,  0,XC.,,,1,1,1,0,135,1006,,18,,,3409,63,0643,63,,86,692,63,1,100
90WN00116, 90634555,90,63,K4555,2,6x,06,605,2,1,3,2,5.0,5,4,1,104,115,18,116,77,569, 8,2,1, 0,  0,XC.,,,1,1,1,0,137,881,,,,,3515,63,1660,63,,80,548,61,1,96
90WN00117, 90634557,90,63,K4557,2,6x,06,632,1,1,1,1,3.0,3,3,2,104,117,21,124,84,612, 9,4,2, 0,  0,XC.,,,1,1,1,0,160,915,,,,7,3196,63,2924,63,,86,530,61,1,96
90WN00118, 90634558,90,63,K4558,1,6x,06,603,2,1,3,2,2.0,2,2,1,104,115,15,100,90,696, 7, 0,, 0,  0,  0,,,2,1,2,0,187,1323,,,,,3133,63,3221,63,,93,648,61,1,101
