UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,DNA,INBRL,STUDY,HGRP
05WN00001,105051393,05,H1393,05,2,88,30,e10,5,1,1,1.0,1,1,1,87,221,134,12,8.7,0,89,0.599,81,1,1,,,0,M,.,e24,,A9073,04,H1123,05,82,1,,0,1,1,98,2.09,126.2,1,111,0,,0.061,SxP,
05WN00002,105051395,05,H1395,05,2,88,30,e10,8,2,1,1.0,1,1,1,87,221,134,10,7.3,0,73,0.49,66,1,1,,,0,M,  6,,,A9073,04,H0987,05,82,2,92,265,3,2,89,2.19,123.2,2,86,83,,0.056,,
05WN00003,105051396,05,H1396,05,3,88,30,e10,8,2,2,1.0,1,1,1,87,221,134,1,7.5,0,65,0.429,59,1,1,,,0,M,.,,,A9073,04,H1376,05,88,3,93,273,5,5,0,2.19,136.6,3,72,0,,0.069,,
05WN00004,105051397,05,H1397,05,2,88,30,e10,8,2,2,1.0,1,1,1,87,221,134,1,8.2,0,82,0.551,74,1,1,,,0,M,.,e31,,A9073,04,H1376,05,88,1,,0,5,5,99,2.19,136.6,1,93,0,,0.069,Life,2
05WN00005,105051399,05,H1399,05,2,88,30,e12,8,2,2,1.0,1,1,1,88,221,133,10,8.8,0,89,0.603,81,1,1,,,0,M,.,e32,PNEU.,P0098,05,H0824,05,82,1,,0,5,5,105,2.19,141.2,1,105,0,,0.045,Life,2
05WN00006,105051402,05,H1402,05,3,88,30,e12,8,2,2,1.0,1,1,1,88,221,133,15,6.3,0,76,0.524,69,1,1,,,0,M,.,,PNEU.,P0098,05,H0780,05,83,3,93,273,5,5,0,2.19,137.2,3,89,0,,0.04,,
05WN00007,105051403,05,H1403,05,3,88,30,e12,8,2,2,1.0,1,1,1,88,221,133,2,7.1,0,74,0.503,67,1,1,,,0,M,.,,PNEU. SCOURS,P0098,05,H0780,05,83,3,93,273,5,5,0,2.19,137.2,3,90,0,,0.04,,
05WN00008,105051404,05,H1404,05,2,88,30,e10,8,2,2,1.0,1,1,1,89,221,132,9,7.0,0,52,0.341,48,1,1,,,0,M,.,,,A9073,04,H0889,05,83,3,93,273,5,7,85,2.19,134.2,3,64,0,,0.06,,
05WN00009,105051405,05,H1405,05,3,88,30,e10,8,2,2,1.0,1,1,1,89,221,132,6,10.7,0,79,0.517,73,1,1,,,0,M,.,,,A9073,04,H0889,05,83,3,93,273,5,3,0,2.19,134.2,3,93,0,,0.06,,
05WN00010,105051406,05,H1406,05,3,88,30,e10,8,2,1,1.0,1,1,1,89,221,132,2,8.0,0,89,0.614,82,1,1,,,0,M,.,,,A9073,04,H1187,05,82,3,93,273,3,2,0,2.19,126.4,3,102,0,,0.068,,
05WN00011,105051408,05,H1408,05,2,88,30,e11,8,2,1,1.0,1,1,1,89,221,132,4,7.4,0,76,0.52,70,1,1,,,0,M,.,e32,HAIRY,H0571,05,H1240,05,83,1,,0,3,2,92,2.19,124.0,1,98,0,,0.06,Life,3
05WN00012,105051410,05,H1410,05,3,88,30,e11,8,2,1,1.0,1,1,1,89,221,132,6,8.7,0,86,0.586,79,1,1,,,0,M,.,,,H0571,05,H0960,05,88,3,93,273,3,2,0,2.19,125.8,3,92,0,,0.056,,
05WN00013,105051412,05,H1412,05,2,88,30,e10,8,2,1,1.0,1,1,1,89,221,132,2,9.8,0,81,0.539,75,1,1,,,0,M,.,e32,,A9073,04,H1095,05,82,1,,0,3,2,94,2.19,125.0,1,89,0,,0.058,Life,5
05WN00014,105051414,05,H1414,05,3,88,30,e10,8,2,1,1.0,1,1,1,90,221,131,2,9.8,0,95,0.65,88,1,1,,,0,M,.,,,A9073,04,H1269,05,83,3,93,273,3,2,0,2.19,136.0,3,106,0,,0.056,,
05WN00015,105051415,05,H1415,05,1,88,30,e10,8,2,1,1.0,1,1,1,90,221,131,13,8.0,0,91,0.634,84,1,1,3,,0,M,.,,H2 or H3,A9073,04,H1269,05,83,3,93,252,3,2,97,2.19,136.0,3,106,0,,0.056,,
05WN00016,105051416,05,H1416,05,3,88,30,e11,8,2,2,1.0,1,1,1,90,221,131,16,8.0,0,68,0.458,63,1,1,,,0,M,.,,,H0571,05,H1135,05,83,3,93,273,5,5,0,2.19,136.0,3,72,0,,0.053,,
05WN00017,105051417,05,H1417,05,3,88,30,e11,8,2,2,1.0,1,1,1,90,221,131,14,7.3,0,73,0.502,67,1,1,,,0,M,.,,,H0571,05,H1135,05,83,3,93,273,5,5,0,2.19,136.0,3,87,0,,0.053,,
05WN00018,105051420,05,H1420,05,3,88,30,e11,8,2,1,1.0,1,1,1,91,221,130,13,8.6,0,82,0.565,76,1,1,,,0,M,.,,SCOURS,H0571,05,H0825,05,82,3,93,273,3,2,0,2.19,117.6,3,97,0,,0.065,,
05WN00019,105051421,05,H1421,05,2,88,30,e12,8,2,1,1.0,1,1,1,91,221,130,9,10.1,0,94,0.645,88,1,1,,,0,M,.,e33,,P0098,05,H1121,05,82,1,,0,3,2,102,2.19,127.6,1,105,0,,0.042,Life,3
05WN00020,105051424,05,H1424,05,3,88,30,e11,8,2,1,1.0,1,1,1,91,221,130,16,8.7,0,78,0.533,73,1,1,,,0,M,.,,,H0571,05,H1208,05,83,3,93,273,3,2,0,2.19,124.6,3,92,0,,0.072,,
05WN00021,105051425,05,H1425,05,2,88,30,e10,5,1,1,1.0,1,1,1,91,221,130,1,8.5,0,80,0.55,75,1,1,,,0,M,.,e34,HAIRY,A9073,04,H1241,05,83,1,,0,1,1,94,2.09,125.0,1,90,0,,0.06,Life,1
05WN00022,105051426,05,H1426,05,2,88,30,e12,7,2,1,1.0,1,1,1,91,221,130,10,5.6,0,76,0.542,71,1,1,,,0,M,.,e34,WEAK LAMB,P0098,05,H0902,05,82,1,,0,3,2,92,2.19,124.2,1,92,0,,0.048,Life,2
05WN00023,105051428,05,H1428,05,3,88,30,e11,8,2,1,1.0,1,1,1,91,221,130,14,7.1,0,65,0.445,61,1,1,,,0,M,.,,,H0571,05,H0988,05,82,3,93,273,3,2,0,2.19,122.2,3,79,0,,0.048,,
05WN00024,105051429,05,H1429,05,3,88,30,e11,5,1,1,1.0,1,1,1,92,221,129,6,13.0,0,95,0.636,89,1,1,,,0,M,.,,,H0571,05,H1212,05,82,3,93,273,1,1,0,2.09,127.8,3,109,0,,0.053,,
05WN00025,105051431,05,H1431,05,2,88,30,e10,8,2,1,1.0,1,1,1,92,221,129,8,7.8,0,78,0.544,73,1,1,,,0,M,.,e31,,A9073,04,H0873,05,83,1,,0,3,2,93,2.19,124.6,1,93,0,,0.057,Life,1
05WN00026,105051432,05,H1432,05,3,88,30,e11,8,2,2,1.0,1,1,1,92,221,129,9,10.0,0,77,0.519,72,1,1,,,0,M,.,,,H0571,05,H1368,05,88,3,93,273,5,5,0,2.19,139.4,3,89,0,,0.058,,
05WN00027,105051435,05,H1435,05,2,88,30,e12,8,2,2,1.0,1,1,1,92,221,129,4,8.2,0,69,0.471,65,1,1,,,0,M,  5,,,P0098,05,H0853,05,83,2,92,265,5,5,95,2.19,138.0,2,76,77,,0.044,,
05WN00028,105051436,05,H1436,05,2,88,30,e12,8,2,2,1.0,1,1,1,92,221,129,11,8.8,0,80,0.552,75,1,1,,,0,M,.,e31,,P0098,05,H0853,05,83,1,,0,5,5,100,2.19,138.0,1,89,0,,0.044,Life,3
05WN00029,105051440,05,H1440,05,2,88,30,e11,8,2,1,1.0,1,1,1,93,221,128,1,7.2,0,74,0.522,70,1,1,,,0,M,  6,,FOUND 8/9/05,H0571,05,H0951,05,82,2,92,265,3,2,92,2.19,124.0,2,84,88,,0.06,,
05WN00030,105051443,05,H1443,05,2,88,30,e10,9,3,1,1.0,1,1,1,93,221,128,12,8.0,0,80,0.563,75,1,1,,,0,M,.,e32,,A9073,04,H1303,05,88,1,,0,7,2,98,2.29,132.0,1,90,0,,0.07,Life,3
05WN00031,105051444,05,H1444,05,2,88,30,e10,9,3,1,1.0,1,1,1,93,221,128,2,6.5,0,74,0.527,70,1,1,,,0,M,  6,,,A9073,04,H1303,05,88,2,92,265,7,2,95,2.29,132.0,2,85,86,,0.07,,
05WN00032,105051448,05,H1448,05,2,88,30,e11,7,2,1,1.0,1,1,2,94,223,129,12,8.3,0,90,0.633,84,1,1,,,0,M,.,e32,"SCOURS, PNEU.",H0571,05,H1338,05,82,1,,0,3,2,100,2.19,126.8,1,105,0,,0.056,Life,4
