UID,IDLAMB,YR,LBRD,ETAG,SEX,LINE,STM,PEN,TB,TR,TBRE,TBR17,AGE,ADAM,CADAM,BAND,DAYBN,WNAGE,TIM,BRWT,WNWT,ADG,F,N,T,C,L,TST,SIGR,THGR,JAW,CLR,H,IDX,MENB,MELW,CAUSE,ABN,DAYDIS,TRT,SIRE,SBRD,DAM,DBRD,TM,WT120,AADG,LNDAM,PD,CUWT,SAWT,LOT
84WN00001, 84026578,84,02,6578,2,72,30,736,2,1,4,2, 10,1,1,M,53,177,18,73,96,501, 9, 6, 8, 5, 58,  0,5,6,1,1,1,189,200,530,,,,,4112,02,4603,02,,67,779,72,1,106,104,
84WN00002, 84026611,84,02,6611,3,74,30,735,2,1,4,2, 10,1,1,M,64,166,17,50,50,271, 9, 3,12, 8, 51,  0,6,7,3,1,1,154,200,250,93,98,289,,3937,02,4937,02,,38,459,74,3,63,68,
84WN00003, 84026614,84,02,6614,2,75,30,753,2,1,3,2, 20,2,2,M,69,161,18,95,100,562, 7, 3,10, 6, 53,  0,4,6,2,1,1,200,200,1253,92,,264,,4297,02,2906,02,,77,769,75,2,104,103,005
84WN00004, 84026616,84,02,6616,1,74,30,736,2,2,5,5, 10,1,1,M,70,160,18,80,62,338,12, 3,10, 7, 63,182,6,7,5,1,1,141,200,1500,93,,254,,4112,02,4367,02,,49,440,74,3,68,0,
84WN00005, 84026617,84,02,6617,1,74,30,736,2,2,5,5, 10,1,1,M,70,160,17,72,90,518,10, 3, 9, 6, 46,262,5,6,2,1,2,165,200,1500,93,,254,,4112,02,4367,02,,69,621,74,3,99,0,
84WN00006, 84026618,84,02,6618,2,75,30,752,2,2,5,5, 30,3,3,M,72,158,15,71,70,398,13, 3,10, 7, 51,  0,5,6,1,1,1,134,200,1148,92,,264,,4584,02,0961,02,,55,547,75,2,76,83,015
84WN00007, 84026619,84,02,6619,1,75,30,752,2,2,5,5, 30,3,3,M,72,158,18,65,79,459, 7, 3, 9, 7, 49,225,4,6,1,1,2,163,200,1148,93,,254,,4584,02,0961,02,,62,535,75,3,89,0,
84WN00008, 84026620,84,02,6620,1,75,30,751,2,1,3,2, 40,4,4,M,74,156,23,92,92,531, 8, 8, 9, 6, 43,243,5,6,1,1,2,158,257,1343,93,,254,,4702,02,9815,01,,73,665,75,3,100,0,
84WN00009, 84026621,84,02,6621,2,75,30,755,2,1,4,2, 10,1,1,M,74,156,21,64,67,388, 6, 3, 9, 7, 44,  0,5,7,3,1,1,174,200,370,92,,264,,4296,02,4180,02,,53,582,75,2,72,78,017
84WN00010, 84026623,84,02,6623,2,75,30,753,2,1,4,2, 50,5,4,M,74,156,2,69,63,360, 5, 3, 9, 7, 57,  0,6,7,2,1,1,183,267,1433,92,,264,,4297,02,7710,01,,50,570,75,2,53,53,021
84WN00011, 84026624,84,02,6624,2,75,30,753,2,1,3,2, 50,5,4,M,74,156,19,76,78,451, 5, 3, 8, 6, 55,  0,6,7,1,1,1,188,267,1433,92,,264,,4297,02,7710,01,,62,640,75,2,88,94,008
84WN00012, 84026625,84,02,6625,2,75,30,756,1,1,1,1, 10,1,1,M,74,156,18,71,71,410, 5, 3, 9, 6, 63,  0,6,7,3,1,1,187,100,790,92,,264,,4254,02,4339,02,,56,574,75,2,81,82,013
84WN00013, 84026626,84,02,6626,2,75,30,756,1,1,1,1, 10,1,1,M,74,156,16,90,73,410, 7, 3, 8, 5, 60,  0,5,7,1,1,1,174,100,810,,,,,4254,02,4370,02,,58,576,75,1,72,78,
84WN00014, 84026628,84,02,6628,3,75,30,751,2,1,4,2, 40,4,4,M,74,156,27,82,38,191, 4, 3,11,11, 41,  0,6,7,1,1,2,153,257,1343,93,98,289,,4702,02,9815,01,,31,321,75,3,36,40,
84WN00015, 84026630,84,02,6630,2,75,30,756,1,1,1,1, 10,1,1,M,74,156,16,90,79,449, 9, 3, 7, 5, 57,  0,6,7,5,1,2,168,100,870,93,,340,,4254,02,4217,02,,63,615,75,3,85,92,
84WN00016, 84026631,84,02,6631,2,75,30,756,1,1,1,1, 10,1,1,M,74,156,16,83,48,254, 9, 3,11, 8, 64,  0,7,8,3,1,1,151,100,560,92,,264,,4254,02,4130,02,,39,420,75,2,55,62,021
84WN00017, 84026632,84,02,6632,2,75,30,756,1,1,1,1, 10,1,1,M,74,156,20,71,70,403, 8, 3,10, 6, 61,  0,6,7,3,1,1,169,100,770,92,,264,,4254,02,4539,02,,55,564,75,2,78,84,013
84WN00018, 84026633,84,02,6633,2,75,30,756,2,1,3,2, 10,1,1,M,75,155,23,79,80,465, 9, 3, 7, 5, 52,  0,4,6,1,1,1,171,200,1210,,,,,4254,02,4841,02,,64,653,75,1,83,89,
84WN00019, 84026634,84,02,6634,2,75,30,756,2,1,4,2, 10,1,1,M,74,156,21,67,61,348, 9, 3, 9, 7, 56,  0,7,8,1,1,1,161,200,1210,92,,264,,4254,02,4841,02,,48,542,75,2,64,69,021
84WN00020, 84026635,84,02,6635,1,75,30,755,1,1,1,1, 10,1,1,M,75,155,17,112,92,521, 7, 3,10, 6, 49,257,5,6,2,1,2,189,100,910,93,,254,,4296,02,4202,02,,74,662,75,3,101,0,
84WN00021, 84026636,84,02,6636,1,75,30,751,3,2,8,5, 20,2,2,M,75,155,19,85,83,481, 5, 3, 9, 6, 51,276,6,7,1,1,2,176,267,1433,93,,254,,4702,02,2742,02,,66,553,75,3,93,0,
84WN00022, 84026637,84,02,6637,2,75,30,751,3,2,8,5, 20,2,2,M,75,155,15,82,62,347, 7, 3, 9, 6, 51,  0,6,7,1,1,1,154,267,1433,92,,264,,4702,02,2742,02,,50,494,75,2,70,74,017
84WN00023, 84026639,84,02,6639,3,75,30,755,1,1,1,1, 10,1,1,M,75,155,15,94,83,475,10, 7, 8, 6, 48,  0,4,6,1,1,2,151,100,830,93,,283,,4296,02,4204,02,,66,619,75,3,88,97,
84WN00024, 84026640,84,02,6640,2,75,30,756,1,1,1,1, 10,1,1,M,75,155,15,101,95,548, 6, 3, 8, 5, 66,  0,5,7,3,1,1,206,100,1030,93,01,251,,4254,02,4558,02,,76,712,75,4,98,0,
84WN00025, 84026644,84,02,6644,2,75,30,756,1,1,1,1, 10,1,1,M,76,154,17,97,75,424, 7, 3, 9, 5, 56,  0,5,6,3,1,1,173,100,830,,,,,4254,02,4892,02,,61,581,75,1,85,88,
84WN00026, 84026645,84,02,6645,1,75,30,753,2,2,5,3, 30,3,3,M,76,154,18,100,101,591, 5, 3, 9, 6, 56,280,3,5,2,1,2,185,160,1028,93,87,254,,4297,02,1148,02,,81,610,75,3,112,0,
84WN00027, 84026646,84,02,6646,2,75,30,753,2,2,5,7, 30,3,3,M,76,154,17,72,81,479, 5, 3, 8, 5, 60,  0,5,6,3,1,1,187,160,1028,92,,264,,4297,02,1148,02,,65,626,75,2,88,91,008
84WN00028, 84026647,84,02,6647,2,75,30,751,3,1,7,2, 30,3,3,M,76,154,21,77,79,463, 6, 3, 7, 7, 57,  0,6,7,5,9,1,185,320,1472,92,08,264,,4702,02,0808,02,,63,630,75,2,86,89,103
84WN00029, 84026649,84,02,6649,1,75,30,751,3,1,7,2, 30,3,3,1,76,150,29,100,72,413, 5, 3, 7, 7, 62,277,5,7,1,1,3,182,320,1472,93,,310,,4702,02,0808,02,,60,506,75,5,111,0,
84WN00030, 84026650,84,02,6650,2,75,30,754,2,2,5,3, 30,3,3,M,76,154,22,144,95,523, 8, 3, 8, 6, 57,  0,5,6,1,1,1,175,160,1424,92,,264,,4255,02,1153,02,,77,629,75,2,101,109,005
84WN00031, 84026651,84,02,6651,1,75,30,754,2,2,5,7, 30,3,3,M,76,154,20,89,110,656, 7, 3, 8, 5, 66,278,5,6,1,1,2,203,160,1424,,,,,4255,02,1153,02,,88,735,75,1,115,0,
84WN00032, 84026652,84,02,6652,2,75,30,752,2,2,5,5, 30,3,3,M,76,154,17,95,72,406, 8, 3, 9, 5, 62,  0,7,8,3,1,1,161,280,1912,,,,,4584,02,0809,02,,58,537,75,1,78,86,
84WN00033, 84026653,84,02,6653,2,75,30,752,2,2,5,5, 30,3,3,M,76,154,17,95,84,484, 6, 3, 9, 5, 57,  0,6,7,3,1,1,180,280,1912,,,,,4584,02,0809,02,,68,615,75,1,91,97,
84WN00034, 84026655,84,02,6655,2,75,30,755,1,1,1,1, 10,1,1,M,76,154,15,86,80,464, 9, 3, 8, 6, 53,  0,4,5,3,1,1,169,100,880,,,,,4296,02,4226,02,,64,624,75,1,85,87,
84WN00035, 84026656,84,02,6656,3,75,30,755,1,1,1,1, 10,1,1,M,76,154,17,105,76,425, 7, 3, 9, 6, 61,  0,5,6,1,1,1,181,100,750,93,,283,,4296,02,4168,02,,62,562,75,3,83,95,
84WN00036, 84026657,84,02,6657,2,75,30,752,2,2,5,5, 20,2,2,M,76,154,15,87,63,353, 7, 3, 9, 5, 58,  0,5,6,3,1,1,156,267,1773,92,,264,,4584,02,2879,02,,51,496,75,2,69,72,017
84WN00037, 84026658,84,02,6658,2,75,30,752,2,2,5,5, 20,2,2,M,76,154,20,80,67,383, 7, 3, 8, 6, 59,  0,6,7,1,1,1,162,267,1773,,,,,4584,02,2879,02,,54,520,75,1,70,75,
84WN00038, 84026659,84,02,6659,2,75,30,753,1,1,1,1, 15,1,1,M,76,154,16,140,130,753, 7, 3, 9, 4, 60,  0,5,6,3,1,1,228,100,1380,,,,,4297,02,3668,02,,104,912,75,1,129,132,
84WN00039, 84026660,84,02,6660,1,75,30,752,2,2,5,5, 30,3,3,M,76,154,16,87,104,619, 5, 3, 7, 5, 54,276,5,6,1,1,3,195,240,1816,93,,254,,4584,02,1274,02,,83,682,75,3,113,0,
