UID,BPEN,SIRE,BGRP,Y1,Y2,Y3,FERT,PROL,STUDY3
04FE00001,01P,A7284,1,35,34,83,0.97,2.44,FLWT
04FE00002,02P,A8647,1,36,33,80,0.92,2.42,FLWT
04FE00003,03P,A7199,1,37,28,69,0.76,2.46,FLWT
04FE00004,04P,A9232,1,34,31,72,0.91,2.32,EXLAX
04FE00005,11P,A9750,1,10,10,32,1.0,3.2,EXLAX
04FE00006,12P,P0258,1,12,0,0,0.0,0.0,EXLAX
04FE00007,13P,A9278,1,12,12,28,1.0,2.33,EXLAX
04FE00008,14P,A9963,1,12,11,26,0.92,2.36,EXLAX
04FE00009,15P,A8766,1,11,11,26,1.0,2.36,FLWT
04FE00010,16P,A9442,1,11,11,31,1.0,2.82,EXLAX
04FE00011,21P,A9890,1,10,10,27,1.0,2.7,EXLAX
04FE00012,22P,A8879,1,11,11,29,1.0,2.64,IDX
04FE00013,23P,A9122,1,12,12,30,1.0,2.5,EXLAX
04FE00014,24P,A9434,1,10,10,19,1.0,1.9,EXLAX
04FE00015,25P,A9911,1,12,12,31,1.0,2.58,EXLAX
04FE00016,26P,A7896,1,10,10,22,1.0,2.2,FLWT
04FE00017,31R,R2261,1,34,34,66,1.0,1.94,LWW
04FE00018,32R,R1667,1,35,32,68,0.91,2.13,IDX
04FE00019,33R,R2746,1,35,32,72,0.91,2.25,FW
04FE00020,34R,R2600,1,34,32,69,0.94,2.16,FW
04FE00021,41T,I9221,1,33,29,52,0.88,1.79,UI
04FE00022,42T,T9073,1,33,29,57,0.88,1.97,UI
04FE00023,43T,T8296,1,32,30,58,0.94,1.93,UI
04FE00024,44T,T8964,1,28,25,52,0.89,2.08,Spurge
04FE00025,45T,T8907,1,28,28,63,1.0,2.25,LWW
04FE00026,46T,T8051,1,29,27,49,0.93,1.81,LWW
04FE00027,51K,K2368,1,34,32,56,0.94,1.75,ADG
04FE00028,52K,K2665,1,33,30,54,0.91,1.8,ADG
04FE00029,53K,K2454,1,34,34,68,1.0,2.0,ADG
04FE00030,54K,K2555,1,34,34,58,1.0,1.71,ADG
04FE00031,61,T8855,1,23,23,41,1.0,1.78,Spurge
04FE00032,62,T5505,1,21,18,31,0.86,1.72,UI
04FE00033,63,T9041,1,22,21,40,0.95,1.9,LWW
04FE00034,971,I0109,1,24,20,42,0.83,2.1,Suffolk
04FE00035,972,Z6098,1,24,22,41,0.92,1.86,Suffolk
04FE00036,BLK,Z0000,1,23,21,45,0.91,2.14,Black
04FE00037, 1,R0000,2,20,20,40,1.0,2.0,COHO/Multi
04FE00038, 2,R0000,2,20,20,37,1.0,1.85,COHO/Multi
04FE00039, 3,R0000,2,20,20,38,1.0,1.9,COHO/Multi
04FE00040, 4,R0000,2,19,18,35,0.95,1.94,COHO/Multi
04FE00041, 5,R0000,2,19,17,36,0.89,2.12,COHO/Multi
04FE00042, 6,R0000,2,18,16,33,0.89,2.06,COHO/Multi
04FE00043, 7,R0000,2,18,18,37,1.0,2.06,COHO/Multi
04FE00044, 8,R0000,2,20,18,32,0.9,1.78,COHO/Multi
04FE00045,31,R3456,2,23,22,39,0.96,1.77,COHORT
04FE00046,32,R2993,2,23,23,48,1.0,2.09,COHORT
04FE00047,33,R3911,2,24,23,44,0.96,1.91,COHORT
04FE00048,34,R3655,2,23,21,46,0.91,2.19,COHORT
04FE00049,35,R3847,2,21,21,43,1.0,2.05,COHORT
04FE00050,36,R3176,2,23,18,38,0.78,2.11,COHORT
04FE00051,37,R3362,2,23,21,40,0.91,1.9,COHORT
04FE00052,38,R3786,2,21,18,36,0.86,2.0,COHORT
04FE00053,41,R3035,2,21,19,37,0.9,1.95,COHORT
04FE00054,42,R3800,2,21,17,32,0.81,1.88,COHORT
04FE00055,43,R3885,2,22,17,32,0.77,1.88,COHORT
04FE00056,44,R3340,2,23,19,37,0.83,1.95,COHORT
04FE00057,45,R3660,2,23,21,39,0.91,1.86,COHORT
04FE00058,46,R3543,2,21,19,38,0.9,2.0,COHORT
04FE00059,47,R3179,2,19,16,28,0.84,1.75,COHORT
04FE00060,48,R3081,2,23,19,37,0.83,1.95,COHORT
04FE00061,11,R3456,3,23,15,30,0.65,2.0,COHORT
04FE00062,12,R2993,3,23,16,26,0.7,1.63,COHORT
04FE00063,13,R3911,3,21,15,29,0.71,1.93,COHORT
04FE00064,14,R3655,3,23,12,20,0.52,1.67,COHORT
04FE00065,15,R3847,3,23,16,32,0.7,2.0,COHORT
04FE00066,16,R3176,3,22,5,10,0.23,2.0,COHORT
04FE00067,17,R3362,3,23,15,27,0.65,1.8,COHORT
04FE00068,18,R3786,3,23,3,5,0.13,1.67,COHORT
04FE00069,21,R3035,3,22,12,23,0.55,1.92,COHORT
04FE00070,22,R3800,3,22,10,22,0.45,2.2,COHORT
04FE00071,23,R3885,3,21,13,27,0.62,2.08,COHORT
04FE00072,24,R3340,3,23,8,16,0.35,2.0,COHORT
04FE00073,25,R3660,3,21,18,30,0.86,1.67,COHORT
04FE00074,26,R3543,3,20,3,6,0.15,2.0,COHORT
04FE00075,27,R3179,3,23,15,23,0.65,1.53,COHORT
04FE00076,28,R3081,3,19,11,17,0.58,1.55,COHORT
04FE00077,973,Z7846,4,22,18,19,0.82,1.06,Suffolk
04FE00078,974,Z7988,4,20,0,0,0.0,0.0,Suffolk
04FE00079,e.0,Z0000,4,105,91,110,0.87,1.21,Suff/Multi
04FE00080,e.1,Z0000,4,101,85,104,0.84,1.22,Suff/Multi
04FE00081,e.2,Z0000,4,105,85,112,0.81,1.32,Suff/Multi
04FE00082,e.3,T8811,4,32,8,8,0.25,1.0,UI
04FE00083,e.4,T9193,4,34,18,22,0.53,1.22,LWW
04FE00084,e.5,R2570,4,37,31,37,0.84,1.19,IDX
04FE00085,e.6,K2546,4,36,30,42,0.83,1.4,ADG
04FE00086,e.7,K2630,4,33,16,25,0.48,1.56,ADG
04FE00087,e.8,K2129,4,36,23,33,0.64,1.43,ADG
04FE00088,e.9,A8579,4,30,27,44,0.9,1.63,IDX
04FE00089,e10,A9588,4,28,26,41,0.93,1.58,EXLAX
04FE00090,nd,K0000,4,52,6,10,0.12,1.67,Colu/Multi
04FE00091,O,00000,O,2,2,3,1.0,1.5,Illegit...
