UID,ID9,SEX,BRD,ETAG,GRADE,FLGR1,GRFL,BANDSH,DAYSH,DATE,RMK,INV96,STM,AGE,SPWT,WTDAY,BAND,L,YEAR
96SH00001, 94104964,2,10,S4964,60,4,9.6,1,71,1996-03-11,,Y,07,2.0,181,1996-04-29,1,79,96
96SH00002, 93103605,2,10,S3605,58,5,4.0,1,71,1996-03-11,,Y,08,3.0,167,1996-04-26,2,,96
96SH00003, 94104691,2,10,S4691,58,5,10.0,1,71,1996-03-11,,Y,42,2.0,150,1996-04-26,2,67,96
96SH00004, 93104285,2,10,S4285,60,4,9.0,1,71,1996-03-11,,Y,07,3.0,176,1996-04-29,1,58,96
96SH00005, 91101749,2,10,S1749,62,3,10.4,1,71,1996-03-11,,Y,42,5.0,195,1996-04-23,1,67,96
96SH00006, 94104684,2,10,S4684,60,4,8.0,1,71,1996-03-11,,Y,43,2.0,138,1996-05-07,1,65,96
96SH00007, 94105285,2,10,S5285,62,3,9.8,1,71,1996-03-11,,Y,42,2.0,130,1996-04-23,1,71,96
96SH00008, 94105010,2,10,S5010,58,5,10.6,1,71,1996-03-11,,Y,43,2.0,149,1996-05-07,1,71,96
96SH00009, 89100128,2,10,S0128,64,2,8.8,1,71,1996-03-11,,Y,07,7.0,185,1996-04-29,1,52,96
96SH00010, 90100835,2,10,S0835,62,3,7.6,1,71,1996-03-11,,Y,07,6.0,171,1996-05-01,2,65,96
96SH00011, 90100374,2,10,S0374,58,5,10.4,1,71,1996-03-11,,Y,41,6.0,161,1996-05-01,2,73,96
96SH00012, 92103119,2,10,S3119,60,4,10.0,1,71,1996-03-11,,Y,07,4.0,165,1996-04-26,2,,96
96SH00013, 92102579,2,10,S2579,62,3,9.8,1,71,1996-03-11,,Y,07,4.0,204,1996-04-29,1,60,96
96SH00014, 94104392,2,10,S4392,58,5,6.8,1,71,1996-03-11,,Y,07,2.0,135,1996-04-26,2,64,96
