UID,ETAG,SEX,BRWT,FLWT,GRFL,BAND,WDAY,LOT,RMK,ADG,DISP
10SH00001,00071,1,0,170,17.0,,2010-02-20,07,,0,
10SH00002,00976,2,0,0,0.0,,,07,,0,
10SH00003,03178,2,0,0,0.0,,,m3,,0,
10SH00004,A9119,2,0,0,0.0,,,30,,0,
10SH00005,A9471,2,0,0,0.0,,,30,,0,
10SH00006,H0478,2,0,0,0.0,,,30,,0,
10SH00007,H0591,2,0,0,0.0,,,30,,0,
10SH00008,H0762,2,0,84,8.4,,,30,,0,
10SH00009,H0884,2,0,0,0.0,,,30,,0,
10SH00010,H0954,2,0,0,0.0,,,30,,0,
10SH00011,H1080,2,0,0,0.0,,,30,,0,
10SH00012,H1135,2,0,0,0.0,,,30,,0,
10SH00013,H1208,2,0,0,0.0,,,30,,0,
10SH00014,H1330,2,0,0,0.0,,,30,,0,
10SH00015,H1333,2,0,0,0.0,,,30,,0,
10SH00016,H1365,2,0,56,5.6,,,30,,0,
10SH00017,H1474,2,0,0,0.0,,,30,,0,
10SH00018,H1526,2,0,0,0.0,,,30,,0,
10SH00019,H1764,2,0,0,0.0,,,30,,0,
10SH00020,H1771,1,0,0,0.0,,,30,,0,
10SH00021,H1797,1,0,0,0.0,,,30,,0,
10SH00022,H1823,1,0,0,0.0,,,30,,0,
10SH00023,H1914,1,0,0,0.0,,,30,,0,
10SH00024,H2067,2,0,0,0.0,,,30,,0,
10SH00025,H2175,2,0,0,0.0,,,30,,0,
10SH00026,H2340,2,0,0,0.0,,,33,AI161-33-3,0,
10SH00027,H2482,2,0,0,0.0,,,30,,0,
10SH00028,H2507,1,0,0,0.0,,,30,,0,
10SH00029,H2524,2,0,0,0.0,,,30,,0,
10SH00030,H2546,2,0,0,0.0,,,33,AI144-33-3,0,
10SH00031,H2619,2,0,0,0.0,,,30,,0,
10SH00032,H2630,2,0,0,0.0,,,33,,0,
10SH00033,H2700,2,0,0,0.0,,,30,,0,
10SH00034,H2731,1,0,0,0.0,,,30,,0,
10SH00035,H2771,1,0,0,0.0,,,30,,0,
10SH00036,H2785,2,0,72,7.2,,2010-02-19,30,,0,
10SH00037,H2831,2,0,0,0.0,,,30,,0,
10SH00038,H3067,2,0,0,0.0,,,30,,0,
10SH00039,H3127,1,0,0,0.0,,,30,,0,
10SH00040,H3165,1,0,0,0.0,,,30,,0,
10SH00041,H3251,2,0,0,0.0,,,30,,0,
10SH00042,H3258,1,0,0,0.0,,,30,,0,
10SH00043,H3298,2,0,0,0.0,,,30,,0,
10SH00044,H3309,1,0,0,0.0,,,30,,0,
10SH00045,H3334,2,0,0,0.0,,,30,,0,
10SH00046,H3379,1,0,0,0.0,,,30,,0,
10SH00047,H3393,2,0,0,0.0,,,30,,0,
10SH00048,H3468,1,0,0,0.0,,,30,,0,
10SH00049,H3494,1,0,0,0.0,,,30,,0,
10SH00050,H3544,1,0,0,0.0,,,30,,0,
10SH00051,H3558,2,0,0,0.0,,,30,,0,
10SH00052,H3580,1,0,0,0.0,,,30,,0,
10SH00053,H3707,2,0,0,0.0,,,30,,0,
10SH00054,H3740,2,0,0,0.0,,,30,,0,
10SH00055,H3825,2,0,0,0.0,,,30,,0,
10SH00056,H3879,2,0,0,0.0,,,30,,0,
10SH00057,H4091,2,0,0,0.0,,,30,,0,
10SH00058,H4179,2,0,0,0.0,,,30,,0,
10SH00059,H4259,2,0,0,0.0,,,30,,0,
10SH00060,H4292,2,0,0,0.0,,,30,,0,
