UID,ID9,ABN,YR,SEX,BRD,ETAG,LINE,STM,DAYSH,BAND,GRP,SPWT,GRFL,L,CLFL,FLGR1,SIGR,THGR,YLD,HRN,JAW,F,D,N,T,C,WTFEB,SCFEB,RGRP,MICRON,DEV,CRIMP,DIGR,WT_JULY,YEAR,AGE
91SH00001, 88000001, 0,88,1,00,00001,,02,142,M,,240,12.2,87,,3,3,5,504,1,1, 8,,,,,,,,250,,,5,262,91,3.0
91SH00002, 88008068, 0,88,1,00,08068,,02,142,M,,216,13.3,80,,5,3,5,428,1,1, 9,,,,,,,,256,,,5,237,91,3.0
91SH00003, 88008083, 0,88,1,00,08083,,02,142,M,,213,17.0,81,,2,2,3,435,1,1, 9,,,,,,,,249,,,4,249,91,3.0
91SH00004, 83023918, 0,83,2,02,Y3918,73,30,140,X,,132,10.7,0,,5,,,,,,,,,,,,,6,,,,,  0,91,8.0
91SH00005, 83023924, 0,83,2,02,Y3924,73,30,140,X,,149,8.0,0,,5,,,,,,,,,,,,,6,,,,,  0,91,8.0
91SH00006, 83023933, 0,83,2,02,Y3933,73,30,140,X,,122,10.5,0,,4,,,,,,,,,,,,,6,,,,,  0,91,8.0
91SH00007, 83023966, 0,83,2,02,Y3966,72,30,140,X,,125,4.6,0,,7,,,,,,,,,,,,,6,,,,,  0,91,8.0
91SH00008, 83024039, 0,83,2,02,Y4039,73,30,140,X,,116,10.6,0,,4,,,,,,,,,,,,,6,,,,,  0,91,8.0
91SH00009, 83024142, 0,83,2,02,Y4142,73,30,141,X,,134,8.2,0,,6,,,,,,,,,,,,,6,,,,,  0,91,8.0
91SH00010, 83024157, 0,83,2,02,Y4157,73,30,140,X,,147,7.8,0,,6,,,,,,,,,,,,,6,,,,,  0,91,8.0
91SH00011, 83024355, 0,83,2,02,Y4355,72,30,141,X,,144,8.3,0,,6,,,,,,,,,,,,,6,,,,,  0,91,8.0
91SH00012, 83024365, 0,83,2,02,Y4365,72,30,137,X,,114,7.7,0,,7,,,,,,,,,,,,,6,,,,,  0,91,8.0
91SH00013, 83024400, 0,83,2,02,Y4400,73,30,140,X,,148,10.4,0,,6,,,,,,,,,,,,,6,,,,,  0,91,8.0
91SH00014, 83024462, 0,83,2,02,Y4462,73,30,137,X,,152,8.3,0,,7,,,,,,,,,,,,,6,,,,,  0,91,8.0
91SH00015, 83024504, 0,83,2,02,Y4504,72,30,141,X,,138,6.4,0,,7,,,,,,,,,,,,,6,,,,,  0,91,8.0
91SH00016, 83024576, 0,83,2,02,Y4576,72,30,141,X,,119,7.7,0,,7,,,,,,,,,,,,,6,,,,,  0,91,8.0
91SH00017, 83024606, 0,83,2,02,Y4606,72,30,141,X,,138,11.0,0,,7,,,,,,,,,,,,,6,,,,,  0,91,8.0
91SH00018, 83024650, 0,83,2,02,Y4650,73,30,137,X,,150,7.7,0,,6,,,,,,,,,,,,,6,,,,,  0,91,8.0
91SH00019, 83024663, 0,83,2,02,Y4663,73,30,140,X,,149,10.6,0,,6,,,,,,,,,,,,,6,,,,,  0,91,8.0
91SH00020, 83024704, 0,83,2,02,Y4704,73,30,140,X,,156,5.5,0,,7,,,,,,,,,,,,,6,,,,,  0,91,8.0
91SH00021, 83024746, 0,83,2,02,Y4746,72,30,141,X,,136,6.9,0,,7,,,,,,,,,,,,,6,,,,,  0,91,8.0
91SH00022, 83024841, 0,83,2,02,Y4841,73,30,137,X,,156,7.7,0,,6,,,,,,,,,,,,,6,,,,,  0,91,8.0
91SH00023, 83025541, 0,83,2,02,Y5541,73,30,141,X,,144,6.6,0,,6,,,,,,,,,,,,,6,,,,,  0,91,7.5
91SH00024, 83025623, 0,83,2,02,Y5623,73,30,140,X,,149,6.2,0,,5,,,,,,,,,,,,,6,,,,,  0,91,7.5
91SH00025, 84025712, 0,84,2,02,Y5712,73,35,140,5,,160,8.6,0,,4,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00026, 84025741, 0,84,2,02,Y5741,73,30,137,5,,121,6.6,0,,6,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00027, 84025847, 0,84,2,02,Y5847,73,30,141,5,,159,9.3,0,,6,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00028, 84025863, 0,84,2,02,Y5863,73,30,140,5,,143,8.1,0,,7,,,,,,,,,,,,,6,,,,,  0,91,7.0
91SH00029, 84025879, 0,84,2,02,Y5879,73,30,140,5,,172,9.7,0,,6,,,,,,,,,,,,,6,,,,,  0,91,7.0
