UID,LAMB,SEX,BRWT,WGT,BAND,WDAY,LOT,RMK,ADG,DISP
11SH00001,H0478,2,0,0.0,,0,30,,0,
11SH00002,H0591,2,0,0.0,,0,30,,0,
11SH00003,H0671,2,0,0.0,,0,30,,0,
11SH00004,H0876,2,0,0.0,,0,30,,0,
11SH00005,H0884,2,0,0.0,,0,30,,0,
11SH00006,H0954,2,0,0.0,,0,30,,0,
11SH00007,H1006,2,0,0.0,,0,30,,0,
11SH00008,H1080,2,0,0.0,,0,30,,0,
11SH00009,H1135,2,0,0.0,,0,30,,0,
11SH00010,H1208,2,0,0.0,,0,30,,0,
11SH00011,H1330,2,0,0.0,,0,30,,0,
11SH00012,H1333,2,0,0.0,,0,30,,0,
11SH00013,H1474,2,0,0.0,,0,30,,0,
11SH00014,H1500,2,0,0.0,,0,30,,0,
11SH00015,H1526,2,0,0.0,,0,30,,0,
11SH00016,H1725,2,0,0.0,,0,30,,0,
11SH00017,H1764,2,0,0.0,,0,30,,0,
11SH00018,H1771,1,0,0.0,,0,30,,0,
11SH00019,H1797,1,0,0.0,,0,30,,0,
11SH00020,H1823,1,0,0.0,,0,30,,0,
11SH00021,H1914,1,0,0.0,,0,30,,0,
11SH00022,H2067,2,0,0.0,,0,30,,0,
11SH00023,H2175,2,0,0.0,,0,30,,0,
11SH00024,H2482,2,0,0.0,,0,30,,0,
11SH00025,H2507,1,0,0.0,,0,30,,0,
11SH00026,H2524,2,0,0.0,,0,30,,0,
11SH00027,H2619,2,0,0.0,,0,30,,0,
11SH00028,H2630,2,0,0.0,,0,33,,0,
11SH00029,H2700,2,0,0.0,,0,30,,0,
11SH00030,H2731,1,0,0.0,,0,30,,0,
11SH00031,H2771,1,0,0.0,,0,30,,0,
11SH00032,H2831,2,0,0.0,,0,30,,0,
11SH00033,H2909,2,0,0.0,,0,30,,0,
11SH00034,H3067,2,0,0.0,,0,30,,0,
11SH00035,H3095,2,0,0.0,,0,30,,0,
11SH00036,H3116,2,0,0.0,,0,30,,0,
11SH00037,H3127,1,0,0.0,,0,30,,0,
11SH00038,H3165,1,0,0.0,,0,30,,0,
11SH00039,H3233,2,0,0.0,,0,30,,0,
11SH00040,H3251,2,0,0.0,,0,30,,0,
11SH00041,H3258,1,0,0.0,,0,30,,0,
11SH00042,H3298,2,0,0.0,,0,30,,0,
11SH00043,H3309,1,0,0.0,,0,30,,0,
11SH00044,H3334,2,0,0.0,,0,30,,0,
11SH00045,H3379,1,0,0.0,,0,30,,0,
11SH00046,H3393,2,0,0.0,,0,30,,0,
11SH00047,H3468,1,0,0.0,,0,30,,0,
11SH00048,H3494,1,0,0.0,,0,30,,0,
11SH00049,H3530,2,0,0.0,,0,30,,0,
11SH00050,H3544,1,0,0.0,,0,30,,0,
11SH00051,H3558,2,0,0.0,,0,30,,0,
