UID,ID10,SEX,SHDAY,DAYSH,BGRP,BRD,ETAG,GRFL,GRADE,FLGR1,RMK,STM,AGE,SPWT,WTDAY,BAND,L,YEAR
01SH00001,1998640379,2,2001-03-08,67,A,64,K0379,11.6,56,6,,06,3.0,198,2001-04-24,5,0,01
01SH00002,1992443593,2,2001-03-08,67,O,44, 2516,9.6,58,5,,02,9.0,141,2001-04-24,5,0,01
01SH00003,1996006259,2,2001-03-08,67,A,00, 6259,7.6,58,5,,00,5.0,145,2001-04-24,5,0,01
01SH00004,1998109658,2,2001-03-08,67,A,10,S9658,12.0,62,3,LAYS DOWN NO GO,43,3.0,169,2001-04-24,A,0,01
01SH00005,1997107975,2,2001-03-08,67,A,10,S7975,13.4,60,4,,07,4.0,180,2001-04-24,A,0,01
01SH00006,1997007168,2,2001-03-08,67,A,00, 7168,14.0,58,5,,00,4.0,158,2001-04-24,5,0,01
01SH00007,1995050314,2,2001-03-08,67,A,05,50314,11.4,58,5,,00,6.0,149,2001-04-24,5,0,01
01SH00008,1997044533,2,2001-03-08,67,O,04,A4533,5.0,58,5,"THIN, TENDER",30,4.0,117,2001-04-24,5,0,01
01SH00009,1995050483,2,2001-03-08,67,A,05,50483,7.8,62,3,,00,6.0,150,2001-04-24,5,0,01
01SH00010,1997446042,2,2001-03-08,67,A,44,T6042,9.4,60,4,,02,4.0,129,2001-04-24,5,0,01
01SH00011,1997108452,2,2001-03-08,67,O,10,S8452,10.2,62,3,,07,4.0,146,2001-04-24,5,0,01
01SH00012,1993103907,2,2001-03-08,67,A,10,S3907,8.6,60,4,,08,8.0,178,2001-04-24,A,0,01
01SH00013,1992039296,2,2001-03-08,67,O,03,L9296,7.8,54,7,OVX TAG GONE,30,9.0,188,2001-04-24,5,0,01
01SH00014,1998109497,2,2001-03-08,67,A,10,S9497,13.8,60,4,,42,3.0,138,2001-04-24,A,0,01
01SH00015,1993104147,2,2001-03-08,67,A,10,S4147,10.8,60,4,,07,8.0,169,2001-04-24,A,0,01
01SH00016,1997814226,2,2001-03-08,67,O,81,Z4226,9.6,56,6,,00,4.0,186,2001-04-24,5,0,01
01SH00017,1998045634,2,2001-03-08,67,A,04,A5634,9.6,60,4,,30,3.0,196,2001-04-24,A,0,01
01SH00018,1993039835,2,2001-03-08,67,O,03,L9835,9.2,56,6,,30,8.0,188,2001-04-24,5,0,01
01SH00019,1997107857,2,2001-03-08,67,A,10,S7857,10.4,60,4,,43,4.0,204,2001-04-24,A,0,01
01SH00020,1994104833,2,2001-03-08,67,A,10,S4833,10.2,62,3,,42,7.0,160,2001-04-24,A,0,01
01SH00021,1998045152,2,2001-03-08,67,O,04,A5152,7.4,62,3,,30,3.0,188,2001-04-24,5,0,01
01SH00022,1993040212,2,2001-03-08,67,O,04,A0212,8.2,56,6,,30,8.0,223,2001-04-24,5,0,01
01SH00023,1994040943,2,2001-03-08,67,A,04,A0943,7.6,60,4,,30,7.0,174,2001-04-24,A,0,01
01SH00024,1997044780,2,2001-03-08,67,A,04,A4780,6.8,56,6,,30,3.5,151,2001-04-24,A,0,01
01SH00025,1993636937,2,2001-03-08,67,A,63,K6937,10.4,56,6,,06,8.0,185,2001-04-24,5,0,01
01SH00026,1994041738,2,2001-03-08,67,O,04,A1738,10.6,56,6,,30,6.5,163,2001-04-24,5,0,01
01SH00027,1998008059,2,2001-03-08,67,O,00, 8059,9.4,62,3,,43,3.0,162,2001-04-24,5,0,01
01SH00028,1997446081,2,2001-03-08,67,A,44,T6081,11.2,58,5,,02,4.0,154,2001-04-24,5,0,01
01SH00029,1998109181,2,2001-03-08,67,A,10,S9181,11.0,60,4,,07,3.0,157,2001-04-24,A,0,01
01SH00030,1998045484,2,2001-03-08,67,O,04,A5484,10.4,58,5,,30,3.0,167,2001-04-24,5,0,01
01SH00031,1997108039,2,2001-03-08,67,A,10,S8039,12.0,62,3,,07,4.0,179,2001-04-24,A,0,01
01SH00032,1998446859,2,2001-03-08,67,A,44,T6859,10.0,58,5,,02,3.0,183,2001-04-24,5,0,01
01SH00033,1993636680,2,2001-03-08,67,A,63,K6680,8.8,54,7,,06,8.0,170,2001-04-24,5,0,01
01SH00034,1999046126,2,2001-03-08,67,O,04,A6126,8.6,60,4,,30,2.0,163,2001-04-24,5,0,01
01SH00035,1994104817,2,2001-03-08,67,O,10,S4817,12.0,62,3,,42,7.0,181,2001-04-24,5,0,01
01SH00036,1996639194,2,2001-03-08,67,O,63,K9194,10.0,58,5,,05,5.0,205,2001-04-24,5,0,01
01SH00037,1995050336,2,2001-03-08,67,A,05,50336,10.2,62,3,,00,6.0,162,2001-04-24,5,0,01
01SH00038,1993040187,2,2001-03-08,67,A,04,A0187,7.8,60,4,,30,8.0,197,2001-04-24,A,0,01
01SH00039,1997446384,2,2001-03-08,67,A,44,T6384,9.6,62,3,,02,4.0,178,2001-04-24,5,0,01
01SH00040,1997639525,2,2001-03-08,67,O,63,K9525,11.2,56,6,,06,4.0,215,2001-04-24,5,0,01
01SH00041,1997044538,2,2001-03-08,67,A,04,A4538,9.0,56,6,,30,4.0,173,2001-04-24,A,0,01
01SH00042,1991442391,2,2001-03-08,67,A,44,T2391,10.8,58,5,,02,10,144,2001-04-24,X,0,01
01SH00043,1997108135,2,2001-03-08,67,A,10,S8135,11.4,62,3,,07,4.0,162,2001-04-24,A,0,01
01SH00044,1995050172,2,2001-03-08,67,A,05,50172,7.0,62,3,,00,6.0,152,2001-04-24,5,0,01
01SH00045,1996006178,2,2001-03-08,67,A,00, 6178,10.0,60,4,,00,5.0,195,2001-04-24,5,0,01
01SH00046,1997108170,2,2001-03-08,67,A,10,S8170,11.0,58,5,,07,4.0,138,2001-04-24,A,0,01
01SH00047,1993039884,2,2001-03-08,67,A,03,L9884,5.2,60,4,,30,8.0,151,2001-04-24,A,0,01
01SH00048,1996639022,2,2001-03-08,67,O,63,K9022,8.0,60,4,OVX SLICK: K9022,05,5.0,180,2001-04-24,5,0,01
01SH00049,1998446931,2,2001-03-08,67,O,44,T6931,11.0,58,5,,02,3.0,156,2001-04-24,5,0,01
01SH00050,1997639703,2,2001-03-08,67,O,63,K9703,11.4,54,7,,06,4.0,189,2001-04-24,5,0,01
01SH00051,1999046685,2,2001-03-08,67,A,04,A6685,6.2,54,7,,30,2.0,161,2001-04-24,A,0,01
01SH00052,1998109387,2,2001-03-08,67,A,10,S9387,14.8,60,4,,43,3.0,169,2001-04-24,A,0,01
01SH00053,1994444395,2,2001-03-08,67,A,44,T4395,8.0,60,4,,02,7.0,159,2001-04-24,5,0,01
01SH00054,1997007164,2,2001-03-08,67,A,00, 7164,10.2,62,3,,00,4.0,176,2001-04-24,5,0,01
01SH00055,1997108978,2,2001-03-08,67,O,10,S8978,10.2,62,3,,07,4.0,173,2001-04-24,5,0,01
01SH00056,1998045419,2,2001-03-08,67,A,04,A5419,6.8,60,4,,30,3.0,145,2001-04-24,A,0,01
01SH00057,1998109140,2,2001-03-08,67,A,10,S9140,13.6,62,3,,43,3.0,170,2001-04-24,A,0,01
01SH00058,1997814074,2,2001-03-08,67,O,81,Z4074,9.6,60,4,,00,4.0,180,2001-04-24,5,0,01
01SH00059,1993039746,2,2001-03-08,67,O,03,L9746,7.6,58,5,,30,8.0,165,2001-04-24,5,0,01
01SH00060,1994104657,2,2001-03-08,67,O,10,S4657,13.2,62,3,,42,7.0,170,2001-04-24,5,0,01
01SH00061,1993040570,2,2001-03-08,67,A,04,A0570,7.2,58,5,,30,7.5,150,2001-04-24,X,0,01
01SH00062,1998109102,2,2001-03-08,67,A,10,S9102,9.6,60,4,,07,3.0,177,2001-04-24,A,0,01
01SH00063,1992103258,2,2001-03-08,67,O,10,S3258,9.0,62,3,,07,9.0,161,2001-04-24,5,0,01
01SH00064,1994104669,2,2001-03-08,67,A,10,S4669,10.8,62,3,,42,7.0,169,2001-04-24,A,0,01
01SH00065,1997107869,2,2001-03-08,67,A,10,S7869,12.4,58,5,,43,4.0,168,2001-04-24,A,0,01
01SH00066,1994041222,2,2001-03-08,67,O,04,A1222,8.4,60,4,,30,7.0,180,2001-04-24,5,0,01
01SH00067,1996006062,2,2001-03-08,67,A,00, 6062,9.8,62,3,,00,5.0,161,2001-04-24,5,0,01
01SH00068,1998446593,2,2001-03-08,67,O,44,T6593,11.4,58,5,,02,3.0,158,2001-04-24,5,0,01
01SH00069,1995050480,2,2001-03-08,67,O,05,50480,9.0,64,2,,00,6.0,172,2001-04-24,5,0,01
01SH00070,1997108151,2,2001-03-08,67,A,10,S8151,12.4,62,3,,43,4.0,180,2001-04-24,A,0,01
01SH00071,1995042551,2,2001-03-08,67,O,04,A2551,6.0,60,4,OVX SLICK: A2551,00,6.0,170,2001-04-24,5,0,01
01SH00072,1999110229,2,2001-03-08,67,A,11,R0229,12.4,60,4,,43,2.0,148,2001-04-24,A,0,01
01SH00073,1994104959,2,2001-03-08,67,A,10,S4959,9.8,64,2,,07,7.0,152,2001-04-24,A,0,01
01SH00074,1995638454,2,2001-03-08,67,O,63,K8454,12.2,58,5,,06,6.0,174,2001-04-24,5,0,01
01SH00075,1992811961,2,2001-03-08,67,O,81,Z1961,10.8,60,4,OVX TAG GONE,58,9.0,168,2001-04-24,5,0,01
01SH00076,1998446436,2,2001-03-08,67,O,44,T6436,10.8,62,3,,02,3.0,177,2001-04-24,5,0,01
01SH00077,1998446454,2,2001-03-08,67,O,44,T6454,12.2,62,3,,02,3.0,187,2001-04-24,5,0,01
01SH00078,1998446836,2,2001-03-08,67,O,44,T6836,11.6,58,5,,02,3.0,163,2001-04-24,5,0,01
01SH00079,1992039594,2,2001-03-08,67,O,03,L9594,8.0,54,7,,30,8.5,156,2001-04-24,5,0,01
01SH00080,1999110819,2,2001-03-08,67,A,11,R0819,9.2,62,3,,43,2.0,131,2001-04-24,A,0,01
01SH00081,1997108102,2,2001-03-08,67,O,10,S8102,9.6,60,4,,07,4.0,158,2001-04-24,5,0,01
01SH00082,1994104960,2,2001-03-08,67,O,10,S4960,11.2,60,4,,07,7.0,180,2001-04-24,5,0,01
01SH00083,1997814264,2,2001-03-08,67,O,81,Z4264,8.8,58,5,,31,4.0,191,2001-04-24,5,0,01
01SH00084,1997639833,2,2001-03-08,67,A,63,K9833,10.6,60,4,,05,4.0,170,2001-04-24,5,0,01
01SH00085,1998109246,2,2001-03-08,67,A,10,S9246,11.0,62,3,,07,3.0,130,2001-04-24,A,0,01
01SH00086,1996006195,2,2001-03-08,67,A,00, 6195,10.4,60,4,,00,5.0,160,2001-04-24,5,0,01
01SH00087,1999046318,2,2001-03-08,67,A,04,A6318,9.6,60,4,,30,2.0,184,2001-04-24,A,0,01
01SH00088,1992038736,2,2001-03-08,67,O,03,L8736,8.4,60,4,,30,9.0,144,2001-04-24,5,0,01
01SH00089,1998045863,2,2001-03-08,67,A,04,A5863,7.8,60,4,,30,2.5,181,2001-04-24,A,0,01
01SH00090,1996043788,2,2001-03-08,67,A,04,A3788,10.0,56,6,,30,4.5,165,2001-04-24,A,0,01
01SH00091,1998109648,2,2001-03-08,67,A,10,S9648,12.2,62,3,,43,3.0,165,2001-04-24,A,0,01
01SH00092,1992635997,2,2001-03-08,67,O,63,K5997,10.2,54,7,,06,9.0,183,2001-04-24,5,0,01
01SH00093,1997639308,2,2001-03-08,67,A,63,K9308,9.8,60,4,,06,4.0,170,2001-04-24,5,0,01
01SH00094,1994444506,2,2001-03-08,67,O,44,T4506,7.4,60,4,,02,7.0,168,2001-04-24,5,0,01
01SH00095,1999046348,2,2001-03-08,67,O,04,A6348,11.0,56,6,,30,2.0,168,2001-04-24,5,0,01
