UID,ID9,YR,BRD,ETAG,ID_COW,SEX,LINE,SPWT,KGWT,GRFL,GRADE,FLGR1,RMK,DAYSH,SHDAY,WTDAY,BAND,L,YEAR,STM,AGE
95SH00001, 92102475,92,10,S2475,,2,11,114,4.5,9.9,62,3,,73,1995-03-14,1995-04-24,2,,95,07,3.0
95SH00002, 90100421,90,10,S0421,,2,13,133,4.7,10.4,62,3,,73,1995-03-14,1995-04-24,2,,95,41,5.0
95SH00003, 93636681,93,63,K6681,,2,62,141,4.06,9.0,58,5,,73,1995-03-14,1995-04-24,1,,95,06,2.0
95SH00004, 92102682,92,10,S2682,,2,11,153,5.62,12.4,58,5,,73,1995-03-14,1995-04-24,2,,95,07,3.0
95SH00005, 90100767,90,10,S0767,,2,13,153,6.46,14.2,60,4,,73,1995-03-14,1995-04-24,2,,95,41,5.0
95SH00006, 92103045,92,10,S3045,,2,13,157,5.14,11.3,62,3,,73,1995-03-14,1995-04-24,1,,95,07,3.0
95SH00007, 91635719,91,63,K5719,,2,61,179,5.52,12.2,60,4,,73,1995-03-14,1995-04-28,1,,95,06,4.0
95SH00008, 94104536,94,10,S4536,,2,13,122,3.2,7.1,60,4,,73,1995-03-14,1995-05-15,2,,95,07,1.0
95SH00009, 94105326,94,10,S5326,,2,10,117,3.52,7.8,60,4,,73,1995-03-14,1995-05-22,5,,95,07,1.0
95SH00010, 94637303,94,63,K7303,,2,62,132,2.6,5.7,60,4,,73,1995-03-14,1995-05-22,5,,95,06,1.0
95SH00011, 94637444,94,63,K7444,,2,00,135,2.94,6.5,58,5,,73,1995-03-14,1995-05-19,2,,95,05,1.0
95SH00012, 94040761,94,04,A0761,,2,82,132,1.8,4.0,60,4,,73,1995-03-14,1995-05-09,2,,95,30,1.0
95SH00013, 94041062,94,04,A1062,,2,81,111,2.96,6.5,56,6,,73,1995-03-14,1995-05-09,2,,95,30,1.0
95SH00014, 94444342,94,44,T4342,,2,ch,129,2.42,5.3,58,5,,73,1995-03-14,1995-05-19,2,,95,32,1.0
95SH00015, 94637121,94,63,K7121,,2,60,138,3.82,8.4,58,5,,73,1995-03-14,1995-05-15,2,,95,06,1.0
95SH00016, 94105170,94,10,S5170,,2,13,104,3.68,8.1,50,8,,73,1995-03-14,1995-05-09,2,,95,42,1.0
95SH00017, 94104684,94,10,S4684,,2,10,116,2.86,6.3,62,3,,73,1995-03-14,1995-05-09,2,,95,43,1.0
95SH00018, 94104513,94,10,S4513,,2,11,118,2.84,6.3,58,5,,73,1995-03-14,1995-05-05,1,,95,43,1.0
95SH00019, 94105119,94,10,S5119,,2,12,113,2.96,6.5,60,4,,73,1995-03-14,1995-05-15,2,,95,07,1.0
95SH00020, 94444409,94,44,T4409,,2,41,112,2.12,4.7,60,4,,73,1995-03-14,1995-05-15,2,,95,02,1.0
95SH00021, 94104703,94,10,S4703,,2,12,135,3.08,6.8,62,3,,73,1995-03-14,1995-05-22,5,,95,07,1.0
95SH00022, 94040858,94,04,A0858,,2,81,120,2.6,5.7,58,5,,73,1995-03-14,1995-05-22,5,,95,30,1.0
95SH00023, 94041082,94,04,A1082,,2,81,119,2.36,5.2,60,4,,73,1995-03-14,1995-05-05,1,,95,30,1.0
95SH00024, 94104557,94,10,S4557,,2,11,111,3.0,6.6,62,3,,73,1995-03-14,1995-04-24,1,,95,07,1.0
95SH00025, 94104576,94,10,S4576,,2,13,108,3.26,7.2,62,3,,73,1995-03-14,1995-05-23,B,,95,07,1.0
95SH00026, 94040962,94,04,A0962,,2,ch,103,2.3,5.1,60,4,,73,1995-03-14,1995-05-22,5,,95,31,1.0
95SH00027, 94444220,94,44,T4220,,2,41,130,3.48,7.7,58,5,,73,1995-03-14,1995-05-09,2,,95,02,1.0
95SH00028, 94637661,94,63,K7661,,2,61,146,4.04,8.9,58,5,,73,1995-03-14,1995-05-15,2,,95,06,1.0
95SH00029, 94637539,94,63,K7539,,2,60,133,2.6,5.7,62,3,,73,1995-03-14,1995-05-15,2,,95,06,1.0
95SH00030, 94041085,94,04,A1085,,2,82,127,1.8,4.0,62,3,,73,1995-03-14,1995-04-24,1,,95,30,1.0
95SH00031, 94104724,94,10,S4724,,2,11,126,2.9,6.4,60,4,,73,1995-03-14,1995-04-24,1,,95,07,1.0
95SH00032, 94444474,94,44,T4474,,2,41,139,2.52,5.6,60,4,,73,1995-03-14,1995-05-15,2,,95,02,1.0
95SH00033, 94104960,94,10,S4960,,2,11,113,2.88,6.4,60,4,,73,1995-03-14,1995-04-28,1,,95,07,1.0
95SH00034, 94105309,94,10,S5309,,2,ch,133,2.52,5.6,58,5,,73,1995-03-14,1995-05-19,2,,95,31,1.0
95SH00035, 94104717,94,10,S4717,,2,12,119,2.62,5.8,60,4,,73,1995-03-14,1995-05-15,2,,95,07,1.0
95SH00036, 94637237,94,63,K7237,,2,00,126,3.16,7.0,60,4,,73,1995-03-14,1995-05-15,2,,95,05,1.0
95SH00037, 94444527,94,44,T4527,,2,41,124,3.16,7.0,58,5,,73,1995-03-14,1995-05-22,5,,95,02,1.0
95SH00038, 94104715,94,10,S4715,,2,11,117,2.74,6.0,60,4,,73,1995-03-14,1995-05-15,2,,95,43,1.0
95SH00039, 94104628,94,10,S4628,,2,13,121,3.02,6.7,60,4,,73,1995-03-14,1995-05-15,2,,95,07,1.0
