UID,LAMB,SEX,BRWT,GRFL,FLWT,BAND,WDAY,LOT,RMK,ADG,DISP
15SH00001,H8210,1,0,13.8,138,,49,30,WF Mature Ram,0,
15SH00002,L0558,2,0,5.3,53,,49,PC,Smut Mat. Ewe,0,
15SH00003,R7369,2,0,11.0,110,,48,07,WF Bleeder Ewe,0,
15SH00004,R8186,2,0,0.0,0,,0,07,WF Bleeder Ewe,0,
15SH00005,R8205,2,0,9.2,92,,48,07,WF Mat. Ewe,0,
15SH00006,T3919,2,0,0.0,0,,0,02,WF Bleeder Ewe,0,
15SH00007,T4032,2,0,9.0,90,,48,02,WF Mat. Ewe,0,
15SH00008,T5330,2,0,8.4,84,,48,02,Preg WF EL,0,
15SH00009,T5779,2,0,6.8,68,,48,02,Preg WF EL,0,
15SH00010,X7262,2,0,0.0,0,,0,97,Suf. Mat. Ewe,0,
15SH00011,X8591,2,0,0.0,0,,0,97,Suf. Mat. Ewe,0,
15SH00012,Z0683,2,0,5.0,50,,49,R3,R3,0,
15SH00013,Z1156,1,0,7.8,78,,49,97,Suffolk Mat Ram,0,
15SH00014,Z1225,2,0,9.0,90,,48,CM,WF Mat. Ewe,0,
15SH00015,L0838,2,0,8.0,80,,48,PC,WF Mat. Ewe,0,
15SH00016,T4989,2,0,10.6,106,,48,02,WF Mat. Ewe,0,
15SH00017,H6845,2,0,7.4,74,,48,30,WF Mat. Ewe,0,
15SH00018,T4892,2,0,10.8,108,,48,02,WF Mat. Ewe,0,
15SH00019,T4115,2,0,9.4,94,,48,02,WF Mat. Ewe,0,
15SH00020,T4736,2,0,12.8,128,,48,02,WF Mat. Ewe,0,
15SH00021,R8765,2,0,8.2,82,,48,07,WF Mat. Ewe,0,
15SH00022,H7245,2,0,9.2,92,,48,30,WF Mat. Ewe,0,
15SH00023,T4287,2,0,10.4,104,,48,02,WF Mat. Ewe,0,
15SH00024,H8256,2,0,8.2,82,,48,30,WF Mat. Ewe,0,
15SH00025,Z1747,2,0,14.4,144,,48,CM,WF Mat. Ewe,0,
15SH00026,T5044,2,0,9.4,94,,48,02,WF Mat. Ewe,0,
15SH00027,Z1596,2,0,8.3,83,,48,CM,WF Mat. Ewe,0,
15SH00028,R9795,2,0,9.0,90,,48,07,WF Mat. Ewe,0,
15SH00029,T2471,2,0,11.0,110,,48,02,WF Mat. Ewe,0,
15SH00030,Z1767,2,0,8.2,82,,48,CM,WF Mat. Ewe,0,
15SH00031,H6729,2,0,7.6,76,,48,30,WF Mat. Ewe,0,
