UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,INBRL,NOBN
05LA00001,05, 3090,30,00,54K,K1553,64,1.5,1,80,06,1,7,y,N,031705,76,0,1,.,0.0,2,1,,,00,86,0,76,27,,,,,.,.,.,RN,J,1,,1,1,1,0,0,0.0,0,0,0.0,0,5,2005-03-17,0.0,
05LA00002,05,H0806,05,82,e12,P0098,05,1.0,1,30,30,4,0,y,M,030805,67,2,0,.,0.0,1,1,,,88,30,0,67,27,,,,,.,.,.,.,J,1,,1,1,2,0,0,0.0,0,0,0.0,0,5,2005-03-08,0.041,
05LA00003,05,H0806,05,82,e12,P0098,05,1.0,1,30,30,4,0,y,M,030805,67,2,0,.,0.0,1,1,,,88,30,0,67,27,,,,,.,.,.,.,J,2,,0,0,,0,0,0.0,0,0,0.0,0,5,2005-03-08,0.041,
05LA00004,05,H0867,05,82,e12,P0098,05,1.0,1,30,30,4,0,y,M,032105,80,2,1,.,0.0,1,1,,,88,30,0,80,27,,,,,.,.,.,.,J,1,,1,1,2,0,0,0.0,0,0,0.0,0,5,2005-03-21,0.033,
05LA00005,05,H0867,05,82,e12,P0098,05,1.0,1,30,30,4,0,y,M,032105,80,2,1,.,0.0,1,1,,,88,30,0,80,27,,,,,.,.,.,.,J,2,,0,0,,0,0,0.0,0,0,0.0,0,5,2005-03-21,0.033,
05LA00006,05,H0896,05,83,e10,A9073,04,1.0,1,30,30,4,0,y,M,030805,67,2,0,.,0.0,1,1,,,88,30,0,67,27,,,,,.,.,.,.,J,1,,1,1,2,0,0,0.0,0,0,0.0,0,5,2005-03-08,0.056,
05LA00007,05,H0896,05,83,e10,A9073,04,1.0,1,30,30,4,0,y,M,030805,67,2,0,.,0.0,1,1,,,88,30,0,67,27,,,,,.,.,.,.,J,2,,0,0,,0,0,0.0,0,0,0.0,0,5,2005-03-08,0.056,
05LA00008,05,H0956,05,83,e12,P0098,05,1.0,1,30,30,4,0,y,M,032105,80,2,2,.,0.0,1,1,,,88,30,0,80,27,,,,,.,.,.,.,J,1,,1,1,2,0,0,0.0,0,0,0.0,0,5,2005-03-21,0.038,
05LA00009,05,H0956,05,83,e12,P0098,05,1.0,1,30,30,4,0,y,M,032105,80,2,2,.,0.0,1,1,,,88,30,0,80,27,,,,,.,.,.,.,J,2,,0,0,,0,0,0.0,0,0,0.0,0,5,2005-03-21,0.038,
05LA00010,05,H0990,05,82,e10,A9073,04,1.0,1,30,30,4,0,y,M,031205,71,0,0,.,0.0,1,1,,,88,30,0,71,27,,,,,.,.,.,.,J,1,,1,1,1,0,0,0.0,0,0,0.0,0,5,2005-03-12,0.05,
