ID10,UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MILK,SEX,ENTR,TEAT,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
D14LA00001,14LA00001,14,Z1604,83,,e2,Z1226,83,1.0,1,CM,CM,4,0,N,,021914,50,0,0,.,.,.,0.0,.,.,.,,,,0,50,27,,,LAMBNOTFOUND,IMM,1,1,..,OR,M,1,,1,1,1,0,0,0.0,0,2014-02-19,0.05,,,,,
D14LA00002,14LA00002,14,Z1585,83,,e10,Z1449,00,1.0,1,97,97,4,0,N,,022414,55,0,0,.,.,.,0.0,.,.,.,,,,0,55,27,,,LAMBNOTFOUND,IMM,1,1,..,GRN,M,1,,1,1,1,0,0,0.0,0,2014-02-24,0.0,,,,,
D14LA00003,14LA00003,14,Z1611,83,,25,X9851,82,1.0,1,S3,C3,4,0,N,,030614,65,0,0,1,.,.,4.9,5,1,.,,,,0,65,27,,,.,IMM,1,1,..,OR,J,1,,1,1,1,0,0,0.0,0,2014-03-06,0.01,,,,,
D14LA00004,14LA00004,14,L0993,70,,e7,L0289,70,1.0,1,PC,PC,4,,N,,030614,65,0,0,.,.,.,0.0,.,.,.,,,,0,65,27,,,RP,IMM.NOT.FOUND,1,1,..,OR,J,1,,1,1,1,0,0,0.0,0,2014-03-06,0.003,,,,,
D14LA00005,14LA00005,14,Z1482,83,,e10,Z1449,00,1.0,1,97,97,4,,N,,030714,66,0,0,2,.,.,5.3,6,1,.,,,,0,66,27,,,.,IMM,1,1,..,GRN,J,1,,1,1,1,0,0,0.0,0,2014-03-07,0.0,,,,,
D14LA00006,14LA00006,14,Z1807,83,,26,X9661,82,1.0,1,C3,S3,4,0,N,,030814,67,2,0,1,.,.,4.0,5,1,.,,,,0,67,27,,,.,IMM,1,1,..,OR,J,1,,1,1,2,0,0,0.0,0,2014-03-08,0.0,,,,,
D14LA00007,14LA00007,14,Z1807,83,,26,X9661,82,1.0,1,C3,S3,4,0,N,,030814,67,2,0,2,.,.,4.4,5,1,.,,,,0,67,27,,,.,IMM,1,1,..,OR,J,2,,0,0,0,0,0,0.0,0,2014-03-08,0.0,,,,,
D14LA00008,14LA00008,14,Z0385,83,,43,K0000,64,3.0,3,R3,06,1,0,Y,.,030914,68,9,0,2,.,.,6.9,1,1,.,,,,0,68,27,,,.,IMM,1,1,..,MP,J,1,,1,1,3,0,0,0.0,0,2014-03-09,0.0,,,,,
D14LA00009,14LA00009,14,Z0385,83,,43,K0000,64,3.0,3,R3,06,1,0,Y,.,030914,68,9,0,2,.,.,6.3,1,1,.,,,,0,68,27,,,.,IMM,1,1,..,MP,J,2,,0,0,0,0,0,0.0,0,2014-03-09,0.0,,,,,
D14LA00010,14LA00010,14,Z0385,83,,43,K0000,64,3.0,3,R3,06,1,0,Y,.,030914,68,9,0,1,.,.,6.2,1,1,.,,,,0,68,27,,,.,IMM,1,1,..,MP,J,3,,0,0,0,0,0,0.0,0,2014-03-09,0.0,,,,,
