UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,SBRD,DAM,DBRD,RGRP,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,STUDYTRT,IDAR,CLR,ALTID,INBRL,CULLPILE,YRREC
21IN00001,2018060006,A0006,06,A0006,18,2,,1,30,37,H8837,05,H9299,05,0,,,6,RED,,,0,0,0,,89,0314,,,,3.0,+Abomasitis,EC,,,1,,0.04,,2021
21IN00002,2018060009,A0009,06,A0009,18,2,,1,30,41,H9486,05,H9504,05,0,,,1,RED,D,,222,215,2,,,0707,,,,3.0,LambedInJuly,,,,1,,0.034,,2021
21IN00003,2018060013,A0013,06,A0013,18,1,,1,30,38,H9294,05,H8620,05,0,,,3,RED,M,,245,266,0,,93,0912,,,,3.0,To MARC,,,3093,1,,0.023,,2021
21IN00004,2018060032,A0032,06,A0032,18,2,,1,30,40,H9420,05,H8664,05,,,,3,RED,1,,168,166,4,,93,1018,,,,3.0,X Bag,,,15575,1,,0.033,,2021
21IN00005,2018060049,A0049,06,A0049,18,2,,1,30,39,H9361,05,H9357,05,0,,,1,RED,2,,169,157,2,,,,,,,3.0,.,,,,1,,0.037,,2021
21IN00006,2018060059,A0059,06,A0059,18,2,,1,30,41,H9486,05,H9325,05,7,,,1,RED,1,,166,167,2,,,,,,,3.0,.,,,,1,,0.037,,2021
21IN00007,2018060061,A0061,06,A0061,18,2,,1,30,40,H9420,05,H8925,05,0,,,2,RED,1,,165,155,2,,92,0916,,,,3.0,.,,,15156,1,,0.031,,2021
21IN00008,2018060070,A0070,06,A0070,18,2,,1,30,41,H9486,05,H8709,05,,,,3,RED,1,,154,165,2,,93,0912,,,,3.0,To MARC,,,3125,1,,0.034,,2021
21IN00009,2018060073,A0073,06,A0073,18,2,,1,30,38,H9294,05,H9149,05,,,,1,RED,2,,229,208,2,,,,,,,3.0,WARTS,EC,,,1,,0.027,,2021
21IN00010,2018060081,A0081,06,A0081,18,2,,1,30,39,H9361,05,H8721,05,0,,,3,RED,2,,168,171,2,,93,1018,,,,3.0,OKFORONE,,,15707,1,,0.025,,2021
21IN00011,2018060103,A0103,06,A0103,18,2,,1,30,e14,H9384,05,H9833,05,,,,1,,1,,171,162,3,,,,,,,3.0,ScoursTx,,,,1,,0.027,,2021
21IN00012,2018060106,A0106,06,A0106,18,2,,1,30,39,H9361,05,H8927,05,0,,,1,RED,2,,182,172,2,,,,,,,3.0,.,,,,1,,0.044,,2021
21IN00013,2018060110,A0110,06,A0110,18,2,,1,30,40,H9420,05,H8876,05,0,,,1,RED,1,,146,167,2,,,,,,,3.0,CHUNKYMILKRS,,,,1,,0.027,,2021
21IN00014,2018060121,A0121,06,A0121,18,2,,1,30,39,H9361,05,H8054,05,0,,,3,RED,1,,133,168,4,,93,0912,,,,3.0,To MARC,,,3133,1,,0.034,,2021
21IN00015,2018060132,A0132,06,A0132,18,2,,1,30,40,H9420,05,H9279,05,0,,,3,RED,2,,179,176,9,,93,1004,,,,3.0,X Bag,,,15506,1,,0.036,,2021
21IN00016,2018060134,A0134,06,A0134,18,2,,1,30,39,H9361,05,H9424,05,0,,,2,RED,D,,243,234,1,,92,0916,,,,3.0,.,EC,,15178,1,,0.028,,2021
21IN00017,2018060149,A0149,06,A0149,18,2,,1,30,e10,H8894,05,H9612,05,0,,,3,,1,,179,179,2,,93,0912,,,,3.0,To MARC,EC,,3119,1,,0.036,,2021
21IN00018,2018060164,A0164,06,A0164,18,2,,1,30,41,H9486,05,H9497,05,,,,1,RED,1,,224,204,2,,,,,,,3.0,.,,,,1,,0.031,,2021
21IN00019,2018060175,A0175,06,A0175,18,2,,1,30,40,H9420,05,H8694,05,0,,,1,TX,1,,169,174,1,,,,,,,3.0,WARTS,,,,1,,0.029,,2021
21IN00020,2018060184,A0184,06,A0184,18,2,,1,30,e11,H9065,05,H9754,05,0,,,1,,1,,160,167,2,,,,,,,3.0,.,,,,1,,0.039,,2021
21IN00021,2018060187,A0187,06,A0187,18,2,,1,30,38,H9294,05,H8872,05,0,,,1,RTX,1,,196,197,2,,,,,,,3.0,LT,EC,,,1,,0.022,,2021
21IN00022,2018060188,A0188,06,A0188,18,2,,1,30,40,H9420,05,H8931,05,7,,,1,RED,2,,162,161,3,,,,,,,3.0,.,,,,1,,0.034,,2021
21IN00023,2018060189,A0189,06,A0189,18,2,,1,30,40,H9420,05,H8931,05,7,,,3,RED,1,,153,149,12,,93,0908,,,,3.0,ImmediateX,,,3103,1,,0.034,,2021
21IN00024,2018060192,A0192,06,A0192,18,2,,1,30,40,H9420,05,H9055,05,0,,,1,RED,1,,125,134,2,,,,,,,3.0,.,,,,1,,0.027,,2021
21IN00025,2018060193,A0193,06,A0193,18,2,,1,30,40,H9420,05,H9055,05,0,,,1,RED,1,,162,160,2,,,,,,,3.0,.,,,,1,,0.027,,2021
21IN00026,2018060196,A0196,06,A0196,18,2,,1,30,38,H9294,05,H8450,05,0,,,1,RED,1,,217,205,2,,,,,,,3.0,.,,,,1,,0.03,,2021
21IN00027,2018060199,A0199,06,A0199,18,2,,1,30,39,H9361,05,H8765,05,,,,3,RED,D,,147,174,7,,93,1018,,,,3.0,X Bag,,,15588,1,,0.039,,2021
21IN00028,2018060202,A0202,06,A0202,18,2,,1,30,39,H9361,05,H7423,05,0,,,3,,1,,187,187,2,,93,0912,,,,3.0,To MARC,,,3127,1,,0.02,,2021
21IN00029,2018060203,A0203,06,A0203,18,2,,1,30,39,H9361,05,H7423,05,0,,,1,,1,,219,197,2,,,,,,,3.0,.,,,,1,,0.02,,2021
21IN00030,2018060207,A0207,06,A0207,18,2,,1,30,41,H9486,05,H8860,05,0,,,1,RTX,1,,183,177,2,,,,,,,3.0,.,,,,1,,0.035,,2021
21IN00031,2018060214,A0214,06,A0214,18,2,,1,30,37,H8837,05,H9460,05,,,,3,RED,1,,149,161,2,,93,0912,,,,3.0,To MARC,,,3121,1,,0.033,,2021
21IN00032,2018060216,A0216,06,A0216,18,2,,1,30,41,H9486,05,H8492,05,,,,1,RTX,2,,175,171,2,,,,,,,3.0,.,,,,1,,0.032,,2021
21IN00033,2018060221,A0221,06,A0221,18,2,,1,30,41,H9486,05,H8452,05,7,,,6,RTX,,,0,0,0,,17,0329,,,,3.0,.,,,,1,,0.034,,2021
21IN00034,2018060223,A0223,06,A0223,18,2,,1,30,38,H9294,05,H9288,05,,,,3,RED,1,,184,189,2,,93,0912,,,,3.0,To MARC,,,3147,1,,0.036,,2021
21IN00035,2018060232,A0232,06,A0232,18,2,,1,30,39,H9361,05,H9231,05,0,,,1,RTX,1,,143,158,2,,,,,,,3.0,.,,,,1,,0.033,,2021
21IN00036,2018060236,A0236,06,A0236,18,2,,1,30,37,H8837,05,H8780,05,0,,,3,,1,,164,171,2,,93,1018,,,,3.0,NOMLKLS,,,15701,1,,0.029,,2021
21IN00037,2018060240,A0240,06,A0240,18,2,,1,30,37,H8837,05,H8540,05,0,,,2,RTX,1,,188,185,2,,92,0916,,,,3.0,PossMixupM010,,,15136,1,,0.03,,2021
21IN00038,2018060244,A0244,06,A0244,18,2,,1,30,41,H9486,05,H8863,05,0,,,1,RED,1,,194,202,2,,,,,,,3.0,.,,,,1,,0.038,,2021
21IN00039,2018060251,A0251,06,A0251,18,2,,1,30,41,H9486,05,H9419,05,7,,,3,RTX,1,,237,195,7,,93,1004,,,,3.0,X Bag,,,15463,1,,0.034,,2021
21IN00040,2018060253,A0253,06,A0253,18,2,,1,30,40,H9420,05,H8545,05,0,,,1,,1,,145,163,2,,,,,,,3.0,.,,,,1,,0.031,,2021
21IN00041,2018060256,A0256,06,A0256,18,2,,1,30,e14,H9384,05,H9886,05,0,,,3,TX,1,,220,211,2,,93,1018,,,,3.0,.,,,15610,1,,0.025,,2021
21IN00042,2018060263,A0263,06,A0263,18,2,,1,30,39,H9361,05,H9272,05,0,,,2,RED,1,,194,182,2,,92,0916,,,,3.0,.,EC,,15137,1,,0.038,,2021
21IN00043,2018060265,A0265,06,A0265,18,2,,1,30,40,H9420,05,H9339,05,,,,3,RED,1,,136,166,9,,93,1004,,,,3.0,X Bag,,,15354,1,,0.039,,2021
21IN00044,2018060268,A0268,06,A0268,18,2,,1,30,e12,H9130,05,H9647,05,0,,,1,TX,1,,174,172,2,,,,,,,3.0,Thin 2020,EC,,,1,,0.032,,2021
21IN00045,2018060287,A0287,06,A0287,18,2,,1,30,39,H9361,05,H9322,05,0,,,1,RTX,1,,178,190,3,,,,,,,3.0,.,,,,1,,0.039,,2021
21IN00046,2018060289,A0289,06,A0289,18,2,,1,30,37,H8837,05,H9544,05,0,,,3,RTX,1,,162,169,12,,93,0908,,,,3.0,ImmediateX,EC,,3112,1,,0.042,,2021
21IN00047,2018060296,A0296,06,A0296,18,2,,1,30,38,H9294,05,H9432,05,,,,3,RED,2,,184,188,3,,93,0912,,,,3.0,To MARC,,,3134,1,,0.032,,2021
21IN00048,2018060300,A0300,06,A0300,18,2,,1,30,41,H9486,05,H7848,05,0,,,3,TX,1,,249,213,5,,93,1004,,,,3.0,SMBAG,,,15450,1,,0.034,,2021
21IN00049,2018060309,A0309,06,A0309,18,2,,1,30,38,H9294,05,H8530,05,,,,1,RED,2,,213,205,2,,,,,,,3.0,.,,,,1,,0.029,,2021
21IN00050,2018060311,A0311,06,A0311,18,2,,1,30,41,H9486,05,H9243,05,7,,,1,RTX,D,,230,223,1,,,,,,,3.0,.,,,,1,,0.04,,2021
21IN00051,2018060313,A0313,06,A0313,18,2,,1,30,40,H9420,05,H8601,05,0,,,1,RTX,1,,156,175,2,,,,,,,3.0,.,,,,1,,0.035,,2021
21IN00052,2018060322,A0322,06,A0322,18,2,,1,30,39,H9361,05,H8955,05,0,,,3,RTX,1,,138,169,2,,93,0912,,,,3.0,To MARC,,,3120,1,,0.037,,2021
21IN00053,2018060327,A0327,06,A0327,18,2,,1,30,41,H9486,05,H9553,05,,,,1,RED,2,,198,190,2,,,,,,,3.0,OKFORONE,,,,1,,0.044,,2021
21IN00054,2019060350,A0350,06,A0350,19,2,,1,30,35,H9845,05,H9647,05,0,,,1,,1,,161,183,2,,,,,,,2.0,.,,,,1,,0.04,,2021
21IN00055,2019060354,A0354,06,A0354,19,2,,1,30,32,H9641,05,H9653,05,0,,,1,,1,,197,199,2,,,,,,,2.0,.,,,,1,,0.036,,2021
