UID,YR,BPEN,SIRE,BGRP,Y1,Y2,Y3,FERT,PROL
07FE00001,07, 1,03069,1,16,16,33,1.0,2.06
07FE00002,07, 2,03192,1,16,15,28,0.94,1.87
07FE00003,07, 3,03224,1,16,14,26,0.88,1.86
07FE00004,07, 4,03293,1,16,14,28,0.88,2.0
07FE00005,07, 5,03330,1,17,17,32,1.0,1.88
07FE00006,07, 6,03636,1,16,14,27,0.88,1.93
07FE00007,07, 7,03002,1,14,14,26,1.0,1.86
07FE00008,07, 8,03131,1,15,14,22,0.93,1.57
07FE00009,07, 9,03147,1,9,9,21,1.0,2.33
07FE00010,07,01,K3138,1,21,20,39,0.95,1.95
07FE00086,07,e31,H2022,4,31,30,54,0.97,1.8
07FE00087,07,e32,H1611,4,31,29,54,0.94,1.86
07FE00088,07,e33,H0596,4,31,27,40,0.87,1.48
07FE00089,07,e34,H1063,4,30,28,52,0.93,1.86
07FE00090,07,e41,03003,4,14,10,15,0.71,1.5
07FE00091,07,e42,03127,4,14,13,20,0.93,1.54
07FE00092,07,e43,03203,4,14,12,18,0.86,1.5
07FE00093,07,e44,X1972,4,18,13,17,0.72,1.31
07FE00094,07,e45,X2581,4,18,14,17,0.78,1.21
07FE00095,07,e46, 4564,4,17,13,16,0.76,1.23
