UID,BPEN,SIRE,BGRP,Y1,Y2,Y3,FERT,PROL
05FE00001,000,T0000,1,120,109,200,0.91,1.83
05FE00002,01P,A7284,2,34,29,70,0.85,2.41
05FE00003,02P,A7896,2,33,33,84,1.0,2.55
05FE00004,03P,A7199,2,34,29,66,0.85,2.28
05FE00005,04P,A9232,2,35,34,77,0.97,2.26
05FE00006,05P,H0596,2,33,29,68,0.88,2.34
05FE00007,06P,A9588,2,35,33,72,0.94,2.18
05FE00008,07P,H0630,2,33,31,70,0.94,2.26
05FE00009,11P,H0656,2,11,11,30,1.0,2.73
05FE00010,12P,H0709,2,11,9,23,0.82,2.56
05FE00061,e.2,T7759,4,39,30,35,0.77,1.17
05FE00062,e.3,K2842,4,31,23,30,0.74,1.3
05FE00063,e.5,HAMP1,4,31,23,28,0.74,1.22
05FE00064,e.6,HAMP2,4,31,23,28,0.74,1.22
05FE00065,e.7,R3179,4,42,36,42,0.86,1.17
05FE00066,e.8,R3819,4,42,31,37,0.74,1.19
05FE00067,e.9,R4147,4,41,34,43,0.83,1.26
05FE00068,e10,A9073,4,43,38,63,0.88,1.66
05FE00069,e11,H0571,4,42,42,73,1.0,1.74
05FE00070,e12,P0098,4,42,41,73,0.98,1.78
