UID,DAM,DBRD,LNDAM,BPEN,ADAM,STMD,TRT,GRP,DATE,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,DISP,DAYDIS,CAUSE,FONO,RMK,ABEWE,ABLMB,CDNO,SIRE,SBRD,STM,LINE,DAYBRN,FOPU,Y0,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JUWT,JDAY,BAND,SPEC,DATEBN,YR
89LA00001,S7866,19,13,143,20,07,7,,,,,,0.0,,,,,,0,,,,,,1,S8162,19,07,1x,0,,1,1,0,0,0,0,0,0,0,0,,,,89
89LA00002,M9332,94,47,  1,40,55,7,,,,,,0.0,,,,,,0,,,,,,1,X1162,80,56,00,0,,1,1,0,0,0,0,0,0,0,0,,,,89
89LA00003,Y5273,02,71,713,60,30,,,0419,6,2,,0.0,,,,,0,0,,,BRN.BLOB,,51,2,L2370,03,30,71,109,,0,0,0,0,0,0,0,0,0,0,,,1989-04-19,89
89LA00004,S6375,19,12,881,40,07,,,,,,,0.0,,,,,,0,,,,,,1,S8291,19,07,12,0,,1,1,0,0,0,0,0,0,0,0,,1,,89
89LA00005,Y8078,02,70,701,40,30,,,0412,6,2,1,7.4,1,1,,,6,102,29,360603,MESS,,50,1,L0795,03,30,70,102,+,1,1,1,2,1,0,5,0,0,0,,,1989-04-12,89
89LA00006,M9088,94,67,BF3,40,56,1,,0503,7,4,2,7.0,5,1,,,1,123,44,,BVD?,,45,2,00000,97,59,00,123,,0,0,0,0,0,0,0,0,0,0,,B,1989-05-03,89
89LA00007,K3136,63,63,C3,10,06,7,,,,,,0.0,,,,,,0,,,,,,1,K2612,63,06,6x,0,,1,1,0,0,0,0,0,0,0,0,,,,89
89LA00008,K1538,63,63,601,40,06,7,,,,,,0.0,,,,,,0,,,,,,1,K2854,63,06,63,0,,1,1,0,0,0,0,0,0,0,0,,1,,89
89LA00009,Y9167,02,71,712,30,30,,,0407,9,3,1,8.0,1,1,,,1,97,44,,,,,2,L2503,03,30,71,97,,0,0,0,0,0,0,0,0,0,0,,,1989-04-07,89
89LA00010,M6649,94,45,  7,50,55,7,,0402,9,2,,0.0,,,,,0,0,,,,,,2,S6923,19,58,00,92,,0,0,0,0,0,0,0,0,0,0,,,1989-04-02,89
89LA00011,X4687,80,00,612,20,51,,,0307,2,0,,0.0,,,,,0,0,,,,,,2,K3220,63,56,00,66,,0,0,0,0,0,0,0,0,0,0,,3,1989-03-07,89
89LA00012,K2493,63,60,  5,20,06,7,,,,,,0.0,,,,,,0,,,,,,1,Y8923,02,59,00,0,,1,1,0,0,0,0,0,0,0,0,,1,,89
89LA00013,T9714,43,42,T2,10,02,,,,,,,0.0,,,,,,0,,,,,,1,T8570,43,02,42,0,,1,1,0,0,0,0,0,0,0,0,,,,89
89LA00014,M6987,94,65,BF2,50,56,2,8,0414,9,3,1,8.9,5,1,,,1,104,44,,,,,3,00000,97,59,00,104,,0,0,0,0,0,0,0,0,0,0,,A,1989-04-14,89
89LA00015,L1526,03,73,733,15,30,7,,,,,,0.0,,,,,,0,,,,,,1,L1407,03,30,7x,0,,1,1,0,0,0,0,0,0,0,0,,,,89
89LA00016,X5943,80,97,397,10,97,7,,,,,,0.0,,,,,,0,,,,,,1,X4224,80,97,97,0,,1,1,0,0,0,0,0,0,0,0,,1,,89
89LA00017,S7176,19,13,143,30,07,7,,,,,,0.0,,,,,,0,,,,,,1,S8162,19,07,1x,0,,1,1,0,0,0,0,0,0,0,0,,1,,89
89LA00018,M7457,94,45,  1,50,55,7,,0408,2,0,,0.0,,,,,0,0,,,,,,1,X1162,80,56,00,98,,1,1,1,2,0,0,0,0,0,0,,,1989-04-08,89
89LA00019,S8191,19,11,142,20,07,7,,,,,,0.0,,,,,,0,,,,,,1,S8028,19,07,1x,0,,1,0,0,0,0,0,0,0,0,0,,,,89
89LA00020,S5588,19,10,114,50,07,7,,0428,9,4,1,13.5,5,1,,,1,118,44,,,,,2,00000,97,10,00,118,,0,0,0,0,0,0,0,0,0,0,,2,1989-04-28,89
89LA00021,Y7203,02,70,703,50,30,,,0416,9,2,2,7.5,1,1,,,1,106,44,385703,,,,2,L0990,03,30,70,106,+,0,0,0,0,0,0,5,0,0,0,,,1989-04-16,89
89LA00022,M9039,94,67,BF3,40,56,3,,,,,,0.0,,,,,,0,,,,,,1,00000,97,59,00,0,,1,0,0,0,0,0,0,0,0,0,,A,,89
89LA00023,K3098,63,61,C4,10,06,,,,,,,0.0,,,,,,0,,,,,,1,K2452,63,06,61,0,,1,1,0,0,0,0,0,0,0,0,,,,89
89LA00024,K1306,63,60,  3,40,06,7,,,,,,0.0,,,,,,0,,,,,,1,S6865,19,09,00,0,,1,1,0,0,0,0,0,0,0,0,,1,,89
89LA00025,Y9096,02,70,712,30,30,7,,0418,4,2,2,6.8,1,1,,,1,108,44,,,,,2,L2503,03,30,70,108,,0,0,0,0,0,0,0,0,0,0,,,1989-04-18,89
89LA00026,M7202,94,45,  5,50,55,7,,0421,3,1,1,10.4,1,1,,,1,111,44,,SAC,26,,4,Y8923,02,55,00,111,,0,0,0,0,0,0,0,0,0,0,,,1989-04-21,89
89LA00027,X4363,80,45,  6,20,55,7,,0503,4,2,1,9.8,5,1,,,1,123,44,883280,,,,1,00000,97,58,00,123,+,1,1,1,2,0,0,5,0,0,0,,2,1989-05-03,89
89LA00028,K2674,63,63,634,20,06,7,,,,,,0.0,,,,,,0,,,,,,1,K2712,63,06,63,0,,1,1,0,0,0,0,0,0,0,0,,,,89
89LA00029,T9789,43,42,T1,10,02,,,,,,,0.0,,,,,,0,,,,,,1,T8651,43,02,42,0,,1,1,0,0,0,0,0,0,0,0,,,,89
89LA00030,M7002,94,45,  3,50,55,7,,0511,3,1,1,7.4,5,1,,,1,131,44,,,,,4,00000,97,58,00,131,,0,0,0,0,0,0,0,0,0,0,,2,1989-05-11,89
89LA00031,T5245,43,42,852,70,02,,,0416,4,0,1,10.0,1,1,,,1,106,44,,DEAD EWE,36,,1,T9177,43,02,42,106,,1,1,1,2,0,0,0,0,0,0,,,1989-04-16,89
89LA00032,X7213,80,47,  0,10,55,7,,,,,,0.0,,,,,,0,,,,,,1,00000,19,58,58,0,,1,1,0,0,0,0,0,0,0,0,,,,89
89LA00033,S7409,19,13,144,30,07,7,,1228,8,1,2,7.2,1,1,,,6,363,67,,,,,2,00000,00,00,00,363,,0,0,0,0,1,0,0,0,0,0,,3,1988-12-29,89
89LA00034,M7002,94,45,  3,50,55,7,,,,,,0.0,,,,,,0,,,,,,1,S6865,19,58,00,0,,1,1,0,0,0,0,0,0,0,0,,1,,89
89LA00035,Y3007,02,70,702,70,30,,,,,,,0.0,,,,,,0,,,,,,1,L0769,03,30,70,0,,1,0,0,0,0,0,0,0,0,0,,,,89
89LA00036,S6220,19,13,143,40,07,7,,,,,,0.0,,,,,,0,,,,,,1,S8162,19,07,1x,0,,1,1,0,0,0,0,0,0,0,0,,1,,89
89LA00037,Y7088,02,71,712,50,30,,,,,,,0.0,,,,,,0,,,,,,1,L2503,03,30,71,0,,1,1,0,0,0,0,0,0,0,0,,,,89
89LA00038,M6581,97,97,297,50,97,7,,0406,9,5,1,6.0,6,1,,,1,96,44,,,,,3,M9218,97,97,97,96,,0,0,0,0,0,0,0,0,0,0,,,1989-04-06,89
89LA00039,K3632,63,63,C3,10,06,7,,,,,,0.0,,,,,,0,,,,,,1,K2612,63,06,6x,0,,1,1,0,0,0,0,0,0,0,0,,,,89
89LA00040,K1957,63,61,  5,30,06,7,,,,,,0.0,,,,,,0,,,,,,1,Y8923,02,59,00,0,,1,1,0,0,0,0,0,0,0,0,,1,,89
89LA00041,Y9391,02,71,714,30,30,,,0330,2,3,,0.0,,,,,0,0,,960419,LT'S,10,,1,L1985,03,30,71,89,+,1,1,1,2,0,0,5,0,0,0,,,1989-03-30,89
89LA00042,M6649,94,45,  7,50,55,7,,0402,9,2,,0.0,,,,,0,0,,,,,,1,S6923,19,58,00,92,,1,1,1,3,0,0,0,0,0,0,,,1989-04-02,89
89LA00043,X3492,80,67,BF3,20,56,1,,0329,2,0,,0.0,,,,,0,0,,,,,,2,00000,97,59,00,88,,0,0,0,0,0,0,0,0,0,0,,A,1989-03-29,89
