UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,MELA,Y5A,LOC_DEATH,ADAM,F1F2,CLR,STM,SPEC,JAW,DAYBRN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,STMD,FONO,FOPU,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT2,CDNO,YR
84LA00001,1984-05-09,2,X0205,80,,00,,00000,00,,,O,,,1,00,3,1,130,5,,139,0,,6,00,,&,00000,00,0,0,,0,1,36,0,0,8.3,0,,,,84
84LA00002,1984-04-03,2,X9747,79,,00,,00000,00,,1,,,,1,00,3,1,94,5,,0,3,,,00,266919,-,00000,00,0,72,,0,1,,0,0,8.0,5,,,,84
84LA00003,1984-05-09,3,X0206,80,,00,,00000,00,,1,,,,1,00,3,1,130,5,,0,0,,,00,,&,00000,00,0,56,,0,1,,0,0,7.7,5,,,,84
84LA00004,1984-03-18,2,X9419,79,,00,,00000,00,,1,,,,3,00,3,1,78,5,,0,3,,,00,211502,-,00000,00,0,73,,0,1,,0,0,9.4,5,,,,84
84LA00005,1984-04-21,3,X0035,80,,00,,00000,00,,1,,,,1,00,3,1,112,5,,0,0,,,00,,&,00000,00,0,57,,0,1,,0,0,8.9,5,,,,84
84LA00006,1984-05-09,3,X0203,80,,00,,00000,00,,1,,,,1,00,3,1,130,5,,0,0,,,00,,&,00000,00,0,54,,0,1,,0,0,7.2,5,,,,84
84LA00007,1984-04-07,2,X9952,79,,00,,00000,00,,,Y,,,1,00,3,1,98,5,,100,0,,6,00,366843,-,00000,00,0,0,,0,1,21,0,0,8.4,0,,,,84
84LA00008,1984-04-13,3,X0015,80,,00,,00000,00,,1,,,,1,00,3,1,104,5,,0,0,,,00,,&,00000,00,0,57,,0,1,,0,0,11.5,5,,,,84
84LA00009,1984-05-09,3,X0204,80,,00,,00000,00,,1,,,,1,00,3,1,130,5,,0,0,,,00,,&,00000,00,0,44,,0,1,,0,0,6.6,5,,,,84
84LA00010,1984-04-09,2,X9983,79,,00,,00000,00,,1,,,,1,00,3,1,100,8,,0,2,,,00,261019,-,00000,00,0,63,,0,1,,0,0,7.0,5,99,,,84
84LA00011,1984-04-09,2,X9984,79,,00,,00000,00,,1,,,,1,00,3,1,100,8,,0,2,,,00,,&,00000,00,0,54,,0,1,,0,0,6.0,5,99,,,84
84LA00012,1983-12-12,3,Y6020,02,,00,,00000,00,,1,,,,1,00,3,1,346,5,,0,4,,,00,901801,-,00000,00,0,80,,0,1,,0,0,10.5,5,,,,84
84LA00013,1984-04-23,2,X0050,80,,00,,00000,00,,,O,,,1,00,3,1,114,5,,143,0,,6,00,,&,00000,00,0,0,,0,1,19,0,0,11.8,0,,,,84
84LA00014,,,,,1,74,732,P2926,01,,,,00,0,,38,,,0,,,0,,,,08,,,Y2036,02,0,0,74,,0,,0,0,0.0,0,,,1,84
84LA00015,1984-03-27,2,Y6956,02,1,70,701,P2957,01,,1,,00,1,1,30,,1,87,5,,0,2,,,30,,,Y3076,02,1,100,70,2,1,,1,1,10.6,10,15,,1,84
84LA00016,1984-03-17,2,Y6670,02,1,75,754,P3174,01,2,1,2,00,0,1,38,,1,77,5,1,0,4,,,08,,&,Y4255,02,1,90,75,,1,,1,1,12.2,5,,,1,84
84LA00017,1984-03-17,2,Y6716,02,1,75,751,P3503,01,3,1,2,95,1,1,30,,1,77,8,4,0,3,,,30,,,Y4702,02,1,77,75,,1,,1,2,9.6,10,,,1,84
84LA00018,1984-03-17,1,Y6717,02,,75,751,P3503,01,3,1,2,95,1,1,30,,1,77,8,4,0,3,,,30,,,Y4702,02,0,67,75,,1,,0,0,7.9,10,,,2,84
84LA00019,1984-01-01,1,Y6284,02,1,73,733,P3695,01,,1,6,90,0,1,38,,1,1,8,,0,4,,,08,,,Y3975,02,1,75,73,,1,,1,2,10.0,10,,,1,84
84LA00020,1984-01-01,1,Y6285,02,,73,733,P3695,01,,1,6,90,0,1,38,,1,1,8,,0,4,,,08,,,Y3975,02,0,65,73,,1,,0,0,13.1,10,,,2,84
84LA00021,1984-03-21,1,Y6898,02,1,75,751,P3709,01,3,1,3,90,1,1,30,,1,81,8,5,0,2,,,30,,,Y4702,02,1,99,75,,1,,1,2,13.2,10,,,1,84
84LA00022,1984-03-21,1,Y6899,02,,75,751,P3709,01,3,,N,90,1,1,30,,1,81,8,5,82,2,,6,30,,,Y4702,02,0,0,75,,1,46,0,0,7.4,0,,,2,84
84LA00023,1984-03-18,2,Y6737,02,1,75,754,P3812,01,1,1,2,90,1,1,30,,1,78,8,1,0,2,04,,30,,,Y4255,02,1,84,75,,1,,1,2,10.2,10,,,1,84
84LA00024,1984-03-18,2,Y6738,02,,75,754,P3812,01,1,1,2,90,1,1,30,,1,78,8,1,0,2,,,30,,,Y4255,02,0,85,75,,1,,0,0,9.3,10,,,2,84
84LA00025,1983-12-25,2,Y6234,02,1,73,734,P3827,01,,1,5,90,1,1,30,,1,359,5,,0,2,,,30,,,Y3999,02,1,82,73,,1,,1,1,11.5,10,,,1,84
84LA00026,,,,,1,75,752,P3859,01,2,,1,90,0,,38,,,0,,1,0,,,,08,,,Y4584,02,1,0,75,,0,,0,0,0.0,0,,,1,84
84LA00027,1983-11-25,1,Y5817,02,1,76,,P4052,01,4,1,,90,0,2,32,,1,329,5,,0,2,,,02,,,00000,02,1,87,76,,1,,1,1,11.0,10,,,1,84
84LA00028,,,,,1,76,,P4432,01,3,,,85,0,,32,,,0,,,0,,,,02,,,00000,02,1,0,76,,0,,0,0,0.0,0,,,1,84
84LA00029,,,,,1,75,753,P4454,01,3,,1,85,1,,30,,,0,,4,0,,,,30,,,Y4297,02,1,0,75,,0,,0,0,0.0,0,,,1,84
84LA00030,,,,,1,73,734,P4501,01,,,1,85,0,,38,,,0,,,0,,,,08,,,Y3999,02,1,0,73,,0,,0,0,0.0,0,,,1,84
84LA00031,,,,,1,73,734,P4514,01,,,,85,1,,30,,,0,,,0,,,,30,,,Y3999,02,0,0,73,,0,,0,0,0.0,0,,,1,84
84LA00032,1984-03-30,2,Y7003,02,1,71,711,P4568,01,,1,,80,0,1,30,,1,90,7,,0,4,,,30,,,Y5430,02,1,85,71,6,1,,1,2,8.5,10,,,1,84
84LA00033,1984-03-30,,,,,71,711,P4568,01,,,,80,0,,30,,,90,7,,90,4,,1,30,,,Y5430,02,0,0,71,6,0,44,0,0,0.0,0,50,,2,84
