UID,YR,SEX,LAMB,LB1,LINE,BPEN,DAM,DBRD,DB1,LINBR,BAG,ADAM,TRT,CLR,STM,SPEC,JAW,DAYBN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,INBRD,FONO,FOPU,TRT2,DB2,LBRD,SIRE,SBRD,Y1,WNWT,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT3,CDNO,DATEBN,STMD
76LA00001,76,2,9923,3,75,752,8689,18,1,,1,20,,1,07,,1,103,5,,0,4,,,,,,,8,18,8866,18,1,54,75,6,1,,1,1,9.6,10,,,1,1976-04-12,07
76LA00002,76,1,9924,3,75,750,8218,18,1,,1,20,,1,07,,1,103,8,8,0,2,,,,,,,8,18,9202,18,1,60,75,6,1,,1,2,8.0,10,,,1,1976-04-12,07
76LA00003,76,2,9925,3,75,750,8218,18,1,,1,20,,1,07,,1,103,8,8,0,2,,,,,&,,8,18,9202,18,0,55,75,6,1,,0,0,7.6,5,,,2,1976-04-12,07
76LA00004,76,1,9928,3,75,751,7614,18,1,,1,30,,1,07,,1,103,5,8,0,4,,,,,,,8,18,9362,18,1,86,75,6,1,,1,1,11.6,10,,,1,1976-04-12,07
76LA00005,76,2,9930,3,76,760,4882,18,1,,1,60,,1,07,,1,103,8,8,122,1,,6,,,&,,8,18,9169,18,1,0,76,6,1,21,1,2,8.8,0,,,1,1976-04-12,07
76LA00006,76,2,9931,3,76,760,4882,18,1,,1,60,,1,07,,1,103,8,8,0,1,,,,,,,8,18,9169,18,0,74,76,6,1,,0,0,9.9,10,,,2,1976-04-12,07
76LA00007,76,2,9932,3,76,762,8272,18,1,,2,20,,1,07,,1,103,5,8,0,4,,,,,,,8,18,9212,18,1,77,76,6,1,,1,1,12.5,10,,,1,1976-04-12,07
76LA00008,76,1,9933,3,74,741,8211,18,1,,1,20,,1,07,,1,103,5,8,0,3,,,,,,,8,18,9270,18,1,78,74,6,1,,1,1,12.7,10,,,1,1976-04-12,07
76LA00009,76,1,9937,3,74,742,3520,18,1,,4,70,,1,07,,1,103,5,,240,5,,7,,,,,8,18,9021,18,1,0,74,6,1,97,1,1,12.2,0,,,1,1976-04-12,07
76LA00010,76,1,9938,3,73,730,6804,18,1,,2,40,,1,07,,1,103,8,,0,4,,,,,,,8,18,9414,18,1,73,73,6,1,,1,2,11.2,10,,,1,1976-04-12,07
76LA00011,76,2,9939,3,73,730,6804,18,1,,2,40,,1,07,,1,103,8,,0,4,,,,,&,,8,18,9414,18,0,48,73,6,1,,0,0,8.9,5,,,2,1976-04-12,07
76LA00012,76,1,9940,3,74,742,8510,18,1,,1,20,,1,07,,1,103,5,8,0,4,,,,,,,8,18,9021,18,1,84,74,6,1,,1,1,10.5,10,,,1,1976-04-12,07
76LA00013,76,1,9941,3,76,761,4841,18,1,,2,60,,1,07,,1,103,8,,235,4,09,6,,,,,8,18,9248,18,1,0,76,6,1,01,1,2,12.0,0,,,1,1976-04-12,07
76LA00014,76,2,9942,3,76,761,4841,18,1,,2,60,,1,07,,1,103,8,,0,4,,,,,,,8,18,9248,18,0,56,76,6,1,,0,0,10.4,10,,,2,1976-04-12,07
76LA00015,76,1,9944,3,75,752,7289,18,1,,3,30,,1,07,,1,103,5,,0,4,,,,,,,8,18,8866,18,1,80,75,6,1,,1,1,12.3,10,,,1,1976-04-12,07
76LA00016,76,1,9947,3,73,731,4668,18,1,,3,60,,1,07,,1,103,8,8,140,4,07,6,,,,,8,18,8959,18,1,0,73,6,1,01,1,2,11.7,0,,,1,1976-04-12,07
76LA00017,76,1,9948,3,73,731,4668,18,1,,3,60,,1,07,,1,103,8,8,129,4,,6,,,,,8,18,8959,18,0,0,73,6,1,01,0,0,9.9,0,,,2,1976-04-12,07
76LA00018,76,1,9949,3,75,752,7079,18,1,,2,40,,1,07,,1,103,8,8,0,4,,,,,,,8,18,8866,18,1,67,75,6,1,,1,2,9.9,10,,,1,1976-04-12,07
