UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,LTRT,Y5A,SERIES,ADAM,F1F2,CLR,STM,SPEC,JAW,DAYBRN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,STMD,FONO,FOPU,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT2,CDNO,YR
83LA00001,1983-04-19,3,X9003,79,,00,,00000,00,,1,,,,1,00,3,1,109,5,,0,3,,,00,439443,-,00000,00,0,87,,0,1,,0,0,127,5,,,,83
83LA00002,1983-03-29,2,X8469,79,,00,,00000,00,,1,,,,5,00,3,3,88,5,,0,4,,,00,827762,-,00000,00,0,92,,0,1,,0,0,100,5,,,,83
83LA00003,1983-04-06,2,X8770,79,,00,,00000,00,,1,,,,1,00,3,1,96,5,,0,3,,,00,793193,-,00000,00,0,64,,0,1,,0,0,084,5,,,,83
83LA00004,1983-04-10,2,X8921,79,,00,,00000,00,,,,,,1,00,3,1,100,5,,231,3,,7,00,012219,-,00000,00,0,0,,0,1,97,0,0,084,0,,,,83
83LA00005,1983-04-15,3,X8998,79,,00,,00000,00,,,,,,1,00,3,1,105,5,,173,0,,6,00,,&,00000,00,0,0,,0,1,19,0,0,075,0,,,,83
83LA00006,1983-04-14,3,X8983,79,,00,,00000,00,,,,,,1,00,3,4,104,5,,185,0,,6,00,,&,00000,00,0,0,,0,1,01,0,0,089,0,,,,83
83LA00007,1983-04-13,3,X8980,79,,00,,00000,00,,1,,,,1,00,3,1,103,5,,0,0,,,00,938442,-,00000,00,0,77,,0,1,,0,0,103,5,,,,83
83LA00008,1983-03-29,2,X8450,79,,00,,00000,00,,,,,,1,00,3,1,88,5,,94,2,,6,00,,&,00000,00,0,0,,0,1,19,0,0,073,0,,,,83
83LA00009,1983-04-22,2,X9008,79,,00,,00000,00,,1,,,,1,00,3,1,112,5,,0,3,,,00,,&,00000,00,0,59,,0,1,,0,0,095,5,,,,83
83LA00010,1983-04-13,3,X8979,79,,00,,00000,00,,1,,,,1,00,3,1,103,5,,0,3,,,00,414843,-,00000,00,0,79,,0,1,,0,0,091,5,,,,83
83LA00011,1983-04-09,3,X8884,79,,00,,00000,00,,1,,,,1,00,3,1,99,5,,0,0,,,00,,&,00000,00,0,68,,0,1,,0,0,105,5,,,,83
83LA00012,1983-04-14,3,X8992,79,,00,,00000,00,,1,,,,1,00,3,1,104,5,,0,3,,,00,657462,-,00000,00,0,74,,0,1,,0,0,096,5,,,,83
