UID,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,ADAM,AGE,STMD,BGRP,RGRP,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,YR,INBRL
92LA00001,J0000,00,00,,00000,00,,0.0,00,J,,0315,75,8,0,3,9.0,5,1,Z1353,81,00,00,,0,,927780,-,MUDLAKE,,,,,J,0,3,0,0,0,1,1,0.5,64.0,0,59,183,1,1992-03-15,92,0.0
92LA00002,J0000,00,00,,00000,00,,0.0,00,J,,0303,63,5,0,2,10.0,5,1,Z1355,81,00,00,,0,,081810,-,MUDLAKE,,,,,J,0,3,0,0,0,1,1,0.5,98.0,0,105,183,1,1992-03-03,92,0.0
92LA00003,00000,00,00,,00000,00,,0.0,00,J,,0315,75,8,0,2,9.0,6,1,Z1354,81,00,00,,0,,927780,-,MUDLAKE,,,,,J,0,3,0,0,0,1,1,0.5,61.0,0,57,183,1,1992-03-15,92,0.0
92LA00004,K1235,63,61,C10,K4429,63,70,7.0,06,1,,0402,93,8,4,2,9.2,2,2,K6034,63,68,06,,0,,,,,BLK.RR.FOOT,,,,N,1,,1,1,2,1,1,1.0,71.2,1,59,183,1,1992-04-02,92,0.016
92LA00005,K1235,63,61,C10,K4429,63,70,7.0,06,1,,0402,93,8,4,1,9.8,1,2,K6035,63,68,06,,0,,,,,BRN.EARS,,,,N,2,,0,0,0,1,1,1.0,80.2,1,69,183,1,1992-04-02,92,0.016
92LA00006,K1237,63,60,C11,K4422,63,70,7.0,06,1,,0328,88,5,4,3,12.0,1,1,K5849,63,68,06,,0,,,,,ENTR,,21,,N,1,,1,1,1,1,1,1.0,104.8,1,84,183,1,1992-03-28,92,0.087
92LA00007,K1249,63,63,C12,K4525,63,70,7.0,06,1,,0402,93,8,5,1,10.9,1,1,K6036,63,68,06,,0,,,,,4TEATS,,,,N,1,,1,1,2,1,1,1.0,65.8,1,57,183,1,1992-04-02,92,0.022
92LA00008,K1249,63,63,C12,K4525,63,70,7.0,06,1,,0402,93,8,5,2,12.2,1,1,K6037,63,68,06,,0,,,,,,,,,N,2,,0,0,0,1,1,1.0,81.2,1,67,183,1,1992-04-02,92,0.022
92LA00009,K1253,63,60,C13,K4855,63,70,7.0,06,1,,,0,,,,0.0,,,,,68,06,,0,,,,,,,,,,1,,0,0,0,0,0,0.0,0.0,,0,0,,,92,0.0
92LA00010,K1266,63,60,C-1,K3925,63,70,7.0,06,1,,0401,92,8,4,1,12.4,1,3,K5939,63,68,06,,0,,,,,,,,,Y,1,,1,1,2,1,1,1.0,81.1,1,66,183,1,1992-04-01,92,0.021
92LA00011,K1266,63,60,C-1,K3925,63,70,7.0,06,1,,0401,92,8,4,2,12.4,1,1,K5940,63,68,06,,0,,,,,,,,,Y,2,,0,0,0,1,1,1.0,71.1,1,59,183,1,1992-04-01,92,0.021
92LA00012,K1336,63,63,C12,K4525,63,70,7.0,06,1,7,0330,90,8,3,2,10.3,1,1,K5890,63,68,06,,0,,,,,,,,34D,W,1,,1,1,2,1,1,1.0,69.7,1,58,176,3,1992-03-30,92,0.03
92LA00013,K1336,63,63,C12,K4525,63,70,7.0,06,1,7,0330,90,8,3,2,7.8,1,1,K5891,63,68,06,,0,,,,,ENTR,,21,34D,W,2,,0,0,0,1,1,1.0,72.6,1,58,176,3,1992-03-30,92,0.03
92LA00014,K1413,63,60,C-2,K4251,63,70,7.0,06,1,,0402,93,9,3,1,7.4,1,2,K6021,63,68,06,6,96,23,,,,,,,,N,1,,1,1,3,1,0,0.0,0.0,,0,0,,1992-04-02,92,0.035
92LA00015,K1413,63,60,C-2,K4251,63,70,7.0,06,1,,0402,93,9,3,2,8.0,1,1,K6022,63,68,06,,0,,,,,4TEATS,,,,N,2,,0,0,0,1,1,1.0,76.2,1,64,183,1,1992-04-02,92,0.035
92LA00016,K1413,63,60,C-2,K4251,63,70,7.0,06,1,,0402,93,9,3,2,7.3,1,1,,,68,06,1,0,,,,,,,,,N,3,,0,0,0,0,0,0.0,0.0,,0,0,,1992-04-02,92,0.035
92LA00017,K1421,63,60,C-3,K3994,63,70,7.0,06,1,,0331,91,9,4,1,6.8,1,1,K5897,63,68,06,6,92,46,238310,+,BIG-BAG,WEAK,,,,W,1,,1,1,3,1,0,0.5,0.0,,0,0,,1992-03-31,92,0.016
92LA00018,K1421,63,60,C-3,K3994,63,70,7.0,06,1,,0331,91,9,4,2,5.9,1,1,,,68,06,6,91,46,,,,LAID ON,,,,W,2,,0,0,0,1,0,0.0,0.0,,0,0,,1992-03-31,92,0.016
92LA00019,K1421,63,60,C-3,K3994,63,70,7.0,06,1,,0331,91,9,4,2,8.4,1,1,,,68,06,6,91,46,,,,LAID ON,,,,W,3,,0,0,0,1,0,0.0,0.0,,0,0,,1992-03-31,92,0.016
92LA00020,K1426,63,63,C-4,K3884,63,70,7.0,06,1,7,0409,100,8,2,2,7.8,1,1,K6292,63,68,06,,0,,,9,,ENTR,,21,29A,B,1,,1,1,2,1,1,1.0,68.6,1,50,176,3,1992-04-09,92,0.026
92LA00021,K1426,63,63,C-4,K3884,63,70,7.0,06,1,7,0409,100,8,2,2,10.5,1,1,K6293,63,68,06,,0,,,,,,,,29A,B,2,,0,0,0,1,1,1.0,69.6,1,55,176,3,1992-04-09,92,0.026
92LA00022,K1468,63,60,C10,K4429,63,70,7.0,06,1,7,0411,102,8,2,3,10.5,1,1,K6376,63,68,06,,0,,,,,,,,35A,N,1,,1,1,2,1,1,1.0,65.2,1,44,176,3,1992-04-11,92,0.068
92LA00023,K1468,63,60,C10,K4429,63,70,7.0,06,1,7,0411,102,8,2,3,11.0,1,2,K6377,63,68,06,7,185,97,,,,,,,35A,N,2,,0,0,0,1,0,0.0,0.0,,0,176,3,1992-04-11,92,0.068
92LA00024,K1485,63,60,C-5,K4449,63,70,7.0,06,1,,0329,89,5,5,2,8.3,1,1,K5869,63,68,06,,0,,,,LT'S,4TEATS,,,,W,1,,1,1,1,1,1,1.0,88.0,1,72,183,1,1992-03-29,92,0.036
92LA00025,K1490,63,60,C-6,K5086,63,70,7.0,06,1,,0417,108,5,3,1,11.8,1,2,K6553,63,68,06,,0,,,,,4TEATS,,,,N,1,,1,1,1,1,1,1.0,86.8,1,72,184,2,1992-04-17,92,0.026
92LA00026,K1496,63,61,C-7,K5032,63,70,7.0,06,1,,,0,,,,0.0,,,,,68,06,,0,,,,,,,,,,1,,1,0,0,0,0,0.0,0.0,,0,0,,,92,0.0
92LA00027,K1497,63,60,C-8,K4638,63,70,7.0,06,1,,0410,101,5,4,2,14.6,1,1,K6335,63,68,06,,0,,,,,,,,,S,1,,1,1,1,1,1,1.0,107.3,1,86,184,2,1992-04-10,92,0.027
92LA00028,K1501,63,61,C-9,K4534,63,70,7.0,06,1,,0412,103,9,3,3,10.5,1,1,K6403,63,68,06,,0,,364463,-,,,,,,N,1,,1,1,3,1,1,0.5,82.9,0,63,176,3,1992-04-12,92,0.043
92LA00029,K1501,63,61,C-9,K4534,63,70,7.0,06,1,,0412,103,9,3,2,11.4,1,1,K6404,63,68,06,,0,,,,,4TEATS,,,,N,2,,0,0,0,1,1,1.0,72.7,1,55,183,1,1992-04-12,92,0.043
92LA00030,K1501,63,61,C-9,K4534,63,70,7.0,06,1,,0412,103,9,3,1,13.8,1,1,K6405,63,68,06,,0,,,,,,,,,N,3,,0,0,0,1,1,1.0,68.1,1,53,183,1,1992-04-12,92,0.043
92LA00031,K1520,63,60,C-2,K4251,63,70,7.0,06,1,7,0430,121,,,,0.0,,,,,68,06,,0,,,,,,,,30A,,1,1,1,0,0,0,0,0.0,0.0,,0,0,,1992-04-30,92,0.0
92LA00032,K1520,63,60,C-2,00000,97,70,7.0,06,1,7,0430,121,5,3,3,13.8,5,1,Z2124,81,00,30,,0,,,,,,,,30A,W,1,2,1,1,1,1,1,1.0,77.5,1,51,176,3,1992-04-30,92,0.0
92LA00033,K1536,63,60,C10,K4429,63,70,7.0,06,1,,0411,102,8,3,3,12.8,9,1,K6386,63,68,06,,0,,,,,BLACK,,,,W,1,,1,1,2,1,1,1.0,69.3,1,51,183,1,1992-04-11,92,0.151
92LA00034,K1536,63,60,C10,K4429,63,70,7.0,06,1,,0411,102,8,3,1,10.6,1,1,K6387,63,68,06,,0,,,,,,,,,W,2,,0,0,0,1,1,1.0,70.6,1,55,183,1,1992-04-11,92,0.151
92LA00035,K1552,63,63,C12,K4525,63,70,7.0,06,1,,0401,92,1,1,2,6.6,1,1,K5955,63,68,06,1,92,44,,,DEADEWE4/2,DAB,,,,A,1,,1,1,1,0,0,0.0,0.0,,0,0,,1992-04-01,92,0.056
92LA00036,K1582,63,63,C13,K4855,63,70,7.0,06,1,,0409,100,5,4,2,14.0,1,1,K6311,63,68,06,,0,,,,,4TEATS,,,,Y,1,,1,1,1,1,1,1.0,94.7,1,79,184,2,1992-04-09,92,0.024
92LA00037,K1604,63,63,C-1,K3925,63,70,7.0,06,1,,0408,99,8,3,3,9.5,1,1,K6243,63,68,06,,0,,,,,ENTR,,21,,A,1,,1,1,2,1,1,1.0,73.4,1,58,184,2,1992-04-08,92,0.052
92LA00038,K1604,63,63,C-1,K3925,63,70,7.0,06,1,,0408,99,8,3,2,8.7,1,1,K6244,63,68,06,,0,,,,,,,,,A,2,,0,0,0,1,1,1.0,67.0,1,54,184,2,1992-04-08,92,0.052
92LA00039,K1605,63,63,C-2,K4251,63,70,7.0,06,1,,0405,96,9,3,2,10.3,1,1,K6113,63,68,06,,0,,,,,4TEATS,,,,W,1,,1,1,3,1,1,1.0,79.4,1,58,183,1,1992-04-05,92,0.033
92LA00040,K1605,63,63,C-2,K4251,63,70,7.0,06,1,,0405,96,9,3,1,13.3,1,2,K6114,63,68,06,,0,,,,,4TEATS,,,,W,2,,0,0,0,1,1,1.0,81.1,1,57,183,1,1992-04-05,92,0.033
92LA00041,K1605,63,63,C-2,K4251,63,70,7.0,06,1,,0405,96,9,3,2,9.8,1,1,K6124,63,68,06,,0,,253763,-,,4TEATS,,,,W,3,,0,0,0,1,1,0.5,93.3,0,67,183,1,1992-04-05,92,0.033
92LA00042,K1609,63,61,C-3,K3994,63,70,7.0,06,1,,0411,102,8,4,2,11.2,1,1,K6389,63,68,06,,0,,,,,,,,,S,1,,1,1,2,1,1,1.0,72.0,1,48,183,1,1992-04-11,92,0.023
92LA00043,K1609,63,61,C-3,K3994,63,70,7.0,06,1,,0411,102,8,4,2,12.4,1,1,K6390,63,68,06,,0,,,,,4TEATS,,,,S,2,,0,0,0,1,1,1.0,56.5,1,43,183,1,1992-04-11,92,0.023
