UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,BOND,Y5A,LOC_DEATH,ADAM,F1F2,CLR,STM,SPEC,JAW,DAYBRN,TB,BOSE,DAYDIS,MILK,ABEWE,DISP,STMD,FONO,FOPU,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT2,CDNO,YR
85LA00001,1985-05-13,2,X0812,80,,00,,00000,00,,1,,,,2,00,3,1,133,5,0,0,0,,,00,,&,00000,00,0,53,,0,1,,0,0,8.6,5,,,,85
85LA00002,1985-05-20,2,X0861,80,,00,,00000,00,,,O,,,1,00,3,1,140,5,0,153,0,,6,00,,&,00000,00,0,0,,0,1,23,0,0,7.7,0,,,,85
85LA00003,1985-05-20,3,X0860,80,,00,,00000,00,,,O,,,1,00,3,1,140,5,0,140,0,,3,00,,&,00000,00,0,0,,0,1,93,0,0,12.5,0,,,,85
85LA00004,1985-04-03,3,X0285,80,,00,,00000,00,,1,,,,1,00,3,1,93,8,0,0,4,,,00,454597,-,00000,00,0,75,,0,1,,0,0,10.0,5,,,,85
85LA00005,1985-05-20,3,X0862,80,,00,,00000,00,,,O,,,1,00,3,1,140,5,0,140,0,,3,00,,&,00000,00,0,0,,0,1,93,0,0,10.7,0,,,,85
85LA00006,1985-04-14,2,X0286,80,,00,,00000,00,,1,,,,5,00,3,1,104,5,0,0,3,,,00,353543,-,00000,00,0,79,,0,1,,0,0,10.0,5,,,,85
85LA00007,1985-04-25,1,X0466,80,1,44,003,P3673,01,,1,,00,0,1,52,,1,115,5,1,0,4,,,01,043080,+,M6046,95,1,82,49,8,1,,1,1,11.6,15,,,1,85
85LA00008,1985-04-10,2,M8985,94,1,44,005,P4194,01,,1,,00,0,1,52,,1,100,8,1,0,3,44,,02,,&,M6108,95,1,53,49,8,1,,1,2,6.4,5,,,1,85
85LA00009,1985-04-10,1,M8986,94,,44,005,P4194,01,,,Y,00,0,1,52,,1,100,8,0,103,3,,6,02,,,M6108,95,0,0,49,8,1,48,0,0,5.8,0,,,2,85
85LA00010,1985-04-01,2,Y7985,02,1,71,711,P4568,01,,1,,90,0,9,30,,1,91,8,1,0,3,,,30,,,Y7286,02,1,65,71,6,1,,1,2,8.6,10,08,,1,85
85LA00011,1985-04-01,2,Y7986,02,,71,711,P4568,01,,1,,90,0,9,30,,1,91,8,0,0,3,,,30,,,Y7286,02,0,60,71,6,1,,0,0,9.5,10,08,,2,85
85LA00012,1985-03-27,2,Y7839,02,1,71,712,P4635,01,,1,,90,0,1,30,,1,86,8,1,0,3,,,30,,,Y7219,02,1,68,71,6,1,,1,2,9.3,10,,,1,85
85LA00013,1985-03-27,1,Y7840,02,,71,712,P4635,01,,1,,90,0,1,30,,1,86,8,0,0,3,,,30,,,Y7219,02,0,91,71,6,1,,0,0,9.2,10,,,2,85
85LA00014,1985-04-26,2,X0508,80,1,45,441,P4668,01,,1,,90,0,1,55,,2,116,8,1,0,4,,,02,,,M6729,94,1,78,49,8,1,,1,2,11.1,10,,,1,85
85LA00015,1985-04-26,1,X0509,80,,45,441,P4668,01,,1,,90,0,1,55,,1,116,8,0,0,4,,,02,,,M6729,94,0,50,49,8,1,,0,0,8.9,10,,,2,85
85LA00016,1985-04-11,2,Y8354,02,1,70,704,P4683,01,,1,,90,1,1,30,,1,101,8,1,0,4,,,30,,,Y5392,02,1,67,70,2,1,,1,2,8.2,10,,,1,85
85LA00017,1985-04-11,2,Y8355,02,,70,704,P4683,01,,1,,90,1,1,30,,1,101,8,0,0,4,,,30,,,Y5392,02,0,58,70,2,1,,0,0,9.3,10,,,2,85
85LA00018,1985-04-07,1,Y8205,02,1,70,701,P4720,01,,1,,90,0,1,30,,2,97,9,1,0,3,,,30,882194,+,Y5169,02,1,78,70,2,1,,1,3,11.3,15,,,1,85
85LA00019,1985-04-07,2,,,,70,701,P4720,01,,,,90,0,1,30,,1,97,9,,0,3,,1,30,,,Y5169,02,0,0,70,2,0,,0,0,8.6,0,,,2,85
85LA00020,1985-04-07,2,,,,70,701,P4720,01,,,,90,0,1,30,,6,97,9,,0,3,,1,30,,,Y5169,02,0,0,70,2,0,,0,0,5.8,0,42,,3,85
85LA00021,,,,,1,71,714,P4741,01,,,,90,1,,30,,,0,,,0,,,,30,,,Y7004,02,0,0,71,6,0,,0,0,0.0,0,,,1,85
85LA00022,1985-04-03,2,Y8065,02,1,70,704,P4888,01,,1,,90,0,1,30,,1,93,8,0,0,4,10,,30,,,Y5392,02,1,78,70,2,1,,1,2,8.9,10,,,1,85
85LA00023,1985-04-03,2,Y8066,02,,70,704,P4888,01,,1,,90,0,1,30,,1,93,8,1,0,4,,,30,,,Y5392,02,0,61,70,2,1,,0,0,6.9,10,,,2,85
85LA00024,1985-04-18,1,M9622,94,1,45,441,P4915,01,,1,,90,0,1,55,,1,108,5,0,0,3,,,02,,,M6729,94,1,69,49,8,1,,1,1,13.0,10,,,1,85
85LA00025,1985-03-28,1,Y7876,02,1,71,713,P4975,01,,1,,90,0,1,30,,1,87,8,0,0,2,,,30,,,Y7319,02,1,63,71,6,1,,1,2,8.5,10,,,1,85
85LA00026,1985-03-28,1,Y7877,02,,71,713,P4975,01,,1,,90,0,1,30,,1,87,8,1,0,2,,,30,,,Y7319,02,0,83,71,6,1,,0,0,10.0,10,,,2,85
85LA00027,,,,,1,70,703,P5589,01,,,,80,0,,30,,,0,,,0,,,,30,,,Y5093,02,1,0,70,2,0,,0,0,0.0,0,,,1,85
85LA00028,1985-04-14,1,Y8407,02,1,70,703,P5594,01,,1,,80,1,1,30,,1,104,8,0,0,4,,,30,,,Y5093,02,1,85,70,2,1,,1,2,10.0,10,,,1,85
85LA00029,1985-04-14,2,Y8408,02,,70,703,P5594,01,,1,,80,1,1,30,,1,104,8,1,0,4,,,30,,,Y5093,02,0,94,70,2,1,,0,0,10.2,10,,,2,85
85LA00030,1985-04-10,2,Y8322,02,1,71,714,P5598,01,,1,,80,1,1,30,,1,100,9,0,0,3,,,30,,,Y7004,02,1,59,71,6,1,,1,3,6.2,10,,,1,85
85LA00031,1985-04-10,2,Y8323,02,,71,714,P5598,01,,1,,80,1,1,30,,1,100,9,1,0,3,,,30,,&,Y7004,02,0,33,71,6,1,,0,0,6.0,5,,,2,85
85LA00032,1985-04-10,1,Y8324,02,,71,714,P5598,01,,,O,80,1,1,30,,1,100,9,0,113,3,,3,30,,&,Y7004,02,0,0,71,6,1,93,0,0,6.0,0,,,3,85
85LA00033,1985-04-01,1,Y8001,02,1,71,714,P5666,01,,,O,80,1,1,30,,1,91,8,0,107,2,30,3,30,,&,Y7004,02,1,0,71,6,1,93,1,2,4.5,0,,,1,85
85LA00034,1985-04-01,2,Y8002,02,,71,714,P5666,01,,1,,80,1,1,30,,1,91,8,1,0,2,,,30,,,Y7004,02,0,54,71,6,1,,0,0,5.5,10,,,2,85
85LA00035,1985-03-31,2,Y7972,02,1,70,704,P5687,01,,1,,80,1,1,30,,1,90,8,0,0,3,,,30,,,Y5392,02,1,55,70,2,1,,1,2,9.2,10,,,1,85
85LA00036,1985-03-31,1,Y7973,02,,70,704,P5687,01,,1,,80,1,1,30,,1,90,8,1,0,3,,,30,,,Y5392,02,0,59,70,2,1,,0,0,8.9,10,,,2,85
85LA00037,1985-03-27,2,Y7849,02,1,71,712,P5729,01,,1,,80,1,1,30,,1,86,8,0,0,2,01,,30,,,Y7219,02,1,71,71,6,1,,1,2,9.5,10,,,1,85
85LA00038,1985-03-27,2,Y7850,02,,71,712,P5729,01,,1,,80,1,1,30,,1,86,8,1,0,2,,,30,,,Y7219,02,0,73,71,6,1,,0,0,8.6,10,,,2,85
85LA00039,1985-04-10,1,Y8325,02,1,70,701,P5760,01,,,,80,1,1,30,,1,100,8,0,228,3,,7,30,,,Y5169,02,1,0,70,2,1,97,1,2,7.0,0,,,1,85
85LA00040,1985-04-10,2,Y8326,02,,70,701,P5760,01,,1,,80,1,1,30,,1,100,8,1,0,3,,,30,,,Y5169,02,0,57,70,2,1,,0,0,8.2,10,,,2,85
85LA00041,1985-04-21,1,M9854,94,1,45,441,P5767,01,,1,,80,0,1,55,,1,111,5,1,0,3,,,02,,,M6729,94,1,91,49,8,1,,1,1,11.6,10,,,1,85
85LA00042,1985-04-13,2,M9260,94,1,45,441,P5768,01,,1,,80,0,2,55,,1,103,8,0,0,3,,,02,,,M6729,94,1,80,49,8,1,,1,2,10.4,10,,,1,85
85LA00043,1985-04-13,1,M9261,94,,45,441,P5768,01,,1,,80,0,1,55,,1,103,8,1,0,3,,,02,,,M6729,94,0,90,49,8,1,,0,0,11.0,10,02,,2,85
85LA00044,1985-04-02,1,Y8016,02,1,71,713,P5815,01,,1,,80,1,1,30,,1,92,8,1,0,3,,,30,,,Y7319,02,1,64,71,6,1,,1,2,11.8,10,,,1,85
85LA00045,1985-04-02,2,Y8017,02,,71,713,P5815,01,,1,,80,1,1,30,,1,92,8,0,0,3,,,30,,,Y7319,02,0,78,71,6,1,,0,0,10.7,10,,,2,85
85LA00046,1985-04-16,2,M9513,94,1,44,005,P5833,01,,1,,80,0,1,52,,1,106,8,1,0,5,10,,02,,,M6108,95,1,72,49,8,1,,1,2,10.2,10,,,1,85
85LA00047,1985-04-16,2,M9514,94,,44,005,P5833,01,,1,,80,0,1,52,,1,106,8,0,0,5,,,02,,,M6108,95,0,84,49,8,1,,0,0,9.7,10,,,2,85
85LA00048,1985-04-04,1,Y8100,02,1,71,714,P5837,01,,1,,80,1,1,30,,1,94,9,0,0,3,,,30,,,Y7004,02,1,65,71,6,1,,1,3,8.5,10,,,1,85
85LA00049,1985-04-04,2,Y8101,02,,71,714,P5837,01,,,,80,1,1,30,,1,94,9,1,228,3,,7,30,,,Y7004,02,0,0,71,6,1,97,0,0,7.1,0,,,2,85
85LA00050,1985-04-04,2,Y8102,02,,71,714,P5837,01,,,O,80,1,1,30,,1,94,9,0,147,3,,6,30,,&,Y7004,02,0,0,71,6,1,19,0,0,6.0,0,,,3,85
85LA00051,1985-03-28,2,Y7859,02,1,71,711,P5842,01,,1,,80,0,1,30,,1,87,8,1,0,2,,,30,011102,-,Y7286,02,1,75,71,6,1,,1,2,10.8,5,,,1,85
85LA00052,1985-03-28,1,Y7875,02,,71,711,P5842,01,,1,,80,0,1,30,,1,87,8,1,0,2,,,30,787402,+,Y7286,02,0,86,71,6,1,,0,0,10.8,15,,,2,85
85LA00053,1985-04-05,1,Y8155,02,1,71,712,P5906,01,,1,,80,1,1,30,,1,95,8,0,0,2,,,30,,,Y7219,02,1,66,71,6,1,,1,2,8.1,10,,,1,85
85LA00054,1985-04-05,2,Y8156,02,,71,712,P5906,01,,1,,80,1,1,30,,1,95,8,1,0,2,,,30,,,Y7219,02,0,64,71,6,1,,0,0,8.4,10,,,2,85
85LA00055,1985-04-05,2,Y8149,02,1,70,702,P5940,01,,1,,80,1,1,30,,5,95,8,0,0,3,,,30,,,Y5213,02,1,79,70,2,1,,1,2,9.5,10,,,1,85
85LA00056,1985-04-05,2,Y8150,02,,70,702,P5940,01,,1,,80,1,1,30,,3,95,8,1,0,3,,,30,,,Y5213,02,0,76,70,2,1,,0,0,10.0,10,,,2,85
85LA00057,1985-04-09,2,Y8283,02,1,71,713,P5951,01,,1,,80,0,1,30,,3,99,8,1,0,1,,,30,,,Y7319,02,1,70,71,6,1,,1,2,10.6,10,,,1,85
85LA00058,1985-04-09,1,Y8284,02,,71,713,P5951,01,,,O,80,0,1,30,,1,99,8,0,101,1,,3,30,,&,Y7319,02,0,0,71,6,1,93,0,0,10.6,0,,,2,85
85LA00059,1985-03-28,1,Y7865,02,1,71,711,P5969,01,,1,,80,1,1,30,,1,87,8,1,0,3,09,,30,,,Y7286,02,1,72,71,6,1,,1,2,11.0,10,,,1,85
85LA00060,1985-03-28,2,Y7866,02,,71,711,P5969,01,,1,,80,1,1,30,,1,87,8,0,0,3,,,30,,,Y7286,02,0,79,71,6,1,,0,0,8.7,10,,,2,85
85LA00061,1985-04-29,1,X0637,80,1,45,441,P6041,01,,,O,80,0,1,55,,1,119,9,0,132,3,47,3,02,,&,M6729,94,1,0,49,8,1,93,1,3,11.5,0,,,1,85
85LA00062,1985-04-29,2,X0638,80,,45,441,P6041,01,,,O,80,0,1,55,,1,119,9,1,121,3,,6,02,,&,M6729,94,0,0,49,8,1,85,0,0,8.5,0,,,2,85
85LA00063,1985-04-29,2,X0639,80,,45,441,P6041,01,,,O,80,0,1,55,,1,119,9,0,129,3,,6,02,,&,M6729,94,0,0,49,8,1,01,0,0,8.8,0,,,3,85
85LA00064,1985-03-30,1,Y7907,02,1,70,702,P6138,01,,,,80,1,1,30,,1,89,8,0,228,4,,7,30,,,Y5213,02,1,0,70,2,1,97,1,2,8.4,0,,,1,85
85LA00065,1985-03-30,1,Y7908,02,,70,702,P6138,01,,1,,80,1,1,30,,1,89,8,1,0,4,,,30,,,Y5213,02,0,72,70,2,1,,0,0,8.7,10,,,2,85
85LA00066,1985-04-16,1,M9475,94,1,45,441,P6236,01,,1,,80,0,1,55,,1,106,9,0,0,4,10,,02,,,M6729,94,1,70,49,8,1,,1,3,7.9,10,,,1,85
85LA00067,1985-04-16,2,M9476,94,,45,441,P6236,01,,1,,80,0,1,55,,1,106,9,1,0,4,,,02,,,M6729,94,0,77,49,8,1,,0,0,7.4,10,,,2,85
85LA00068,1985-04-16,2,M9477,94,,45,441,P6236,01,,1,,80,0,1,55,,1,106,9,0,0,4,,,02,,&,M6729,94,0,41,49,8,1,,0,0,6.0,5,35,,3,85
85LA00069,1985-04-19,1,M9661,94,1,44,004,P6247,01,,1,,80,0,1,52,,1,109,8,1,0,3,,,02,,,M6049,95,1,53,49,8,1,,1,2,8.7,10,,,1,85
85LA00070,1985-04-19,1,M9662,94,,44,004,P6247,01,,1,,80,0,1,52,,1,109,8,0,0,3,,,02,,,M6049,95,0,68,49,8,1,,0,0,10.1,10,02,,2,85
85LA00071,1985-04-15,2,M9387,94,1,45,441,P6250,01,,1,,80,0,1,55,,3,105,8,1,0,3,,,02,,,M6729,94,1,63,49,8,1,,1,2,6.5,10,,,1,85
85LA00072,1985-04-15,2,M9388,94,,45,441,P6250,01,,1,,80,0,1,55,,1,105,8,0,0,3,,,02,,,M6729,94,0,63,49,8,1,,0,0,7.9,10,,,2,85
85LA00073,1985-04-26,2,X0541,80,1,44,003,P6814,01,,1,,70,0,1,52,,1,116,8,1,0,2,04,,02,,&,M6046,95,1,42,49,8,1,,1,2,10.3,5,,,1,85
85LA00074,1985-04-26,3,X0542,80,,44,003,P6814,01,,,O,70,0,1,52,,1,116,8,0,116,2,,3,02,,&,M6046,95,0,0,49,8,1,93,0,0,10.2,0,,,2,85
85LA00075,1985-04-23,1,X0355,80,1,45,441,P6872,01,,,O,70,0,1,55,,1,113,8,0,116,3,,3,02,,&,M6729,94,1,0,49,8,1,93,1,2,10.1,0,,,1,85
85LA00076,1985-04-23,2,X0356,80,,45,441,P6872,01,,1,,70,0,1,55,,1,113,8,1,0,3,,,02,,,M6729,94,0,84,49,8,1,,0,0,10.5,10,,,2,85
85LA00077,1985-04-03,1,Y8054,02,1,70,701,P7034,01,,1,,70,0,1,30,,1,93,8,0,0,4,,,30,,,Y5169,02,1,64,70,2,1,,1,2,10.9,10,,,1,85
85LA00078,1985-04-03,1,Y8055,02,,70,701,P7034,01,,1,,70,0,1,30,,1,93,8,1,0,4,,,30,,,Y5169,02,0,76,70,2,1,,0,0,11.0,10,,,2,85
85LA00079,1985-04-10,1,Y8345,02,1,70,703,P7038,01,,1,,70,1,1,30,,1,100,8,1,0,3,,,30,,,Y5093,02,1,61,70,2,1,,1,2,13.3,10,,,1,85
85LA00080,1985-04-10,1,Y8346,02,,70,703,P7038,01,,1,,70,1,1,30,,1,100,8,0,0,3,,,30,,,Y5093,02,0,77,70,2,1,,0,0,13.1,10,,,2,85
85LA00081,1985-03-27,2,Y7843,02,1,71,714,P7044,01,,1,,70,1,1,30,,1,86,9,1,0,3,,,30,,,Y7004,02,1,64,71,6,1,,1,3,7.4,10,,,1,85
85LA00082,1985-03-27,1,Y7844,02,,71,714,P7044,01,,1,,70,1,1,30,,1,86,9,0,0,3,,,30,,,Y7004,02,0,77,71,6,1,,0,0,8.5,10,,,2,85
85LA00083,1985-03-27,2,Y7845,02,,71,714,P7044,01,,,R,70,1,1,30,,2,86,9,1,92,3,,6,30,714602,-,Y7004,02,0,0,71,6,1,40,0,0,6.7,0,,,3,85
85LA00084,1985-03-28,1,Y7863,02,1,71,711,P7066,01,,1,,70,1,1,30,,1,87,8,1,0,2,,,30,,,Y7286,02,1,83,71,6,1,,1,2,10.5,10,,,1,85
85LA00085,1985-03-28,2,Y7864,02,,71,711,P7066,01,,1,,70,1,1,30,,1,87,8,0,0,2,,,30,,,Y7286,02,0,74,71,6,1,,0,0,9.3,10,,,2,85
85LA00086,1985-04-01,2,Y7990,02,1,70,704,P7114,01,,1,,70,1,1,30,,1,91,9,0,0,4,,,30,,,Y5392,02,1,89,70,2,1,,1,3,8.0,10,,,1,85
85LA00087,1985-04-01,1,Y7991,02,,70,704,P7114,01,,,X,70,1,1,30,,1,91,9,1,112,4,,6,30,,,Y5392,02,0,0,70,2,1,24,0,0,9.0,0,,,2,85
85LA00088,1985-04-01,2,Y7992,02,,70,704,P7114,01,,1,,70,1,1,30,,1,91,9,0,0,4,,,30,717502,-,Y5392,02,0,77,70,2,1,,0,0,8.8,5,,,3,85
85LA00089,1985-04-03,1,Y8079,02,1,71,712,P7131,01,,1,,70,1,1,30,,1,93,8,0,0,4,,,30,,,Y7219,02,1,85,71,6,1,,1,2,10.7,10,,,1,85
85LA00090,1985-04-03,1,Y8080,02,,71,712,P7131,01,,1,,70,1,1,30,,1,93,8,1,0,4,,,30,,,Y7219,02,0,92,71,6,1,,0,0,12.1,10,,,2,85
85LA00091,1985-03-30,1,Y7928,02,1,71,713,P7196,01,,1,,70,0,1,30,,1,89,8,0,0,3,,,30,,,Y7319,02,1,55,71,6,1,,1,2,10.4,10,,,1,85
85LA00092,1985-03-30,1,Y7929,02,,71,713,P7196,01,,1,,70,0,1,30,,1,89,8,1,0,3,,,30,,,Y7319,02,0,74,71,6,1,,0,0,9.5,10,,,2,85
85LA00093,1985-03-31,1,Y7971,02,1,71,714,P7252,01,,1,,70,1,1,30,,1,90,5,1,0,3,,,30,792602,+,Y7004,02,1,73,71,6,1,,1,1,12.6,15,,,1,85
85LA00094,1985-04-01,1,Y7988,02,1,71,711,P7275,01,,,O,70,1,1,30,,1,91,8,0,116,3,44,3,30,,&,Y7286,02,1,0,71,6,1,93,1,2,7.1,0,,,1,85
85LA00095,1985-04-01,2,Y7989,02,,71,711,P7275,01,,1,,70,1,1,30,,1,91,8,1,0,3,,,30,,&,Y7286,02,0,49,71,6,1,,0,0,8.0,5,,,2,85
85LA00096,1985-04-08,1,Y8232,02,1,70,701,P7293,01,,1,,70,1,1,30,,1,98,5,0,0,3,,,30,,,Y5169,02,1,99,70,2,1,,1,1,11.6,10,,,1,85
85LA00097,1985-03-31,2,Y7980,02,1,70,703,P7300,01,,1,,70,1,1,30,,5,90,5,1,0,4,,,30,,,Y5093,02,1,93,70,2,1,,1,1,13.5,10,,,1,85
