UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,STMD,BGRP,RGRP,CUT,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,INBRL
95LA00001,95,00000,00,00,,00000,00,2.0,00,,,y,X,0510,130,9,0,3,8.0,1,1,Z3502,81,00,00,3,135,93,,,,GOK LISA BUM,,,.,J,0,3,0,0,0,0,0,0.0,0,0,0,0,,1995-05-10,0.0
95LA00002,95,00000,00,,,00000,00,0.0,00,,,,,0421,111,,,,0.0,,,A2473,04,00,00,5,111,95,,,,TAG DESTROYED,,,,,0,3,0,0,0,0,0,0.0,0,,0,0,,1995-04-21,0.0
95LA00003,95,A0004,04,00,971,09217,00,2.0,30,1,1,y,,0405,95,5,2,2,11.2,5,1,Z3273,81,00,80,,0,,,,BLACK,,,,BLK,J,1,3,1,1,1,1,1,1.0,97,1,74,181,2,1995-04-05,0.0
95LA00004,95,A0013,04,82, 20,A0118,04,2.0,30,2,0,y,C,0402,92,2,3,,0.0,,,,,82,30,0,0,,K794563,+,,,,,,J,1,,1,1,2,0,0,0.5,0,,0,0,,1995-04-02,0.0
95LA00005,95,A0013,04,82, 20,A0118,04,2.0,30,2,0,y,C,0402,92,2,3,,0.0,,,,,82,30,0,0,,,,,,,,,J,2,,0,0,0,0,0,0.0,0,,0,0,,1995-04-02,0.0
95LA00006,95,A0037,04,82, 21,L9859,03,2.0,30,2,0,n,C,0421,111,8,2,2,6.4,1,2,A2495,04,82,30,,0,,,,,,,,,J,1,,1,1,2,1,1,1.0,51,1,31,181,2,1995-04-21,0.063
95LA00007,95,A0037,04,82, 21,L9859,03,2.0,30,2,0,n,C,0421,111,8,2,1,6.5,1,1,A2496,04,82,30,,0,,,,,,,,,J,2,,0,0,0,1,1,1.0,63,1,34,181,2,1995-04-21,0.063
95LA00008,95,A0039,04,81, 01,00000,97,2.0,30,2,0,y,X,0429,119,8,3,2,9.4,5,3,Z3365,81,00,80,,0,,,,,,,,,J,1,2,1,1,2,1,1,1.0,76,1,41,181,2,1995-04-29,0.0
95LA00009,95,A0039,04,81, 01,00000,97,2.0,30,2,0,y,X,0429,119,8,3,2,9.3,5,1,Z3366,81,00,80,,0,,,,,,,,,J,2,2,0,0,0,1,1,1.0,76,1,41,181,2,1995-04-29,0.0
95LA00010,95,A0050,04,82, 22,L9786,03,2.0,30,2,0,n,C,0412,102,8,3,2,7.3,1,1,A2038,04,82,30,,0,,,,DYSTOCIA95,,,,,J,1,,1,1,2,1,1,1.0,75,1,52,181,2,1995-04-12,0.061
