UID,YR,SEX,LAMB,LB1,DATE,BRWT,SIRE,SB1,DAM,DB1,INBL,TB,ADAM,CLR,MILK,JAW,LINE,PEN,CDNO,DISP,DAYDIS,ABNL,ABNE,FONO,FOBR,FOPU,ABLMB,DBRD,X1,DRY,DEAD,X2,LBRD,ABEWE,LNDAM,TM,INBD,SPEC,WNWT,CODE,X3,DAYBN,SBRD,Y1,Y2,Y3,Y4,Y5,DATEBN,YRDAM,YRSIRE,STM
52LA00001,52,,,,521,0.0,2362,1,1297,1,15,,9,,,,20,200,1,,0,,,,,,,11,,-,,11,11,,20,1,08,1,,,,142,11,1,0,0,0,0,1952-05-21,43,47,07
52LA00002,52,2,1835,5,521,8.8,0000,6,1297,1,,8,9,1,3,1,00,200,1,,0,,,,,,,11,,,,,48,,20,0,08,2,46,04,,142,60,1,1,2,1,10,1952-05-21,43,50,04
52LA00003,52,1,1836,5,521,10.0,0000,6,1297,1,,8,9,1,3,1,00,200,2,,0,,,,,,,11,,,,,48,,20,0,08,2,42,04,,142,60,1,1,2,1,10,1952-05-21,43,50,04
52LA00004,52,2,3686,1,409,12.0,2362,1,1704,1,20,5,7,1,4,1,20,200,1,,0,,,,,,,11,,,,11,11,,20,1,12,,65,,,100,11,1,1,1,1,10,1952-04-09,45,47,07
52LA00005,52,2,3722,1,411,10.4,2771,1,1713,1,26,8,7,1,4,2,34,340,1,,0,,,,,,,11,,,,11,11,,34,1,25,,53,,,102,11,1,1,2,1,10,1952-04-11,45,49,07
52LA00006,52,1,3723,1,411,11.4,2771,1,1713,1,26,8,7,1,4,1,34,340,2,,0,,,,,,,11,,,,11,11,,34,1,25,,65,,,102,11,1,1,2,1,10,1952-04-11,45,49,07
52LA00007,52,1,3780,1,423,11.2,3112,1,1727,1,,5,7,1,4,2,63,580,1,6,123,2,,,,,16,11,,,,11,11,,20,6,18,,,27,,114,11,1,1,1,1,0,1952-04-23,45,50,07
52LA00008,52,2,3744,1,414,7.6,2822,1,1744,1,29,8,7,1,3,1,27,270,1,,0,,,,,,,11,,,,11,11,,27,1,25,,60,,,105,11,1,1,2,1,10,1952-04-14,45,49,07
52LA00009,52,2,3745,1,414,8.0,2822,1,1744,1,29,8,7,1,3,1,27,270,2,,0,,,,,,,11,,,,11,11,,27,1,25,,66,,,105,11,1,1,2,1,10,1952-04-14,45,49,07
52LA00010,52,,,,331,0.0,2822,1,1745,1,29,2,7,,0,,27,270,1,0,0,,,,,,,11,,,,11,11,,27,1,25,,,,,91,11,1,1,2,0,0,1952-03-31,45,49,07
