UID,YR,SEX,LAMB,LB1,LINE,PEN,DAM,DBRD,DB1,INBL,X1,ADAM,X2,CLR,STM,SPEC,JAW,DAYBN,TB,TRT,DAYDIS,MILK,ABEWE,DISP,INBD,FONO,FOBR,FOPU,X3,DB2,LBRD,SIRE,SBRD,Y1,WNWT,LNDAM,TM,Y4,X4,Y2,Y3,BRWT,Y5,ABLMB,X5,CDNO,DATEBN
65LA00001,65,1,0572,4,09,099,8391,40,4,,,-, 6,1,02,,3,119,8,,0,3,,,10,,,,,0,42,8231,41,1,66,11,7,1,,1,2,10.6,10,,,1,1965-04-29
65LA00002,65,2,0573,4,09,099,8391,40,4,,,-, 6,1,02,,3,119,8,,0,3,,,10,,,,,0,42,8231,41,1,66,11,7,1,,1,2,11.0,10,,,2,1965-04-29
65LA00003,65,2,9985,4,03,038,8479,40,4,,,-, 6,1,02,,1,103,8,,0,4,,,15,,,,,0,41,8111,41,1,66,08,7,1,,1,2,9.0,10,,,1,1965-04-13
65LA00004,65,1,9986,4,03,038,8479,40,4,,,-, 6,1,02,,1,103,8,,0,4,,,15,,,,,0,41,8111,41,1,69,08,7,1,,1,2,8.4,10,,,2,1965-04-13
65LA00005,65,1,0143,4,11,119,8538,40,4,,,-, 6,1,02,,1,107,8,,0,4,,,20,,,,,0,42,8642,41,1,85,08,7,1,,1,2,10.8,10,,,1,1965-04-17
65LA00006,65,2,0144,4,11,119,8538,40,4,,,-, 6,1,02,,3,107,8,,92,4,,6,20,,,,,0,42,8642,41,1,,08,7,1,,1,2,9.8,0,,,2,1965-04-17
65LA00007,65,2,0260,4,05,051,8695,40,4,23,,-, 8,1,02,,1,109,8,,109,2,,2,21,,,,,0,42,8273,41,1,,05,1,1,,1,2,5.8,0,06,,1,1965-04-19
65LA00008,65,1,0261,4,05,051,8695,40,4,23,,-, 8,1,02,,1,109,8,,0,2,,,21,,,,,0,42,8273,41,1,62,05,1,1,,1,2,6.8,10,,,2,1965-04-19
65LA00009,65,1,9759,4,15,159,9018,40,4,,,-, 5,1,02,,1,97,8,,97,2,,2,18,,,,,0,41,8264,41,1,,07,7,1,,1,2,9.0,0,,,1,1965-04-07
65LA00010,65,1,9760,4,15,159,9018,40,4,,,-, 5,1,02,,1,97,8,,99,2,,2,18,,,,,0,41,8264,41,1,,07,7,1,,1,2,9.2,0,,,2,1965-04-07
65LA00011,65,1,0519,4,03,039,9359,40,4,,,0, 6,1,02,,2,116,8,,230,4,,7,22,,,,,0,42,7963,41,1,,11,7,1,,1,2,11.7,0,,,1,1965-04-26
65LA00012,65,1,0520,4,03,039,9359,40,4,,,0, 6,1,02,,2,116,8,,0,4,,,22,,,,,0,42,7963,41,1,92,11,7,1,,1,2,10.5,10,03,,2,1965-04-26
65LA00013,65,2,9761,4,70,712,9434,40,4,,,0,,1,02,,1,97,8,,0,4,,,,,,,,0,41,7712,41,1,89,70,2,1,,1,2,11.0,10,,,1,1965-04-07
65LA00014,65,1,9762,4,70,712,9434,40,4,,,0,,1,02,,2,97,8,,97,4,,2,,,,,,0,41,7712,41,1,,70,2,1,,1,2,8.6,0,,,2,1965-04-07
