UID,DAM,DBRD,LNDAM,BPEN,ADAM,AGE,STMD,BGRP,GRP,DATE,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,DISP,DAYDIS,CAUSE,FONO,RMK,ABEWE,ABLMB,CDNO,SIRE,SBRD,STM,LINE,DAYBRN,FOPU,Y0,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,SPEC,VC,ML,SYNC,DATEBN,IGG,YR,INBRL
90LA00001,00000,00,00,,40,4.0,00,,3,0416,9,0,2,8.3,9,1,L5298,03,,0,,791643,"?LAMB, BLACK",,,0,00000,00,00,00,106,-,0,0,0,0,1,1,5,67,0,45.8,183,3,3,,,,1990-04-16,,90,0.0
90LA00002,L0000,00,,,,0.0,00,,,0410,9,0,3,4.9,1,1,L4949,03,6,100,29,,WEAK,,,0,00000,00,00,00,100,&,0,0,0,0,1,0,0,0,0,0.0,0,,3,,,,1990-04-10,,90,0.0
90LA00003,X0000,00,,,,0.0,00,,,0331,9,0,2,5.2,1,1,X9532,80,3,92,93,,?lamb,,,0,00000,00,00,00,90,&,0,0,0,0,1,0,0,0,0,0.0,0,,3,,,,1990-03-31,,90,0.0
90LA00004,L0000,00,,,,0.0,00,,,0411,8,0,3,4.0,1,1,L5033,03,3,106,93,,FROMSICKPEN,*,,0,00000,00,00,00,101,&,0,0,0,0,1,0,0,0,0,0.0,0,,3,,,,1990-04-11,,90,0.0
90LA00005,X0000,00,,,,0.0,00,,,0324,5,0,3,7.6,5,3,X9096,80,,0,,756919,,,,0,00000,00,00,00,83,-,0,0,0,0,1,1,5,75,0,61.6,176,1,3,,,,1990-03-24,,90,0.0
90LA00006,L0000,00,,,,0.0,00,,,0414,8,0,2,9.6,1,1,L5201,03,3,106,93,,?POLYPAY,,,0,00000,00,00,00,104,&,0,0,0,0,1,0,0,0,0,0.0,0,,3,,,,1990-04-14,,90,0.0
90LA00007,X0000,00,,,,0.0,00,,3,0329,8,0,2,9.9,5,1,X9396,80,3,106,93,,?LAMB,,,0,00000,00,00,00,88,&,0,0,0,0,1,0,0,0,0,0.0,0,,3,,,,1990-03-29,,90,0.0
90LA00008,Y3884,02,74,53,70,7.0,30,2,X,0418,9,0,3,9.9,1,1,L5406,03,3,108,93,,RUPTURE,*,,1,L2503,03,30,81,108,&,1,1,1,3,1,0,0,0,0,0.0,0,,,C,,,1990-04-18,,90,0.032
90LA00009,Y3884,02,74,53,70,7.0,30,2,X,0418,9,0,3,8.7,1,1,L5407,03,3,108,93,,MASTITIS,*,,2,L2503,03,30,81,108,&,0,0,0,0,1,0,0,0,0,0.0,0,,,C,,,1990-04-18,,90,0.032
90LA00010,Y3884,02,74,53,70,7.0,30,2,X,0418,9,0,3,8.3,1,1,L5408,03,3,108,93,,,,,3,L2503,03,30,81,108,&,0,0,0,0,1,0,0,0,0,0.0,0,,,C,,,1990-04-18,,90,0.032
90LA00011,Y3910,02,74,52,70,7.0,30,2,,0405,2,3,1,7.9,1,1,,,0,0,,966380,LUNGER,*,,1,L2371,03,30,81,95,+,1,1,1,2,0,0,5,0,0,0.0,0,,,A,,,1990-04-05,,90,0.0
90LA00012,Y3910,02,74,52,70,7.0,30,2,,0405,2,3,1,7.9,1,1,,,0,0,,,,,,2,L2371,03,30,81,95,,0,0,0,0,0,0,0,0,0,0.0,0,,,A,,,1990-04-05,,90,0.0
90LA00013,Y4314,02,73,41,70,7.0,30,2,,0427,9,3,3,8.9,1,1,L5803,03,3,117,93,,,,,1,L1921,03,30,80,117,&,1,1,1,3,1,0,0,0,0,0.0,0,,,A,,,1990-04-27,,90,0.047
90LA00014,Y4314,02,73,41,70,7.0,30,2,,0427,9,3,2,7.8,1,1,L5804,03,,0,,,,,,2,L1921,03,30,80,117,,0,0,0,0,1,1,10,77,1,40.1,177,2,,A,,,1990-04-27,,90,0.047
90LA00015,Y4314,02,73,41,70,7.0,30,2,,0427,9,3,2,8.5,1,1,L5805,03,,0,,,,,,3,L1921,03,30,80,117,,0,0,0,0,1,1,10,73,1,38.7,177,2,,A,,,1990-04-27,,90,0.047
90LA00016,Y5011,02,71,73,70,7.0,30,2,,,,,,0.0,,,,,,0,,,,,,1,L1883,03,30,83,0,,1,1,0,0,0,0,0,0,0,0.0,0,,1,B,,,,,90,0.0
90LA00017,Y5011,02,71,73,70,7.0,30,2,,0510,8,3,3,8.1,5,2,Z0408,81,,0,,,,,,1,00000,97,80,00,130,,1,1,1,2,1,1,10,86,1,31.5,177,2,2,B,,,1990-05-10,,90,0.0
90LA00018,Y5011,02,71,73,70,7.0,30,2,,0510,8,3,3,11.4,5,1,Z0409,81,,0,,,,,,2,00000,97,80,00,130,,0,0,0,0,1,1,10,87,1,37.0,177,2,2,B,,,1990-05-10,,90,0.0
90LA00019,Y5036,02,71,43,70,7.0,30,2,,0422,3,1,2,7.5,1,1,L5646,03,,0,,,CULL>BAGTHIN,*,,1,L2272,03,30,80,112,,1,1,1,4,1,1,10,78,1,44.6,177,2,,A,,,1990-04-22,,90,0.058
90LA00020,Y5036,02,71,43,70,7.0,30,2,,0422,3,1,3,6.5,1,1,L5647,03,3,114,93,,,,,2,L2272,03,30,80,112,&,0,0,0,0,1,0,0,0,0,0.0,0,,,A,,,1990-04-22,,90,0.058
90LA00021,Y5036,02,71,43,70,7.0,30,2,,0422,3,1,3,6.8,1,1,L5648,03,3,113,93,,,,,3,L2272,03,30,80,112,&,0,0,0,0,1,0,0,0,0,0.0,0,,,A,,,1990-04-22,,90,0.058
90LA00022,Y5036,02,71,43,70,7.0,30,2,,0422,3,1,2,7.5,1,3,L5649,03,3,113,93,,,,,4,L2272,03,30,80,112,&,0,0,0,0,1,0,0,0,0,0.0,0,,,A,,,1990-04-22,,90,0.058
90LA00023,Y5102,02,71,44,70,7.0,30,2,,0413,8,3,2,9.1,1,1,L5153,03,,0,,,,,,1,L2524,03,30,80,103,,1,1,1,2,1,1,10,72,1,49.6,176,1,,A,,,1990-04-13,,90,0.077
90LA00024,Y5102,02,71,44,70,7.0,30,2,,0413,8,3,1,10.6,1,3,L5154,03,,0,,,,,,2,L2524,03,30,80,103,,0,0,0,0,1,1,10,87,1,61.0,176,1,,A,,,1990-04-13,,90,0.077
90LA00025,Y5155,02,71,51,70,7.0,30,2,,0406,7,3,2,9.2,1,1,L4815,03,,0,,,,,,1,L2158,03,30,81,96,,1,1,1,2,1,1,10,81,1,63.0,177,2,,A,,,1990-04-06,,90,0.045
90LA00026,Y5155,02,71,51,70,7.0,30,2,,0406,7,3,1,8.3,1,1,,,1,96,44,,,,,2,L2158,03,30,81,96,,0,0,0,0,0,0,0,0,0,0.0,0,,,A,,,1990-04-06,,90,0.045
90LA00027,Y5172,02,70,73,70,7.0,30,2,,,,,,0.0,,,,,,0,,,,,,1,L1883,03,30,83,0,,1,1,0,0,0,0,0,0,0,0.0,0,,1,B,,,,,90,0.0
