UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,STMD,LTRT,Y5A,SERIES,ADAM,F1F2,CLR,STM,SPEC,JAW,DAYBN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,TRT2,FONO,FOPU,TRT3,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT4,CDNO,YR
78LA00001,1978-04-14,1,S1649,19,1,00,000,00000,00,00,,1,,,,1,00,3,1,104,5,,0,3,,,,,&,,00000,00,1,66,,0,1,,1,1,92,5,,,1,78
78LA00002,1978-04-16,2,X3022,79,1,00,000,00000,00,00,,1,,,,5,00,3,1,106,5,,0,3,,,,501418,-,,00000,00,1,77,,0,1,,1,1,104,5,,,1,78
78LA00003,1978-04-09,2,U5892,93,1,00,000,00000,00,00,,1,,,,1,00,3,1,99,5,,0,3,,,,,&,,00000,00,1,62,,0,1,,1,1,64,5,,,1,78
78LA00004,1978-04-06,1,X2486,79,1,00,000,00000,00,00,,1,,,,5,00,3,1,96,5,,0,1,,,,,&,,00000,00,1,47,,0,1,,1,1,52,5,,,1,78
78LA00005,1978-05-15,2,X3268,79,1,00,000,00000,00,00,,1,,,,5,00,3,1,135,5,,0,3,,,,,&,,00000,00,1,40,,0,1,,1,1,90,5,,,1,78
78LA00006,1978-04-07,3,X2525,79,1,00,000,00000,00,00,,1,,,,5,00,3,1,97,5,,0,3,,,,486493,-,,00000,00,1,84,,0,1,,1,1,146,5,,,1,78
78LA00007,1978-04-09,3,X2650,79,1,00,000,00000,00,00,,1,,,,5,00,3,1,99,5,,0,3,,,,678542,-,,00000,00,1,91,,0,1,,1,1,155,5,,,1,78
78LA00008,1978-04-07,2,X2529,79,1,00,000,00000,00,00,,1,,,,5,00,3,1,97,5,,0,3,,,,,&,,00000,00,1,84,,0,1,,1,1,123,5,,,1,78
78LA00009,1978-04-03,2,X2347,79,1,00,000,00000,00,00,,1,,,,5,00,3,1,93,5,,0,3,,,,164693,-,,00000,00,1,76,,0,1,,1,1,126,5,,,1,78
78LA00010,1978-04-16,1,U6380,93,1,00,000,00000,00,00,,1,,,,1,00,3,1,106,5,,0,3,,,,022919,-,,00000,00,1,91,,0,1,,1,1,106,5,,,1,78
78LA00011,1978-04-12,2,U6074,93,1,00,000,00000,00,00,,1,,,,1,00,3,1,102,5,,0,3,,,,,&,,00000,00,1,42,,0,1,,1,1,38,5,,,1,78
78LA00012,1978-04-07,1,U5751,93,1,00,000,00000,00,00,,1,,,,1,00,3,1,97,5,,0,3,,,,913090,-,,00000,00,1,82,,0,1,,1,1,121,5,,,1,78
78LA00013,1978-04-11,2,U5983,93,1,00,000,00000,00,00,,1,,,,1,00,3,1,101,5,,0,3,,,,972742,-,,00000,00,1,63,,0,1,,1,1,99,5,,,1,78
78LA00014,1978-04-11,3,X2857,79,1,00,000,00000,00,00,,1,,,,5,00,3,1,101,5,,0,3,,,,547662,-,,00000,00,1,87,,0,1,,1,1,129,5,,,1,78
78LA00015,1978-04-09,2,U5891,93,1,00,000,00000,00,00,,1,,,,1,00,3,1,99,5,,0,3,,,,818318,-,,00000,00,1,94,,0,1,,1,1,110,5,,,1,78
78LA00016,1978-04-12,3,U6075,93,1,00,000,00000,00,00,,1,,,,1,00,3,1,102,5,,0,3,,,,,&,,00000,00,1,66,,0,1,,1,1,85,5,,,1,78
78LA00017,1978-04-03,2,X2348,79,1,00,000,00000,00,00,,1,,,,5,00,3,1,93,5,,0,3,,,,516001,-,,00000,00,1,89,,0,1,,1,1,101,5,,,1,78
78LA00018,1978-04-03,2,U5619,93,1,00,000,00000,00,00,,1,,,,1,00,3,1,93,5,,0,3,,,,794818,-,,00000,00,1,60,,0,1,,1,1,73,5,,,1,78
78LA00019,1978-02-26,2,X1897,79,1,00,000,00000,00,00,,1,,,,5,00,3,1,57,5,,0,2,,,,,&,,00000,00,1,81,,0,1,,1,1,111,5,,,1,78
78LA00020,1978-04-10,2,U5927,93,1,00,000,00000,00,00,,,,,,1,00,3,1,100,5,,123,3,,6,,,&,,00000,00,1,0,,0,1,01,1,1,84,0,,,1,78
78LA00021,1978-04-09,3,X2651,79,1,00,000,00000,00,00,,1,,,,5,00,3,1,99,5,,0,3,,,,678542,-,,00000,00,1,97,,0,1,,1,1,100,5,,,1,78
78LA00022,1978-04-10,2,U5977,93,1,00,000,00000,00,00,,1,,,,1,00,3,1,100,5,,0,3,,,,,&,,00000,00,1,50,,0,1,,1,1,61,5,,,1,78
78LA00023,1978-04-13,2,U6163,93,1,00,000,00000,00,00,,1,,,,1,00,3,1,103,5,,0,3,,,,,&,,00000,00,1,73,,0,1,,1,1,96,5,,,1,78
78LA00024,1978-04-10,2,X2726,79,1,00,000,00000,00,00,,1,,,,5,00,3,1,100,5,,0,3,,,,,&,,00000,00,1,57,,0,1,,1,1,108,5,,,1,78
78LA00025,1978-04-09,3,X2682,79,1,00,000,00000,00,00,,,,,,5,00,3,1,99,5,,131,3,,6,,042943,-,,00000,00,1,0,,0,1,01,1,1,119,0,,,1,78
78LA00026,1978-03-31,2,X2179,79,1,00,000,00000,00,00,,1,,,,5,00,3,1,90,5,,0,4,,,,170301,-,,00000,00,1,78,,0,1,,1,1,129,5,,,1,78
78LA00027,1978-04-16,1,U6356,93,1,00,000,00000,00,00,,1,,,,1,00,3,1,106,5,,0,3,,,,491842,-,,00000,00,1,71,,0,1,,1,1,136,5,,,1,78
78LA00028,1978-04-25,2,U6857,93,1,00,000,00000,00,00,,,,,,1,00,3,1,115,5,,118,3,,6,,,&,,00000,00,1,0,,0,1,01,1,1,70,0,,,1,78
78LA00029,1978-04-12,1,U6058,93,1,00,000,00000,00,00,,1,,,,1,00,3,1,102,5,,0,3,,,,065793,-,,00000,00,1,85,,0,1,,1,1,111,5,,,1,78
78LA00030,1978-04-11,3,X2856,79,1,00,000,00000,00,00,,1,,,,5,00,3,1,101,5,,0,3,,,,547662,-,,00000,00,1,77,,0,1,,1,1,109,5,,,1,78
78LA00031,1978-04-14,2,U6210,93,1,00,000,00000,00,00,,1,,,,1,00,3,1,104,5,,0,3,,,,884018,-,,00000,00,1,52,,0,1,,1,1,87,5,,,1,78
78LA00032,1978-04-11,2,U5980,93,1,00,000,00000,00,00,,1,,,,1,00,3,1,101,5,,0,3,,,,,&,,00000,00,1,66,,0,1,,1,1,61,5,,,1,78
78LA00033,1978-04-07,2,U5700,93,1,00,000,00000,00,00,,1,,,,1,00,3,1,97,5,,0,3,,,,791118,-,,00000,00,1,60,,0,1,,1,1,85,5,,,1,78
78LA00034,1978-03-22,2,U5582,93,1,00,000,00000,00,00,,1,,,,1,00,3,1,81,5,,0,4,,,,315493,-,,00000,00,1,89,,0,1,,1,1,95,5,,,1,78
78LA00035,1978-04-10,2,U5961,93,1,00,000,00000,00,00,,1,,,,1,00,3,1,100,5,,0,3,,,,481362,-,,00000,00,1,53,,0,1,,1,1,72,5,,,1,78
78LA00036,1978-05-05,2,U6923,93,1,00,000,00000,00,00,,1,,,,1,00,3,1,125,5,,0,3,,,,,&,,00000,00,1,44,,0,1,,1,1,80,5,,,1,78
78LA00037,1978-04-13,1,U6130,93,1,00,000,00000,00,00,,1,,,,1,00,3,1,103,5,,0,3,,,,734042,-,,00000,00,1,81,,0,1,,1,1,90,5,,,1,78
78LA00038,1978-04-27,2,U6870,93,1,00,000,00000,00,00,,,,,,1,00,3,1,117,5,,140,3,,6,,,&,,00000,00,1,0,,0,1,01,1,1,70,0,,,1,78
78LA00039,1978-04-10,3,X2725,79,1,00,000,00000,00,00,,,,,,5,00,3,1,100,5,,107,3,,6,,,&,,00000,00,1,0,,0,1,21,1,1,113,0,,,1,78
78LA00040,1978-04-14,2,U6245,93,1,00,000,00000,00,00,,1,,,,1,00,3,1,104,5,,0,3,,,,926442,-,,00000,00,1,85,,0,1,,1,1,114,5,,,1,78
