id10,damid10
2010828436,2008825968
2010828437,2008826790
D201057031,2008825703
D201057032,2008825703
D201059561,2008825956
D201059562,2008825956
2010828439,2008826766
2010828440,2008826766
2010828441,2008826286
2010828442,2008826286
2010828443,2008825872
2010828438,2001112894
D201028942,2001112894
2010828444,2008826100
2010828445,2008826079
2010828446,2008826079
2010828447,2008826401
2010828448,2008826401
2010828449,2008826401
2010828450,2008826743
D201064691,2008826469
D201064692,2008826469
D201064261,2008826426
D201064262,2008826426
2010828451,2008826396
2010828452,2008826396
2010828453,2008826170
2010828454,2008826092
2010828455,2008826092
2010828456,2008826092
2010828457,2008826764
2010828458,2008826022
2010828459,2008826037
2010828460,2008826233
2010828461,2008826233
2010828462,2008826655
D201058961,2008825896
D201058962,2008825896
D201064911,2008826491
2010828463,2008826068
2010828464,2008826068
2010828465,2008825800
D201058002,2008825800
D201058141,2008825814
D201058142,2008825814
2010828466,2008825932
2010828467,2008825932
2010828468,2008826274
2010828469,2008826694
2010828470,2008826694
2010828471,2008825830
2010828472,2008825830
2010828473,2008826784
2010828474,2008826784
D201064411,2008826441
D201057601,2008825760
D201057602,2008825760
D201063661,2008826366
D201063662,2008826366
D201068401,2008826840
D201068402,2008826840
D201058821,2008825882
D201064531,2008826453
D201064532,2008826453
D201057951,2008825795
2010828475,2008826600
2010828476,2008826600
2010828477,2008826280
2010644606,2008644201
2010644607,2008644201
D201075091,2009827509
D201052651,2009055265
D201026371,2009452637
D201050131,2009055013
D201054651,2009055465
D201054652,2009055465
D201063031,2008826303
D201027911,2009452791
D201062671,2008826267
D201048471,2009054847
D201048472,2009054847
D201072261,2009827226
D201072262,2009827226
D201021761,2008452176
D201021762,2008452176
D201017561,2007451756
D201017562,2007451756
D201062271,2008826227
D201021991,2006052199
D201023301,2008452330
D201045771,2009054577
D201057121,2008825712
D201057122,2008825712
D201062721,2008826272
D201062722,2008826272
D201081051,2002818105
D201081052,2002818105
D201063781,2008826378
D201098231,2004449823
D201098232,2004449823
D201015091,2007451509
D201013361,2007451336
2010700043,2007825312
2010055553,2009054680
2010055554,2009054680
2010828479,2008644174
D201042841,2008644284
D201042842,2008644284
D201024801,2002642480
D201024802,2002642480
2010452847,2007451722
2010452848,2007451722
D201013121,2007451312
D201008261,2006450826
D201045881,2009054588
D201045981,2009644598
D201045982,2009644598
D201022511,2008452251
D201028061,2009452806
D201054911,2009055491
D201074651,2009117465
D201074652,2009117465
D201031331,2006823133
D201031332,2006823133
D201062911,2008826291
D201025051,2005822505
D201025052,2005822505
D201063991,2008826399
2010828480,2008826399
2010700044,2008825810
D201071781,2008827178
D201071782,2008827178
D201028781,2003642878
D201028782,2003642878
D201050191,2009055019
D201057841,2008825784
D201057842,2008825784
2010828481,2007644036
2010452849,2008452301
2010452850,2008452301
2010452851,2005450343
2010700045,2008825811
2010700046,2008825811
2010452852,2008042011
2010452853,2008451876
2010644608,2006643586
2010644609,2006643586
D201072361,2009827236
D201079001,2009827900
D201080751,2009828075
D201080752,2009828075
D201047851,2009054785
D201072201,2009827220
2010828482,2007824308
2010828483,2007824308
D201035151,2006823515
2010828484,2006823515
2010452854,2007451507
2010055555,2009054968
2010828485,2008826965
D201069652,2008826965
D201069653,2008826965
2010828486,2008826965
2010452855,2008452041
D201082861,2009828286
D201082862,2009828286
D201043531,2008644353
D201041911,2008644191
D201068771,2008826877
D201068772,2008826877
D201046841,2007824684
D201067151,2008826715
D201067152,2008826715
D201029851,2007052985
D201029852,2007052985
D201026991,2006052699
D201041441,2007644144
2010828487,2007824796
2010828488,2007824796
2010452856,2008452296
2010644610,2006643589
2010644611,2006643589
2010828489,2006822995
2010452857,2008042017
D201031711,2007053171
D201031712,2007053171
2010828490,2005643528
2010828491,2005643528
2010644612,2008644254
2010644613,2008644254
2010055556,2009054961
D201049612,2009054961
