ID10,YR,DAY,NOTE,NOTEID
2022061478,22,70,1ST,LNOTE22LA00089
2022061483,22,70,1ST,LNOTE22LA00108
2022061484,22,70,2ND,LNOTE22LA00109
2022061497,22,71,KNUCKLEDOVER,LNOTE22LA00155
2022061498,22,71,THIN,LNOTE22LA00156
2022061507,22,72,2ND,LNOTE22LA00191
2022061508,22,72,3RD,LNOTE22LA00192
2022061517,22,73,BIGBLSPOT,LNOTE22LA00260
2022061519,22,73,THIN,LNOTE22LA00271
2022061521,22,73,Orph->Hypotherm,LNOTE22LA00273
2022061526,22,73,THIN,LNOTE22LA00314
2022061534,22,74,THIN,LNOTE22LA00356
2022061537,22,74,HAIRY,LNOTE22LA00368
2022061538,22,74,HAIRY,LNOTE22LA00369
2022061539,22,74,PINK,LNOTE22LA00391
2022061542,22,74,FXRH+RenalDz?,LNOTE22LA00408
2022061547,22,74,HAIRY,LNOTE22LA00419
2022061550,22,74,PINK,LNOTE22LA00422
2022061555,22,75,HAIRY,LNOTE22LA00436
2022061557,22,75,HAIRY,LNOTE22LA00442
2022061560,22,75,HAIRY,LNOTE22LA00474
2022061562,22,75,UmbArteryHemorr,LNOTE22LA00476
2022061567,22,75,HAIRY,LNOTE22LA00485
2022061569,22,75,HAIRY,LNOTE22LA00487
2022061572,22,76,DEFORMLEGS,LNOTE22LA00536
2022061583,22,76,NORNUTClostridl,LNOTE22LA00586
2022061585,22,76,SPLITSCROTUM,LNOTE22LA00603
2022061588,22,76,THIN,LNOTE22LA00608
2022061597,22,76,SM.THIN,LNOTE22LA00627
2022061600,22,77,Clostridial,LNOTE22LA00633
2022061601,22,77,NICE LAMB,LNOTE22LA00634
2022061603,22,77,FTT,LNOTE22LA00636
2022061619,22,77,Orph320->Dead,LNOTE22LA00729
2022061633,22,79,THIN,LNOTE22LA00930
2022061634,22,79,THIN,LNOTE22LA00931
2022061641,22,79,UGLY,LNOTE22LA00968
2022061643,22,80,THIN,LNOTE22LA01006
2022061645,22,80,UGLY,LNOTE22LA01034
2022061651,22,80,HAIRY,LNOTE22LA01080
2022061652,22,81,HAIRY,LNOTE22LA01110
2022061653,22,81,HAIRY,LNOTE22LA01111
2022061655,22,81,CRYPTORCHID,LNOTE22LA01114
2022061657,22,81,WEAK.FxRibs,LNOTE22LA01121
2022061660,22,81,1ST.HAIRY,LNOTE22LA01134
