UID,ETAG,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,FLGR,FLWT,YLD,CLFL,MICRON,DIGR,H,J,F,NOBN,LBWN,SIRE,DAM,DBRD,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,M_IDX,F_IDX,WRK,DAM5,LIB,LIBING,FERT,LOT,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,YRREC
94RA00001,A0005,93,1,80,30,P02,M,2,2,2.0,Y,119,74,96,0.667,157,157,137,0.289,2.5,64,5.1,64.6,3.3,23.2,62,1,1,3,2.14,142.9,760003,6655,03,175,192,0.295,1.0,LUPINE,6,LBW,112,105,W,L6655,,,0.0,,,,,0,,,,,,1994
94RA00002,A0012,93,1,82,30,68,C,2,2,3.0,Y,120,80,95,0.726,141,141,137,0.213,2.8,62,4.4,60.0,2.6,21.9,64,2,1,2+,1.98,128.4,780303,4954,03,168,192,0.257,1.0,JAF DUD PEN,2,CTL,100,98,W,L4954,D4,DUD,0.0,LIB,,,,0,,,NO,1,,1994
94RA00003,A0015,93,1,80,30,P04,M,2,2,2.0,Y,120,84,95,0.773,160,160,137,0.265,2.3,58,6.8,49.1,3.3,23.2,62,2,1,2+,2.14,141.5,684903,6598,03,189,192,0.307,1.0,,6,LBW,111,103,W,L6598,,,0.0,,,,,0,,,,,,1994
94RA00004,A0019,93,1,82,30,60,C,2,2,6.0,Y,120,75,95,0.676,142,142,137,0.233,2.7,64,4.2,64.9,2.7,21.4,64,2,3,2+,2.02,124.1,723903,0517,03,163,192,0.257,1.0,,1,CTL,98,99,W,L0517,S2,AA,0.0,,C,60,4,0,3,S,,,,1994
94RA00005,A0023,93,1,80,30,P04,M,2,2,3.0,Y,121,82,94,0.743,153,153,137,0.247,3.2,56,5.3,62.5,3.3,25.8,58,2,1,2,1.98,124.4,684903,5301,03,176,192,0.275,1.0,,2,LBW,105,114,W,L5301,S2,AA,0.0,085,,,,0,,,YES,1,,1994
94RA00006,A0029,93,1,80,30,P03,M,3,1,4.0,Y,121,88,96,0.842,150,150,137,0.218,2.2,62,4.2,60.7,2.5,23.0,62,1,1,2,2.3,108.4,678403,3977,03,177,192,0.262,1.0,LAME LIBTEST,2,LBW,88,88,W,L3977,D4,DUD,0.0,LIB,,,,0,,,NO?,1,,1994
94RA00007,A0038,93,1,80,30,P04,M,3,2,3.0,Y,121,74,96,0.69,128,128,137,0.189,2.2,60,5.3,56.1,3.0,23.4,62,3,3,3+,2.12,141.5,684903,5077,03,156,192,0.241,1.0,GET FROM SALE,1,LBW,106,96,W,L5077,S2,AA,97.0, 03,M,60,2,0,0,S,,,,1994
94RA00008,A0043,93,1,82,30,65,C,2,2,2.0,Y,121,72,96,0.644,128,128,137,0.196,2.4,60,4.0,61.6,2.5,21.5,64,2,1,2+,1.97,127.6,687203,7254,03,152,192,0.235,1.0,JUMPER,1,CTL,97,92,W,L7254,D3,DUD,100.0, 24,M,70,4,0,0,E,,,,1994
94RA00009,A0054,93,1,82,30,67,C,2,2,2.0,Y,121,72,96,0.643,118,118,137,0.161,1.9,62,4.4,49.1,2.2,24.3,60,2,1,3+,2.14,141.5,704203,7288,03,146,192,0.218,1.0,,1,CTL,99,79,W,L7288,S3,AA,100.0, 26,M,60,3,0,0,E,,,,1994
94RA00010,A0057,93,1,82,30,67,C,2,2,2.0,Y,122,66,95,0.6,127,127,137,0.214,2.2,64,3.7,61.1,2.3,22.9,62,2,2,2+,2.14,122.5,704203,7769,03,151,192,0.25,1.0,JUMPER,1,CTL,93,85,W,L7769,S4,AAA,100.0, 30,M,60,4,0,0,E,,,,1994
