UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,TRT,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,MICRON,SD
96PR00001,I4052,1,02,ID,94,1,2.0,0,,IDA,1,2-,8.2,3.2,Isaacs Ram,21.55,3.59
96PR00002,A0697,1,30,82,94,1,2.0,0,C,,1,1-,8.0,3.1,,26.61,5.12
96PR00003,A0708,1,30,81,94,1,2.0,0,M,,2,2,7.5,3.0,,25.16,4.51
96PR00004,A0732,1,30,81,94,1,2.0,0,M,,1,2,7.8,3.1,,29.21,4.54
96PR00005,A0733,1,30,81,94,1,2.0,0,M,,2,1-,8.0,3.1,,26.33,4.36
96PR00006,A0756,1,30,81,94,1,2.0,0,M,,2,1,7.2,2.8,MSG/DEAD 0709,26.34,4.74
96PR00007,A0760,1,30,82,94,1,2.0,0,C,,2,2+,7.5,3.0,,23.42,3.93
96PR00008,A0811,1,30,82,94,1,2.0,0,C,,2,1-,7.0,2.8,,24.64,4.03
96PR00009,A0934,1,30,82,94,1,2.0,0,C,,2,1-,8.1,3.2,4TEATS,24.91,4.58
96PR00010,A0942,1,30,81,94,1,2.0,0,M,,4,1-,8.2,3.2,,29.72,5.03
96PR00011,A0944,1,30,82,94,1,2.0,0,C,,2,2+,9.5,3.7,,28.94,5.26
96PR00012,A1030,1,30,82,94,1,2.0,0,C,,2,1-,10.0,3.9,KEEP,26.33,4.44
96PR00013,A1031,1,30,82,94,1,2.0,0,C,,2,2+,10.4,4.1,KEEP,25.47,4.14
96PR00014,A1040,1,30,81,94,1,2.0,0,M,,2,1-,8.3,3.3,3SCUR,27.04,4.5
96PR00015,A1063,1,30,82,94,1,2.0,0,C,,1,2+,8.3,3.3,,27.29,5.4
96PR00016,A1070,1,30,82,94,1,2.0,0,C,,2,2,9.1,3.6,,26.07,4.36
96PR00017,A1231,1,30,81,94,1,2.0,0,M,,2,2+,8.7,3.4,,29.35,5.41
96PR00018,A1399,1,30,82,94,1,2.0,0,C,,1,1-,10.0,3.9,,30.52,6.34
96PR00019,A1423,1,30,81,94,1,2.0,0,M,,1,1-,9.9,3.9,,28.71,5.06
96PR00020,A1780,1,30,82,95,1,1.0,0,C,,2,2,8.0,3.1,,23.17,4.14
96PR00021,A1800,1,30,82,95,1,1.0,0,C,,1,2,6.3,2.5,PINK,22.87,3.76
96PR00022,A1819,1,30,81,95,1,1.0,0,M,,1,2-,6.5,2.6,,25.97,6.1
