UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,SIGR,MICRON,SD,CV,CF,DIGR
05PR00001,A8879,1,30,84,01,1,4.0,0,.,.,1,2,7.1,2.8,,1,22P,Lww,X,60,0.0,0.0,0.0,0.0,0
05PR00002,A8766,1,30,83,01,1,4.0,0,.,.,4,1-,9.0,3.5,LAME 08/04,1,15P,Flwt,X,58,0.0,0.0,0.0,0.0,0
05PR00003,A9153,1,30,84,02,1,3.0,0,.,EXP,2,2+,7.5,3.0,,1,26P,Inbr,X,60,0.0,0.0,0.0,0.0,0
05PR00004,A9088,1,30,84,02,1,3.0,0,.,EXP,2,1-,9.2,3.6,,1,24P,Inbr,X,60,0.0,0.0,0.0,0.0,0
05PR00005,A9073,1,30,84,02,1,3.0,0,.,EXP,1,3,8.6,3.4,,1,e10,Inbr,X,60,0.0,0.0,0.0,0.0,0
05PR00006,A9434,1,30,84,02,1,3.0,2,.,BHV,.,..,0.0,0.0,,V,BHV,Inbr,X,..,0.0,0.0,0.0,0.0,0
05PR00007,A9442,1,30,83,02,1,3.0,0,.,EXP,1,2-,8.6,3.4,,1,16P,Flwt,X,58,0.0,0.0,0.0,0.0,0
05PR00008,A9581,1,30,81,02,1,3.0,2,.,BHV,.,..,0.0,0.0,,V,BHV,Lww,X,..,0.0,0.0,0.0,0.0,0
05PR00009,A9588,1,30,84,02,1,3.0,0,.,EXP,2,2-,8.9,3.5,H2,1,06P,Inbr,X,60,0.0,0.0,0.0,0.0,0
05PR00010,A9606,1,30,83,02,1,3.0,0,.,EXP,1,2-,8.8,3.5,,1,23P,Flwt,X,60,0.0,0.0,0.0,0.0,0
05PR00011,A9232,1,30,83,02,1,3.0,0,.,CTL,1,1-,8.0,3.1,F2-,1,04P,Flwt,X,60,0.0,0.0,0.0,0.0,0
05PR00012,A9285,1,30,83,02,1,3.0,2,.,BHV,.,..,0.0,0.0,KEEP,V,BHV,Flwt,X,..,0.0,0.0,0.0,0.0,0
05PR00013,A9890,1,30,83,02,1,3.0,0,.,CTL,2,2-,10.0,3.9,H2,1,21P,Flwt,X,56,0.0,0.0,0.0,0.0,0
05PR00014,A9897,1,30,81,02,1,3.0,2,.,EXP,2,2-,9.0,3.5,H2,1,25P,Lww,X,62,0.0,0.0,0.0,0.0,0
05PR00015,A9941,1,30,84,02,1,3.0,2,.,BHV,.,..,0.0,0.0,,V,BHV,Inbr,X,..,0.0,0.0,0.0,0.0,0
05PR00016,A9750,1,30,81,02,1,3.0,2,.,BHV,.,..,0.0,0.0,,V,BHV,Lww,X,..,0.0,0.0,0.0,0.0,0
05PR00017,A7199,1,30,88,00,1,5.0,0,.,.,3,2-,7.5,3.0,,1,03P,Flwt,X,56,0.0,0.0,0.0,0.0,0
05PR00018,A7284,1,30,82,00,1,5.0,0,.,.,2,1-,8.4,3.3,NICE >works,1,01P,Flwt,X,60,0.0,0.0,0.0,0.0,0
05PR00019,A7896,1,30,88,00,1,5.0,0,.,.,2,2+,7.1,2.8,-WOOL,1,02P,Flwt,X,60,0.0,0.0,0.0,0.0,0
05PR00020,H1112,1,30,83,04,1,1.0,0,.,.,2,1-,6.2,2.4,,1,.,Flwt,X,60,0.0,0.0,0.0,0.0,0
05PR00021,H1139,1,30,82,04,1,1.0,0,.,.,2,1-,5.6,2.2,,1,.,Ctrl,X,62,0.0,0.0,0.0,0.0,0
05PR00022,H1140,1,30,82,04,1,1.0,0,.,.,2,1-,7.6,3.0,F2+,1,.,Ctrl,X,60,0.0,0.0,0.0,0.0,0
05PR00023,H1158,1,30,83,04,1,1.0,0,.,.,2,1-,7.0,2.8,H2 **,1,.,Flwt,X,62,0.0,0.0,0.0,0.0,0
05PR00024,H1159,1,30,82,04,1,1.0,0,.,.,2,3+,7.4,2.9,,1,.,Ctrl,X,60,0.0,0.0,0.0,0.0,0
05PR00025,H1166,1,30,82,04,1,1.0,0,.,.,2,1-,6.3,2.5,,1,.,Ctrl,X,60,0.0,0.0,0.0,0.0,0
05PR00026,H1168,1,30,82,04,1,1.0,0,.,.,1,1-,8.2,3.2,,1,.,Ctrl,X,60,0.0,0.0,0.0,0.0,0
05PR00027,H1182,1,30,82,04,1,1.0,0,.,.,2,2,5.4,2.1,,1,.,Ctrl,X,62,0.0,0.0,0.0,0.0,0
05PR00028,H1196,1,30,82,04,1,1.0,0,.,.,2,2,6.8,2.7,,1,.,Ctrl,X,60,0.0,0.0,0.0,0.0,0
05PR00029,H1179,1,30,82,04,1,1.0,0,.,.,1,2-,6.7,2.6,TINY TSTS X,1,.,Ctrl,X,62,0.0,0.0,0.0,0.0,0
05PR00030,H1007,1,30,83,04,1,1.0,0,.,.,2,1-,7.5,3.0,NICE LAMB,1,.,Flwt,X,58,0.0,0.0,0.0,0.0,0
05PR00031,H1052,1,30,83,04,1,1.0,0,.,.,2,1-,6.5,2.6,,1,.,Flwt,X,62,0.0,0.0,0.0,0.0,0
05PR00032,H1060,1,30,82,04,1,1.0,0,.,.,3,2,7.2,2.8,,1,.,Ctrl,X,60,0.0,0.0,0.0,0.0,0
05PR00033,H1063,1,30,82,04,1,1.0,0,.,.,1,2-,7.1,2.8,,1,.,Ctrl,X,60,0.0,0.0,0.0,0.0,0
05PR00034,H1064,1,30,82,04,1,1.0,0,.,.,2,3+,6.6,2.6,,1,.,Ctrl,X,60,0.0,0.0,0.0,0.0,0
05PR00035,H1026,1,30,82,04,1,1.0,0,.,.,3,2+,6.8,2.7,NICE LAMB,1,.,Ctrl,X,60,0.0,0.0,0.0,0.0,0
05PR00036,H1083,1,30,82,04,1,1.0,0,.,.,2,2-,7.7,3.0,,1,.,Ctrl,X,60,0.0,0.0,0.0,0.0,0
05PR00037,H1082,1,30,82,04,1,1.0,0,.,.,2,3+,5.5,2.2,,1,.,Ctrl,X,60,0.0,0.0,0.0,0.0,0
05PR00038,H1096,1,30,82,04,1,1.0,0,.,.,2,2-,6.6,2.6,,1,.,Ctrl,X,62,0.0,0.0,0.0,0.0,0
05PR00039,H1311,1,30,82,04,1,1.0,0,.,.,1,1-,6.5,2.6,,1,.,Ctrl,X,60,0.0,0.0,0.0,0.0,0
05PR00040,H1315,1,30,82,04,1,1.0,0,.,.,2,1-,6.3,2.5,,1,.,Ctrl,X,58,0.0,0.0,0.0,0.0,0
05PR00041,H1335,1,30,82,04,1,1.0,0,.,.,2,1-,7.8,3.1,,1,.,Ctrl,X,62,0.0,0.0,0.0,0.0,0
05PR00042,H1323,1,30,83,04,1,1.0,0,.,.,2,2,6.2,2.4,,1,.,Flwt,X,62,0.0,0.0,0.0,0.0,0
05PR00043,H1327,1,30,82,04,1,1.0,0,.,.,2,2-,6.6,2.6,ATAXIC,1,.,Ctrl,X,60,0.0,0.0,0.0,0.0,0
05PR00044,H1243,1,30,82,04,1,1.0,0,.,.,2,1-,6.6,2.6,,1,.,Ctrl,X,62,0.0,0.0,0.0,0.0,0
05PR00045,H1244,1,30,82,04,1,1.0,0,.,.,2,2-,7.4,2.9,"NICE, TOP IDX",1,.,Ctrl,X,60,0.0,0.0,0.0,0.0,0
05PR00046,H1246,1,30,83,04,1,1.0,0,.,.,2,2-,8.0,3.1,,1,.,Flwt,X,58,0.0,0.0,0.0,0.0,0
05PR00047,H1254,1,30,82,04,1,1.0,0,.,.,2,1-,7.1,2.8,,1,.,Ctrl,X,62,0.0,0.0,0.0,0.0,0
05PR00048,H1228,1,30,83,04,1,1.0,0,.,.,2,1-,8.4,3.3,F2+,1,.,Flwt,X,58,0.0,0.0,0.0,0.0,0
05PR00049,H1280,1,30,82,04,1,1.0,0,.,.,3,2+,7.9,3.1,,1,.,Ctrl,X,60,0.0,0.0,0.0,0.0,0
05PR00050,H1289,1,30,82,04,1,1.0,0,.,.,2,1-,6.7,2.6,,1,.,Ctrl,X,62,0.0,0.0,0.0,0.0,0
05PR00051,H0471,1,30,88,03,1,2.0,0,.,.,1,2+,10.0,3.9,,1,13P,Poly,X,58,0.0,0.0,0.0,0.0,0
05PR00052,H0501,1,30,88,03,1,2.0,0,.,BHV,.,..,0.0,0.0,BRITCHY,4,BHV,Poly,X,..,0.0,0.0,0.0,0.0,0
05PR00053,H0503,1,30,88,03,1,2.0,0,.,BHV,.,..,0.0,0.0,"NICE, TB1",4,BHV,Poly,X,..,0.0,0.0,0.0,0.0,0
05PR00054,H0540,1,30,88,03,1,2.0,0,.,.,1,1,9.7,3.8,MALE MOUNTS,1,.,Poly,X,58,0.0,0.0,0.0,0.0,0
05PR00055,H0557,1,30,88,03,1,2.0,0,.,BHV,.,..,0.0,0.0,BRITCHY,4,BHV,Poly,X,..,0.0,0.0,0.0,0.0,0
05PR00056,H0562,1,30,88,03,1,2.0,0,.,.,1,1-,9.2,3.6,"FX.RIBS,L,OK",1,.,Poly,X,58,0.0,0.0,0.0,0.0,0
05PR00057,H0596,1,30,88,03,1,2.0,0,.,.,2,1-,9.4,3.7,,1,05P,Poly,X,60,0.0,0.0,0.0,0.0,0
05PR00058,H0571,1,30,88,03,1,2.0,0,.,.,2,2-,8.5,3.3,,1,e11,Poly,X,60,0.0,0.0,0.0,0.0,0
05PR00059,H0615,1,30,88,03,1,2.0,0,.,.,2,2+,8.8,3.5,,1,.,Poly,X,60,0.0,0.0,0.0,0.0,0
05PR00060,H0612,1,30,88,03,1,2.0,0,.,BHV,.,..,0.0,0.0,H3+ BHV RAM,4,BHV,Poly,X,..,0.0,0.0,0.0,0.0,0
05PR00061,H0630,1,30,88,03,1,2.0,0,.,.,1,2,8.3,3.3,,1,07P,Poly,X,60,0.0,0.0,0.0,0.0,0
05PR00062,H0656,1,30,88,03,1,2.0,0,.,.,1,1-,8.6,3.4,NICE,1,11P,Poly,X,62,0.0,0.0,0.0,0.0,0
05PR00063,H0691,1,30,88,03,1,2.0,0,.,BHV,.,..,0.0,0.0,H3 BHV RAM,4,BHV,Poly,X,..,0.0,0.0,0.0,0.0,0
05PR00064,H0692,1,30,88,03,1,2.0,0,.,.,1,2-,8.6,3.4,NICE,1,.,Poly,X,60,0.0,0.0,0.0,0.0,0
05PR00065,H0816,1,30,83,04,1,1.0,0,.,.,2,2-,7.5,3.0,TX R.EYE,1,.,Flwt,X,60,0.0,0.0,0.0,0.0,0
05PR00066,H0805,1,30,82,04,1,1.0,0,.,.,2,2,7.1,2.8,,1,.,Ctrl,X,60,0.0,0.0,0.0,0.0,0
05PR00067,H0900,1,30,82,04,1,1.0,0,.,.,2,1-,8.6,3.4,,1,.,Ctrl,X,60,0.0,0.0,0.0,0.0,0
05PR00068,H0930,1,30,82,04,1,1.0,0,.,.,1,2-,6.8,2.7,"ABS.CHIN,July",1,.,Ctrl,X,60,0.0,0.0,0.0,0.0,0
05PR00069,H0948,1,30,82,04,1,1.0,0,.,.,2,2-,5.5,2.2,,1,.,Ctrl,X,62,0.0,0.0,0.0,0.0,0
05PR00070,H0962,1,30,82,04,1,1.0,0,.,.,4,3+,7.2,2.8,,1,.,Ctrl,X,60,0.0,0.0,0.0,0.0,0
05PR00071,H0920,1,30,82,04,1,1.0,0,.,.,2,2,5.8,2.3,,1,.,Ctrl,X,60,0.0,0.0,0.0,0.0,0
05PR00072,H0928,1,30,83,04,1,1.0,0,.,.,1,2+,6.8,2.7,,1,.,Flwt,X,60,0.0,0.0,0.0,0.0,0
05PR00073,H0994,1,30,82,04,1,1.0,0,.,.,2,3,7.4,2.9,,1,.,Ctrl,X,60,0.0,0.0,0.0,0.0,0
05PR00074,H0709,1,30,88,03,1,2.0,0,.,.,2,1-,9.2,3.6,F2+ H2,1,12P,Poly,X,60,0.0,0.0,0.0,0.0,0
05PR00075,H0733,1,30,88,03,1,2.0,0,.,.,3,1-,8.6,3.4,F2+,1,14P,Poly,X,60,0.0,0.0,0.0,0.0,0
05PR00076,H0756,1,30,82,04,1,1.0,0,.,.,2,3+,7.0,2.8,,1,.,Ctrl,X,60,0.0,0.0,0.0,0.0,0
05PR00077,H0752,1,30,82,04,1,1.0,0,.,.,2,2,7.3,2.9,,1,.,Ctrl,X,60,0.0,0.0,0.0,0.0,0
05PR00078,H0792,1,30,82,04,1,1.0,0,.,.,2,1-,8.0,3.1,,1,.,Ctrl,X,62,0.0,0.0,0.0,0.0,0
05PR00079,H0773,1,30,82,04,1,1.0,0,.,.,1,2-,7.4,2.9,,1,.,Ctrl,X,58,0.0,0.0,0.0,0.0,0
05PR00080,K1196,1,06,68,00,1,5.0,0,.,.,1,3,8.8,3.5,"BIG,C LF HOOF",1,51a,Adg,Y,..,31.6,6.2,19.6,45.8,48
05PR00081,K1450,1,06,68,00,1,5.0,0,.,.,1,3,8.3,3.3,JAW INJ. CULL,1,54a,Adg,Y,..,26.0,4.3,16.5,85.9,58
05PR00082,K1553,1,06,68,01,1,4.0,0,.,.,1,2,8.9,3.5,"NICE!, Jarvis",1,54K,Adg,Y,..,29.2,5.1,17.4,61.8,54
05PR00083,K1683,1,06,68,01,1,4.0,0,.,.,1,2-,8.9,3.5,USA,1,55K,Adg,Y,..,29.6,5.1,17.2,57.1,50
05PR00084,K1857,1,06,68,01,1,4.0,0,.,.,2,3,9.8,3.9,Jarvis,1,51K,Adg,Y,..,31.1,4.6,14.9,47.7,48
05PR00085,K1701,1,06,68,01,1,4.0,0,.,.,1,3-,9.9,3.9,Jarvis,1,nd,Adg,Y,..,30.5,5.2,17.1,53.7,50
05PR00086,K3111,1,06,68,04,1,1.0,0,.,.,1,4,7.6,3.0,NICE,1,.,Adg,Y,..,24.8,4.5,18.3,88.1,60
05PR00087,K3114,1,06,68,04,1,1.0,0,.,.,1,3,7.1,2.8,NICE LAMB,1,.,Adg,Y,..,25.5,4.9,19.1,85.6,58
05PR00088,K3116,1,06,68,04,1,1.0,0,.,.,1,2,7.2,2.8,4TEATS,1,.,Adg,Y,..,23.0,4.1,17.7,95.6,62
05PR00089,K3105,1,06,68,04,1,1.0,0,.,.,2,4+,6.8,2.7,,1,.,Adg,Y,..,23.0,4.1,17.7,95.0,62
05PR00090,K3108,1,06,68,04,1,1.0,0,.,.,1,5+,6.6,2.6,,1,.,Adg,Y,..,25.7,4.4,17.3,85.5,58
05PR00091,K3134,1,06,68,04,1,1.0,0,.,.,1,3+,6.4,2.5,,1,.,Adg,Y,..,23.1,3.8,16.6,96.5,62
05PR00092,K3132,1,06,68,04,1,1.0,0,.,.,1,3+,7.1,2.8,,1,.,Adg,Y,..,23.2,4.3,18.7,94.2,62
05PR00093,K3138,1,06,68,04,1,1.0,0,.,.,2,3,6.4,2.5,,1,.,Adg,Y,..,26.2,4.8,18.5,84.1,58
05PR00094,K3154,1,06,68,04,1,1.0,0,.,.,1,3-,8.3,3.3,WHOPPER,1,.,Adg,Y,..,23.9,4.1,17.3,93.8,60
05PR00095,K3165,1,06,68,04,1,1.0,0,.,.,1,3+,8.1,3.2,,1,.,Adg,Y,..,25.4,5.0,19.6,84.2,58
05PR00096,K3168,1,06,68,04,1,1.0,0,.,.,2,3+,8.0,3.1,,1,.,Adg,Y,..,26.3,4.6,17.6,82.3,58
05PR00097,K3181,1,06,68,04,1,1.0,0,.,.,2,3+,6.6,2.6,,1,.,Adg,Y,..,25.5,3.9,15.4,89.8,58
05PR00098,K3193,1,06,68,04,1,1.0,0,.,.,1,3+,9.3,3.7,,1,.,Adg,Y,..,25.9,5.9,22.9,78.1,58
05PR00099,K3195,1,06,68,04,1,1.0,0,.,.,2,3,7.2,2.8,,1,.,Adg,Y,..,26.5,5.1,19.1,79.4,56
05PR00100,K3015,1,06,68,04,1,1.0,0,.,.,1,1-,6.8,2.7,,1,.,Adg,Y,..,22.8,3.9,17.3,96.7,62
05PR00101,K3012,1,06,68,04,1,1.0,0,.,.,1,3+,8.0,3.1,,1,.,Adg,Y,..,26.8,4.5,16.8,81.7,56
05PR00102,K3017,1,06,68,04,1,1.0,0,.,.,2,3,7.8,3.1,,1,.,Adg,Y,..,26.2,5.0,19.0,81.1,58
05PR00103,K3005,1,06,68,04,1,1.0,0,.,.,1,4,7.2,2.8,"X, CR.LF.LEG",1,.,Adg,Y,..,26.0,4.3,16.5,86.8,58
05PR00104,K3002,1,06,68,04,1,1.0,0,.,.,1,3-,6.5,2.6,,1,.,Adg,Y,..,26.6,3.9,14.8,85.6,56
05PR00105,K3044,1,06,68,04,1,1.0,0,.,.,1,2-,6.6,2.6,,1,.,Adg,Y,..,27.1,4.9,18.1,78.0,56
05PR00106,K3045,1,06,68,04,1,1.0,0,.,.,1,3+,7.0,2.8,4TEATS,1,.,Adg,Y,..,24.0,4.1,17.0,94.4,60
05PR00107,K3049,1,06,68,04,1,1.0,0,.,.,2,3,8.1,3.2,NICE LAMB,1,.,Adg,Y,..,24.2,4.2,17.2,92.6,60
05PR00108,K3050,1,06,68,04,1,1.0,0,.,.,1,3,8.0,3.1,,1,.,Adg,Y,..,28.5,5.1,17.9,66.4,54
05PR00109,K3056,1,06,68,04,1,1.0,0,.,.,2,2,8.6,3.4,NICE LAMB,1,.,Adg,Y,..,26.9,5.4,20.1,76.7,56
05PR00110,K3057,1,06,68,04,1,1.0,0,.,.,1,3+,8.0,3.1,NICE LAMB,1,.,Adg,Y,..,25.3,4.5,17.9,86.9,58
05PR00111,K3067,1,06,68,04,1,1.0,0,.,.,1,2,8.0,3.1,,1,.,Adg,Y,..,23.7,3.8,16.2,95.5,60
05PR00112,K3025,1,06,68,04,1,1.0,0,.,.,1,3+,7.6,3.0,NICE LAMB,1,.,Adg,Y,..,22.8,3.5,15.5,97.7,62
05PR00113,K3022,1,06,68,04,1,1.0,0,.,.,1,3-,7.4,2.9,,1,.,Adg,Y,..,25.2,4.3,17.2,89.1,58
05PR00114,K3098,1,06,68,04,1,1.0,0,.,.,1,4-,7.2,2.8,,1,.,Adg,Y,..,24.5,3.8,15.3,94.1,60
05PR00115,K3099,1,06,68,04,1,1.0,0,.,.,1,3,6.3,2.5,1 TINY TSTS X,1,.,Adg,Y,..,26.0,5.0,19.1,82.8,58
05PR00116,K3071,1,06,68,04,1,1.0,0,.,.,1,3,7.2,2.8,NICE,1,.,Adg,Y,..,25.7,4.3,16.5,87.0,58
05PR00117,K3073,1,06,68,04,1,1.0,0,.,.,1,3+,6.8,2.7,OK,1,.,Adg,Y,..,23.6,4.4,18.6,93.2,60
05PR00118,K3216,1,06,68,04,1,1.0,0,.,.,1,3-,7.2,2.8,NICE LAMB,1,.,Adg,Y,..,25.4,5.2,20.4,84.3,58
05PR00119,K2129,1,06,68,02,1,3.0,0,.,.,1,2,8.4,3.3,,1,56a,Adg,Y,..,28.3,4.2,14.7,72.0,54
05PR00120,K2348,1,06,68,02,1,3.0,0,.,.,1,2,8.8,3.5,NICE,1,nd,Adg,Y,..,30.1,4.5,15.1,58.1,50
05PR00121,K2368,1,06,68,02,1,3.0,0,.,.,1,2-,9.6,3.8,SL.ENTR,1,nd,Adg,Y,..,29.0,3.9,13.5,66.2,54
05PR00122,K2546,1,06,68,02,1,3.0,0,.,.,1,3,9.5,3.7,"4TEATS, 51alt",1,nd,Adg,Y,..,27.1,5.0,18.4,77.9,56
05PR00123,K2595,1,06,68,02,1,3.0,0,.,.,2,2-,8.7,3.4,,1,56K,Adg,Y,..,28.4,3.5,12.3,75.8,54
05PR00124,K2665,1,06,68,02,1,3.0,0,.,.,1,2-,8.4,3.3,NICE,1,nd,Adg,Y,..,24.3,3.8,15.7,93.9,60
05PR00125,K2814,1,06,68,03,1,2.0,0,.,.,1,3,8.9,3.5,NICE,1,nd,Adg,Y,..,27.0,4.0,14.7,82.9,56
05PR00126,K2812,1,06,68,03,1,2.0,0,.,.,1,4+,10.1,4.0,F4,1,nd,Adg,Y,..,28.0,4.9,17.4,71.7,54
05PR00127,K2843,1,06,68,03,1,2.0,0,.,.,1,3+,10.0,3.9,MALE MOUNTS,1,.,Adg,Y,..,29.4,5.0,17.0,62.2,50
05PR00128,K2842,1,06,68,03,1,2.0,0,.,.,1,3+,9.8,3.9,,1,e.3,Adg,Y,..,29.1,4.9,16.9,63.9,54
05PR00129,K2824,1,06,68,03,1,2.0,0,.,BHV,.,..,0.0,0.0,"ENTR,ULCER",4,BHV,Adg,X,..,0.0,0.0,0.0,0.0,0
05PR00130,K2897,1,06,68,03,1,2.0,0,.,.,1,3,9.6,3.8,,1,nd,Adg,Y,..,28.8,5.9,20.4,67.1,54
05PR00131,K2918,1,06,68,03,1,2.0,0,.,.,1,2-,8.4,3.3,CHUNKY,1,53a,Adg,Y,..,25.3,4.7,18.4,88.0,58
05PR00132,K2917,1,06,68,03,1,2.0,0,.,XBH,.,..,0.0,0.0,X 2/10/2005,4,XBH,Adg,X,..,0.0,0.0,0.0,0.0,0
05PR00133,K2901,1,06,68,03,1,2.0,0,.,.,2,2,8.9,3.5,,1,58a,Adg,Y,..,29.0,5.5,18.8,64.6,54
05PR00134,K2909,1,06,68,03,1,2.0,0,.,.,2,3,9.2,3.6,NICE,1,nd,Adg,Y,..,25.8,4.3,16.6,86.4,58
05PR00135,K2945,1,06,68,03,1,2.0,0,.,.,1,2-,9.8,3.9,,1,58a,Adg,Y,..,27.9,4.8,17.3,70.3,54
05PR00136,K2948,1,06,68,03,1,2.0,0,.,.,2,3+,8.5,3.3,NICE,1,58K,Adg,Y,..,27.8,4.5,16.3,74.5,56
05PR00137,K2947,1,06,68,03,1,2.0,0,.,.,1,3+,8.3,3.3,NICE,1,.,Adg,Y,..,27.0,4.3,15.8,82.3,56
